Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856113539902;655084;0;100;49;0295f36b7d
63856113542901;658097;0;100;43;0295f36b7d
63856113543002;658220;0;100;144;0295f36b7d
63856113543802;659043;0;100;129;0295f36b7d
63856113547394;662593;0;100;104;0295f36b7d
63856113548002;663233;0;100;102;0295f36b7d
63856113549136;664313;0;100;92;0295f36b7d
63856113550452;665623;0;100;82;0295f36b7d
63856113551334;666513;0;100;79;0295f36b7d
63856113551737;666962;0;100;91;0295f36b7d
63856113552353;667526;0;100;95;0295f36b7d
63856113554631;669846;0;100;80;0295f36b7d
63856113556456;671662;0;100;69;0295f36b7d
63856113557389;672559;0;100;69;0295f36b7d
63856113559872;675092;0;100;59;0295f36b7d
63856113561618;676815;0;100;54;0295f36b7d
63856113562638;677848;0;100;55;0295f36b7d
63856113563485;678711;0;100;58;0295f36b7d
63856113564104;679335;0;100;67;0295f36b7d
63856113564905;680121;0;100;69;0295f36b7d
63856113566223;681451;0;100;64;0295f36b7d
63856113567270;682444;0;100;63;0295f36b7d
63856113570763;685994;0;100;53;0295f36b7d
63856113571260;686481;0;100;69;0295f36b7d
63856113571906;687074;0;100;77;0295f36b7d
63856113572840;688020;0;100;74;0295f36b7d
63856113574473;689650;0;100;66;0295f36b7d
63856113575472;690723;0;100;64;0295f36b7d
63856113575990;691240;0;100;76;0295f36b7d
63856113577825;693067;0;100;66;0295f36b7d
63856113578389;693566;0;100;79;0295f36b7d
63856113578857;694073;0;100;87;0295f36b7d
63856113579364;694520;0;100;98;0295f36b7d
63856113579863;695026;0;100;103;0295f36b7d
63856113581091;696300;0;100;91;0295f36b7d
63856113582192;697389;0;100;83;0295f36b7d
63856113584729;699899;0;100;70;0295f36b7d
63856113587159;702399;0;100;60;0295f36b7d
63856113588728;703912;0;100;55;0295f36b7d
63856113589430;704632;0;100;62;0295f36b7d
63856113590040;705262;0;100;69;0295f36b7d
63856113591267;706519;0;100;65;0295f36b7d
63856113591973;707205;0;100;70;0295f36b7d
63856113593145;708275;0;100;67;0295f36b7d
63856113593663;708882;0;100;74;0295f36b7d
63856113595994;711168;0;100;64;0295f36b7d
63856113598242;713428;0;100;56;0295f36b7d
63856113600343;715478;0;100;50;0295f36b7d
63856113600727;715928;0;100;69;0295f36b7d
63856113602061;717257;0;100;64;0295f36b7d
63856113602760;717907;0;100;70;0295f36b7d
63856113603377;718521;0;100;77;0295f36b7d
63856113605444;720611;0;100;66;0295f36b7d
63856113606961;722180;0;100;60;0295f36b7d
63856113608211;723377;0;100;58;0295f36b7d
63856113609678;724907;0;100;54;0295f36b7d
63856113610195;725373;0;100;71;0295f36b7d
63856113611244;726480;0;100;67;0295f36b7d
63856113614762;730009;0;100;56;0295f36b7d
63856113616396;731586;0;100;52;0295f36b7d
63856113617929;733096;0;100;50;0295f36b7d
63856113619396;734606;0;100;48;0295f36b7d
63856113621629;736862;0;100;43;0295f36b7d
63856113623446;738669;0;100;41;0295f36b7d
63856113625730;740882;0;100;38;0295f36b7d
63856113626163;741312;0;100;61;0295f36b7d
63856113627264;742422;0;100;60;0295f36b7d
63856113627764;742958;0;100;72;0295f36b7d
63856113630264;745431;0;100;61;0295f36b7d
63856113631665;746875;0;100;57;0295f36b7d
63856113632915;748051;0;100;56;0295f36b7d
63856113634665;749824;0;100;51;0295f36b7d
63856113639266;754487;0;100;43;0295f36b7d
63856113640399;755574;0;100;46;0295f36b7d
63856113642899;758077;0;100;41;0295f36b7d
63856113647033;762253;0;100;35;0295f36b7d
63856113647766;762993;0;100;45;0295f36b7d
63856113650967;766113;0;100;40;0295f36b7d
63856113653001;768173;0;100;37;0295f36b7d
63856113654334;769516;0;100;39;0295f36b7d
63856113655768;770905;0;100;40;0295f36b7d
63856113657699;772905;0;100;38;0295f36b7d
63856113658631;773825;0;100;44;0295f36b7d
63856113659535;774715;0;100;50;0295f36b7d
63856113661935;777092;0;100;44;0295f36b7d
63856113662936;778148;0;100;47;0295f36b7d
63856113665169;780368;0;100;43;0295f36b7d
63856113666136;781278;0;100;48;0295f36b7d
63856113666766;781931;1;100;58;0295f36b7d
63856113671804;786967;1;100;48;0295f36b7d
63856113672503;787714;1;100;55;0295f36b7d
63856113673671;788817;1;100;55;0295f36b7d
63856113677004;792217;1;100;47;0295f36b7d
63856113678805;794033;1;100;44;0295f36b7d
63856113679421;794626;1;100;57;0295f36b7d
63856113681522;796690;1;100;51;0295f36b7d
63856113682138;797350;1;100;60;0295f36b7d
63856113682838;798059;1;100;65;0295f36b7d
63856113685072;800286;1;100;57;0295f36b7d
63856113686232;801426;1;100;56;0295f36b7d
63856113686855;802009;1;100;67;0295f36b7d
63856113687356;802556;1;100;77;0295f36b7d
63856113687673;802862;1;100;104;0295f36b7d
63856113689190;804395;1;100;90;0295f36b7d
63856113690206;805379;1;100;83;0295f36b7d
63856113690706;805925;1;100;90;0295f36b7d
63856113691873;807009;1;100;82;0295f36b7d
63856113692190;807415;1;100;97;0295f36b7d
63856113694507;809678;1;100;82;0295f36b7d
63856113695524;810741;1;100;76;0295f36b7d
63856113695957;811165;1;100;91;0295f36b7d
63856113696807;811958;1;100;88;0295f36b7d
63856113698124;813341;1;100;78;0295f36b7d
63856113698841;813988;1;100;82;0295f36b7d
63856113700041;815211;1;100;74;0295f36b7d
63856113700775;815938;1;100;76;0295f36b7d
63856113701524;816708;1;100;77;0295f36b7d
63856113703966;819097;1;100;66;0295f36b7d
63856113704358;819561;1;100;81;0295f36b7d
63856113705025;820257;1;100;82;0295f36b7d
63856113706876;822014;1;100;71;0295f36b7d
63856113707893;823067;1;100;68;0295f36b7d
63856113708792;823987;1;100;68;0295f36b7d
63856113709409;824640;1;100;74;0295f36b7d
63856113709909;825137;1;100;84;0295f36b7d
63856113712059;827260;1;100;72;0295f36b7d
63856113715010;830186;1;100;61;0295f36b7d
63856113715910;831116;1;100;62;0295f36b7d
63856113716643;831853;1;100;66;0295f36b7d
63856113717777;832913;1;100;64;0295f36b7d
63856113719477;834616;1;100;58;0295f36b7d
63856113720611;835722;1;100;57;0295f36b7d
63856113721311;836522;1;100;61;0295f36b7d
63856113722328;837456;1;100;62;0295f36b7d
63856113722711;837885;1;100;80;0295f36b7d
63856113723644;838775;1;100;77;0295f36b7d
63856113724261;839449;1;100;80;0295f36b7d
63856113724962;840145;1;100;82;0295f36b7d
63856113725862;841052;1;100;79;0295f36b7d
63856113726879;842095;1;100;74;0295f36b7d
63856113728395;843608;1;100;66;0295f36b7d
63856113729245;844442;1;100;68;0295f36b7d
63856113730629;845785;1;100;63;0295f36b7d
63856113734329;849514;1;100;53;0295f36b7d
63856113739347;854520;1;100;44;0295f36b7d
63856113740980;856157;1;100;42;0295f36b7d
63856113742147;857237;1;100;45;0295f36b7d
63856113742631;857813;1;100;59;0295f36b7d
63856113745965;861090;1;100;50;0295f36b7d
63856113747681;862850;1;100;46;0295f36b7d
63856113749398;864583;1;100;44;0295f36b7d
63856113750399;865556;1;100;48;0295f36b7d
63856113751932;867076;1;100;46;0295f36b7d
63856113753466;868669;1;100;44;0295f36b7d
63856113754199;869389;1;100;53;0295f36b7d
63856113755399;870562;1;100;53;0295f36b7d
63856113755933;871039;1;100;70;0295f36b7d
63856113756933;872085;1;100;67;0295f36b7d
63856113763734;878935;1;100;54;0295f36b7d
63856113764234;879461;1;100;68;0295f36b7d
63856113765868;881038;1;100;61;0295f36b7d
63856113767602;882768;1;100;55;0295f36b7d
63856113770001;885137;1;100;49;0295f36b7d
63856113771202;886390;1;100;49;0295f36b7d
63856113772368;887560;1;100;49;0295f36b7d
63856113773202;888354;1;100;56;0295f36b7d
63856113774318;889460;1;100;55;0295f36b7d
63856113776702;891823;1;100;49;0295f36b7d
63856113777532;892687;1;100;54;0295f36b7d
63856113778269;893403;1;100;60;0295f36b7d
63856113786004;901192;1;100;49;0295f36b7d
63856113787037;902226;1;100;51;0295f36b7d
63856113789371;904582;1;100;45;0295f36b7d
63856113789871;905049;1;100;64;0295f36b7d
63856113792504;907708;1;100;55;0295f36b7d
63856113793955;909095;1;100;53;0295f36b7d
63856113795355;910538;1;100;50;0295f36b7d
63856113800940;916061;1;100;41;0295f36b7d
63856113802273;917441;1;100;42;0295f36b7d
63856113803073;918274;1;100;49;0295f36b7d
63856113803973;919131;1;100;54;0295f36b7d
63856113804373;919554;1;100;74;0295f36b7d
63856113805923;921114;1;100;66;0295f36b7d
63856113806624;921750;1;100;72;0295f36b7d
63856113807557;922670;1;100;71;0295f36b7d
63856113808257;923447;1;100;73;0295f36b7d
63856113810041;925257;1;100;64;0295f36b7d
63856113811800;926920;1;100;58;0295f36b7d
63856113815425;930613;-1;100;49;0295f36b7d
63856113816775;931953;-1;100;48;0295f36b7d
63856113819076;934182;-1;100;43;0295f36b7d
63856113820209;935332;-1;100;45;0295f36b7d
63856113821092;936229;-1;100;50;0295f36b7d
63856113821609;936745;-1;100;65;0295f36b7d
63856113822226;937329;-1;100;74;0295f36b7d
63856113823226;938352;-1;100;71;0295f36b7d
63856113824066;939225;-1;100;70;0295f36b7d
63856113825043;940189;-1;100;69;0295f36b7d
63856113825926;941125;-1;100;68;0295f36b7d
63856113827260;942455;-1;100;63;0295f36b7d
63856113828060;943248;-1;100;66;0295f36b7d
63856113828894;944011;-1;100;69;0295f36b7d
63856113830060;945231;-1;100;65;0295f36b7d
63856113831060;946178;2;100;65;0295f36b7d
63856113831927;947031;2;100;66;0295f36b7d
63856113832628;947758;2;100;70;0295f36b7d
63856113840462;955644;2;100;56;0295f36b7d
63856113843496;958667;2;100;48;0295f36b7d
63856113844196;959383;2;100;56;0295f36b7d
63856113844812;959987;2;100;66;0295f36b7d
63856113846246;961410;2;100;61;0295f36b7d
63856113848363;963493;2;100;54;0295f36b7d
63856113849597;964759;2;100;52;0295f36b7d
63856113850530;965713;2;100;55;0295f36b7d
63856113852064;967252;2;100;52;0295f36b7d
63856113853263;968426;2;100;52;0295f36b7d
63856113854780;969915;2;100;49;0295f36b7d
63856113855498;970656;2;100;56;0295f36b7d
