Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856113537935;653162;0;100;0;0295f36b7d
63856113538268;653496;0;100;0;0295f36b7d
63856113538668;653896;0;100;0;0295f36b7d
63856113538968;654162;0;100;0;0295f36b7d
63856113539264;654496;0;100;0;0295f36b7d
63856113539590;654829;0;100;0;0295f36b7d
63856113539969;655229;0;100;0;0295f36b7d
63856113540288;655496;0;100;0;0295f36b7d
63856113540602;655829;0;100;0;0295f36b7d
63856113540987;656229;0;100;0;0295f36b7d
63856113541302;656495;0;100;0;0295f36b7d
63856113541599;656829;0;100;0;0295f36b7d
63856113541919;657162;0;100;0;0295f36b7d
63856113542268;657495;0;100;0;0295f36b7d
63856113542588;657829;0;100;0;0295f36b7d
63856113543003;658229;0;100;0;0295f36b7d
63856113543289;658495;0;100;0;0295f36b7d
63856113543602;658829;0;100;0;0295f36b7d
63856113543989;659229;0;100;0;0295f36b7d
63856113544332;659562;0;100;0;0295f36b7d
63856113544603;659829;0;100;0;0295f36b7d
63856113544924;660162;0;100;0;0295f36b7d
63856113545336;660562;0;100;0;0295f36b7d
63856113545667;660828;0;100;0;0295f36b7d
63856113545936;661162;0;100;0;0295f36b7d
63856113546234;661495;0;100;0;0295f36b7d
63856113546636;661895;0;100;0;0295f36b7d
63856113546990;662228;0;100;0;0295f36b7d
63856113547394;662628;0;100;0;0295f36b7d
63856113547602;662828;0;100;0;0295f36b7d
63856113548002;663228;0;100;0;0295f36b7d
63856113548293;663495;0;100;0;0295f36b7d
63856113548588;663828;0;100;0;0295f36b7d
63856113548902;664161;0;100;0;0295f36b7d
63856113549336;664561;0;100;0;0295f36b7d
63856113549636;664828;0;100;0;0295f36b7d
63856113549924;665161;0;100;0;0295f36b7d
63856113550328;665561;0;100;0;0295f36b7d
63856113550633;665828;0;100;0;0295f36b7d
63856113550965;666161;0;100;0;0295f36b7d
63856113551237;666494;0;100;0;0295f36b7d
63856113551652;666894;0;100;0;0295f36b7d
63856113551970;667161;0;100;0;0295f36b7d
63856113552268;667494;0;100;0;0295f36b7d
63856113552636;667828;0;100;0;0295f36b7d
63856113552937;668161;0;100;0;0295f36b7d
63856113553304;668561;0;100;0;0295f36b7d
63856113553626;668828;0;100;0;0295f36b7d
63856113553921;669161;0;100;0;0295f36b7d
63856113554328;669561;0;100;0;0295f36b7d
63856113554631;669894;0;100;0;0295f36b7d
63856113554936;670161;0;100;0;0295f36b7d
63856113555259;670494;0;100;0;0295f36b7d
63856113555663;670894;0;100;0;0295f36b7d
63856113555959;671161;0;100;0;0295f36b7d
63856113556254;671494;0;100;0;0295f36b7d
63856113556662;671894;0;100;0;0295f36b7d
63856113556986;672227;0;100;0;0295f36b7d
63856113557270;672494;0;100;0;0295f36b7d
63856113557628;672827;0;100;0;0295f36b7d
63856113557931;673160;0;100;0;0295f36b7d
63856113558235;673494;0;100;0;0295f36b7d
63856113558637;673894;0;100;0;0295f36b7d
63856113558970;674160;0;100;0;0295f36b7d
63856113559256;674494;0;100;0;0295f36b7d
63856113559664;674894;0;100;0;0295f36b7d
63856113559985;675160;0;100;0;0295f36b7d
63856113560271;675494;0;100;0;0295f36b7d
63856113560593;675827;0;100;0;0295f36b7d
63856113560999;676227;0;100;0;0295f36b7d
63856113561302;676494;0;100;0;0295f36b7d
63856113561618;676827;0;100;0;0295f36b7d
63856113561937;677160;0;100;0;0295f36b7d
63856113562321;677560;0;100;0;0295f36b7d
63856113562638;677827;0;100;0;0295f36b7d
63856113562989;678160;0;100;0;0295f36b7d
63856113563307;678493;0;100;0;0295f36b7d
63856113563571;678827;0;100;0;0295f36b7d
63856113564004;679227;0;100;0;0295f36b7d
63856113564294;679493;0;100;0;0295f36b7d
63856113564590;679826;0;100;0;0295f36b7d
63856113564905;680160;0;100;0;0295f36b7d
63856113565319;680560;0;100;0;0295f36b7d
63856113565631;680826;0;100;0;0295f36b7d
63856113565927;681160;0;100;0;0295f36b7d
63856113566338;681560;0;100;0;0295f36b7d
63856113566639;681826;0;100;0;0295f36b7d
63856113566922;682160;0;100;0;0295f36b7d
63856113567270;682493;0;100;0;0295f36b7d
63856113567655;682893;0;100;0;0295f36b7d
63856113567932;683160;0;100;0;0295f36b7d
63856113568322;683560;0;100;0;0295f36b7d
63856113568639;683826;0;100;0;0295f36b7d
63856113568931;684159;0;100;0;0295f36b7d
63856113569255;684493;0;100;0;0295f36b7d
63856113569632;684893;0;100;0;0295f36b7d
63856113569956;685159;0;100;0;0295f36b7d
63856113570270;685493;0;100;0;0295f36b7d
63856113570656;685893;0;100;0;0295f36b7d
63856113570964;686159;0;100;0;0295f36b7d
63856113571260;686492;0;100;0;0295f36b7d
63856113571588;686826;0;100;0;0295f36b7d
63856113571968;687226;0;100;0;0295f36b7d
63856113572287;687492;0;100;0;0295f36b7d
63856113572597;687826;0;100;0;0295f36b7d
63856113573072;688292;0;100;0;0295f36b7d
63856113573254;688492;0;100;0;0295f36b7d
63856113573658;688892;0;100;0;0295f36b7d
63856113573957;689159;0;100;0;0295f36b7d
63856113574273;689492;0;100;0;0295f36b7d
63856113574656;689892;0;100;0;0295f36b7d
63856113574974;690225;0;100;0;0295f36b7d
63856113575290;690492;0;100;0;0295f36b7d
63856113575636;690825;0;100;0;0295f36b7d
63856113575990;691225;0;100;0;0295f36b7d
63856113576285;691492;0;100;0;0295f36b7d
63856113576631;691825;0;100;0;0295f36b7d
63856113576991;692225;0;100;0;0295f36b7d
63856113577307;692559;0;100;0;0295f36b7d
