Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857004235331;412087;0;100;-19176,4;0a8d84e96a
63857004235331;412087;0;100;-19178,4;0a8d84e96a
63857004235430;412221;0;100;-19176;0a8d84e96a
63857004235430;412221;0;100;-19178,2;0a8d84e96a
63857004235530;412287;0;100;-19179,2;0a8d84e96a
63857004235647;412421;0;100;-19178,8;0a8d84e96a
63857004235647;412421;0;100;-19181,2;0a8d84e96a
63857004235730;412487;0;100;-19181,6;0a8d84e96a
63857004235830;412621;0;100;-19182,4;0a8d84e96a
63857004235830;412621;0;100;-19184,6;0a8d84e96a
63857004235930;412687;0;100;-19188,2;0a8d84e96a
63857004236030;412821;0;100;-19192;0a8d84e96a
63857004236030;412821;0;100;-19193,4;0a8d84e96a
63857004236130;412887;0;100;-19193,8;0a8d84e96a
63857004236230;413020;0;100;-19194,4;0a8d84e96a
63857004236230;413020;0;100;-19194,2;0a8d84e96a
63857004236347;413087;0;100;-19194,6;0a8d84e96a
63857004236430;413220;0;100;-19195,4;0a8d84e96a
63857004236430;413220;0;100;-19195,4;0a8d84e96a
63857004236531;413287;0;100;-19195,2;0a8d84e96a
63857004236663;413420;0;100;-19194,8;0a8d84e96a
63857004236663;413420;0;100;-19194,6;0a8d84e96a
63857004236730;413487;0;100;-19195,6;0a8d84e96a
63857004236830;413620;0;100;-19196,6;0a8d84e96a
63857004236830;413620;0;100;-19197;0a8d84e96a
63857004236963;413687;0;100;-19196,8;0a8d84e96a
63857004237030;413820;0;100;-19196,6;0a8d84e96a
63857004237030;413820;0;100;-19196,4;0a8d84e96a
63857004237130;413887;0;100;-19197,6;0a8d84e96a
63857004237230;414020;0;100;-19197,4;0a8d84e96a
63857004237230;414020;0;100;-19197,4;0a8d84e96a
63857004237363;414087;0;100;-19197;0a8d84e96a
63857004237430;414220;0;100;-19199,6;0a8d84e96a
63857004237430;414220;0;100;-19199,6;0a8d84e96a
63857004237563;414287;0;100;-19202;0a8d84e96a
63857004237630;414420;0;100;-19201,8;0a8d84e96a
63857004237630;414420;0;100;-19202,6;0a8d84e96a
63857004237763;414487;0;100;-19203;0a8d84e96a
63857004237863;414620;0;100;-19203,2;0a8d84e96a
63857004237863;414620;0;100;-19202,2;0a8d84e96a
63857004237963;414754;0;100;-19202;0a8d84e96a
63857004237963;414754;0;100;-19202;0a8d84e96a
63857004238063;414820;0;100;-19202,2;0a8d84e96a
63857004238163;414954;0;100;-19202,8;0a8d84e96a
63857004238163;414954;0;100;-19203,4;0a8d84e96a
63857004238263;415020;0;100;-19202;0a8d84e96a
63857004238363;415154;0;100;-19202,6;0a8d84e96a
63857004238363;415154;0;100;-19200,6;0a8d84e96a
63857004238463;415220;0;100;-19200;0a8d84e96a
63857004238563;415354;0;100;-19200;0a8d84e96a
63857004238563;415354;0;100;-19201,8;0a8d84e96a
63857004238663;415420;0;100;-19201;0a8d84e96a
63857004238763;415554;0;100;-19200,2;0a8d84e96a
63857004238763;415554;0;100;-19199;0a8d84e96a
63857004238863;415620;0;100;-19200;0a8d84e96a
63857004238963;415754;0;100;-19202,4;0a8d84e96a
63857004238963;415754;0;100;-19202;0a8d84e96a
63857004239063;415820;0;100;-19201;0a8d84e96a
63857004239164;415954;0;100;-19199,2;0a8d84e96a
63857004239164;415954;0;100;-19197,2;0a8d84e96a
63857004239263;416020;0;100;-19197,6;0a8d84e96a
63857004239363;416154;0;100;-19199,4;0a8d84e96a
63857004239363;416154;0;100;-19198,4;0a8d84e96a
63857004239496;416220;0;100;-19198;0a8d84e96a
63857004239563;416354;0;100;-19199,4;0a8d84e96a
63857004239563;416354;0;100;-19199,8;0a8d84e96a
63857004239663;416420;0;100;-19201,4;0a8d84e96a
63857004239763;416554;0;100;-19202,8;0a8d84e96a
63857004239763;416554;0;100;-19205,8;0a8d84e96a
63857004239880;416620;0;100;-19207;0a8d84e96a
63857004239963;416754;0;100;-19207,6;0a8d84e96a
63857004239963;416754;0;100;-19207;0a8d84e96a
63857004240113;416820;0;100;-19207,2;0a8d84e96a
63857004240196;416953;0;100;-19208,4;0a8d84e96a
63857004240196;416953;0;100;-19207,6;0a8d84e96a
63857004240296;417087;0;100;-19207;0a8d84e96a
63857004240296;417087;0;100;-19207;0a8d84e96a
63857004240396;417153;0;100;-19204,6;0a8d84e96a
63857004240497;417287;0;100;-19206;0a8d84e96a
63857004240497;417287;0;100;-19205,6;0a8d84e96a
63857004240581;417353;0;100;-19205,2;0a8d84e96a
63857004240696;417487;0;100;-19205;0a8d84e96a
63857004240696;417487;0;100;-19204,4;0a8d84e96a
63857004240813;417553;0;100;-19205;0a8d84e96a
63857004240897;417687;0;100;-19207,6;0a8d84e96a
63857004240897;417687;0;100;-19206,6;0a8d84e96a
63857004240996;417753;0;100;-19209;0a8d84e96a
63857004241096;417887;0;100;-19210,6;0a8d84e96a
63857004241096;417887;0;100;-19211;0a8d84e96a
63857004241197;417953;0;100;-19210,2;0a8d84e96a
63857004241297;418087;0;100;-19210,6;0a8d84e96a
63857004241297;418087;0;100;-19209,4;0a8d84e96a
63857004241396;418153;0;100;-19209,2;0a8d84e96a
63857004241496;418287;0;100;-19210,6;0a8d84e96a
63857004241496;418287;0;100;-19209;0a8d84e96a
63857004241630;418353;0;100;-19208,8;0a8d84e96a
63857004241697;418487;0;100;-19209;0a8d84e96a
63857004241697;418487;0;100;-19209,6;0a8d84e96a
63857004241796;418553;0;100;-19209,2;0a8d84e96a
63857004241897;418687;0;100;-19207,4;0a8d84e96a
63857004241897;418687;0;100;-19207,8;0a8d84e96a
63857004242030;418753;0;100;-19208,2;0a8d84e96a
63857004242130;418887;0;100;-19208,4;0a8d84e96a
63857004242130;418887;0;100;-19208,2;0a8d84e96a
63857004242246;418953;0;100;-19208,6;0a8d84e96a
63857004242330;419087;0;100;-19207,2;0a8d84e96a
63857004242330;419087;0;100;-19207,4;0a8d84e96a
63857004242430;419220;0;100;-19207,8;0a8d84e96a
63857004242430;419220;0;100;-19207,8;0a8d84e96a
63857004242530;419287;0;100;-19206,8;0a8d84e96a
63857004242630;419420;0;100;-19208,2;0a8d84e96a
63857004242630;419420;0;100;-19208,4;0a8d84e96a
63857004242730;419487;0;100;-19208;0a8d84e96a
63857004242830;419620;0;100;-19208,4;0a8d84e96a
63857004242830;419620;0;100;-19208;0a8d84e96a
63857004242947;419687;0;100;-19207,2;0a8d84e96a
63857004243030;419820;0;100;-19209;0a8d84e96a
63857004243030;419820;0;100;-19207,2;0a8d84e96a
63857004243130;419886;0;100;-19207,6;0a8d84e96a
63857004243230;420020;0;100;-19207,8;0a8d84e96a
63857004243230;420020;0;100;-19208,2;0a8d84e96a
63857004243330;420086;0;100;-19208;0a8d84e96a
63857004243430;420220;0;100;-19209;0a8d84e96a
63857004243430;420220;0;100;-19207;0a8d84e96a
63857004243530;420286;0;100;-19207,2;0a8d84e96a
63857004243647;420420;0;100;-19207;0a8d84e96a
63857004243647;420420;0;100;-19207,8;0a8d84e96a
63857004243730;420486;0;100;-19208,4;0a8d84e96a
63857004243830;420620;0;100;-19209,4;0a8d84e96a
63857004243830;420620;0;100;-19208,6;0a8d84e96a
63857004243930;420687;0;100;-19209,4;0a8d84e96a
63857004244030;420820;0;100;-19208,4;0a8d84e96a
63857004244030;420820;0;100;-19209,4;0a8d84e96a
63857004244130;420887;0;100;-19209;0a8d84e96a
63857004244230;421020;0;100;-19209,6;0a8d84e96a
63857004244230;421020;0;100;-19209,2;0a8d84e96a
63857004244346;421086;0;100;-19210,2;0a8d84e96a
63857004244464;421220;0;100;-19210;0a8d84e96a
63857004244464;421220;0;100;-19210,6;0a8d84e96a
63857004244563;421286;0;100;-19211;0a8d84e96a
63857004244630;421420;0;100;-19212,4;0a8d84e96a
63857004244630;421420;0;100;-19211,4;0a8d84e96a
63857004244763;421553;0;100;-19211,8;0a8d84e96a
63857004244763;421553;0;100;-19211,6;0a8d84e96a
63857004244863;421620;0;100;-19213,6;0a8d84e96a
63857004244963;421753;0;100;-19213,8;0a8d84e96a
63857004244963;421753;0;100;-19212,6;0a8d84e96a
63857004245046;421820;0;100;-19213,6;0a8d84e96a
63857004245163;421953;0;100;-19216,2;0a8d84e96a
63857004245163;421953;0;100;-19215,2;0a8d84e96a
63857004245263;422020;0;100;-19215;0a8d84e96a
63857004245363;422153;0;100;-19215,2;0a8d84e96a
63857004245363;422153;0;100;-19216,6;0a8d84e96a
63857004245463;422220;0;100;-19216,8;0a8d84e96a
63857004245563;422353;0;100;-19217,6;0a8d84e96a
63857004245563;422353;0;100;-19218,4;0a8d84e96a
63857004245663;422420;0;100;-19219;0a8d84e96a
63857004245763;422553;0;100;-19218,2;0a8d84e96a
63857004245763;422553;0;100;-19218,2;0a8d84e96a
63857004245863;422620;0;100;-19217,8;0a8d84e96a
63857004245963;422753;0;100;-19216,8;0a8d84e96a
63857004245963;422753;0;100;-19218,6;0a8d84e96a
63857004246063;422820;0;100;-19220,4;0a8d84e96a
63857004246163;422953;0;100;-19221,4;0a8d84e96a
63857004246163;422953;0;100;-19223,2;0a8d84e96a
63857004246263;423020;0;100;-19222,6;0a8d84e96a
63857004246364;423153;0;100;-19225,2;0a8d84e96a
63857004246364;423153;0;100;-19224,2;0a8d84e96a
63857004246497;423286;0;100;-19224,6;0a8d84e96a
63857004246497;423286;0;100;-19224;0a8d84e96a
63857004246596;423353;0;100;-19223,6;0a8d84e96a
63857004246696;423486;0;100;-19223;0a8d84e96a
63857004246696;423486;0;100;-19223,6;0a8d84e96a
63857004246796;423553;0;100;-19221,8;0a8d84e96a
63857004246913;423686;0;100;-19222;0a8d84e96a
63857004246913;423686;0;100;-19221,8;0a8d84e96a
63857004246996;423753;0;100;-19221,8;0a8d84e96a
63857004247097;423886;0;100;-19223;0a8d84e96a
63857004247097;423886;0;100;-19223,2;0a8d84e96a
63857004247196;423953;0;100;-19222,4;0a8d84e96a
63857004247297;424086;0;100;-19223,8;0a8d84e96a
63857004247297;424086;0;100;-19222;0a8d84e96a
63857004247396;424153;0;100;-19222,2;0a8d84e96a
63857004247496;424286;0;100;-19223;0a8d84e96a
63857004247496;424286;0;100;-19222,2;0a8d84e96a
63857004247613;424353;0;100;-19221,8;0a8d84e96a
63857004247696;424486;0;100;-19223,4;0a8d84e96a
63857004247696;424486;0;100;-19218,6;0a8d84e96a
63857004247796;424553;0;100;-19213,8;0a8d84e96a
63857004247897;424686;0;100;-19209,4;0a8d84e96a
63857004247897;424686;0;100;-19208;0a8d84e96a
63857004247996;424753;0;100;-19206,6;0a8d84e96a
63857004248130;424886;0;100;-19206,4;0a8d84e96a
63857004248130;424886;0;100;-19204,2;0a8d84e96a
63857004248196;424953;0;100;-19205;0a8d84e96a
63857004248313;425086;0;100;-19205,2;0a8d84e96a
63857004248313;425086;0;100;-19204,2;0a8d84e96a
63857004248429;425219;0;100;-19201,2;0a8d84e96a
63857004248429;425219;0;100;-19201,4;0a8d84e96a
63857004248529;425286;0;100;-19200,4;0a8d84e96a
63857004248630;425419;0;100;-19201,8;0a8d84e96a
63857004248630;425419;0;100;-19202,6;0a8d84e96a
63857004248730;425486;0;100;-19200,4;0a8d84e96a
63857004248831;425619;0;100;-19202,2;0a8d84e96a
63857004248831;425619;0;100;-19204,2;0a8d84e96a
63857004248930;425686;0;100;-19205,8;0a8d84e96a
63857004249013;425819;0;100;-19207,2;0a8d84e96a
63857004249013;425819;0;100;-19203,4;0a8d84e96a
63857004249130;425886;0;100;-19196,8;0a8d84e96a
63857004249229;426019;0;100;-19184,2;0a8d84e96a
63857004249229;426019;0;100;-19178,4;0a8d84e96a
63857004249330;426086;0;100;-19178,6;0a8d84e96a
63857004249430;426219;0;100;-19181,4;0a8d84e96a
63857004249430;426219;0;100;-19186,4;0a8d84e96a
63857004249530;426286;0;100;-19186,8;0a8d84e96a
63857004249630;426419;0;100;-19186,8;0a8d84e96a
63857004249630;426419;0;100;-19185,6;0a8d84e96a
63857004249763;426486;0;100;-19183,8;0a8d84e96a
63857004249830;426619;0;100;-19183,2;0a8d84e96a
63857004249830;426619;0;100;-19182,6;0a8d84e96a
63857004249929;426686;0;100;-19182,8;0a8d84e96a
63857004250029;426819;0;100;-19182,4;0a8d84e96a
63857004250029;426819;0;100;-19184,4;0a8d84e96a
63857004250163;426886;0;100;-19184,8;0a8d84e96a
63857004250230;427019;0;100;-19186,4;0a8d84e96a
63857004250230;427019;0;100;-19186,2;0a8d84e96a
63857004250363;427086;0;100;-19188,4;0a8d84e96a
63857004250463;427219;0;100;-19191;0a8d84e96a
63857004250463;427219;0;100;-19193;0a8d84e96a
63857004250563;427352;0;100;-19196,6;0a8d84e96a
63857004250563;427352;0;100;-19200,8;0a8d84e96a
63857004250663;427419;0;100;-19203,8;0a8d84e96a
63857004250763;427552;0;100;-19210;0a8d84e96a
63857004250763;427552;0;100;-19213;0a8d84e96a
63857004250863;427619;0;100;-19217,6;0a8d84e96a
63857004250963;427752;0;100;-19220;0a8d84e96a
63857004250963;427752;0;100;-19225,8;0a8d84e96a
63857004251113;427819;0;100;-19232;0a8d84e96a
63857004251196;427952;0;100;-19237,4;0a8d84e96a
63857004251196;427952;0;100;-19240,2;0a8d84e96a
63857004251296;428019;0;100;-19242,6;0a8d84e96a
63857004251396;428152;0;100;-19240,6;0a8d84e96a
63857004251396;428152;0;100;-19236,2;0a8d84e96a
63857004251496;428286;0;100;-19234,6;0a8d84e96a
63857004251496;428286;0;100;-19239;0a8d84e96a
63857004251596;428352;0;100;-19243;0a8d84e96a
63857004251697;428486;0;100;-19240,6;0a8d84e96a
63857004251697;428486;0;100;-19237,2;0a8d84e96a
63857004251813;428552;0;100;-19236,8;0a8d84e96a
63857004251896;428686;0;100;-19236,6;0a8d84e96a
63857004251896;428686;0;100;-19235,6;0a8d84e96a
63857004251996;428752;0;100;-19231,4;0a8d84e96a
63857004252096;428886;0;100;-19230,8;0a8d84e96a
63857004252096;428886;0;100;-19230,6;0a8d84e96a
63857004252196;428952;0;100;-19233,2;0a8d84e96a
63857004252297;429086;0;100;-19233;0a8d84e96a
63857004252297;429086;0;100;-19235;0a8d84e96a
63857004252396;429152;0;100;-19236,6;0a8d84e96a
63857004252513;429286;0;100;-19239,2;0a8d84e96a
63857004252513;429286;0;100;-19238,8;0a8d84e96a
63857004252630;429352;0;100;-19238,8;0a8d84e96a
63857004252696;429486;0;100;-19237;0a8d84e96a
63857004252696;429486;0;100;-19237,6;0a8d84e96a
63857004252829;429552;0;100;-19239,4;0a8d84e96a
63857004252896;429685;0;100;-19238,6;0a8d84e96a
63857004252896;429685;0;100;-19236,4;0a8d84e96a
63857004252996;429752;0;100;-19237;0a8d84e96a
63857004253164;429886;0;100;-19236,6;0a8d84e96a
63857004253164;429886;0;100;-19236,2;0a8d84e96a
63857004253213;429952;0;100;-19236,2;0a8d84e96a
63857004253296;430085;0;100;-19236,6;0a8d84e96a
63857004253296;430085;0;100;-19236,8;0a8d84e96a
63857004253430;430219;0;100;-19236,8;0a8d84e96a
63857004253430;430219;0;100;-19236,4;0a8d84e96a
63857004253529;430285;0;100;-19237;0a8d84e96a
63857004253630;430419;0;100;-19235,6;0a8d84e96a
63857004253630;430419;0;100;-19234,2;0a8d84e96a
63857004253729;430485;0;100;-19233,6;0a8d84e96a
63857004253830;430619;0;100;-19234,6;0a8d84e96a
63857004253830;430619;0;100;-19232,2;0a8d84e96a
63857004253913;430685;0;100;-19232,8;0a8d84e96a
63857004254030;430819;0;100;-19234,2;0a8d84e96a
63857004254030;430819;0;100;-19234,4;0a8d84e96a
63857004254146;430886;0;100;-19233,6;0a8d84e96a
63857004254230;431019;0;100;-19234,6;0a8d84e96a
63857004254230;431019;0;100;-19233,8;0a8d84e96a
63857004254329;431085;0;100;-19233,6;0a8d84e96a
63857004254430;431219;0;100;-19233,4;0a8d84e96a
63857004254430;431219;0;100;-19229;0a8d84e96a
63857004254529;431285;0;100;-19226;0a8d84e96a
63857004254630;431419;0;100;-19223,8;0a8d84e96a
63857004254630;431419;0;100;-19219,6;0a8d84e96a
63857004254730;431485;0;100;-19217,4;0a8d84e96a
63857004254846;431619;0;100;-19217,6;0a8d84e96a
63857004254846;431619;0;100;-19218;0a8d84e96a
63857004254929;431685;0;100;-19217,6;0a8d84e96a
63857004255030;431819;0;100;-19217,2;0a8d84e96a
63857004255030;431819;0;100;-19218,8;0a8d84e96a
63857004255129;431885;0;100;-19220;0a8d84e96a
63857004255229;432019;0;100;-19224,4;0a8d84e96a
63857004255229;432019;0;100;-19227,4;0a8d84e96a
63857004255363;432085;0;100;-19230,2;0a8d84e96a
63857004255463;432219;0;100;-19229;0a8d84e96a
63857004255463;432219;0;100;-19230;0a8d84e96a
63857004255563;432352;0;100;-19230;0a8d84e96a
63857004255563;432352;0;100;-19231,2;0a8d84e96a
63857004255663;432419;0;100;-19231,8;0a8d84e96a
63857004255763;432552;0;100;-19231,6;0a8d84e96a
63857004255763;432552;0;100;-19231,2;0a8d84e96a
63857004255863;432619;0;100;-19231,4;0a8d84e96a
63857004255963;432752;0;100;-19234,6;0a8d84e96a
63857004255963;432752;0;100;-19233,6;0a8d84e96a
63857004256063;432819;0;100;-19232;0a8d84e96a
63857004256163;432952;0;100;-19231,4;0a8d84e96a
63857004256163;432952;0;100;-19230;0a8d84e96a
63857004256263;433019;0;100;-19226,4;0a8d84e96a
63857004256363;433152;0;100;-19225,6;0a8d84e96a
63857004256363;433152;0;100;-19223,2;0a8d84e96a
63857004256463;433219;0;100;-19223,6;0a8d84e96a
63857004256563;433352;0;100;-19223,8;0a8d84e96a
63857004256563;433352;0;100;-19227;0a8d84e96a
63857004256696;433419;0;100;-19228,4;0a8d84e96a
