Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63857004251396;427486;0;100;0,292894;0a8d84e96a
63857004251697;428286;0;100;0,03871;0a8d84e96a
63857004261296;437485;0;100;0,209975;0a8d84e96a
63857004262129;438685;0;100;0,016705;0a8d84e96a
63857004266763;443351;0;100;0,02021;0a8d84e96a
63857004271563;448084;0;100;0,009316;0a8d84e96a
63857004277762;453884;0;100;0,179407;0a8d84e96a
63857004278358;454950;0;100;0,040825;0a8d84e96a
63857004278559;455216;0;100;0,038378;0a8d84e96a
63857004278992;455416;0;100;0,082066;0a8d84e96a
63857004279109;455750;0;100;0,023148;0a8d84e96a
63857004286524;462816;0;100;0,099056;0a8d84e96a
63857004286722;463349;0;100;0,011413;0a8d84e96a
63857004286930;463549;0;100;0,023149;0a8d84e96a
63857004288063;464149;0;100;0,196826;0a8d84e96a
63857004288443;465083;0;100;0,022544;0a8d84e96a
63857004299389;475748;1;100;0,10619;0a8d84e96a
63857004308629;485080;1;100;0,008099;0a8d84e96a
63857004314528;490879;1;100;0,075669;0a8d84e96a
63857004317795;493813;1;100;0,269258;0a8d84e96a
63857004318405;494879;1;100;0,071532;0a8d84e96a
63857004323329;499546;1;100;0,11425;0a8d84e96a
63857004332162;508544;1;100;0,249099;0a8d84e96a
63857004333492;509744;1;100;0,120238;0a8d84e96a
63857004334427;510811;1;100;0,109731;0a8d84e96a
63857004353226;529809;1;100;0,02117;0a8d84e96a
63857004358305;534876;1;100;0,018194;0a8d84e96a
63857004358492;535142;1;100;0,039875;0a8d84e96a
63857004365187;541674;1;100;0,041543;0a8d84e96a
63857004369762;546340;1;100;0,009251;0a8d84e96a
63857004381021;557340;-1;100;0,097729;0a8d84e96a
63857004431093;607468;2;100;0,430464;0a8d84e96a
63857004438993;615601;2;100;0,00667;0a8d84e96a
63857004464335;640998;2;100;0,00913;0a8d84e96a
63857004542757;719390;4;100;0,012952;0a8d84e96a
63857004642638;819180;5;100;0,012827;0a8d84e96a
63857004665155;841511;5;100;0,141828;0a8d84e96a
63857004667668;844244;5;100;0,022498;0a8d84e96a
63857004667989;844644;5;100;0,007664;0a8d84e96a
63857004673151;849643;-5;100;0,04022;0a8d84e96a
63857004685550;862176;6;100;0,011693;0a8d84e96a
63857004771269;947901;7;100;0,005626;0a8d84e96a
63857004808192;984563;7;100;0,066955;0a8d84e96a
63857004845958;1022493;-7;100;0,026649;0a8d84e96a
63857004846361;1023026;-7;100;0,016005;0a8d84e96a
63857004846569;1023226;-7;100;0,013792;0a8d84e96a
63857004846857;1023426;-7;100;0,016377;0a8d84e96a
63857004859318;1035758;8;100;0,033468;0a8d84e96a
63857004876702;1053224;8;100;0,020488;0a8d84e96a
63857004889817;1066356;8;100;0,013958;0a8d84e96a
63857004890029;1066622;8;100;0,011929;0a8d84e96a
63857004902501;1078821;8;100;0,039055;0a8d84e96a
63857004912567;1088820;8;100;0,081112;0a8d84e96a
63857004924863;1101352;8;100;0,034674;0a8d84e96a
63857004935201;1111285;8;100;0,147532;0a8d84e96a
63857004941434;1118017;-8;100;0,007989;0a8d84e96a
63857004941667;1118283;-8;100;0,020132;0a8d84e96a
63857004942167;1118750;-8;100;0,002073;0a8d84e96a
63857004942467;1119084;-8;100;0,014682;0a8d84e96a
63857004946367;1122883;-8;100;0,023702;0a8d84e96a
63857004946567;1123149;-8;100;0,026058;0a8d84e96a
