Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857004251396;427486;0;100;0,533333;0a8d84e96a
63857004251697;428286;0;100;0,066667;0a8d84e96a
63857004261296;437485;0;100;0,533333;0a8d84e96a
63857004262129;438685;0;100;0,066667;0a8d84e96a
63857004266763;443351;0;100;0,133333;0a8d84e96a
63857004271563;448084;0;100;0,133333;0a8d84e96a
63857004277762;453884;0;100;0,533333;0a8d84e96a
63857004278358;454950;0;100;0,133333;0a8d84e96a
63857004278559;455216;0;100;0,066667;0a8d84e96a
63857004278992;455416;0;100;0,2;0a8d84e96a
63857004279109;455750;0;100;0,066667;0a8d84e96a
63857004286524;462816;0;100;0,4;0a8d84e96a
63857004286722;463349;0;100;0,066667;0a8d84e96a
63857004286930;463549;0;100;0,066667;0a8d84e96a
63857004288063;464149;0;100;0,533333;0a8d84e96a
63857004288443;465083;0;100;0,066667;0a8d84e96a
63857004299389;475748;1;100;0,333333;0a8d84e96a
63857004308629;485080;1;100;0,266667;0a8d84e96a
63857004314528;490879;1;100;0,333333;0a8d84e96a
63857004317796;493813;1;100;0,666667;0a8d84e96a
63857004318405;494879;1;100;0,2;0a8d84e96a
63857004323329;499546;1;100;0,466667;0a8d84e96a
63857004332162;508544;1;100;0,333333;0a8d84e96a
63857004333492;509744;1;100;0,4;0a8d84e96a
63857004334427;510811;1;100;0,266667;0a8d84e96a
63857004353226;529809;1;100;0,133333;0a8d84e96a
63857004358305;534876;1;100;0,133333;0a8d84e96a
63857004358492;535142;1;100;0,066667;0a8d84e96a
63857004365187;541674;1;100;0,2;0a8d84e96a
63857004369762;546340;1;100;0,066667;0a8d84e96a
63857004381021;557340;-1;100;0,333333;0a8d84e96a
63857004431093;607468;2;100;0,266667;0a8d84e96a
63857004438993;615601;2;100;0,066667;0a8d84e96a
63857004464335;640998;2;100;0,066667;0a8d84e96a
63857004542758;719390;4;100;0,066667;0a8d84e96a
63857004642638;819180;5;100;0,2;0a8d84e96a
63857004665155;841511;5;100;0,333333;0a8d84e96a
63857004667668;844244;5;100;0,133333;0a8d84e96a
63857004667989;844644;5;100;0,066667;0a8d84e96a
63857004673151;849643;-5;100;0,2;0a8d84e96a
63857004685550;862176;6;100;0,066667;0a8d84e96a
63857004771269;947901;7;100;0,066667;0a8d84e96a
63857004808192;984563;7;100;0,333333;0a8d84e96a
63857004845958;1022493;-7;100;0,133333;0a8d84e96a
63857004846361;1023026;-7;100;0,066667;0a8d84e96a
63857004846569;1023226;-7;100;0,066667;0a8d84e96a
63857004846857;1023426;-7;100;0,133333;0a8d84e96a
63857004859318;1035758;8;100;0,2;0a8d84e96a
63857004876702;1053224;8;100;0,2;0a8d84e96a
63857004889817;1066356;8;100;0,133333;0a8d84e96a
63857004890029;1066622;8;100;0,133333;0a8d84e96a
63857004902501;1078821;8;100;0,333333;0a8d84e96a
63857004912567;1088820;8;100;0,4;0a8d84e96a
63857004924863;1101352;8;100;0,2;0a8d84e96a
63857004935201;1111285;8;100;0,6;0a8d84e96a
63857004941434;1118017;-8;100;0,133333;0a8d84e96a
63857004941667;1118283;-8;100;0,066667;0a8d84e96a
63857004942167;1118750;-8;100;0,066667;0a8d84e96a
63857004942467;1119084;-8;100;0,066667;0a8d84e96a
63857004946367;1122883;-8;100;0,133333;0a8d84e96a
63857004946567;1123149;-8;100;0,133333;0a8d84e96a
