Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857162068977;336409;0;100;-19506;0c8862eb19
63857162068977;336409;0;100;-19506,4;0c8862eb19
63857162069111;336476;0;100;-19506;0c8862eb19
63857162069180;336609;0;100;-19506,6;0c8862eb19
63857162069180;336609;0;100;-19506,2;0c8862eb19
63857162069278;336676;0;100;-19507;0c8862eb19
63857162069414;336809;0;100;-19504,8;0c8862eb19
63857162069414;336809;0;100;-19504;0c8862eb19
63857162069511;336876;0;100;-19504,4;0c8862eb19
63857162069612;337009;0;100;-19504,6;0c8862eb19
63857162069612;337009;0;100;-19503,8;0c8862eb19
63857162069711;337076;0;100;-19503,8;0c8862eb19
63857162069812;337209;0;100;-19503,8;0c8862eb19
63857162069812;337209;0;100;-19504,4;0c8862eb19
63857162069911;337342;0;100;-19504,4;0c8862eb19
63857162069911;337342;0;100;-19505,4;0c8862eb19
63857162070012;337409;0;100;-19503,4;0c8862eb19
63857162070113;337542;0;100;-19503,2;0c8862eb19
63857162070113;337542;0;100;-19504,8;0c8862eb19
63857162070211;337609;0;100;-19503,6;0c8862eb19
63857162070311;337742;0;100;-19503,8;0c8862eb19
63857162070311;337742;0;100;-19505;0c8862eb19
63857162070412;337809;0;100;-19504,4;0c8862eb19
63857162070511;337942;0;100;-19504,8;0c8862eb19
63857162070511;337942;0;100;-19505,2;0c8862eb19
63857162070611;338009;0;100;-19505,4;0c8862eb19
63857162070711;338142;0;100;-19505,6;0c8862eb19
63857162070711;338142;0;100;-19505,4;0c8862eb19
63857162070827;338209;0;100;-19505,4;0c8862eb19
63857162070911;338342;0;100;-19505,8;0c8862eb19
63857162070911;338342;0;100;-19505,8;0c8862eb19
63857162071046;338409;0;100;-19506,4;0c8862eb19
63857162071145;338542;0;100;-19506,6;0c8862eb19
63857162071145;338542;0;100;-19506,2;0c8862eb19
63857162071245;338609;0;100;-19506,2;0c8862eb19
63857162071445;338876;0;100;-19506,4;0c8862eb19
63857162071445;338876;0;100;-19506;0c8862eb19
63857162071445;338876;0;100;-19505,4;0c8862eb19
63857162071445;338876;0;100;-19503,4;0c8862eb19
63857162071528;338942;0;100;-19503;0c8862eb19
63857162071644;339076;0;100;-19505,8;0c8862eb19
63857162071644;339076;0;100;-19504,8;0c8862eb19
63857162071761;339142;0;100;-19504;0c8862eb19
63857162071845;339276;0;100;-19504,4;0c8862eb19
63857162071845;339276;0;100;-19504,4;0c8862eb19
63857162071945;339342;0;100;-19504;0c8862eb19
63857162072045;339476;0;100;-19505;0c8862eb19
63857162072045;339476;0;100;-19504,2;0c8862eb19
63857162072145;339542;0;100;-19504;0c8862eb19
63857162072245;339676;0;100;-19505;0c8862eb19
63857162072245;339676;0;100;-19503,8;0c8862eb19
63857162072344;339742;0;100;-19504;0c8862eb19
63857162072462;339876;0;100;-19504,8;0c8862eb19
63857162072462;339876;0;100;-19504,2;0c8862eb19
63857162072578;339942;0;100;-19504,4;0c8862eb19
63857162072695;340076;0;100;-19504,4;0c8862eb19
63857162072695;340076;0;100;-19503,2;0c8862eb19
63857162072745;340142;0;100;-19504;0c8862eb19
63857162072878;340275;0;100;-19504,8;0c8862eb19
63857162072878;340275;0;100;-19504,4;0c8862eb19
63857162072961;340342;0;100;-19504,4;0c8862eb19
63857162073078;340475;0;100;-19505,6;0c8862eb19
63857162073078;340475;0;100;-19505,4;0c8862eb19
63857162073178;340609;0;100;-19505,2;0c8862eb19
63857162073178;340609;0;100;-19505;0c8862eb19
63857162073278;340675;0;100;-19505;0c8862eb19
63857162073395;340809;0;100;-19504,4;0c8862eb19
63857162073395;340809;0;100;-19504,8;0c8862eb19
63857162073478;340875;0;100;-19504;0c8862eb19
63857162073578;341009;0;100;-19504,2;0c8862eb19
63857162073578;341009;0;100;-19503,4;0c8862eb19
63857162073677;341075;0;100;-19503,8;0c8862eb19
63857162073777;341209;0;100;-19504;0c8862eb19
63857162073777;341209;0;100;-19504,2;0c8862eb19
63857162073878;341275;0;100;-19503,8;0c8862eb19
63857162073978;341409;0;100;-19503,8;0c8862eb19
63857162073978;341409;0;100;-19503,6;0c8862eb19
63857162074081;341475;0;100;-19502,8;0c8862eb19
63857162074178;341609;0;100;-19502;0c8862eb19
63857162074178;341609;0;100;-19502,8;0c8862eb19
63857162074328;341675;0;100;-19502,2;0c8862eb19
63857162074412;341809;0;100;-19501;0c8862eb19
63857162074412;341809;0;100;-19500;0c8862eb19
63857162074477;341875;0;100;-19499,8;0c8862eb19
63857162074578;342009;0;100;-19500,6;0c8862eb19
63857162074578;342009;0;100;-19502;0c8862eb19
63857162074711;342075;0;100;-19503;0c8862eb19
63857162074780;342209;0;100;-19503,8;0c8862eb19
63857162074780;342209;0;100;-19504,2;0c8862eb19
63857162074911;342275;0;100;-19506;0c8862eb19
63857162075013;342409;0;100;-19505,8;0c8862eb19
63857162075013;342409;0;100;-19505;0c8862eb19
63857162075111;342542;0;100;-19505,8;0c8862eb19
63857162075111;342542;0;100;-19506,6;0c8862eb19
63857162075211;342609;0;100;-19505,6;0c8862eb19
63857162075311;342742;0;100;-19506,2;0c8862eb19
63857162075311;342742;0;100;-19506,8;0c8862eb19
63857162075411;342809;0;100;-19505,8;0c8862eb19
63857162075511;342942;0;100;-19505,8;0c8862eb19
63857162075511;342942;0;100;-19505,4;0c8862eb19
63857162075645;343009;0;100;-19505,2;0c8862eb19
63857162075713;343142;0;100;-19505,6;0c8862eb19
63857162075713;343142;0;100;-19505,8;0c8862eb19
63857162075811;343209;0;100;-19505,2;0c8862eb19
63857162075911;343342;0;100;-19505,2;0c8862eb19
63857162075911;343342;0;100;-19504,8;0c8862eb19
63857162076012;343409;0;100;-19504,4;0c8862eb19
63857162076111;343542;0;100;-19504,8;0c8862eb19
63857162076111;343542;0;100;-19504,6;0c8862eb19
63857162076211;343609;0;100;-19504,4;0c8862eb19
63857162076311;343742;0;100;-19504,6;0c8862eb19
63857162076311;343742;0;100;-19504,2;0c8862eb19
63857162076427;343809;0;100;-19504,2;0c8862eb19
63857162076577;344008;0;100;-19504,6;0c8862eb19
63857162076577;344008;0;100;-19504,2;0c8862eb19
63857162076577;344008;0;100;-19504,4;0c8862eb19
