Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63857162193926;460797;1;100;0,573962;0c8862eb19
63857162216275;483395;1;100;0,148999;0c8862eb19
63857162271707;538856;2;100;0,01514;0c8862eb19
63857162300080;567319;2;100;0,07626;0c8862eb19
63857162336838;603849;3;100;0,090962;0c8862eb19
63857162349658;616848;3;100;0,046875;0c8862eb19
63857162501903;768766;5;100;0,279051;0c8862eb19
63857162505120;772299;5;100;0,047946;0c8862eb19
63857162505434;772699;5;100;0,032381;0c8862eb19
63857162507886;775033;5;100;0,0437;0c8862eb19
63857162508096;775366;5;100;0,017777;0c8862eb19
63857162512162;778899;-5;100;1,72367;0c8862eb19
63857162537519;804096;6;100;0,208044;0c8862eb19
63857162538253;805363;6;100;0,380198;0c8862eb19
63857162541336;808429;6;100;0,068339;0c8862eb19
63857162541623;808763;6;100;0,193559;0c8862eb19
63857162541920;809229;6;100;0,034189;0c8862eb19
63857162545153;812296;6;100;0,004315;0c8862eb19
63857162547860;814961;6;100;0,126181;0c8862eb19
63857162555395;822294;6;100;0,128401;0c8862eb19
63857162567500;834560;6;100;0,026412;0c8862eb19
63857162570529;837626;6;100;0,107481;0c8862eb19
63857162575319;842492;6;100;0,034513;0c8862eb19
63857162575835;842759;6;100;0,13343;0c8862eb19
63857162579994;847225;6;100;0,01969;0c8862eb19
63857162584465;851625;6;100;0,06568;0c8862eb19
63857162593101;860290;6;100;0,004337;0c8862eb19
63857162623134;890288;7;100;0,007646;0c8862eb19
63857162630668;897687;7;100;0,072474;0c8862eb19
63857162635727;902686;7;100;0,156288;0c8862eb19
63857162638886;906019;7;100;0,040633;0c8862eb19
63857162640401;907619;7;100;0,014742;0c8862eb19
63857162644950;912085;7;100;0,006902;0c8862eb19
63857162672999;939950;7;100;0,200101;0c8862eb19
63857162675933;943149;7;100;0,040017;0c8862eb19
63857162681229;948348;7;100;0,274319;0c8862eb19
63857162683762;950881;7;100;0,064018;0c8862eb19
63857162688525;955547;7;100;0,241382;0c8862eb19
63857162701999;969213;7;100;0,014165;0c8862eb19
63857162704266;971479;7;100;0,068076;0c8862eb19
63857162720317;987211;8;100;0,101866;0c8862eb19
63857162732385;999343;8;100;0,514619;0c8862eb19
63857162735132;1002409;8;100;0,006619;0c8862eb19
63857162745865;1013075;8;100;0,006338;0c8862eb19
63857162747186;1014342;8;100;0,030813;0c8862eb19
63857162765384;1032606;8;100;0,025102;0c8862eb19
63857162765586;1032873;8;100;0,036342;0c8862eb19
63857162777865;1045139;8;100;0,013688;0c8862eb19
63857162778064;1045339;8;100;0,034623;0c8862eb19
63857162778389;1045672;8;100;0,031775;0c8862eb19
63857162778831;1045939;8;100;0,089256;0c8862eb19
63857162789191;1056337;8;100;0,025906;0c8862eb19
63857162789394;1056604;8;100;0,029227;0c8862eb19
63857162794924;1062071;8;100;0,028488;0c8862eb19
