Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63857162069180;336609;0;100;0,0001;0c8862eb19
63857162069511;336876;0;100;0,0001;0c8862eb19
63857162069811;337209;0;100;0,0001;0c8862eb19
63857162070113;337542;0;100;0,0001;0c8862eb19
63857162070511;337942;0;100;0,0001;0c8862eb19
63857162070827;338209;0;100;0,0001;0c8862eb19
63857162071145;338542;0;100;0,0001;0c8862eb19
63857162071445;338876;0;100;0,0001;0c8862eb19
63857162071845;339276;0;100;0,0001;0c8862eb19
63857162072145;339542;0;100;0,0001;0c8862eb19
63857162072461;339876;0;100;0,0001;0c8862eb19
63857162072877;340275;0;100;0,0001;0c8862eb19
63857162073178;340609;0;100;0,0001;0c8862eb19
63857162073478;340875;0;100;0,0001;0c8862eb19
63857162073777;341209;0;100;0,0001;0c8862eb19
63857162074177;341609;0;100;0,0001;0c8862eb19
63857162074477;341875;0;100;0,0001;0c8862eb19
63857162074780;342209;0;100;0,0001;0c8862eb19
63857162075111;342542;0;100;0,0001;0c8862eb19
63857162075511;342942;0;100;0,0001;0c8862eb19
63857162075811;343209;0;100;0,0001;0c8862eb19
63857162076111;343542;0;100;0,0001;0c8862eb19
63857162076577;344008;0;100;0,0001;0c8862eb19
63857162076777;344208;0;100;0,0001;0c8862eb19
63857162077177;344608;0;100;0,0001;0c8862eb19
63857162077511;344875;0;100;0,0001;0c8862eb19
63857162077813;345208;0;100;0,0001;0c8862eb19
63857162078111;345542;0;100;0,0001;0c8862eb19
63857162078513;345942;0;100;0,0001;0c8862eb19
63857162078812;346208;0;100;0,0001;0c8862eb19
63857162079144;346542;0;100;0,0001;0c8862eb19
63857162079545;346941;0;100;0,0001;0c8862eb19
63857162079844;347275;0;100;0,0001;0c8862eb19
63857162080161;347541;0;100;0,0001;0c8862eb19
63857162080445;347875;0;100;0,0001;0c8862eb19
63857162080862;348275;0;100;0,0001;0c8862eb19
63857162081144;348541;0;100;0,0001;0c8862eb19
63857162081478;348875;0;100;0,0001;0c8862eb19
63857162081811;349208;0;100;0,0001;0c8862eb19
63857162082177;349608;0;100;0,0001;0c8862eb19
63857162082479;349875;0;100;0,0001;0c8862eb19
63857162082777;350208;0;100;0,0001;0c8862eb19
63857162083179;350608;0;100;0,0001;0c8862eb19
63857162083511;350875;0;100;0,0001;0c8862eb19
63857162083811;351208;0;100;0,0001;0c8862eb19
63857162084112;351541;0;100;0,0001;0c8862eb19
63857162084511;351941;0;100;0,0001;0c8862eb19
63857162084827;352208;0;100;0,0001;0c8862eb19
63857162085111;352541;0;100;0,0001;0c8862eb19
63857162085528;352941;0;100;0,0001;0c8862eb19
63857162085844;353208;0;100;0,0001;0c8862eb19
63857162086144;353541;0;100;0,0001;0c8862eb19
63857162086461;353874;0;100;0,0001;0c8862eb19
63857162086844;354207;0;100;0,0001;0c8862eb19
63857162087146;354541;0;100;0,0001;0c8862eb19
63857162087444;354874;0;100;0;0c8862eb19
63857162087846;355274;0;100;0;0c8862eb19
63857162088145;355541;0;100;0;0c8862eb19
63857162088444;355874;0;100;0;0c8862eb19
63857162088844;356274;0;100;0;0c8862eb19
63857162089178;356541;0;100;0;0c8862eb19
63857162089494;356874;0;100;0;0c8862eb19
63857162089777;357207;0;100;0;0c8862eb19
63857162090195;357607;0;100;0;0c8862eb19
63857162090477;357874;0;100;0;0c8862eb19
63857162090811;358207;0;100;0;0c8862eb19
63857162091177;358607;0;100;0;0c8862eb19
63857162091511;358874;0;100;0;0c8862eb19
63857162091795;359207;0;100;0;0c8862eb19
63857162092177;359540;0;100;0;0c8862eb19
63857162092480;359874;0;100;0;0c8862eb19
63857162092777;360207;0;100;0;0c8862eb19
63857162093180;360607;0;100;0;0c8862eb19
63857162093511;360874;0;100;0;0c8862eb19
63857162093777;361207;0;100;0;0c8862eb19
63857162094211;361607;0;100;0;0c8862eb19
63857162094511;361940;0;100;0;0c8862eb19
63857162094827;362207;0;100;0;0c8862eb19
63857162095111;362540;0;100;0;0c8862eb19
63857162095527;362940;0;100;0;0c8862eb19
63857162095811;363207;0;100;0;0c8862eb19
63857162096144;363540;0;100;0;0c8862eb19
63857162096461;363873;0;100;0;0c8862eb19
63857162096844;364273;0;100;0;0c8862eb19
63857162097111;364540;0;100;0;0c8862eb19
63857162097511;364940;0;100;0;0c8862eb19
63857162097811;365206;0;100;0;0c8862eb19
63857162098127;365540;0;100;0;0c8862eb19
63857162098511;365940;0;100;0;0c8862eb19
63857162098827;366206;0;100;0;0c8862eb19
63857162099144;366540;0;100;0;0c8862eb19
63857162099444;366873;0;100;0;0c8862eb19
63857162099844;367273;0;100;0;0c8862eb19
63857162100144;367539;0;100;0;0c8862eb19
63857162100510;367873;0;100;0;0c8862eb19
63857162100844;368273;0;100;0;0c8862eb19
63857162101177;368539;0;100;0;0c8862eb19
63857162101477;368873;0;100;0;0c8862eb19
63857162101777;369206;0;100;0;0c8862eb19
63857162102244;369606;0;100;0;0c8862eb19
63857162102513;369939;0;100;0;0c8862eb19
63857162102844;370273;0;100;0;0c8862eb19
63857162103144;370539;0;100;0;0c8862eb19
63857162103447;370873;0;100;0;0c8862eb19
63857162103844;371272;0;100;0;0c8862eb19
63857162104161;371606;0;100;0;0c8862eb19
63857162104477;371872;0;100;0;0c8862eb19
63857162104777;372206;0;100;0;0c8862eb19
63857162105177;372606;0;100;0;0c8862eb19
63857162105477;372872;0;100;0;0c8862eb19
63857162105794;373206;0;100;0;0c8862eb19
63857162106211;373605;0;100;0;0c8862eb19
63857162106494;373939;0;100;0;0c8862eb19
63857162106811;374205;0;100;0;0c8862eb19
63857162107144;374539;0;100;0;0c8862eb19
63857162107477;374872;0;100;0;0c8862eb19
63857162107777;375205;0;100;0;0c8862eb19
63857162108177;375605;0;100;0;0c8862eb19
63857162108477;375872;0;100;0;0c8862eb19
63857162108777;376205;0;100;0;0c8862eb19
63857162109211;376605;0;100;0;0c8862eb19
63857162109527;376938;0;100;0;0c8862eb19
63857162109794;377205;0;100;0;0c8862eb19
63857162110110;377538;0;100;0;0c8862eb19
63857162110510;377938;0;100;0;0c8862eb19
63857162110844;378205;0;100;0;0c8862eb19
63857162111146;378538;0;100;0;0c8862eb19
63857162111427;378872;0;100;0;0c8862eb19
63857162111847;379272;0;100;0;0c8862eb19
63857162112144;379538;0;100;0;0c8862eb19
63857162112511;379938;0;100;0;0c8862eb19
63857162112827;380205;0;100;0;0c8862eb19
63857162113111;380538;0;100;0;0c8862eb19
63857162113527;380938;0;100;0;0c8862eb19
63857162113810;381205;0;100;0;0c8862eb19
63857162114144;381538;0;100;0;0c8862eb19
63857162114510;381938;0;100;0;0c8862eb19
63857162114844;382205;0;100;0;0c8862eb19
63857162115144;382538;0;100;0;0c8862eb19
63857162115444;382871;0;100;0;0c8862eb19
63857162115845;383271;0;100;0;0c8862eb19
63857162116144;383538;0;100;0;0c8862eb19
63857162116444;383871;0;100;0;0c8862eb19
63857162116844;384271;0;100;0;0c8862eb19
63857162117144;384538;0;100;0;0c8862eb19
63857162117494;384871;0;100;0;0c8862eb19
63857162117811;385204;0;100;0;0c8862eb19
63857162118160;385538;0;100;0;0c8862eb19
63857162118443;385871;0;100;0;0c8862eb19
63857162118861;386271;0;100;0;0c8862eb19
