Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63857168894918;423228;0;100;4600;192cedabcf
63857168895318;423662;0;100;430;192cedabcf
63857168896950;425288;0;100;1600;192cedabcf
63857168897251;425585;0;100;300;192cedabcf
63857168898284;426565;0;100;960;192cedabcf
63857168899484;427815;0;100;1240;192cedabcf
63857168900184;428511;0;100;680;192cedabcf
63857168901117;429451;0;100;930;192cedabcf
63857168902950;431234;0;100;1760;192cedabcf
63857168910150;438457;0;100;7140;192cedabcf
63857168913750;442053;0;100;3110;192cedabcf
63857168915684;444033;0;100;1950;192cedabcf
63857168916117;444456;0;100;420;192cedabcf
63857168917317;445620;0;100;1150;192cedabcf
63857168917917;446213;0;100;580;192cedabcf
63857168918550;446816;0;100;600;192cedabcf
63857168919050;447336;0;100;510;192cedabcf
63857168921784;450059;0;100;2690;192cedabcf
63857168921983;450309;0;100;250;192cedabcf
63857168922717;451019;0;100;700;192cedabcf
63857168924217;452529;0;100;1490;192cedabcf
63857168924950;453296;0;100;760;192cedabcf
63857168928584;456949;0;100;3610;192cedabcf
63857168929517;457808;0;100;840;192cedabcf
63857168930217;458575;0;100;760;192cedabcf
63857168932450;460781;0;100;2180;192cedabcf
63857168936017;464301;0;100;3470;192cedabcf
63857168938850;467154;0;100;2820;192cedabcf
63857168941716;470020;0;100;2830;192cedabcf
63857168942450;470687;0;100;660;192cedabcf
63857168944682;472824;0;100;2110;192cedabcf
63857168945675;473937;0;100;1100;192cedabcf
63857168947740;476083;0;100;2120;192cedabcf
63857168954250;482573;0;100;6410;192cedabcf
63857168955984;484306;0;100;1710;192cedabcf
63857168957215;485539;0;100;1220;192cedabcf
63857168958850;487155;0;100;1590;192cedabcf
63857168960150;488456;0;100;1290;192cedabcf
63857168960750;489039;0;100;570;192cedabcf
63857168962784;491125;0;100;2060;192cedabcf
63857168965519;493851;0;100;2690;192cedabcf
63857168966049;494318;0;100;460;192cedabcf
63857168967151;495465;0;100;1140;192cedabcf
63857168968884;497188;0;100;1700;192cedabcf
63857168971917;500231;0;100;3000;192cedabcf
63857168973748;502057;0;100;1810;192cedabcf
63857168974477;502774;0;100;700;192cedabcf
63857168975082;503377;0;100;600;192cedabcf
63857168976983;505304;0;100;1900;192cedabcf
63857168978316;506634;0;100;1320;192cedabcf
63857168980149;508470;0;100;1810;192cedabcf
63857168981516;509867;0;100;1380;192cedabcf
63857168982746;511020;0;100;1140;192cedabcf
63857168983850;512200;0;100;1160;192cedabcf
63857168984550;512896;0;100;690;192cedabcf
63857168985483;513746;0;100;840;192cedabcf
63857168987216;515519;0;100;1750;192cedabcf
63857168987820;516129;0;100;600;192cedabcf
63857168989549;517892;0;100;1740;192cedabcf
63857168990882;519182;0;100;1280;192cedabcf
63857168992083;520435;0;100;1230;192cedabcf
63857168993210;521525;1;100;1080;192cedabcf
63857168994416;522698;1;100;1160;192cedabcf
63857168995546;523818;1;100;1100;192cedabcf
63857169002016;530394;1;100;6500;192cedabcf
63857169002420;530704;1;100;300;192cedabcf
63857169003595;531881;1;100;1170;192cedabcf
63857169007349;535661;1;100;3730;192cedabcf
63857169008148;536434;1;100;760;192cedabcf
63857169009083;537354;1;100;910;192cedabcf
63857169010120;538407;1;100;1040;192cedabcf
63857169010517;538847;1;100;430;192cedabcf
63857169012618;540917;1;100;2050;192cedabcf
63857169013786;542090;1;100;1160;192cedabcf
63857169015215;543566;1;100;1450;192cedabcf
63857169018049;546366;1;100;2770;192cedabcf
63857169018564;546903;1;100;530;192cedabcf
63857169021030;549253;1;100;2320;192cedabcf
63857169025282;553599;1;100;4290;192cedabcf
63857169026081;554406;1;100;800;192cedabcf
63857169028220;556545;1;100;2110;192cedabcf
63857169031730;559972;1;100;3380;192cedabcf
63857169033542;561848;1;100;1860;192cedabcf
63857169034793;562941;1;100;1070;192cedabcf
63857169035781;564068;1;100;1120;192cedabcf
63857169036516;564804;1;100;730;192cedabcf
63857169041474;569794;1;100;4920;192cedabcf
63857169042183;570481;1;100;680;192cedabcf
63857169042847;571190;1;100;700;192cedabcf
63857169043864;572157;1;100;960;192cedabcf
63857169050277;578576;1;100;6340;192cedabcf
63857169051914;580239;1;100;1650;192cedabcf
63857169053450;581763;1;100;1500;192cedabcf
63857169053848;582123;1;100;360;192cedabcf
63857169054353;582659;1;100;530;192cedabcf
63857169054948;583312;1;100;640;192cedabcf
63857169055583;583936;1;100;620;192cedabcf
63857169059548;587875;-1;100;3890;192cedabcf
63857169060782;589079;-1;100;1190;192cedabcf
63857169062180;590495;-1;100;1390;192cedabcf
63857169064315;592611;-1;100;2090;192cedabcf
63857169066782;595091;-1;100;2450;192cedabcf
63857169068554;596821;-1;100;1710;192cedabcf
63857169071075;599414;-1;100;2560;192cedabcf
63857169071775;600084;-1;100;660;192cedabcf
63857169072986;601287;-1;100;1190;192cedabcf
63857169073492;601804;-1;100;510;192cedabcf
63857169074620;602904;-1;100;1090;192cedabcf
63857169074915;603230;-1;100;320;192cedabcf
63857169075447;603757;-1;100;520;192cedabcf
63857169076051;604400;-1;100;640;192cedabcf
63857169077197;605460;2;100;1040;192cedabcf
63857169077981;606290;2;100;820;192cedabcf
63857169078976;607247;2;100;950;192cedabcf
63857169079581;607887;2;100;630;192cedabcf
63857169080814;609140;2;100;1240;192cedabcf
63857169088256;616496;2;100;7260;192cedabcf
63857169090880;619166;2;100;2640;192cedabcf
63857169092185;620455;2;100;1270;192cedabcf
63857169095014;623372;2;100;2880;192cedabcf
63857169096530;624852;2;100;1460;192cedabcf
63857169097748;626055;2;100;1190;192cedabcf
63857169099998;628261;2;100;2180;192cedabcf
63857169105558;633847;2;100;5510;192cedabcf
