Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63857168899285;427017;0;100;0,078889;192cedabcf
63857168904884;432483;0;100;0,153232;192cedabcf
63857168914084;441949;0;100;0,028438;192cedabcf
63857168915684;442749;0;100;0,381163;192cedabcf
63857168921784;449149;0;100;0,52325;192cedabcf
63857168926783;454214;0;100;0,522198;192cedabcf
63857168931550;459214;0;100;0,182925;192cedabcf
63857168955084;482145;0;100;0,612929;192cedabcf
63857168955494;483678;0;100;0,033358;192cedabcf
63857168964516;492344;0;100;0,036366;192cedabcf
63857168968052;495677;0;100;0,227124;192cedabcf
63857168972850;500410;0;100;0,225466;192cedabcf
63857168987416;514608;0;100;0,337392;192cedabcf
63857168996150;523741;1;100;0,1293;192cedabcf
63857169009480;537206;1;100;0,052561;192cedabcf
63857169011849;539406;1;100;0,103415;192cedabcf
63857169016720;544206;1;100;0,249805;192cedabcf
63857169023749;551605;1;100;0,030024;192cedabcf
63857169034565;562137;1;100;0,12693;192cedabcf
63857169039315;566670;1;100;0,246153;192cedabcf
63857169049382;576335;1;100;0,674809;192cedabcf
63857169054782;582268;1;100;0,429148;192cedabcf
63857169056290;584068;1;100;0,126643;192cedabcf
63857169060782;588535;-1;100;0,122688;192cedabcf
63857169070048;598200;-1;100;0,007583;192cedabcf
63857169070249;598466;-1;100;0,003815;192cedabcf
63857169076256;603800;-1;100;0,172009;192cedabcf
63857169090448;618064;2;100;0,093067;192cedabcf
63857169094531;621531;2;100;0,456912;192cedabcf
63857169102720;630264;2;100;0,186556;192cedabcf
63857169110088;637396;2;100;0,193672;192cedabcf
63857169117044;644929;2;100;0,033453;192cedabcf
63857169120447;648061;2;100;0,210774;192cedabcf
63857169125780;653527;2;100;0,072572;192cedabcf
63857169135513;662793;2;100;0,575324;192cedabcf
63857169141178;668793;2;100;0,161913;192cedabcf
63857169146793;674392;2;100;0,27474;192cedabcf
63857169153886;681258;2;100;0,657021;192cedabcf
63857169158090;685791;2;100;0,358159;192cedabcf
63857169170412;697856;2;100;0,30667;192cedabcf
63857169176582;704122;2;100;0,328848;192cedabcf
63857169181713;709189;2;100;0,396686;192cedabcf
63857169186779;714322;2;100;0,211301;192cedabcf
63857169195723;723388;2;100;0,095246;192cedabcf
63857169200878;728587;2;100;0,126064;192cedabcf
63857169202554;730253;2;100;0,221338;192cedabcf
63857169210060;737452;-2;100;0,475234;192cedabcf
63857169216595;744452;-2;100;0,041417;192cedabcf
63857169218911;746651;3;100;0,105551;192cedabcf
63857169239744;767583;3;100;0,078825;192cedabcf
63857169240045;768117;3;100;0,021655;192cedabcf
63857169244144;771582;3;100;0,355662;192cedabcf
63857169250410;777982;3;100;0,2901;192cedabcf
63857169255443;783048;3;100;0,18084;192cedabcf
63857169260177;787781;3;100;0,318831;192cedabcf
63857169270377;797980;3;100;0,295102;192cedabcf
63857169274177;801779;3;100;0,180281;192cedabcf
