Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63857168895217;423550;0;100;10,0263;192cedabcf
63857168895518;423817;0;100;9,9104;192cedabcf
63857168895818;424150;0;100;9,7957;192cedabcf
63857168896150;424484;0;100;9,6824;192cedabcf
63857168896550;424884;0;100;9,5704;192cedabcf
63857168896851;425150;0;100;9,4597;192cedabcf
63857168897150;425484;0;100;9,3502;192cedabcf
63857168897550;425884;0;100;9,2421;192cedabcf
63857168897850;426150;0;100;9,1352;192cedabcf
63857168898150;426483;0;100;9,0295;192cedabcf
63857168898484;426817;0;100;8,925;192cedabcf
63857168898885;427217;0;100;8,8218;192cedabcf
63857168899184;427484;0;100;8,7197;192cedabcf
63857168899484;427817;0;100;10,7011;192cedabcf
63857168899784;428150;0;100;10,5773;192cedabcf
63857168900184;428550;0;100;10,455;192cedabcf
63857168900517;428817;0;100;10,334;192cedabcf
63857168900817;429150;0;100;10,2145;192cedabcf
63857168901217;429550;0;100;10,0963;192cedabcf
63857168901518;429816;0;100;9,9795;192cedabcf
63857168901818;430150;0;100;9,8641;192cedabcf
63857168902117;430483;0;100;9,75;192cedabcf
63857168902517;430883;0;100;9,6372;192cedabcf
63857168902850;431150;0;100;9,5257;192cedabcf
63857168903151;431483;0;100;9,4155;192cedabcf
63857168903551;431883;0;100;9,3066;192cedabcf
63857168903850;432150;0;100;9,1989;192cedabcf
63857168904150;432483;0;100;9,0925;192cedabcf
63857168904451;432816;0;100;8,9873;192cedabcf
63857168904884;433216;0;100;8,8834;192cedabcf
63857168905184;433483;0;100;10,8629;192cedabcf
63857168905484;433816;0;100;10,7372;192cedabcf
63857168905884;434216;0;100;10,613;192cedabcf
63857168906184;434483;0;100;10,4902;192cedabcf
63857168906550;434883;0;100;10,3689;192cedabcf
63857168906850;435216;0;100;10,2489;192cedabcf
63857168907150;435483;0;100;10,1304;192cedabcf
63857168907450;435816;0;100;10,0132;192cedabcf
63857168907884;436216;0;100;9,8973;192cedabcf
63857168908184;436483;0;100;9,7828;192cedabcf
63857168908484;436816;0;100;9,6697;192cedabcf
63857168908884;437216;0;100;9,5578;192cedabcf
63857168909184;437549;0;100;9,4472;192cedabcf
63857168909484;437816;0;100;9,338;192cedabcf
63857168909784;438149;0;100;9,2299;192cedabcf
63857168910184;438549;0;100;9,1232;192cedabcf
63857168910517;438816;0;100;9,0176;192cedabcf
63857168910917;439149;0;100;8,9133;192cedabcf
63857168911117;439482;0;100;8,8102;192cedabcf
63857168911517;439882;0;100;8,7083;192cedabcf
63857168911850;440149;0;100;8,6075;192cedabcf
63857168912150;440482;0;100;8,508;192cedabcf
63857168912550;440882;0;100;8,4096;192cedabcf
63857168912850;441149;0;100;8,3123;192cedabcf
63857168913150;441482;0;100;8,2161;192cedabcf
63857168913484;441815;0;100;8,1211;192cedabcf
63857168913850;442215;0;100;8,0271;192cedabcf
63857168914184;442482;0;100;10,0165;192cedabcf
63857168914484;442815;0;100;9,9006;192cedabcf
63857168914884;443215;0;100;9,7861;192cedabcf
63857168915184;443482;0;100;9,6729;192cedabcf
63857168915484;443815;0;100;9,561;192cedabcf
63857168915784;444148;0;100;11,5327;192cedabcf
63857168916217;444548;0;100;11,3993;192cedabcf
63857168916517;444815;0;100;11,2674;192cedabcf
63857168916817;445148;0;100;11,137;192cedabcf
63857168917217;445548;0;100;11,0082;192cedabcf
63857168917517;445881;0;100;10,8809;192cedabcf
63857168917817;446148;0;100;10,755;192cedabcf
63857168918117;446481;0;100;10,6306;192cedabcf
63857168918550;446881;0;100;10,5076;192cedabcf
63857168918850;447148;0;100;10,3861;192cedabcf
63857168919150;447481;0;100;10,2659;192cedabcf
63857168919483;447815;0;100;10,1472;192cedabcf
63857168919850;448215;0;100;10,0298;192cedabcf
63857168920184;448481;0;100;9,9137;192cedabcf
63857168920484;448815;0;100;9,7991;192cedabcf
63857168920884;449215;0;100;9,6857;192cedabcf
63857168921184;449481;0;100;9,5737;192cedabcf
63857168921483;449814;0;100;9,4629;192cedabcf
63857168921784;450148;0;100;11,4357;192cedabcf
63857168922217;450548;0;100;11,3034;192cedabcf
63857168922517;450814;0;100;11,1726;192cedabcf
63857168922817;451148;0;100;11,0434;192cedabcf
63857168923217;451548;0;100;10,9157;192cedabcf
63857168923517;451881;0;100;10,7894;192cedabcf
63857168923817;452148;0;100;10,6646;192cedabcf
63857168924150;452481;0;100;10,5412;192cedabcf
63857168924550;452881;0;100;10,4193;192cedabcf
63857168924850;453148;0;100;10,2987;192cedabcf
63857168925150;453481;0;100;10,1796;192cedabcf
63857168925550;453881;0;100;10,0618;192cedabcf
63857168925850;454214;0;100;9,9454;192cedabcf
63857168926150;454481;0;100;9,8304;192cedabcf
63857168926450;454814;0;100;9,7167;192cedabcf
63857168926884;455214;0;100;11,6865;192cedabcf
63857168927184;455481;0;100;11,5513;192cedabcf
63857168927483;455814;0;100;11,4177;192cedabcf
63857168927884;456214;0;100;11,2856;192cedabcf
63857168928184;456547;0;100;11,1551;192cedabcf
63857168928484;456814;0;100;11,026;192cedabcf
63857168928783;457147;0;100;10,8985;192cedabcf
63857168929217;457547;0;100;10,7724;192cedabcf
63857168929517;457814;0;100;10,6478;192cedabcf
63857168929817;458147;0;100;10,5246;192cedabcf
63857168930217;458547;0;100;10,4029;192cedabcf
63857168930550;458880;0;100;10,2825;192cedabcf
63857168930817;459147;0;100;10,1636;192cedabcf
63857168931150;459480;0;100;10,046;192cedabcf
63857168931550;459880;0;100;12,012;192cedabcf
63857168931850;460147;0;100;11,8731;192cedabcf
63857168932150;460480;0;100;11,7357;192cedabcf
63857168932550;460880;0;100;11,6;192cedabcf
63857168932850;461213;0;100;11,4658;192cedabcf
63857168933183;461480;0;100;11,3331;192cedabcf
63857168933450;461813;0;100;11,202;192cedabcf
63857168933883;462213;0;100;11,0725;192cedabcf
63857168934183;462480;0;100;10,9444;192cedabcf
63857168934484;462813;0;100;10,8178;192cedabcf
63857168934884;463213;0;100;10,6926;192cedabcf
63857168935183;463546;0;100;10,5689;192cedabcf
63857168935483;463813;0;100;10,4467;192cedabcf
63857168935817;464146;0;100;10,3258;192cedabcf
63857168936217;464546;0;100;10,2064;192cedabcf
63857168936517;464813;0;100;10,0883;192cedabcf
63857168936817;465146;0;100;9,9716;192cedabcf
63857168937117;465480;0;100;9,8562;192cedabcf
63857168937550;465880;0;100;9,7422;192cedabcf
63857168937850;466146;0;100;9,6295;192cedabcf
63857168938184;466479;0;100;9,5181;192cedabcf
63857168938550;466879;0;100;9,408;192cedabcf
63857168938850;467213;0;100;9,2992;192cedabcf
63857168939150;467479;0;100;9,1916;192cedabcf
63857168939450;467813;0;100;9,0853;192cedabcf
63857168939850;468213;0;100;8,9802;192cedabcf
63857168940183;468479;0;100;8,8763;192cedabcf
63857168940517;468813;0;100;8,7736;192cedabcf
63857168940817;469146;0;100;8,6721;192cedabcf
63857168941417;469546;0;100;8,5718;192cedabcf
63857168941517;469879;0;100;8,4727;192cedabcf
63857168941817;470146;0;100;8,3746;192cedabcf
63857168942117;470479;0;100;8,2778;192cedabcf
63857168942584;470879;0;100;8,182;192cedabcf
63857168942884;471212;0;100;8,0874;192cedabcf
63857168943184;471546;0;100;7,9938;192cedabcf
63857168943517;471812;0;100;7,9013;192cedabcf
63857168943783;472146;0;100;7,8099;192cedabcf
63857168944218;472546;0;100;7,7196;192cedabcf
63857168944682;473012;0;100;7,6303;192cedabcf
63857168944847;473212;0;100;7,542;192cedabcf
63857168945150;473479;0;100;7,4548;192cedabcf
63857168945450;473812;0;100;7,3685;192cedabcf
63857168945882;474212;0;100;7,2833;192cedabcf
63857168946184;474479;0;100;7,199;192cedabcf
63857168946518;474812;0;100;7,1158;192cedabcf
63857168946809;475145;0;100;7,0334;192cedabcf
63857168947120;475479;0;100;6,9521;192cedabcf
63857168947551;475879;0;100;6,8717;192cedabcf
