Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857168899285;427017;0;100;0,533333;192cedabcf
63857168904884;432483;0;100;0,666667;192cedabcf
63857168914084;441949;0;100;0,4;192cedabcf
63857168915684;442749;0;100;1,2;192cedabcf
63857168921784;449149;0;100;0,866667;192cedabcf
63857168926783;454214;0;100;0,8;192cedabcf
63857168931550;459214;0;100;0,533333;192cedabcf
63857168955084;482145;0;100;1,133333;192cedabcf
63857168955494;483678;0;100;0,066667;192cedabcf
63857168964516;492344;0;100;0,4;192cedabcf
63857168968052;495677;0;100;0,666667;192cedabcf
63857168972850;500410;0;100;0,666667;192cedabcf
63857168987416;514608;0;100;1;192cedabcf
63857168996150;523741;1;100;0,666667;192cedabcf
63857169009480;537206;1;100;0,466667;192cedabcf
63857169011849;539406;1;100;0,666667;192cedabcf
63857169016720;544206;1;100;0,8;192cedabcf
63857169023749;551605;1;100;0,4;192cedabcf
63857169034565;562137;1;100;0,666667;192cedabcf
63857169039315;566670;1;100;0,866667;192cedabcf
63857169049382;576335;1;100;1;192cedabcf
63857169054782;582268;1;100;0,733333;192cedabcf
63857169056290;584068;1;100;0,466667;192cedabcf
63857169060782;588535;-1;100;0,466667;192cedabcf
63857169070048;598200;-1;100;0,133333;192cedabcf
63857169070249;598466;-1;100;0,066667;192cedabcf
63857169076256;603800;-1;100;0,733333;192cedabcf
63857169090448;618064;2;100;0,666667;192cedabcf
63857169094531;621531;2;100;1,2;192cedabcf
63857169102720;630264;2;100;0,666667;192cedabcf
63857169110088;637396;2;100;0,933333;192cedabcf
63857169117044;644929;2;100;0,4;192cedabcf
63857169120447;648061;2;100;0,666667;192cedabcf
63857169125780;653527;2;100;0,466667;192cedabcf
63857169135513;662793;2;100;0,933333;192cedabcf
63857169141178;668793;2;100;0,6;192cedabcf
63857169146793;674392;2;100;0,666667;192cedabcf
63857169153886;681258;2;100;0,866667;192cedabcf
63857169158090;685791;2;100;0,533333;192cedabcf
63857169170412;697856;2;100;0,8;192cedabcf
63857169176582;704122;2;100;0,733333;192cedabcf
63857169181713;709189;2;100;0,733333;192cedabcf
63857169186779;714322;2;100;0,666667;192cedabcf
63857169195723;723388;2;100;0,533333;192cedabcf
63857169200878;728587;2;100;0,533333;192cedabcf
63857169202554;730253;2;100;0,533333;192cedabcf
63857169210060;737452;-2;100;0,8;192cedabcf
63857169216595;744452;-2;100;0,333333;192cedabcf
63857169218911;746651;3;100;0,533333;192cedabcf
63857169239744;767583;3;100;0,4;192cedabcf
63857169240045;768117;3;100;0,133333;192cedabcf
63857169244144;771582;3;100;0,8;192cedabcf
63857169250410;777982;3;100;0,733333;192cedabcf
63857169255443;783048;3;100;0,6;192cedabcf
63857169260177;787781;3;100;0,666667;192cedabcf
63857169270377;797980;3;100;0,666667;192cedabcf
63857169274177;801779;3;100;0,6;192cedabcf
63857169285743;813245;3;100;0,733333;192cedabcf
63857169290844;818578;3;100;0,533333;192cedabcf
63857169292510;820177;3;100;0,533333;192cedabcf
63857169301443;829111;-3;100;0,6;192cedabcf
63857169313143;840709;4;100;0,666667;192cedabcf
63857169318409;845976;4;100;0,666667;192cedabcf
63857169325509;853441;4;100;0,333333;192cedabcf
63857169333776;861841;4;100;0,2;192cedabcf
63857169339643;867506;4;100;0,4;192cedabcf
63857169356842;884305;5;100;0,8;192cedabcf
63857169375041;902703;5;100;0,6;192cedabcf
63857169379276;907235;5;100;0,333333;192cedabcf
63857169390908;918568;5;100;0,6;192cedabcf
63857169393741;921435;5;100;0,6;192cedabcf
63857169398541;926167;5;100;0,6;192cedabcf
63857169409007;936566;5;100;0,666667;192cedabcf
63857169421974;949632;5;100;0,6;192cedabcf
63857169427007;954898;5;100;0,4;192cedabcf
63857169438140;965697;6;100;0,733333;192cedabcf
63857169455106;982628;6;100;0,666667;192cedabcf
63857169459040;986894;6;100;0,4;192cedabcf
63857169459240;987428;6;100;0,066667;192cedabcf
63857169488673;1016491;6;100;0,466667;192cedabcf
63857169502406;1029823;6;100;0,8;192cedabcf
63857169507872;1035623;6;100;0,533333;192cedabcf
63857169508639;1036822;6;100;0,066667;192cedabcf
63857169509072;1037023;6;100;0,266667;192cedabcf
63857169519206;1046955;6;100;0,466667;192cedabcf
63857169529706;1057554;7;100;0,4;192cedabcf
63857169530605;1058354;7;100;0,466667;192cedabcf
63857169538272;1066086;7;100;0,466667;192cedabcf
63857169544238;1071886;7;100;0,6;192cedabcf
63857169545072;1072619;7;100;0,733333;192cedabcf
63857169548439;1076552;7;100;0,133333;192cedabcf
63857169551938;1079619;7;100;0,533333;192cedabcf
63857169559304;1087018;7;100;0,533333;192cedabcf
63857169563738;1091418;7;100;0,533333;192cedabcf
