Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856997892528;737910;0;100;-19647,8;1c6e0ea7da
63856997892528;737910;0;100;-19647,8;1c6e0ea7da
63856997892613;737977;0;100;-19646,8;1c6e0ea7da
63856997892718;738110;0;100;-19647,2;1c6e0ea7da
63856997892718;738110;0;100;-19646,6;1c6e0ea7da
63856997892814;738177;0;100;-19646,4;1c6e0ea7da
63856997892930;738310;0;100;-19646;1c6e0ea7da
63856997892930;738310;0;100;-19645;1c6e0ea7da
63856997893016;738377;0;100;-19644;1c6e0ea7da
63856997893124;738510;0;100;-19643,8;1c6e0ea7da
63856997893124;738510;0;100;-19643,4;1c6e0ea7da
63856997893217;738577;0;100;-19643,8;1c6e0ea7da
63856997893363;738710;0;100;-19644;1c6e0ea7da
63856997893363;738710;0;100;-19643,6;1c6e0ea7da
63856997893428;738777;0;100;-19643,4;1c6e0ea7da
63856997893630;738977;0;100;-19643;1c6e0ea7da
63856997893630;738977;0;100;-19642,6;1c6e0ea7da
63856997893630;738977;0;100;-19643,8;1c6e0ea7da
63856997893694;739043;0;100;-19643,8;1c6e0ea7da
63856997893829;739177;0;100;-19642;1c6e0ea7da
63856997893829;739177;0;100;-19642,8;1c6e0ea7da
63856997893891;739243;0;100;-19642,2;1c6e0ea7da
63856997894010;739377;0;100;-19642,8;1c6e0ea7da
63856997894010;739377;0;100;-19643,2;1c6e0ea7da
63856997894126;739443;0;100;-19643;1c6e0ea7da
63856997894213;739577;0;100;-19644;1c6e0ea7da
63856997894213;739577;0;100;-19644;1c6e0ea7da
63856997894297;739643;0;100;-19644,6;1c6e0ea7da
63856997894414;739777;0;100;-19644;1c6e0ea7da
63856997894414;739777;0;100;-19645;1c6e0ea7da
63856997894530;739910;0;100;-19646,4;1c6e0ea7da
63856997894530;739910;0;100;-19646,8;1c6e0ea7da
63856997894660;739977;0;100;-19647;1c6e0ea7da
63856997894713;740110;0;100;-19647;1c6e0ea7da
63856997894713;740110;0;100;-19647,6;1c6e0ea7da
63856997894862;740177;0;100;-19648;1c6e0ea7da
63856997894913;740310;0;100;-19648;1c6e0ea7da
63856997894913;740310;0;100;-19647,6;1c6e0ea7da
63856997895064;740377;0;100;-19647,4;1c6e0ea7da
63856997895147;740510;0;100;-19648,8;1c6e0ea7da
63856997895147;740510;0;100;-19649,2;1c6e0ea7da
63856997895231;740577;0;100;-19649,8;1c6e0ea7da
63856997895349;740710;0;100;-19650,4;1c6e0ea7da
63856997895349;740710;0;100;-19651;1c6e0ea7da
63856997895496;740843;0;100;-19651;1c6e0ea7da
63856997895496;740843;0;100;-19651,4;1c6e0ea7da
63856997895647;740976;0;100;-19651,6;1c6e0ea7da
63856997895647;740976;0;100;-19655,8;1c6e0ea7da
63856997895730;741110;0;100;-19664,8;1c6e0ea7da
63856997895730;741110;0;100;-19672,4;1c6e0ea7da
63856997895881;741177;0;100;-19671,2;1c6e0ea7da
63856997895964;741310;0;100;-19668,8;1c6e0ea7da
63856997895964;741310;0;100;-19666,8;1c6e0ea7da
63856997896021;741376;0;100;-19665;1c6e0ea7da
63856997896164;741510;0;100;-19662;1c6e0ea7da
63856997896164;741510;0;100;-19658,4;1c6e0ea7da
63856997896254;741577;0;100;-19655,6;1c6e0ea7da
63856997896397;741710;0;100;-19654,4;1c6e0ea7da
63856997896397;741710;0;100;-19652,6;1c6e0ea7da
63856997896431;741777;0;100;-19652,6;1c6e0ea7da
63856997896547;741910;0;100;-19653;1c6e0ea7da
63856997896547;741910;0;100;-19652;1c6e0ea7da
63856997896696;742043;0;100;-19652;1c6e0ea7da
63856997896696;742043;0;100;-19652,2;1c6e0ea7da
63856997896749;742110;0;100;-19652,2;1c6e0ea7da
63856997896856;742243;0;100;-19653;1c6e0ea7da
63856997896856;742243;0;100;-19654,6;1c6e0ea7da
63856997896956;742310;0;100;-19653,6;1c6e0ea7da
63856997897047;742443;0;100;-19654;1c6e0ea7da
63856997897047;742443;0;100;-19654;1c6e0ea7da
63856997897152;742510;0;100;-19653,6;1c6e0ea7da
63856997897246;742643;0;100;-19654,6;1c6e0ea7da
63856997897246;742643;0;100;-19654;1c6e0ea7da
63856997897359;742710;0;100;-19654,2;1c6e0ea7da
63856997897448;742843;0;100;-19654,6;1c6e0ea7da
63856997897448;742843;0;100;-19653,8;1c6e0ea7da
63856997897747;743110;0;100;-19653,2;1c6e0ea7da
63856997897747;743110;0;100;-19654,2;1c6e0ea7da
63856997897747;743110;0;100;-19655;1c6e0ea7da
63856997897747;743110;0;100;-19655,8;1c6e0ea7da
63856997898086;743443;0;100;-19655,6;1c6e0ea7da
63856997898086;743443;0;100;-19654,6;1c6e0ea7da
63856997898086;743443;0;100;-19655,8;1c6e0ea7da
63856997898086;743443;0;100;-19656,4;1c6e0ea7da
63856997898086;743443;0;100;-19656;1c6e0ea7da
63856997898262;743576;0;100;-19656,4;1c6e0ea7da
63856997898262;743576;0;100;-19655;1c6e0ea7da
63856997898360;743710;0;100;-19657,4;1c6e0ea7da
63856997898360;743710;0;100;-19656,6;1c6e0ea7da
63856997898443;743776;0;100;-19656;1c6e0ea7da
63856997898531;743910;0;100;-19656;1c6e0ea7da
63856997898531;743910;0;100;-19656;1c6e0ea7da
63856997898647;743976;0;100;-19656;1c6e0ea7da
63856997898727;744110;0;100;-19656,6;1c6e0ea7da
63856997898727;744110;0;100;-19656,2;1c6e0ea7da
63856997898825;744176;0;100;-19657;1c6e0ea7da
63856997898962;744310;0;100;-19657,2;1c6e0ea7da
63856997898962;744310;0;100;-19657;1c6e0ea7da
63856997899059;744376;0;100;-19656,8;1c6e0ea7da
63856997899146;744510;0;100;-19657,4;1c6e0ea7da
63856997899146;744510;0;100;-19657;1c6e0ea7da
63856997899230;744643;0;100;-19657;1c6e0ea7da
63856997899230;744643;0;100;-19658;1c6e0ea7da
63856997899347;744710;0;100;-19657,6;1c6e0ea7da
63856997899463;744843;0;100;-19657,2;1c6e0ea7da
63856997899463;744843;0;100;-19657,2;1c6e0ea7da
63856997899550;744910;0;100;-19657,4;1c6e0ea7da
63856997899660;745043;0;100;-19658,6;1c6e0ea7da
63856997899660;745043;0;100;-19657,2;1c6e0ea7da
63856997899759;745110;0;100;-19657,8;1c6e0ea7da
63856997899847;745243;0;100;-19658;1c6e0ea7da
63856997899847;745243;0;100;-19657,6;1c6e0ea7da
63856997899953;745310;0;100;-19658;1c6e0ea7da
63856997900045;745443;0;100;-19658,8;1c6e0ea7da
63856997900045;745443;0;100;-19658,4;1c6e0ea7da
63856997900163;745510;0;100;-19658,4;1c6e0ea7da
63856997900261;745643;0;100;-19658,8;1c6e0ea7da
63856997900261;745643;0;100;-19658,6;1c6e0ea7da
63856997900359;745709;0;100;-19658,2;1c6e0ea7da
63856997900494;745843;0;100;-19659,8;1c6e0ea7da
63856997900494;745843;0;100;-19659,4;1c6e0ea7da
63856997900664;746043;0;100;-19659;1c6e0ea7da
63856997900664;746043;0;100;-19658,8;1c6e0ea7da
63856997900664;746043;0;100;-19659;1c6e0ea7da
63856997900747;746109;0;100;-19659;1c6e0ea7da
63856997900855;746243;0;100;-19660;1c6e0ea7da
63856997900855;746243;0;100;-19659,2;1c6e0ea7da
63856997900948;746309;0;100;-19658,8;1c6e0ea7da
63856997901063;746443;0;100;-19659;1c6e0ea7da
63856997901063;746443;0;100;-19658,8;1c6e0ea7da
63856997901153;746509;0;100;-19658,8;1c6e0ea7da
63856997901247;746643;0;100;-19659,2;1c6e0ea7da
63856997901247;746643;0;100;-19658,8;1c6e0ea7da
63856997901363;746709;0;100;-19658,6;1c6e0ea7da
63856997901447;746843;0;100;-19658,8;1c6e0ea7da
63856997901447;746843;0;100;-19658,8;1c6e0ea7da
63856997901554;746909;0;100;-19658;1c6e0ea7da
63856997901648;747043;0;100;-19658,8;1c6e0ea7da
63856997901648;747043;0;100;-19658,6;1c6e0ea7da
63856997901763;747109;0;100;-19658,8;1c6e0ea7da
63856997901859;747243;0;100;-19659,8;1c6e0ea7da
63856997901859;747243;0;100;-19658,4;1c6e0ea7da
63856997901991;747309;0;100;-19658;1c6e0ea7da
63856997902054;747443;0;100;-19659;1c6e0ea7da
63856997902054;747443;0;100;-19658;1c6e0ea7da
63856997902177;747509;0;100;-19656,8;1c6e0ea7da
63856997902264;747643;0;100;-19657;1c6e0ea7da
63856997902264;747643;0;100;-19657;1c6e0ea7da
63856997902380;747709;0;100;-19657;1c6e0ea7da
63856997902461;747843;0;100;-19657,2;1c6e0ea7da
63856997902461;747843;0;100;-19657;1c6e0ea7da
63856997902581;747976;0;100;-19656,8;1c6e0ea7da
63856997902581;747976;0;100;-19657,4;1c6e0ea7da
63856997902698;748043;0;100;-19657,4;1c6e0ea7da
63856997902789;748176;0;100;-19657,8;1c6e0ea7da
63856997902789;748176;0;100;-19658,6;1c6e0ea7da
63856997902880;748243;0;100;-19658,2;1c6e0ea7da
63856997902985;748376;0;100;-19658,4;1c6e0ea7da
63856997902985;748376;0;100;-19658,8;1c6e0ea7da
63856997903080;748443;0;100;-19658,6;1c6e0ea7da
63856997903197;748576;0;100;-19658,2;1c6e0ea7da
63856997903197;748576;0;100;-19659;1c6e0ea7da
63856997903281;748642;0;100;-19658,6;1c6e0ea7da
63856997903395;748776;0;100;-19659;1c6e0ea7da
63856997903395;748776;0;100;-19659,6;1c6e0ea7da
63856997903485;748842;0;100;-19661;1c6e0ea7da
63856997903577;748976;0;100;-19661;1c6e0ea7da
63856997903577;748976;0;100;-19662,4;1c6e0ea7da
63856997903685;749042;0;100;-19661,6;1c6e0ea7da
63856997903780;749176;0;100;-19661,8;1c6e0ea7da
63856997903780;749176;0;100;-19661,4;1c6e0ea7da
63856997903896;749242;0;100;-19661;1c6e0ea7da
63856997903984;749376;0;100;-19661,6;1c6e0ea7da
63856997903984;749376;0;100;-19661;1c6e0ea7da
63856997904090;749442;0;100;-19661;1c6e0ea7da
63856997904185;749576;0;100;-19661,6;1c6e0ea7da
63856997904185;749576;0;100;-19661;1c6e0ea7da
63856997904280;749642;0;100;-19661;1c6e0ea7da
63856997904395;749776;0;100;-19661,6;1c6e0ea7da
63856997904395;749776;0;100;-19661,6;1c6e0ea7da
