Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856997892527;737910;0;100;4,3186;1c6e0ea7da
63856997892930;738310;0;100;4,2686;1c6e0ea7da
63856997893217;738577;0;100;4,2193;1c6e0ea7da
63856997893593;738977;0;100;4,1704;1c6e0ea7da
63856997893890;739243;0;100;4,1222;1c6e0ea7da
63856997894213;739577;0;100;4,0745;1c6e0ea7da
63856997894530;739910;0;100;4,0274;1c6e0ea7da
63856997894913;740310;0;100;3,9808;1c6e0ea7da
63856997895231;740577;0;100;3,9347;1c6e0ea7da
63856997895646;740976;0;100;3,8892;1c6e0ea7da
63856997895964;741310;0;100;3,8442;1c6e0ea7da
63856997896254;741577;0;100;3,7998;1c6e0ea7da
63856997896547;741910;0;100;3,7558;1c6e0ea7da
63856997896856;742243;0;100;3,7124;1c6e0ea7da
63856997897246;742643;0;100;3,6694;1c6e0ea7da
63856997897747;743110;0;100;3,627;1c6e0ea7da
63856997898086;743443;0;100;3,585;1c6e0ea7da
63856997898262;743576;0;100;3,5435;1c6e0ea7da
63856997898531;743910;0;100;3,5025;1c6e0ea7da
63856997898962;744310;0;100;3,462;1c6e0ea7da
63856997899230;744643;0;100;3,422;1c6e0ea7da
63856997899550;744910;0;100;3,3824;1c6e0ea7da
63856997899847;745243;0;100;3,3433;1c6e0ea7da
63856997900261;745643;0;100;3,3046;1c6e0ea7da
63856997900664;746043;0;100;3,2664;1c6e0ea7da
63856997900855;746243;0;100;3,2286;1c6e0ea7da
63856997901247;746643;0;100;3,1912;1c6e0ea7da
63856997901554;746909;0;100;3,1543;1c6e0ea7da
63856997901859;747243;0;100;3,1178;1c6e0ea7da
63856997902264;747643;0;100;3,0818;1c6e0ea7da
63856997902581;747976;0;100;3,0461;1c6e0ea7da
63856997902880;748243;0;100;3,0109;1c6e0ea7da
63856997903197;748576;0;100;2,976;1c6e0ea7da
63856997903577;748976;0;100;2,9416;1c6e0ea7da
63856997903895;749242;0;100;2,9076;1c6e0ea7da
63856997904185;749576;0;100;2,8739;1c6e0ea7da
63856997904628;749976;0;100;2,8407;1c6e0ea7da
63856997904915;750309;0;100;2,8078;1c6e0ea7da
63856997905209;750576;0;100;2,7754;1c6e0ea7da
63856997905530;750909;0;100;2,7433;1c6e0ea7da
63856997905956;751309;0;100;2,7115;1c6e0ea7da
63856997906254;751576;0;100;2,6802;1c6e0ea7da
63856997906559;751909;0;100;2,6491;1c6e0ea7da
