Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856649635791;473118;0;100;114;229f4576b9
63856649636107;473435;0;100;132;229f4576b9
63856649636608;473981;0;100;127;229f4576b9
63856649636924;474258;0;100;148;229f4576b9
63856649637541;474818;0;100;139;229f4576b9
63856649639074;476321;0;100;117;229f4576b9
63856649639858;477204;0;100;107;229f4576b9
63856649640158;477458;0;100;136;229f4576b9
63856649640557;477931;0;100;134;229f4576b9
63856649641574;478894;0;100;118;229f4576b9
63856649642124;479371;0;100;121;229f4576b9
63856649643008;480311;0;100;108;229f4576b9
63856649643707;481068;0;100;102;229f4576b9
63856649644333;481681;0;100;101;229f4576b9
63856649645041;482407;0;100;97;229f4576b9
63856649645741;483034;0;100;97;229f4576b9
63856649645974;483307;0;100;125;229f4576b9
63856649646474;483824;0;100;123;229f4576b9
63856649646774;484111;0;100;144;229f4576b9
63856649647058;484367;0;100;165;229f4576b9
63856649647375;484684;0;100;170;229f4576b9
63856649647791;485134;0;100;163;229f4576b9
63856649648191;485514;0;100;162;229f4576b9
63856649648607;485947;0;100;157;229f4576b9
63856649650108;487467;0;100;131;229f4576b9
63856649650673;487954;0;100;130;229f4576b9
63856649651141;488460;0;100;128;229f4576b9
63856649651424;488757;0;100;145;229f4576b9
63856649652041;489390;0;100;134;229f4576b9
63856649653341;490663;0;100;115;229f4576b9
63856649654658;492003;0;100;100;229f4576b9
63856649655273;492586;0;100;101;229f4576b9
63856649655674;493006;0;100;111;229f4576b9
63856649656174;493513;0;100;113;229f4576b9
63856649657307;494593;0;100;100;229f4576b9
63856649658124;495456;0;100;94;229f4576b9
63856649658941;496249;0;100;90;229f4576b9
63856649660457;497803;0;100;78;229f4576b9
63856649661391;498719;0;100;76;229f4576b9
63856649661973;499312;0;100;82;229f4576b9
63856649662707;500052;0;100;82;229f4576b9
63856649663923;501255;0;100;75;229f4576b9
63856649664241;501562;0;100;103;229f4576b9
63856649665023;502355;0;100;97;229f4576b9
63856649665641;502989;0;100;97;229f4576b9
63856649666464;503832;0;100;91;229f4576b9
63856649666673;504022;0;100;141;229f4576b9
63856649667058;504362;0;100;149;229f4576b9
63856649668107;505378;0;100;129;229f4576b9
63856649668373;505765;0;100;136;229f4576b9
63856649668890;506212;0;100;136;229f4576b9
63856649669440;506698;0;100;133;229f4576b9
63856649669823;507138;0;100;134;229f4576b9
63856649670323;507675;0;100;129;229f4576b9
63856649671874;509218;0;100;109;229f4576b9
