Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63855512610263;1013096;0;100;6583;2720d37c22
63855512610263;1013096;0;100;6585,8;2720d37c22
63855512610344;1013163;0;100;6553,6;2720d37c22
63855512610461;1013296;0;100;6553;2720d37c22
63855512610461;1013296;0;100;6553,4;2720d37c22
63855512610578;1013429;0;100;6537,8;2720d37c22
63855512610578;1013429;0;100;6539;2720d37c22
63855512610661;1013496;0;100;6526,6;2720d37c22
63855512610761;1013629;0;100;6532,8;2720d37c22
63855512610761;1013629;0;100;6542,6;2720d37c22
63855512610861;1013696;0;100;6560,6;2720d37c22
63855512610962;1013829;0;100;6560,8;2720d37c22
63855512610962;1013829;0;100;6558,2;2720d37c22
63855512611078;1013896;0;100;6574,4;2720d37c22
63855512611161;1014029;0;100;6601;2720d37c22
63855512611161;1014029;0;100;6614;2720d37c22
63855512611277;1014096;0;100;6579,8;2720d37c22
63855512611361;1014229;0;100;6461,6;2720d37c22
63855512611361;1014229;0;100;6412,4;2720d37c22
63855512611461;1014296;0;100;6444,4;2720d37c22
63855512611594;1014429;0;100;6469,2;2720d37c22
63855512611594;1014429;0;100;6492,4;2720d37c22
63855512611694;1014562;0;100;6530;2720d37c22
63855512611694;1014562;0;100;6508;2720d37c22
63855512611795;1014629;0;100;6480,2;2720d37c22
63855512611895;1014762;0;100;6470,8;2720d37c22
63855512611895;1014762;0;100;6510,4;2720d37c22
63855512612011;1014829;0;100;6516,2;2720d37c22
63855512612128;1014962;0;100;6503,8;2720d37c22
63855512612128;1014962;0;100;6491,2;2720d37c22
63855512612211;1015029;0;100;6486,2;2720d37c22
63855512612328;1015162;0;100;6493,2;2720d37c22
63855512612328;1015162;0;100;6505,8;2720d37c22
63855512612445;1015229;0;100;6516,4;2720d37c22
63855512612528;1015362;0;100;6532;2720d37c22
63855512612528;1015362;0;100;6536,6;2720d37c22
63855512612628;1015496;0;100;6547,2;2720d37c22
63855512612628;1015496;0;100;6544,8;2720d37c22
63855512612711;1015562;0;100;6548,6;2720d37c22
63855512612828;1015696;0;100;6527,4;2720d37c22
63855512612828;1015696;0;100;6515,6;2720d37c22
63855512612912;1015762;0;100;6519,8;2720d37c22
63855512613028;1015896;0;100;6547,2;2720d37c22
63855512613028;1015896;0;100;6544,8;2720d37c22
63855512613144;1015962;0;100;6531;2720d37c22
63855512613228;1016096;0;100;6530,6;2720d37c22
63855512613228;1016096;0;100;6553,6;2720d37c22
63855512613328;1016162;0;100;6543,2;2720d37c22
63855512613428;1016296;0;100;6537;2720d37c22
63855512613428;1016296;0;100;6522,8;2720d37c22
63855512613611;1016429;0;100;6519,6;2720d37c22
63855512613611;1016429;0;100;6565;2720d37c22
63855512613845;1016629;0;100;6558,6;2720d37c22
63855512613845;1016629;0;100;6543,2;2720d37c22
63855512613845;1016629;0;100;6564,6;2720d37c22
63855512614112;1016962;0;100;6566,2;2720d37c22
63855512614112;1016962;0;100;6544,2;2720d37c22
63855512614112;1016962;0;100;6540,4;2720d37c22
63855512614112;1016962;0;100;6529,8;2720d37c22
63855512614112;1016962;0;100;6516,4;2720d37c22
63855512614228;1017096;0;100;6494,8;2720d37c22
63855512614228;1017096;0;100;6479,2;2720d37c22
63855512614311;1017162;0;100;6466,4;2720d37c22
63855512614428;1017296;0;100;6476,4;2720d37c22
63855512614428;1017296;0;100;6509,6;2720d37c22
63855512614545;1017362;0;100;6515,2;2720d37c22
63855512614628;1017495;0;100;6510,2;2720d37c22
63855512614628;1017495;0;100;6524,6;2720d37c22
63855512614728;1017562;0;100;6542;2720d37c22
63855512614895;1017695;0;100;6534;2720d37c22
63855512614895;1017695;0;100;6551,2;2720d37c22
63855512615011;1017829;0;100;6540,8;2720d37c22
63855512615011;1017829;0;100;6534,6;2720d37c22
63855512615095;1017896;0;100;6547,4;2720d37c22
63855512615195;1018029;0;100;6554,8;2720d37c22
63855512615195;1018029;0;100;6525,2;2720d37c22
63855512615278;1018095;0;100;6493,8;2720d37c22
63855512615395;1018229;0;100;6474,4;2720d37c22
63855512615395;1018229;0;100;6487,2;2720d37c22
63855512615478;1018295;0;100;6494,2;2720d37c22
63855512615595;1018429;0;100;6549,2;2720d37c22
63855512615595;1018429;0;100;6570,6;2720d37c22
63855512615712;1018562;0;100;6540,4;2720d37c22
63855512615712;1018562;0;100;6525,4;2720d37c22
63855512615795;1018629;0;100;6512;2720d37c22
63855512615895;1018762;0;100;6473,8;2720d37c22
63855512615895;1018762;0;100;6482,2;2720d37c22
63855512615995;1018829;0;100;6484,8;2720d37c22
63855512616095;1018962;0;100;6481,4;2720d37c22
63855512616095;1018962;0;100;6479,8;2720d37c22
63855512616211;1019029;0;100;6492,8;2720d37c22
63855512616295;1019162;0;100;6494,4;2720d37c22
63855512616295;1019162;0;100;6497;2720d37c22
63855512616412;1019229;0;100;6483,8;2720d37c22
63855512616495;1019362;0;100;6506,6;2720d37c22
63855512616495;1019362;0;100;6548,6;2720d37c22
63855512616645;1019429;0;100;6579;2720d37c22
63855512616728;1019562;0;100;6579,6;2720d37c22
63855512616728;1019562;0;100;6558,4;2720d37c22
63855512616829;1019629;0;100;6522,4;2720d37c22
63855512616912;1019762;0;100;6471,2;2720d37c22
63855512616912;1019762;0;100;6433,6;2720d37c22
63855512617028;1019829;0;100;6460,2;2720d37c22
63855512617145;1019962;0;100;6489,4;2720d37c22
63855512617145;1019962;0;100;6497,4;2720d37c22
63855512617229;1020029;0;100;6464,6;2720d37c22
63855512617328;1020162;0;100;6368,2;2720d37c22
63855512617328;1020162;0;100;6299,6;2720d37c22
63855512617411;1020229;0;100;6334,6;2720d37c22
63855512617529;1020362;0;100;6367,2;2720d37c22
63855512617529;1020362;0;100;6396,2;2720d37c22
63855512617645;1020495;0;100;6401,6;2720d37c22
63855512617645;1020495;0;100;6422,4;2720d37c22
63855512617725;1020562;0;100;6436,6;2720d37c22
63855512617845;1020695;0;100;6444;2720d37c22
63855512617845;1020695;0;100;6446,6;2720d37c22
63855512617928;1020762;0;100;6438,8;2720d37c22
63855512618028;1020895;0;100;6439,8;2720d37c22
63855512618028;1020895;0;100;6466,6;2720d37c22
63855512618128;1020962;0;100;6465,6;2720d37c22
63855512618262;1021095;0;100;6461;2720d37c22
63855512618262;1021095;0;100;6484,6;2720d37c22
63855512618345;1021162;0;100;6500,4;2720d37c22
63855512618429;1021295;0;100;6483,4;2720d37c22
63855512618429;1021295;0;100;6488,6;2720d37c22
63855512618546;1021362;0;100;6488,8;2720d37c22
63855512618629;1021495;0;100;6477,6;2720d37c22
63855512618629;1021495;0;100;6470,8;2720d37c22
63855512618729;1021562;0;100;6472,8;2720d37c22
63855512618862;1021695;0;100;6456,2;2720d37c22
63855512618862;1021695;0;100;6470,4;2720d37c22
63855512618962;1021762;0;100;6486,4;2720d37c22
63855512619045;1021895;0;100;6478,4;2720d37c22
63855512619045;1021895;0;100;6481,4;2720d37c22
63855512619162;1021962;0;100;6473;2720d37c22
63855512619246;1022095;0;100;6451,8;2720d37c22
63855512619246;1022095;0;100;6446;2720d37c22
63855512619362;1022162;0;100;6436,4;2720d37c22
63855512619479;1022295;0;100;6425,4;2720d37c22
63855512619479;1022295;0;100;6415,2;2720d37c22
63855512619562;1022362;0;100;6409,4;2720d37c22
63855512619662;1022495;0;100;6392;2720d37c22
63855512619662;1022495;0;100;6396,2;2720d37c22
63855512619746;1022562;0;100;6408,2;2720d37c22
63855512619862;1022695;0;100;6422,4;2720d37c22
63855512619862;1022695;0;100;6413;2720d37c22
63855512620029;1022828;0;100;6413,4;2720d37c22
63855512620029;1022828;0;100;6401,8;2720d37c22
