Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63855512610263;1013096;0;100;83,3592;2720d37c22
63855512610577;1013429;0;100;82,3949;2720d37c22
63855512610961;1013829;0;100;83,524;2720d37c22
63855512611277;1014096;0;100;82,5578;2720d37c22
63855512611594;1014429;0;100;83,6851;2720d37c22
63855512611895;1014762;0;100;84,7992;2720d37c22
63855512612328;1015162;0;100;85,9005;2720d37c22
63855512612628;1015496;0;100;84,9068;2720d37c22
63855512612911;1015762;0;100;83,9246;2720d37c22
63855512613228;1016096;0;100;82,9538;2720d37c22
63855512613611;1016429;0;100;81,9941;2720d37c22
63855512614112;1016962;0;100;81,0456;2720d37c22
63855512614228;1017096;0;100;80,1081;2720d37c22
63855512614628;1017495;0;100;81,2636;2720d37c22
63855512615011;1017829;0;100;80,3236;2720d37c22
63855512615278;1018095;0;100;79,3944;2720d37c22
63855512615595;1018429;0;100;78,4759;2720d37c22
63855512615895;1018762;0;100;77,5681;2720d37c22
63855512616295;1019162;0;100;76,6708;2720d37c22
63855512616645;1019429;0;100;75,7839;2720d37c22
63855512616912;1019762;0;100;74,9072;2720d37c22
63855512617328;1020162;0;100;74,0407;2720d37c22
63855512617645;1020495;0;100;75,2664;2720d37c22
63855512617928;1020762;0;100;74,3957;2720d37c22
63855512618262;1021095;0;100;73,5351;2720d37c22
63855512618629;1021495;0;100;72,6845;2720d37c22
63855512618962;1021762;0;100;71,8436;2720d37c22
63855512619245;1022095;0;100;71,0125;2720d37c22
63855512619662;1022495;0;100;70,1911;2720d37c22
63855512619995;1022828;0;100;71,4613;2720d37c22
63855512620329;1023162;0;100;72,7169;2720d37c22
63855512620645;1023495;0;100;71,8757;2720d37c22
63855512620929;1023762;0;100;71,0443;2720d37c22
63855512621229;1024095;0;100;70,2224;2720d37c22
63855512621662;1024495;0;100;71,4923;2720d37c22
63855512621962;1024762;0;100;72,7476;2720d37c22
63855512622262;1025095;0;100;76,0705;2720d37c22
63855512622562;1025428;0;100;77,2728;2720d37c22
63855512622980;1025828;0;100;78,4611;2720d37c22
63855512623262;1026095;0;100;79,6357;2720d37c22
63855512623595;1026428;0;100;78,7145;2720d37c22
63855512623996;1026828;0;100;79,8862;2720d37c22
63855512624296;1027095;0;100;78,9621;2720d37c22
63855512624613;1027428;0;100;78,0486;2720d37c22
63855512624896;1027761;0;100;77,1458;2720d37c22
63855512625313;1028094;0;100;78,3356;2720d37c22
63855512625580;1028428;0;100;77,4294;2720d37c22
63855512625963;1028828;0;100;76,5337;2720d37c22
63855512626296;1029094;0;100;75,6483;2720d37c22
63855512626596;1029428;0;100;74,7732;2720d37c22
63855512626897;1029761;0;100;73,9082;2720d37c22
63855512627297;1030161;0;100;75,1355;2720d37c22
63855512627596;1030428;0;100;74,2664;2720d37c22
63855512627897;1030761;0;100;75,4895;2720d37c22
63855512628330;1031161;0;100;76,6985;2720d37c22
63855512628613;1031428;0;100;77,8935;2720d37c22
63855512628913;1031761;0;100;76,9924;2720d37c22
63855512629213;1032094;0;100;78,184;2720d37c22
63855512629613;1032494;0;100;77,2796;2720d37c22
63855512629947;1032761;0;100;76,3856;2720d37c22
63855512630279;1033094;0;100;75,502;2720d37c22
63855512630580;1033427;0;100;74,6285;2720d37c22
63855512630881;1033761;0;100;73,7652;2720d37c22
63855512631313;1034161;0;100;72,9119;2720d37c22
63855512631613;1034427;0;100;74,1507;2720d37c22
63855512631948;1034761;0;100;73,2929;2720d37c22
63855512632247;1035094;0;100;74,5273;2720d37c22
63855512632547;1035427;0;100;75,7474;2720d37c22
63855512632981;1035827;0;100;76,9534;2720d37c22
63855512633281;1036094;0;100;76,0632;2720d37c22
63855512633581;1036427;0;100;77,2656;2720d37c22
63855512633980;1036827;0;100;76,3718;2720d37c22
63855512634280;1037160;0;100;77,5705;2720d37c22
63855512634581;1037427;0;100;78,7555;2720d37c22
