Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63855786361991;1016769;0;100;-18701,4;2b3497a4be
63855786361991;1016769;0;100;-18701,2;2b3497a4be
63855786362072;1016835;0;100;-18700,6;2b3497a4be
63855786362189;1016969;0;100;-18700,6;2b3497a4be
63855786362189;1016969;0;100;-18700,8;2b3497a4be
63855786362306;1017035;0;100;-18699,4;2b3497a4be
63855786362389;1017169;0;100;-18698,2;2b3497a4be
63855786362389;1017169;0;100;-18696,8;2b3497a4be
63855786362506;1017235;0;100;-18697,2;2b3497a4be
63855786362605;1017369;0;100;-18698,4;2b3497a4be
63855786362605;1017369;0;100;-18699,4;2b3497a4be
63855786362688;1017435;0;100;-18699,8;2b3497a4be
63855786362806;1017569;0;100;-18701,8;2b3497a4be
63855786362806;1017569;0;100;-18698,2;2b3497a4be
63855786362889;1017635;0;100;-18697;2b3497a4be
63855786363005;1017769;0;100;-18697;2b3497a4be
63855786363005;1017769;0;100;-18695,2;2b3497a4be
63855786363089;1017835;0;100;-18693,2;2b3497a4be
63855786363205;1017969;0;100;-18695,8;2b3497a4be
63855786363205;1017969;0;100;-18695,4;2b3497a4be
63855786363306;1018035;0;100;-18696,4;2b3497a4be
63855786363439;1018169;0;100;-18696,6;2b3497a4be
63855786363439;1018169;0;100;-18695,4;2b3497a4be
63855786363506;1018235;0;100;-18695,4;2b3497a4be
63855786363622;1018369;0;100;-18695,4;2b3497a4be
63855786363622;1018369;0;100;-18694,2;2b3497a4be
63855786363706;1018435;0;100;-18694;2b3497a4be
63855786363822;1018569;0;100;-18691,8;2b3497a4be
63855786363822;1018569;0;100;-18690,8;2b3497a4be
63855786363897;1018635;0;100;-18690,8;2b3497a4be
63855786364006;1018769;0;100;-18688,2;2b3497a4be
63855786364006;1018769;0;100;-18685,6;2b3497a4be
63855786364139;1018902;0;100;-18686,2;2b3497a4be
63855786364139;1018902;0;100;-18683,2;2b3497a4be
63855786364205;1018969;0;100;-18683;2b3497a4be
63855786364322;1019102;0;100;-18684,6;2b3497a4be
63855786364322;1019102;0;100;-18685,4;2b3497a4be
63855786364406;1019169;0;100;-18685,8;2b3497a4be
63855786364522;1019302;0;100;-18688;2b3497a4be
63855786364522;1019302;0;100;-18685,6;2b3497a4be
63855786364639;1019369;0;100;-18685,8;2b3497a4be
63855786364722;1019502;0;100;-18685;2b3497a4be
63855786364722;1019502;0;100;-18683;2b3497a4be
63855786364830;1019568;0;100;-18682,2;2b3497a4be
63855786364939;1019702;0;100;-18683,6;2b3497a4be
63855786364939;1019702;0;100;-18679,6;2b3497a4be
63855786365022;1019768;0;100;-18678,4;2b3497a4be
63855786365139;1019902;0;100;-18676,6;2b3497a4be
63855786365139;1019902;0;100;-18674,6;2b3497a4be
63855786365222;1019969;0;100;-18674,8;2b3497a4be
63855786365339;1020102;0;100;-18673,4;2b3497a4be
63855786365339;1020102;0;100;-18674,8;2b3497a4be
63855786365422;1020169;0;100;-18677;2b3497a4be
63855786365539;1020302;0;100;-18677,2;2b3497a4be
63855786365539;1020302;0;100;-18673,6;2b3497a4be
63855786365639;1020369;0;100;-18672,2;2b3497a4be
63855786365739;1020502;0;100;-18671,6;2b3497a4be
63855786365739;1020502;0;100;-18669,4;2b3497a4be
63855786365839;1020568;0;100;-18670,2;2b3497a4be
