Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63855795607708;429881;0;100;79;319e183604
63855795611075;433171;0;100;66;319e183604
63855795612308;434437;0;100;62;319e183604
63855795613008;435084;0;100;69;319e183604
63855795616508;438620;0;100;57;319e183604
63855795618440;440564;0;100;52;319e183604
63855795621076;443173;0;100;45;319e183604
63855795623538;445683;0;100;41;319e183604
63855795625173;447269;0;100;40;319e183604
63855795625477;447613;0;100;70;319e183604
63855795626883;448979;0;100;65;319e183604
63855795627475;449663;0;100;70;319e183604
63855795629444;451596;0;100;61;319e183604
63855795630644;452809;0;100;59;319e183604
63855795632175;454332;0;100;55;319e183604
63855795634708;456855;0;100;48;319e183604
63855795635741;457838;0;100;51;319e183604
63855795636340;458452;0;100;61;319e183604
63855795637130;459235;0;100;65;319e183604
63855795637879;459962;0;100;69;319e183604
63855795638576;460718;0;100;72;319e183604
63855795640909;463001;0;100;62;319e183604
63855795641701;463815;0;100;64;319e183604
63855795642639;464754;0;100;65;319e183604
63855795643541;465634;0;100;66;319e183604
63855795644540;466638;0;100;64;319e183604
63855795645841;467968;0;100;60;319e183604
63855795647389;469501;0;100;56;319e183604
63855795648675;470791;0;100;54;319e183604
63855795651639;473727;0;100;46;319e183604
63855795654673;476800;0;100;40;319e183604
63855795655407;477526;0;100;50;319e183604
63855795659374;481519;0;100;42;319e183604
63855795660507;482589;0;100;45;319e183604
63855795662402;484512;0;100;42;319e183604
63855795663131;485229;0;100;52;319e183604
63855795665473;487555;0;100;46;319e183604
63855795666481;488649;0;100;48;319e183604
63855795668140;490225;0;100;46;319e183604
63855795669979;492035;0;100;43;319e183604
63855795670243;492388;0;100;72;319e183604
63855795675438;497598;0;100;58;319e183604
63855795677675;499734;0;100;52;319e183604
63855795678144;500291;0;100;64;319e183604
63855795678770;500844;0;100;74;319e183604
63855795679341;501457;0;100;80;319e183604
63855795680073;502234;0;100;80;319e183604
63855795680773;502921;0;100;81;319e183604
63855795681885;504001;1;100;76;319e183604
63855795683806;505930;1;100;66;319e183604
63855795685041;507197;1;100;62;319e183604
63855795685974;508093;1;100;63;319e183604
63855795687373;509550;1;100;58;319e183604
63855795688610;510763;1;100;57;319e183604
63855795689502;511593;1;100;60;319e183604
63855795691240;513326;1;100;55;319e183604
63855795691740;513843;1;100;69;319e183604
63855795693057;515203;1;100;63;319e183604
63855795693774;515909;1;100;68;319e183604
63855795696120;518242;1;100;59;319e183604
63855795697437;519532;1;100;56;319e183604
63855795698040;520176;1;100;65;319e183604
63855795700278;522445;1;100;56;319e183604
63855795700979;523102;1;100;65;319e183604
63855795701705;523802;1;100;69;319e183604
63855795702305;524425;1;100;76;319e183604
63855795703322;525488;1;100;72;319e183604
63855795705572;527708;1;100;62;319e183604
63855795706405;528561;1;100;64;319e183604
63855795709005;531128;1;100;55;319e183604
63855795709439;531511;1;100;78;319e183604
63855795710055;532134;1;100;82;319e183604
63855795712072;534211;1;100;70;319e183604
63855795712589;534717;1;100;81;319e183604
63855795713172;535331;1;100;85;319e183604
63855795714205;536324;1;100;80;319e183604
63855795714905;537001;1;100;82;319e183604
63855795716039;538180;1;100;75;319e183604
63855795716856;538934;1;100;77;319e183604
63855795718572;540714;1;100;67;319e183604
63855795719572;541670;1;100;66;319e183604
63855795722222;544380;1;100;57;319e183604
63855795723072;545146;1;100;62;319e183604
63855795724288;546443;1;100;58;319e183604
63855795725305;547446;1;100;59;319e183604
63855795727239;549359;1;100;53;319e183604
63855795728539;550649;1;100;52;319e183604
63855795730472;552622;-1;100;47;319e183604
63855795731172;553339;-1;100;55;319e183604
63855795733305;555432;-1;100;49;319e183604
63855795733844;555929;-1;100;66;319e183604
63855795735138;557299;-1;100;61;319e183604
63855795735672;557788;-1;100;75;319e183604
63855795736255;558378;-1;100;81;319e183604
63855795737572;559698;-1;100;73;319e183604
63855795740688;562868;-1;100;61;319e183604
63855795741305;563441;-1;100;71;319e183604
63855795741705;563801;-1;100;93;319e183604
63855795742322;564454;-1;100;93;319e183604
63855795743638;565785;-1;100;83;319e183604
63855795744072;566224;-1;100;95;319e183604
63855795744971;567051;2;100;90;319e183604
63855795748005;570144;2;100;74;319e183604
63855795749138;571294;2;100;70;319e183604
63855795754921;577043;2;100;57;319e183604
63855795756038;578153;2;100;56;319e183604
63855795756988;579080;2;100;58;319e183604
63855795758071;580210;2;100;57;319e183604
63855795758688;580853;2;100;65;319e183604
63855795759310;581416;2;100;75;319e183604
63855795760322;582479;2;100;71;319e183604
63855795761955;584086;2;100;64;319e183604
63855795763471;585586;2;100;59;319e183604
63855795765571;587759;2;100;52;319e183604
63855795766005;588129;2;100;77;319e183604
63855795768421;590608;2;100;66;319e183604
63855795769471;591542;2;100;65;319e183604
63855795769971;592068;2;100;77;319e183604
63855795770471;592605;2;100;85;319e183604
63855795772272;594378;2;100;74;319e183604
63855795773088;595252;2;100;72;319e183604
63855795774637;596785;2;100;65;319e183604
63855795775738;597835;2;100;64;319e183604
63855795776238;598411;2;100;73;319e183604
63855795778488;600608;2;100;63;319e183604
63855795779388;601477;2;100;64;319e183604
63855795780121;602227;2;100;68;319e183604
63855795780504;602617;2;100;88;319e183604
63855795782455;604560;2;100;75;319e183604
