Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63855795601931;424064;0;100;-16408;319e183604
63855795602008;424197;0;100;-16412,8;319e183604
63855795602008;424197;0;100;-16416;319e183604
63855795602134;424264;0;100;-16418;319e183604
63855795602242;424397;0;100;-16417,4;319e183604
63855795602242;424397;0;100;-16417,4;319e183604
63855795602334;424464;0;100;-16416,6;319e183604
63855795602443;424597;0;100;-16416;319e183604
63855795602443;424597;0;100;-16415,4;319e183604
63855795602542;424664;0;100;-16414;319e183604
63855795602636;424797;0;100;-16414,8;319e183604
63855795602636;424797;0;100;-16407,8;319e183604
63855795602738;424864;0;100;-16397;319e183604
63855795602840;424997;0;100;-16388,6;319e183604
63855795602840;424997;0;100;-16381,2;319e183604
63855795602941;425064;0;100;-16377;319e183604
63855795603041;425197;0;100;-16377;319e183604
63855795603041;425197;0;100;-16376,2;319e183604
63855795603144;425264;0;100;-16376,2;319e183604
63855795603236;425397;0;100;-16377;319e183604
63855795603236;425397;0;100;-16378,2;319e183604
63855795603331;425464;0;100;-16380,2;319e183604
63855795603441;425597;0;100;-16379,6;319e183604
63855795603441;425597;0;100;-16380,4;319e183604
63855795603539;425664;0;100;-16379,4;319e183604
63855795603640;425797;0;100;-16378;319e183604
63855795603640;425797;0;100;-16379,8;319e183604
63855795603742;425864;0;100;-16381;319e183604
63855795603841;425997;0;100;-16382,2;319e183604
63855795603841;425997;0;100;-16386,6;319e183604
63855795603967;426130;0;100;-16393;319e183604
63855795603967;426130;0;100;-16396,8;319e183604
63855795604052;426197;0;100;-16397,8;319e183604
63855795604141;426330;0;100;-16402,6;319e183604
63855795604141;426330;0;100;-16401,8;319e183604
63855795604277;426397;0;100;-16401,4;319e183604
63855795604375;426530;0;100;-16400,8;319e183604
63855795604375;426530;0;100;-16399;319e183604
63855795604468;426597;0;100;-16399,2;319e183604
63855795604551;426730;0;100;-16400;319e183604
63855795604551;426730;0;100;-16401,2;319e183604
63855795604675;426797;0;100;-16401,6;319e183604
63855795604787;426930;0;100;-16401,4;319e183604
63855795604787;426930;0;100;-16404;319e183604
63855795604869;426997;0;100;-16405;319e183604
63855795604984;427130;0;100;-16403,8;319e183604
63855795604984;427130;0;100;-16402,6;319e183604
63855795605071;427197;0;100;-16401,6;319e183604
63855795605172;427330;0;100;-16401;319e183604
63855795605172;427330;0;100;-16400,6;319e183604
63855795605304;427463;0;100;-16401;319e183604
63855795605304;427463;0;100;-16400,8;319e183604
63855795605408;427530;0;100;-16400,8;319e183604
63855795605475;427663;0;100;-16400;319e183604
63855795605475;427663;0;100;-16399,8;319e183604
63855795605607;427730;0;100;-16401;319e183604
63855795605681;427863;0;100;-16401,2;319e183604
63855795605681;427863;0;100;-16399,4;319e183604
63855795605801;427930;0;100;-16398,4;319e183604
63855795605911;428063;0;100;-16397;319e183604
63855795605911;428063;0;100;-16397,2;319e183604
63855795606008;428130;0;100;-16398,8;319e183604
63855795606144;428263;0;100;-16401,6;319e183604
63855795606144;428263;0;100;-16399,4;319e183604
63855795606208;428330;0;100;-16399,4;319e183604
63855795606299;428463;0;100;-16399;319e183604
63855795606299;428463;0;100;-16399;319e183604
63855795606388;428530;0;100;-16399,4;319e183604
63855795606508;428663;0;100;-16398;319e183604
63855795606508;428663;0;100;-16399,4;319e183604
63855795606625;428730;0;100;-16400,8;319e183604
63855795606708;428863;0;100;-16399,4;319e183604
63855795606708;428863;0;100;-16400,4;319e183604
63855795606800;428930;0;100;-16401;319e183604
63855795606908;429063;0;100;-16403;319e183604
63855795606908;429063;0;100;-16405,2;319e183604
63855795607006;429130;0;100;-16406,6;319e183604
63855795607110;429263;0;100;-16406,6;319e183604
63855795607110;429263;0;100;-16408;319e183604
63855795607208;429330;0;100;-16409;319e183604
63855795607318;429463;0;100;-16409,8;319e183604
63855795607318;429463;0;100;-16409,6;319e183604
63855795607408;429530;0;100;-16408,2;319e183604
63855795607498;429663;0;100;-16408;319e183604
63855795607498;429663;0;100;-16408,4;319e183604
63855795607642;429730;0;100;-16409,8;319e183604
63855795607708;429863;0;100;-16409,8;319e183604
63855795607708;429863;0;100;-16409,2;319e183604
63855795607816;429997;0;100;-16407,6;319e183604
63855795607816;429997;0;100;-16406,4;319e183604
63855795607907;430063;0;100;-16405,4;319e183604
63855795608011;430197;0;100;-16403;319e183604
63855795608011;430197;0;100;-16400,8;319e183604
63855795608142;430263;0;100;-16393,2;319e183604
63855795608248;430396;0;100;-16376,2;319e183604
63855795608248;430396;0;100;-16368,2;319e183604
63855795608338;430463;0;100;-16396,8;319e183604
63855795608431;430596;0;100;-16457,4;319e183604
63855795608431;430596;0;100;-16507,6;319e183604
63855795608541;430663;0;100;-16564,8;319e183604
63855795608640;430797;0;100;-16666,2;319e183604
63855795608640;430797;0;100;-16685,2;319e183604
63855795608743;430863;0;100;-16661;319e183604
63855795608841;430996;0;100;-16626,6;319e183604
63855795608841;430996;0;100;-16598,6;319e183604
63855795608944;431063;0;100;-16576;319e183604
63855795609041;431196;0;100;-16557,4;319e183604
63855795609041;431196;0;100;-16543,6;319e183604
63855795609135;431263;0;100;-16532,8;319e183604
63855795609242;431396;0;100;-16529,2;319e183604
63855795609242;431396;0;100;-16530,4;319e183604
63855795609340;431463;0;100;-16530,6;319e183604
63855795609441;431596;0;100;-16529;319e183604
63855795609441;431596;0;100;-16526,6;319e183604
63855795609541;431663;0;100;-16524,2;319e183604
63855795609651;431796;0;100;-16521;319e183604
63855795609651;431796;0;100;-16517,2;319e183604
63855795609741;431930;0;100;-16514,2;319e183604
63855795609741;431930;0;100;-16509,6;319e183604
63855795609878;431997;0;100;-16507,2;319e183604
63855795609971;432130;0;100;-16504,6;319e183604
63855795609971;432130;0;100;-16503,2;319e183604
63855795610075;432196;0;100;-16500;319e183604
63855795610141;432330;0;100;-16496,4;319e183604
63855795610141;432330;0;100;-16493,8;319e183604
63855795610275;432396;0;100;-16492,4;319e183604
63855795610375;432530;0;100;-16490;319e183604
63855795610375;432530;0;100;-16487,6;319e183604
63855795610475;432596;0;100;-16485,6;319e183604
63855795610578;432730;0;100;-16482,8;319e183604
63855795610578;432730;0;100;-16480;319e183604
63855795610675;432796;0;100;-16478,2;319e183604
63855795610771;432930;0;100;-16478,8;319e183604
63855795610771;432930;0;100;-16477;319e183604
63855795610875;432997;0;100;-16474,4;319e183604
63855795610971;433130;0;100;-16473;319e183604
63855795610971;433130;0;100;-16471,4;319e183604
63855795611075;433196;0;100;-16470,2;319e183604
63855795611173;433330;0;100;-16471,4;319e183604
63855795611173;433330;0;100;-16470,6;319e183604
63855795611308;433396;0;100;-16469,8;319e183604
63855795611375;433530;0;100;-16469,8;319e183604
63855795611375;433530;0;100;-16468,8;319e183604
63855795611474;433663;0;100;-16469,2;319e183604
63855795611474;433663;0;100;-16465,6;319e183604
63855795611574;433730;0;100;-16465;319e183604
63855795611708;433863;0;100;-16464,4;319e183604
63855795611708;433863;0;100;-16464;319e183604
63855795611787;433929;0;100;-16463,4;319e183604
63855795611875;434063;0;100;-16461,6;319e183604
63855795611875;434063;0;100;-16462,2;319e183604
63855795611978;434129;0;100;-16463,4;319e183604
63855795612108;434263;0;100;-16463;319e183604
63855795612108;434263;0;100;-16462,4;319e183604
63855795612215;434329;0;100;-16464,2;319e183604
63855795612309;434463;0;100;-16464,4;319e183604
63855795612309;434463;0;100;-16465,2;319e183604
63855795612403;434529;0;100;-16465,8;319e183604
63855795612508;434663;0;100;-16463,2;319e183604
63855795612508;434663;0;100;-16463,8;319e183604
63855795612629;434729;0;100;-16465,6;319e183604
63855795612707;434863;0;100;-16464;319e183604
63855795612707;434863;0;100;-16464,2;319e183604
63855795612804;434929;0;100;-16465,8;319e183604
63855795612910;435063;0;100;-16464,6;319e183604
63855795612910;435063;0;100;-16466,2;319e183604
63855795613008;435129;0;100;-16467,4;319e183604
63855795613142;435263;0;100;-16465,8;319e183604
63855795613142;435263;0;100;-16463,6;319e183604
63855795613207;435329;0;100;-16461;319e183604
63855795613348;435463;0;100;-16459,4;319e183604
63855795613348;435463;0;100;-16453,4;319e183604
63855795613408;435529;0;100;-16436,4;319e183604
63855795613509;435663;0;100;-16397;319e183604
63855795613509;435663;0;100;-16347,6;319e183604
63855795613708;435796;0;100;-16327,4;319e183604
63855795613708;435796;0;100;-16321,6;319e183604
63855795613766;435929;0;100;-16310;319e183604
63855795613766;435929;0;100;-16315,2;319e183604
63855795613874;435996;0;100;-16345,8;319e183604
63855795613965;436129;0;100;-16363;319e183604
63855795613965;436129;0;100;-16363,8;319e183604
63855795614075;436196;0;100;-16362,2;319e183604
63855795614175;436329;0;100;-16363,6;319e183604
63855795614175;436329;0;100;-16363,4;319e183604
63855795614291;436396;0;100;-16372,6;319e183604
63855795614371;436529;0;100;-16388,8;319e183604
63855795614371;436529;0;100;-16405,8;319e183604
63855795614474;436596;0;100;-16415,8;319e183604
63855795614574;436729;0;100;-16419,6;319e183604
63855795614574;436729;0;100;-16421,6;319e183604
63855795614670;436796;0;100;-16424,8;319e183604
63855795614775;436929;0;100;-16429,2;319e183604
63855795614775;436929;0;100;-16433,4;319e183604
63855795614899;437063;0;100;-16436,4;319e183604
63855795614899;437063;0;100;-16437;319e183604
63855795614992;437129;0;100;-16436,6;319e183604
63855795615107;437262;0;100;-16435,8;319e183604
63855795615107;437262;0;100;-16439,2;319e183604
63855795615210;437329;0;100;-16441,2;319e183604
63855795615308;437462;0;100;-16445;319e183604
63855795615308;437462;0;100;-16446,6;319e183604
63855795615405;437529;0;100;-16447,2;319e183604
63855795615508;437662;0;100;-16449,8;319e183604
63855795615508;437662;0;100;-16449,4;319e183604
63855795615607;437729;0;100;-16450,6;319e183604
63855795615710;437862;0;100;-16450,8;319e183604
