Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63855795602008;424197;0;100;14,3097;319e183604
63855795602443;424597;0;100;14,1441;319e183604
63855795602738;424864;0;100;13,9805;319e183604
63855795603041;425197;0;100;13,8188;319e183604
63855795603441;425597;0;100;13,6589;319e183604
63855795603741;425864;0;100;13,5009;319e183604
63855795604052;426197;0;100;13,3448;319e183604
63855795604374;426530;0;100;13,1904;319e183604
63855795604787;426930;0;100;13,0378;319e183604
63855795605071;427197;0;100;12,887;319e183604
63855795605408;427530;0;100;12,7379;319e183604
63855795605681;427863;0;100;12,5905;319e183604
63855795606144;428263;0;100;12,4449;319e183604
63855795606388;428530;0;100;12,3009;319e183604
63855795606708;428863;0;100;12,1586;319e183604
63855795607110;429263;0;100;12,018;319e183604
63855795607408;429530;0;100;11,879;319e183604
63855795607708;429863;0;100;11,7415;319e183604
63855795608011;430197;0;100;11,6057;319e183604
63855795608431;430596;0;100;11,4715;319e183604
63855795608743;430863;0;100;11,3388;319e183604
63855795609041;431196;0;100;13,2898;319e183604
63855795609441;431596;0;100;13,1361;319e183604
63855795609741;431930;0;100;12,9841;319e183604
63855795610075;432196;0;100;12,8339;319e183604
63855795610375;432530;0;100;12,6855;319e183604
63855795610771;432930;0;100;12,5387;319e183604
63855795611075;433196;0;100;12,3937;319e183604
63855795611375;433530;0;100;12,2503;319e183604
63855795611708;433863;0;100;12,1086;319e183604
63855795612108;434263;0;100;11,9685;319e183604
63855795612403;434529;0;100;11,8301;319e183604
63855795612707;434863;0;100;11,6932;319e183604
63855795613142;435263;0;100;11,5579;319e183604
63855795613408;435529;0;100;11,4242;319e183604
63855795613766;435929;0;100;11,2921;319e183604
63855795614075;436196;0;100;11,1615;319e183604
63855795614370;436529;0;100;11,0323;319e183604
63855795614775;436929;0;100;10,9047;319e183604
63855795615107;437262;0;100;12,8608;319e183604
63855795615405;437529;0;100;14,7943;319e183604
63855795615710;437862;0;100;14,6232;319e183604
63855795616139;438262;0;100;14,454;319e183604
63855795616412;438529;0;100;16,369;319e183604
63855795616707;438862;0;100;16,1797;319e183604
63855795617039;439196;0;100;15,9925;319e183604
63855795617440;439596;0;100;15,8075;319e183604
63855795617740;439862;0;100;15,6247;319e183604
63855795618042;440196;0;100;15,4439;319e183604
63855795618440;440595;0;100;15,2653;319e183604
63855795618774;440929;0;100;15,0887;319e183604
63855795619074;441196;0;100;14,9141;319e183604
63855795619375;441529;0;100;14,7416;319e183604
63855795619768;441929;0;100;14,5711;319e183604
63855795620110;442195;0;100;14,4025;319e183604
63855795620382;442529;0;100;16,3181;319e183604
63855795620708;442862;0;100;16,1294;319e183604
63855795621076;443262;0;100;15,9428;319e183604
63855795621407;443529;0;100;15,7584;319e183604
63855795621697;443862;0;100;15,5761;319e183604
63855795622141;444262;0;100;15,3959;319e183604
63855795622408;444528;0;100;15,2178;319e183604
63855795622713;444862;0;100;15,0417;319e183604
63855795623041;445195;0;100;14,8677;319e183604
63855795623416;445595;0;100;14,6957;319e183604
63855795623740;445862;0;100;14,5257;319e183604
63855795624039;446195;0;100;14,3577;319e183604
63855795624441;446595;0;100;14,1916;319e183604
63855795624738;446862;0;100;14,0274;319e183604
63855795625042;447195;0;100;13,8652;319e183604
63855795625341;447528;0;100;13,7048;319e183604
63855795625775;447928;0;100;13,5462;319e183604
63855795626074;448195;0;100;13,3895;319e183604
63855795626372;448528;0;100;13,2347;319e183604
63855795626774;448928;0;100;13,0816;319e183604
63855795627070;449261;0;100;12,9302;319e183604
63855795627375;449528;0;100;12,7806;319e183604
63855795627703;449861;0;100;12,6328;319e183604
63855795628141;450261;0;100;12,4867;319e183604
63855795628407;450528;0;100;12,3422;319e183604
63855795628744;450861;0;100;12,1994;319e183604
63855795629164;451261;0;100;12,0583;319e183604
63855795629444;451594;0;100;11,9188;319e183604
63855795629713;451861;0;100;13,8632;319e183604
63855795630041;452194;0;100;13,7028;319e183604
63855795630443;452594;0;100;13,5443;319e183604
63855795630741;452861;0;100;13,3876;319e183604
63855795631031;453194;0;100;13,2328;319e183604
63855795631440;453594;0;100;15,1619;319e183604
63855795631775;453927;0;100;14,9865;319e183604
63855795632043;454194;0;100;16,8954;319e183604
63855795632374;454527;0;100;16,7;319e183604
63855795632774;454927;0;100;16,5068;319e183604
63855795633073;455194;0;100;16,3158;319e183604
63855795633371;455527;0;100;18,2094;319e183604
63855795633679;455861;0;100;17,9987;319e183604
63855795634105;456261;0;100;17,7905;319e183604
63855795634407;456527;0;100;17,5847;319e183604
63855795634708;456861;0;100;17,3813;319e183604
63855795635107;457260;0;100;17,1802;319e183604
63855795635403;457527;0;100;16,9815;319e183604
63855795635741;457860;0;100;16,785;319e183604
63855795636009;458194;0;100;16,5909;319e183604
63855795636429;458594;0;100;16,3989;319e183604
63855795636741;458860;0;100;18,2915;319e183604
63855795637038;459194;0;100;18,0799;319e183604
63855795637441;459594;0;100;19,953;319e183604
63855795637740;459860;0;100;19,7222;319e183604
63855795638039;460194;0;100;19,494;319e183604
63855795638355;460527;0;100;19,2685;319e183604
63855795638764;460927;0;100;19,0456;319e183604
63855795639055;461193;0;100;18,8253;319e183604
63855795639369;461527;0;100;18,6075;319e183604
63855795639774;461927;0;100;18,3923;319e183604
63855795640073;462193;0;100;18,1795;319e183604
63855795640371;462527;0;100;17,9692;319e183604
63855795640683;462860;0;100;17,7613;319e183604
63855795641095;463260;0;100;17,5559;319e183604
63855795641407;463527;0;100;17,3528;319e183604
63855795641701;463860;0;100;17,152;319e183604
63855795642107;464260;0;100;16,9536;319e183604
63855795642407;464526;0;100;16,7575;319e183604
63855795642753;464860;0;100;16,5637;319e183604
63855795643041;465193;0;100;16,372;319e183604
63855795643450;465593;0;100;16,1826;319e183604
63855795643740;465860;0;100;15,9954;319e183604
63855795644034;466193;0;100;15,8104;319e183604
63855795644440;466593;0;100;15,6275;319e183604
63855795644774;466926;0;100;15,4467;319e183604
63855795645075;467193;0;100;15,268;319e183604
63855795645436;467593;0;100;15,0914;319e183604
63855795645742;467860;0;100;14,9168;319e183604
63855795646042;468193;0;100;14,7443;319e183604
63855795646431;468593;0;100;16,656;319e183604
63855795646774;468926;0;100;16,4633;319e183604
63855795647073;469193;0;100;18,3551;319e183604
63855795647389;469526;0;100;18,1428;319e183604
63855795647774;469926;0;100;17,9329;319e183604
63855795648084;470193;0;100;17,7254;319e183604
63855795648373;470526;0;100;17,5204;319e183604
63855795648675;470859;0;100;17,3177;319e183604
63855795649073;471259;0;100;17,1174;319e183604
63855795649407;471526;0;100;16,9194;319e183604
63855795649715;471859;0;100;16,7236;319e183604
63855795650098;472259;0;100;16,5302;319e183604
63855795650411;472526;0;100;16,339;319e183604
63855795650707;472859;0;100;18,2322;319e183604
63855795651033;473192;0;100;18,0213;319e183604
63855795651436;473592;0;100;17,8128;319e183604
63855795651734;473859;0;100;17,6068;319e183604
63855795652044;474192;0;100;17,4031;319e183604
63855795652432;474592;0;100;17,2018;319e183604
63855795652743;474925;0;100;17,0028;319e183604
63855795653040;475192;0;100;16,8061;319e183604
63855795653368;475525;0;100;16,6117;319e183604
63855795653773;475925;0;100;16,4195;319e183604
63855795654064;476192;0;100;16,2296;319e183604
63855795654375;476525;0;100;16,0418;319e183604
63855795654673;476859;0;100;15,8562;319e183604
63855795655077;477258;0;100;17,7551;319e183604
63855795655407;477525;0;100;17,5497;319e183604
63855795655720;477858;0;100;17,3467;319e183604
63855795656142;478258;0;100;19,2282;319e183604
63855795656411;478525;0;100;21,0881;319e183604
63855795656708;478858;0;100;20,8441;319e183604
63855795657040;479192;0;100;20,603;319e183604
63855795657440;479592;0;100;20,3647;319e183604
63855795657741;479858;0;100;20,1291;319e183604
63855795658047;480192;0;100;19,8962;319e183604
63855795658440;480591;0;100;19,6661;319e183604
63855795658778;480925;0;100;19,4386;319e183604
63855795659040;481191;0;100;19,2137;319e183604
63855795659374;481525;0;100;18,9914;319e183604
63855795659772;481925;0;100;20,854;319e183604
63855795660073;482191;0;100;20,6127;319e183604
63855795660383;482525;0;100;20,3743;319e183604
63855795660674;482858;0;100;20,1386;319e183604
63855795661078;483258;0;100;19,9056;319e183604
63855795661404;483525;0;100;19,6754;319e183604
63855795661700;483858;0;100;19,4478;319e183604
63855795662106;484258;0;100;19,2228;319e183604
63855795662402;484591;0;100;21,0827;319e183604
63855795662723;484858;0;100;20,8388;319e183604
63855795663041;485191;0;100;20,5977;319e183604
63855795663445;485591;0;100;20,3594;319e183604
63855795663741;485858;0;100;20,1239;319e183604
63855795664033;486191;0;100;19,8911;319e183604
63855795664352;486524;0;100;21,7433;319e183604
63855795664770;486924;0;100;21,4918;319e183604
63855795665075;487191;0;100;21,2431;319e183604
63855795665374;487524;0;100;20,9974;319e183604
63855795665775;487924;0;100;20,7545;319e183604
63855795666101;488257;0;100;20,5144;319e183604
63855795666370;488524;0;100;20,2771;319e183604
63855795666689;488857;0;100;20,0425;319e183604
63855795667107;489257;0;100;19,8107;319e183604
63855795667413;489524;0;100;19,5815;319e183604
63855795667706;489857;0;100;19,355;319e183604
63855795668001;490191;0;100;19,1311;319e183604
63855795668437;490590;0;100;18,9098;319e183604
63855795668732;490857;0;100;18,691;319e183604
63855795669044;491190;0;100;18,4748;319e183604
63855795669435;491590;0;100;18,2611;319e183604
63855795669743;491857;0;100;18,0498;319e183604
63855795670041;492190;0;100;17,841;319e183604
63855795670340;492524;0;100;17,6347;319e183604
63855795670771;492924;0;100;19,5129;319e183604
63855795671073;493190;0;100;19,2872;319e183604
63855795671375;493524;0;100;19,0641;319e183604
63855795671770;493923;0;100;20,9258;319e183604
63855795672080;494257;0;100;20,6837;319e183604
63855795672371;494523;0;100;20,4444;319e183604
63855795672699;494857;0;100;20,2079;319e183604
63855795673107;495257;0;100;19,9742;319e183604
63855795673407;495523;0;100;19,7431;319e183604
63855795673710;495857;0;100;19,5147;319e183604
63855795674006;496190;0;100;19,289;319e183604
63855795674409;496590;0;100;19,0658;319e183604
63855795674741;496857;0;100;18,8453;319e183604
63855795675039;497190;0;100;18,6273;319e183604
63855795675438;497590;0;100;18,4118;319e183604
63855795675739;497923;0;100;18,1988;319e183604
63855795676055;498190;0;100;17,9883;319e183604
63855795676340;498523;0;100;17,7802;319e183604
63855795676748;498923;0;100;17,5745;319e183604
63855795677037;499190;0;100;17,3712;319e183604
63855795677423;499590;0;100;17,1702;319e183604
63855795677740;499856;0;100;16,9716;319e183604
63855795678035;500190;0;100;16,7753;319e183604
63855795678439;500589;0;100;16,5812;319e183604
63855795678770;500923;0;100;16,3894;319e183604
63855795679044;501189;0;100;16,1998;319e183604
63855795679341;501523;0;100;16,0124;319e183604
63855795679753;501923;0;100;15,8272;319e183604
63855795680073;502189;0;100;15,6441;319e183604
63855795680373;502523;0;100;15,4631;319e183604
63855795680677;502856;0;100;15,2843;319e183604
63855795681069;503256;0;100;15,1074;319e183604
63855795681383;503523;0;100;17,0149;319e183604
63855795681675;503856;1;100;16,8181;319e183604
63855795682114;504256;1;100;16,6236;319e183604
63855795682407;504522;1;100;16,4312;319e183604
63855795682698;504856;1;100;16,2412;319e183604
63855795683020;505189;1;100;16,0533;319e183604
63855795683407;505589;1;100;15,8676;319e183604
63855795683718;505856;1;100;15,684;319e183604
63855795684035;506189;1;100;15,5026;319e183604
63855795684450;506589;1;100;15,3233;319e183604
63855795684741;506856;1;100;15,146;319e183604
63855795685041;507189;1;100;14,9708;319e183604
63855795685352;507522;1;100;14,7976;319e183604
63855795685740;507922;1;100;14,6264;319e183604
63855795686047;508189;1;100;14,4572;319e183604
63855795686348;508522;1;100;14,29;319e183604
63855795686777;508922;1;100;14,1247;319e183604
63855795687073;509189;1;100;13,9613;319e183604
63855795687373;509522;1;100;15,882;319e183604
63855795687690;509855;1;100;17,7806;319e183604
63855795688102;510255;1;100;17,5749;319e183604
63855795688380;510522;1;100;17,3716;319e183604
63855795688704;510855;1;100;17,1706;319e183604
63855795689115;511255;1;100;16,972;319e183604
63855795689405;511522;1;100;16,7756;319e183604
63855795689698;511855;1;100;16,5816;319e183604
63855795690010;512188;1;100;16,3898;319e183604
63855795690431;512588;1;100;16,2002;319e183604
63855795690723;512855;1;100;16,0128;319e183604
63855795691040;513188;1;100;15,8275;319e183604
63855795691440;513588;1;100;15,6444;319e183604
63855795691740;513921;1;100;17,5457;319e183604
63855795692040;514188;1;100;17,3427;319e183604
63855795692349;514521;1;100;17,1421;319e183604
63855795692763;514921;1;100;16,9438;319e183604
63855795693057;515188;1;100;18,8301;319e183604
63855795693373;515521;1;100;20,6945;319e183604
63855795693774;515921;1;100;20,4551;319e183604
63855795694073;516255;1;100;20,2185;319e183604
63855795694374;516521;1;100;19,9846;319e183604
63855795694685;516855;1;100;19,7534;319e183604
63855795695106;517254;1;100;19,5249;319e183604
63855795695440;517521;1;100;19,299;319e183604
63855795695705;517854;1;100;19,0758;319e183604
63855795696003;518188;1;100;18,8551;319e183604
63855795696408;518588;1;100;18,637;319e183604
63855795696734;518854;1;100;18,4214;319e183604
63855795697017;519188;1;100;20,2905;319e183604
63855795697437;519588;1;100;20,0558;319e183604
