Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63855795608841;430530;0;100;0,333333;319e183604
63855795614992;436663;0;100;0,4;319e183604
63855795615405;437329;0;100;0,133333;319e183604
63855795616139;437996;0;100;0,2;319e183604
63855795620174;441729;0;100;0,466667;319e183604
63855795629444;451395;0;100;0,133333;319e183604
63855795631141;452861;0;100;0,333333;319e183604
63855795631966;453728;0;100;0,266667;319e183604
63855795633272;455261;0;100;0,066667;319e183604
63855795636638;458128;0;100;0,6;319e183604
63855795637240;459128;0;100;0,133333;319e183604
63855795646431;468193;0;100;0,266667;319e183604
63855795646774;468593;0;100;0,266667;319e183604
63855795650653;472326;0;100;0,4;319e183604
63855795654907;476592;0;100;0,333333;319e183604
63855795656007;477458;0;100;0,6;319e183604
63855795656208;478192;0;100;0,066667;319e183604
63855795659682;481259;0;100;0,466667;319e183604
63855795662251;484258;0;100;0,066667;319e183604
63855795664141;485858;0;100;0,4;319e183604
63855795670453;492324;0;100;0,2;319e183604
63855795671672;493524;0;100;0,2;319e183604
63855795681177;502990;0;100;0,266667;319e183604
63855795687164;508922;1;100;0,333333;319e183604
63855795687568;509389;1;100;0,266667;319e183604
63855795691648;513522;1;100;0,2;319e183604
63855795692873;514588;1;100;0,333333;319e183604
63855795693167;515055;1;100;0,133333;319e183604
63855795696813;518522;1;100;0,333333;319e183604
63855795697540;519388;1;100;0,2;319e183604
63855795697956;519988;1;100;0,066667;319e183604
63855795701107;522988;1;100;0,2;319e183604
63855795701705;523454;1;100;0,333333;319e183604
63855795705072;526787;1;100;0,333333;319e183604
63855795709439;531386;1;100;0,066667;319e183604
63855795713706;535253;1;100;0,466667;319e183604
63855795715422;537120;1;100;0,4;319e183604
63855795718255;539919;1;100;0,4;319e183604
63855795719889;541453;1;100;0,466667;319e183604
63855795722939;544985;1;100;0,066667;319e183604
63855795726705;548451;1;100;0,333333;319e183604
63855795727638;549651;1;100;0,066667;319e183604
63855795727939;549851;1;100;0,133333;319e183604
63855795730072;551584;1;100;0,533333;319e183604
63855795732638;554651;-1;100;0,066667;319e183604
63855795736572;558384;-1;100;0,2;319e183604
63855795751472;573182;2;100;0,333333;319e183604
63855795752272;574115;2;100;0,2;319e183604
63855795753288;574915;2;100;0,466667;319e183604
63855795756755;578315;2;100;0,533333;319e183604
63855795759822;581248;2;100;0,6;319e183604
63855795762538;584314;2;100;0,333333;319e183604
63855795766821;588647;2;100;0,266667;319e183604
63855795767021;589047;2;100;0,066667;319e183604
63855795767405;589381;2;100;0,133333;319e183604
63855795772272;593847;2;100;0,533333;319e183604
63855795775338;596847;2;100;0,533333;319e183604
63855795778488;600446;2;100;0,066667;319e183604
63855795780204;601580;2;100;0,666667;319e183604
63855795783271;604779;2;100;0,533333;319e183604
63855795785288;606912;2;100;0,466667;319e183604
63855795786504;608045;2;100;0,466667;319e183604
63855795787621;609313;2;100;0,333333;319e183604
63855795790821;612445;2;100;0,4;319e183604
63855795793487;615245;-2;100;0,333333;319e183604
63855795801271;623245;-2;100;0,066667;319e183604
63855795809871;631310;3;100;0,533333;319e183604
63855795810687;632510;3;100;0,266667;319e183604
63855795813487;635176;3;100;0,333333;319e183604
63855795817175;638976;3;100;0,266667;319e183604
63855795817687;639642;3;100;0,133333;319e183604
63855795818004;639909;3;100;0,133333;319e183604
63855795820287;641775;3;100;0,6;319e183604
63855795826287;647841;3;100;0,466667;319e183604
63855795829954;651574;-3;100;0,466667;319e183604
63855795832203;653974;-3;100;0,333333;319e183604
