Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857594695680;354490;0;100;35;3939936f19
63857594697230;356077;0;100;36;3939936f19
63857594702244;361129;0;100;31;3939936f19
63857594703764;362619;0;100;33;3939936f19
63857594705695;364622;0;100;32;3939936f19
63857594707498;366379;0;100;33;3939936f19
63857594709132;367955;0;100;34;3939936f19
63857594709631;368492;0;100;52;3939936f19
63857594710648;369465;0;100;54;3939936f19
63857594714968;373848;0;100;45;3939936f19
63857594716199;375091;0;100;46;3939936f19
63857594717365;376261;0;100;47;3939936f19
63857594720199;379088;0;100;42;3939936f19
63857594722812;381687;0;100;38;3939936f19
63857594727245;386120;0;100;32;3939936f19
63857594728245;387134;0;100;38;3939936f19
63857594729566;388413;0;100;40;3939936f19
63857594731547;390397;0;100;38;3939936f19
63857594732936;391806;0;100;39;3939936f19
63857594733567;392450;0;100;52;3939936f19
63857594735478;394313;0;100;47;3939936f19
63857594739601;398486;0;100;40;3939936f19
63857594743633;402485;0;100;35;3939936f19
63857594744840;403688;0;100;38;3939936f19
63857594747268;406118;0;100;35;3939936f19
63857594748235;407112;0;100;41;3939936f19
63857594749352;408178;0;100;45;3939936f19
63857594755535;414404;0;100;37;3939936f19
63857594757169;416027;0;100;37;3939936f19
63857594757869;416657;0;100;50;3939936f19
63857594760636;419494;0;100;44;3939936f19
63857594760936;419810;0;100;76;3939936f19
63857594761836;420660;0;100;75;3939936f19
63857594763203;422007;0;100;68;3939936f19
63857594763703;422543;0;100;78;3939936f19
63857594764404;423270;0;100;79;3939936f19
63857594765736;424550;0;100;72;3939936f19
63857594767970;426850;0;100;62;3939936f19
63857594769437;428249;0;100;58;3939936f19
63857594770971;429873;0;100;53;3939936f19
63857594772305;431122;0;100;52;3939936f19
63857594774538;433392;0;100;47;3939936f19
63857594775671;434552;0;100;48;3939936f19
63857594777205;436015;0;100;46;3939936f19
63857594777705;436592;0;100;60;3939936f19
63857594780172;439042;0;100;52;3939936f19
63857594781872;440685;0;100;49;3939936f19
63857594783072;441888;0;100;49;3939936f19
63857594783272;442201;0;100;81;3939936f19
63857594784005;442828;0;100;85;3939936f19
63857594784806;443661;0;100;82;3939936f19
63857594785239;444124;0;100;93;3939936f19
63857594785839;444664;0;100;97;3939936f19
63857594786339;445214;0;100;100;3939936f19
63857594786839;445701;0;100;105;3939936f19
63857594788072;446954;0;100;93;3939936f19
63857594788539;447354;0;100;105;3939936f19
63857594788906;447784;0;100;114;3939936f19
63857594790439;449247;0;100;98;3939936f19
63857594791773;450607;0;100;86;3939936f19
63857594792473;451324;0;100;86;3939936f19
63857594792774;451670;0;100;106;3939936f19
63857594793806;452654;0;100;96;3939936f19
63857594794190;453057;0;100;108;3939936f19
63857594795173;453963;0;100;99;3939936f19
63857594795340;454213;0;100;130;3939936f19
63857594795874;454680;1;100;130;3939936f19
63857594796174;455067;1;100;136;3939936f19
63857594796674;455533;1;100;134;3939936f19
63857594799108;458013;1;100;110;3939936f19
63857594801174;459983;1;100;92;3939936f19
63857594801974;460846;1;100;88;3939936f19
63857594802474;461303;1;100;98;3939936f19
63857594805008;463856;1;100;81;3939936f19
63857594805393;464309;1;100;93;3939936f19
63857594807141;465959;1;100;80;3939936f19
63857594807642;466516;1;100;87;3939936f19
63857594810808;469645;1;100;72;3939936f19
63857594813175;471968;1;100;62;3939936f19
63857594813442;472265;1;100;94;3939936f19
63857594815909;474798;1;100;78;3939936f19
63857594816609;475435;1;100;82;3939936f19
63857594819043;477884;1;100;69;3939936f19
63857594819543;478401;1;100;80;3939936f19
63857594820777;479594;1;100;74;3939936f19
63857594821377;480237;1;100;78;3939936f19
63857594821777;480641;1;100;94;3939936f19
63857594822210;481054;1;100;106;3939936f19
63857594824043;482921;1;100;90;3939936f19
63857594824443;483330;1;100;102;3939936f19
63857594826577;485444;1;100;86;3939936f19
63857594828743;487590;1;100;73;3939936f19
63857594831244;490106;1;100;62;3939936f19
63857594832177;491013;1;100;63;3939936f19
63857594833511;492336;1;100;59;3939936f19
63857594835244;494130;1;100;54;3939936f19
63857594835744;494626;1;100;69;3939936f19
63857594837278;496106;1;100;63;3939936f19
63857594837978;496862;1;100;67;3939936f19
63857594838678;497533;1;100;72;3939936f19
63857594839095;497952;1;100;88;3939936f19
63857594839795;498556;1;100;91;3939936f19
63857594840312;499132;1;100;94;3939936f19
63857594842412;501255;1;100;80;3939936f19
63857594843345;502155;1;100;77;3939936f19
63857594844646;503505;1;100;70;3939936f19
63857594845479;504318;1;100;71;3939936f19
63857594846278;505122;1;100;72;3939936f19
63857594846679;505572;1;100;86;3939936f19
63857594849012;507905;1;100;73;3939936f19
63857594851963;510861;1;100;61;3939936f19
63857594855614;514464;1;100;51;3939936f19
63857594856130;514991;1;100;66;3939936f19
63857594857330;516248;1;100;62;3939936f19
63857594858181;517027;1;100;65;3939936f19
63857594858814;517660;1;100;72;3939936f19
63857594859514;518387;1;100;75;3939936f19
63857594860014;518864;1;100;87;3939936f19
63857594860597;519467;1;100;90;3939936f19
63857594863164;522007;1;100;75;3939936f19
63857594864964;523850;-1;100;66;3939936f19
63857594867298;526153;-1;100;57;3939936f19
63857594867998;526883;-1;100;63;3939936f19
63857594868915;527749;-1;100;64;3939936f19
63857594869539;528383;-1;100;71;3939936f19
63857594870432;529289;-1;100;70;3939936f19
63857594871165;529969;-1;100;75;3939936f19
63857594873182;532036;-1;100;65;3939936f19
63857594873782;532619;-1;100;74;3939936f19
63857594874316;533136;-1;100;83;3939936f19
63857594874632;533412;-1;100;112;3939936f19
63857594875215;534126;-1;100;107;3939936f19
63857594876032;534919;-1;100;100;3939936f19
63857594878482;537378;-1;100;83;3939936f19
63857594880816;539568;-1;100;71;3939936f19
63857594881007;539888;-1;100;97;3939936f19
63857594884071;542871;-1;100;80;3939936f19
63857594885366;544181;-1;100;72;3939936f19
63857594886649;545445;-1;100;67;3939936f19
63857594888367;547247;-1;100;60;3939936f19
63857594888739;547504;-1;100;100;3939936f19
63857594888984;547857;-1;100;116;3939936f19
63857594889483;548357;2;100;117;3939936f19
63857594889683;548577;2;100;152;3939936f19
63857594890501;549361;2;100;135;3939936f19
63857594891317;550144;2;100;122;3939936f19
63857594892784;551661;2;100;104;3939936f19
63857594896601;555437;2;100;85;3939936f19
63857594897768;556637;2;100;77;3939936f19
63857594898468;557293;2;100;80;3939936f19
63857594898968;557840;2;100;87;3939936f19
63857594900168;558963;2;100;80;3939936f19
63857594901185;560059;2;100;74;3939936f19
63857594902235;561053;2;100;72;3939936f19
63857594903335;562169;2;100;68;3939936f19
63857594903835;562679;2;100;79;3939936f19
63857594904418;563082;2;100;96;3939936f19
63857594905402;564279;2;100;85;3939936f19
63857594908885;567722;2;100;70;3939936f19
63857594910519;569379;2;100;63;3939936f19
63857594915069;573941;2;100;52;3939936f19
63857594915886;574705;2;100;58;3939936f19
63857594916819;575668;2;100;59;3939936f19
63857594917437;576241;2;100;69;3939936f19
63857594918336;577141;2;100;69;3939936f19
63857594920203;579048;2;100;61;3939936f19
63857594921103;579934;2;100;62;3939936f19
63857594921704;580578;2;100;70;3939936f19
63857594922454;581277;2;100;74;3939936f19
63857594924371;583207;2;100;64;3939936f19
63857594926004;584894;2;100;58;3939936f19
63857594926704;585614;2;100;64;3939936f19
63857594927737;586567;2;100;64;3939936f19
63857594928740;587600;2;100;63;3939936f19
63857594929454;588337;2;100;67;3939936f19
63857594930671;589543;2;100;63;3939936f19
63857594930971;589810;2;100;101;3939936f19
63857594932837;591676;2;100;85;3939936f19
63857594934339;593160;2;100;76;3939936f19
63857594935872;594699;2;100;68;3939936f19
63857594937388;596243;2;100;61;3939936f19
63857594938605;597496;2;100;58;3939936f19
63857594941206;599959;2;100;51;3939936f19
63857594942372;601185;2;100;51;3939936f19
63857594944206;603015;2;100;47;3939936f19
63857594945589;604385;2;100;46;3939936f19
63857594949307;608188;2;100;40;3939936f19
63857594952173;610961;2;100;36;3939936f19
63857594953607;612494;2;100;37;3939936f19
63857594956374;615201;2;100;33;3939936f19
63857594957374;616234;2;100;39;3939936f19
63857594958407;617247;2;100;44;3939936f19
63857594959507;618337;2;100;46;3939936f19
63857594961141;619974;2;100;44;3939936f19
63857594963007;621817;2;100;42;3939936f19
63857594964408;623243;2;100;42;3939936f19
63857594965041;623876;2;100;54;3939936f19
63857594966041;624840;2;100;56;3939936f19
63857594966941;625806;2;100;58;3939936f19
63857594969508;628326;2;100;50;3939936f19
63857594970342;629179;2;100;55;3939936f19
63857594972542;631436;2;100;49;3939936f19
63857594972842;631742;2;100;82;3939936f19
63857594973638;632492;2;100;82;3939936f19
63857594974242;633056;2;100;88;3939936f19
63857594977176;636052;2;100;73;3939936f19
63857594977876;636748;2;100;76;3939936f19
63857594978743;637625;2;100;75;3939936f19
63857594979776;638588;2;100;72;3939936f19
63857594982927;641778;-2;100;60;3939936f19
63857594983710;642535;-2;100;65;3939936f19
63857594984610;643421;-2;100;66;3939936f19
63857594985711;644541;-2;100;63;3939936f19
63857594987210;646051;-2;100;58;3939936f19
63857594988411;647174;-2;100;57;3939936f19
63857594989311;648174;-2;100;58;3939936f19
63857594990344;649141;-2;100;59;3939936f19
63857594991744;650574;-2;100;55;3939936f19
63857594993178;652050;-2;100;52;3939936f19
63857594995978;654787;-2;100;46;3939936f19
63857594996479;655267;-2;100;64;3939936f19
63857594996995;655843;-2;100;73;3939936f19
63857594998012;656886;-2;100;70;3939936f19
63857595000211;659003;-2;100;61;3939936f19
63857595000695;659580;-2;100;71;3939936f19
63857595002012;660819;3;100;66;3939936f19
63857595004896;663783;3;100;56;3939936f19
63857595006013;664832;3;100;56;3939936f19
63857595006946;665759;3;100;58;3939936f19
63857595008162;666962;3;100;57;3939936f19
63857595009646;668482;3;100;53;3939936f19
63857595010146;669032;3;100;66;3939936f19
63857595011280;670092;3;100;64;3939936f19
63857595011914;670725;3;100;71;3939936f19
63857595015280;674145;3;100;59;3939936f19
63857595018397;677198;3;100;50;3939936f19
63857595019397;678251;3;100;52;3939936f19
63857595020331;679151;3;100;55;3939936f19
63857595020815;679668;3;100;69;3939936f19
63857595021414;680261;3;100;77;3939936f19
63857595021947;680757;3;100;87;3939936f19
63857595023981;682784;3;100;74;3939936f19
63857595025697;684447;3;100;66;3939936f19
63857595028196;687070;3;100;56;3939936f19
63857595031731;690560;3;100;48;3939936f19
63857595034065;692873;3;100;43;3939936f19
63857595034265;693103;3;100;94;3939936f19
63857595035233;694076;3;100;87;3939936f19
63857595035632;694419;3;100;108;3939936f19
63857595036232;695109;3;100;103;3939936f19
63857595036832;695703;3;100;103;3939936f19
63857595037565;696359;3;100;101;3939936f19
63857595038066;696896;3;100;104;3939936f19
63857595039065;697889;3;100;94;3939936f19
63857595042999;701809;3;100;77;3939936f19
63857595043500;702315;3;100;86;3939936f19
63857595044633;703415;3;100;79;3939936f19
63857595045066;703938;3;100;88;3939936f19
63857595045466;704312;3;100;104;3939936f19
63857595046400;705228;3;100;96;3939936f19
63857595048434;707125;3;100;82;3939936f19
63857595049433;708248;3;100;76;3939936f19
63857595049984;708858;3;100;81;3939936f19
63857595051567;710435;3;100;72;3939936f19
63857595052817;711608;3;100;67;3939936f19
63857595053334;712154;3;100;77;3939936f19
63857595057301;716064;3;100;63;3939936f19
63857595058534;717281;3;100;60;3939936f19
63857595058935;717780;3;100;74;3939936f19
63857595061885;720737;3;100;62;3939936f19
63857595062468;721330;3;100;71;3939936f19
63857595063468;722257;3;100;70;3939936f19
63857595063985;722763;3;100;81;3939936f19
63857595065102;723923;3;100;75;3939936f19
63857595065968;724750;3;100;74;3939936f19
63857595066702;725516;3;100;76;3939936f19
63857595067902;726683;3;100;70;3939936f19
63857595069520;728389;3;100;63;3939936f19
63857595070236;729046;3;100;69;3939936f19
63857595070986;729836;3;100;71;3939936f19
63857595071803;730622;3;100;72;3939936f19
63857595073636;732429;3;100;64;3939936f19
63857595075736;734602;3;100;56;3939936f19
63857595076753;735605;3;100;57;3939936f19
63857595077687;736475;3;100;60;3939936f19
63857595078187;737032;3;100;71;3939936f19
63857595078686;737499;3;100;84;3939936f19
63857595079304;738132;3;100;87;3939936f19
63857595081454;740291;3;100;74;3939936f19
63857595082571;741422;3;100;69;3939936f19
63857595084104;742951;3;100;63;3939936f19
63857595084721;743545;3;100;71;3939936f19
63857595084921;743798;3;100;109;3939936f19
63857595086621;745458;3;100;93;3939936f19
63857595087638;746444;3;100;86;3939936f19
63857595088327;747181;3;100;85;3939936f19
63857595088755;747581;3;100;100;3939936f19
63857595089261;748057;3;100;106;3939936f19
63857595090355;749227;3;100;94;3939936f19
63857595091639;750437;3;100;84;3939936f19
63857595092688;751451;3;100;79;3939936f19
63857595092955;751787;3;100;102;3939936f19
63857595093705;752504;3;100;98;3939936f19
63857595094472;753277;3;100;94;3939936f19
63857595097888;756750;3;100;77;3939936f19
63857595098706;757583;3;100;76;3939936f19
63857595099222;758030;3;100;89;3939936f19
63857595099723;758596;3;100;93;3939936f19
63857595100223;759103;3;100;99;3939936f19
63857595101356;760056;3;100;91;3939936f19
63857595103456;762330;3;100;77;3939936f19
63857595105590;764382;3;100;66;3939936f19
63857595106573;765376;3;100;65;3939936f19
63857595107306;766062;3;100;70;3939936f19
63857595107489;766302;3;100;110;3939936f19
63857595108707;767529;3;100;97;3939936f19
63857595110328;769126;3;100;84;3939936f19
63857595111123;770009;-3;100;80;3939936f19
63857595113591;772358;-3;100;68;3939936f19
63857595114491;773338;-3;100;67;3939936f19
63857595119975;778811;-3;100;54;3939936f19
63857595120675;779541;-3;100;61;3939936f19
63857595121375;780197;-3;100;68;3939936f19
63857595121958;780741;-3;100;77;3939936f19
63857595122691;781528;-3;100;78;3939936f19
63857595123058;781888;-3;100;97;3939936f19
63857595125308;784077;-3;100;82;3939936f19
63857595125925;784767;-3;100;83;3939936f19
63857595126625;785477;-3;100;84;3939936f19
63857595127491;786260;-3;100;82;3939936f19
63857595128392;787250;-3;100;78;3939936f19
63857595128892;787747;-3;100;87;3939936f19
63857595129392;788193;-3;100;98;3939936f19
63857595130325;789140;-3;100;91;3939936f19
63857595130825;789630;-3;100;98;3939936f19
63857595134126;792973;-3;100;80;3939936f19
63857595135176;793936;4;100;77;3939936f19
63857595136559;795393;4;100;69;3939936f19
63857595136892;795709;4;100;97;3939936f19
63857595138059;796853;4;100;87;3939936f19
63857595142693;801515;4;100;70;3939936f19
63857595144593;803419;4;100;62;3939936f19
63857595144693;803532;4;100;169;3939936f19
63857595145929;804762;4;100;143;3939936f19
63857595147798;806592;4;100;118;3939936f19
63857595148327;807168;4;100;115;3939936f19
63857595149428;808228;4;100;102;3939936f19
63857595149828;808621;4;100;114;3939936f19
63857595150861;809705;4;100;101;3939936f19
63857595152394;811234;4;100;87;3939936f19
63857595153861;812724;4;100;77;3939936f19
63857595155395;814194;4;100;69;3939936f19
63857595156395;815217;4;100;67;3939936f19
63857595157095;815927;4;100;71;3939936f19
63857595157962;816761;4;100;71;3939936f19
63857595159512;818304;4;100;64;3939936f19
63857595166663;825443;4;100;52;3939936f19
63857595169163;827966;4;100;46;3939936f19
63857595171096;829949;4;100;42;3939936f19
63857595172730;831556;4;100;41;3939936f19
63857595174230;833069;4;100;41;3939936f19
