Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857594712347;370848;0;100;0,266667;3939936f19
63857594712844;371514;0;100;0,133333;3939936f19
63857594724632;382913;0;100;0,533333;3939936f19
63857594732334;390912;0;100;0,266667;3939936f19
63857594741170;399578;0;100;0,4;3939936f19
63857594745960;404510;0;100;0,266667;3939936f19
63857594748352;406377;0;100;0,8;3939936f19
63857594749468;407443;0;100;0,8;3939936f19
63857594753702;411444;0;100;1,066667;3939936f19
63857594759119;417376;0;100;0,466667;3939936f19
63857594776905;434841;0;100;0,8;3939936f19
63857594777705;436441;0;100;0,066667;3939936f19
63857594781472;439440;0;100;0,8;3939936f19
63857594782772;441440;0;100;0,133333;3939936f19
63857594785239;443173;0;100;0,8;3939936f19
63857594787873;444906;0;100;1,733333;3939936f19
63857594791773;449706;0;100;0,866667;3939936f19
63857594791973;450706;0;100;0,066667;3939936f19
63857594797907;455906;1;100;0,733333;3939936f19
63857594799407;456906;1;100;1,266667;3939936f19
63857594805393;463504;1;100;0,733333;3939936f19
63857594808575;466971;1;100;0,333333;3939936f19
63857594809475;467971;1;100;0,333333;3939936f19
63857594809775;468437;1;100;0,133333;3939936f19
63857594814675;472771;1;100;0,666667;3939936f19
63857594816509;475037;1;100;0,266667;3939936f19
63857594822609;480436;1;100;1;3939936f19
63857594827310;485769;1;100;0,333333;3939936f19
63857594828143;486236;1;100;0,666667;3939936f19
63857594830427;487702;1;100;1,533333;3939936f19
63857594839295;497634;1;100;0,466667;3939936f19
63857594842412;500568;1;100;0,6;3939936f19
63857594843729;501435;1;100;1,066667;3939936f19
63857594847612;506167;1;100;0,266667;3939936f19
63857594849313;507100;1;100;1;3939936f19
63857594851346;509233;1;100;0,933333;3939936f19
63857594862047;519966;1;100;0,8;3939936f19
63857594862547;520899;1;100;0,466667;3939936f19
63857594863547;521499;1;100;0,866667;3939936f19
63857594865464;524099;-1;100;0,133333;3939936f19
63857594873082;530698;-1;100;1,2;3939936f19
63857594885083;542697;-1;100;1,133333;3939936f19
63857594887583;546030;-1;100;0,266667;3939936f19
63857594891784;549763;2;100;0,733333;3939936f19
63857594891884;550629;2;100;0,066667;3939936f19
63857594896201;554562;2;100;0,466667;3939936f19
63857594902035;559428;2;100;1,4;3939936f19
63857594904502;563228;2;100;0,066667;3939936f19
63857594907135;565294;2;100;0,6;3939936f19
63857594907336;566028;2;100;0,133333;3939936f19
63857594910519;568161;2;100;1,133333;3939936f19
63857594914670;572961;2;100;0,466667;3939936f19
63857594917538;575560;2;100;0,733333;3939936f19
63857594920073;578760;2;100;0,133333;3939936f19
63857594924271;582026;2;100;1;3939936f19
63857594932604;590559;2;100;0,866667;3939936f19
63857594937305;595625;2;100;0,466667;3939936f19
63857594940139;598758;2;100;0,133333;3939936f19
63857594941772;599424;2;100;1,066667;3939936f19
63857594944106;602224;2;100;0,666667;3939936f19
63857594944406;603157;2;100;0,066667;3939936f19
63857594950439;608957;2;100;0,2;3939936f19
63857594953440;611156;2;100;0,933333;3939936f19
63857594961940;619822;2;100;0,866667;3939936f19
63857594965141;623089;2;100;0,8;3939936f19
63857594965941;624556;2;100;0,2;3939936f19
63857594966741;625422;2;100;0,066667;3939936f19
63857594977076;633955;2;100;1,933333;3939936f19
63857594982110;639620;-2;100;1,266667;3939936f19
63857594987510;645286;-2;100;1;3939936f19
63857594993644;651752;-2;100;0,666667;3939936f19
63857595001612;660285;-2;100;0,066667;3939936f19
63857595002628;661151;3;100;0,2;3939936f19
63857595003345;661619;3;100;0,533333;3939936f19
63857595005446;663085;3;100;1,066667;3939936f19
63857595015213;672750;3;100;1,2;3939936f19
63857595019297;677816;3;100;0,266667;3939936f19
63857595019698;678350;3;100;0,066667;3939936f19
63857595020098;678550;3;100;0,266667;3939936f19
63857595020815;678950;3;100;0,6;3939936f19
63857595030098;687682;3;100;1,133333;3939936f19
63857595036132;694415;3;100;0,466667;3939936f19
63857595044200;701681;3;100;1,266667;3939936f19
63857595050667;708347;3;100;1,066667;3939936f19
63857595054267;712613;3;100;0,4;3939936f19
63857595055701;713546;3;100;0,933333;3939936f19
63857595058935;716880;3;100;0,8;3939936f19
63857595065468;723545;3;100;0,666667;3939936f19
63857595068303;726345;3;100;0,733333;3939936f19
63857595070319;728145;3;100;1;3939936f19
63857595072936;730812;3;100;0,866667;3939936f19
63857595073129;731812;3;100;0,066667;3939936f19
63857595074953;733211;3;100;0,466667;3939936f19
63857595080787;738877;3;100;0,666667;3939936f19
63857595082970;740544;3;100;1,2;3939936f19
63857595084838;742543;3;100;1;3939936f19
63857595096688;754342;3;100;1,066667;3939936f19
63857595108890;766941;3;100;0,666667;3939936f19
63857595111690;770007;-3;100;0,466667;3939936f19
63857595112557;771008;-3;100;0,266667;3939936f19
63857595113591;772207;-3;100;0,133333;3939936f19
63857595120860;779206;-3;100;0,4;3939936f19
63857595122775;780673;-3;100;0,866667;3939936f19
63857595129625;788072;-3;100;0,333333;3939936f19
63857595148427;806204;4;100;0,933333;3939936f19
63857595159095;817736;4;100;0,066667;3939936f19
63857595159695;818202;4;100;0,266667;3939936f19
63857595168963;826868;4;100;0,8;3939936f19
63857595178162;835601;4;100;1,333333;3939936f19
63857595183031;841201;4;100;0,6;3939936f19
63857595186399;845000;4;100;0,133333;3939936f19
63857595187398;846000;4;100;0,2;3939936f19
63857595195816;854265;4;100;0,333333;3939936f19
63857595198166;856665;4;100;0,2;3939936f19
63857595204767;862865;4;100;0,666667;3939936f19
63857595208600;866998;4;100;0,4;3939936f19
63857595220002;878530;-4;100;0,266667;3939936f19
63857595233921;891996;5;100;0,666667;3939936f19
63857595235237;893196;5;100;0,733333;3939936f19
63857595235636;894195;5;100;0,2;3939936f19
63857595240721;899128;5;100;0,266667;3939936f19
63857595243337;901595;5;100;0,466667;3939936f19
63857595246254;904461;5;100;0,533333;3939936f19
63857595260739;918726;5;100;0,733333;3939936f19
63857595272274;929725;5;100;1,266667;3939936f19
63857595275624;933858;5;100;0,533333;3939936f19
63857595283792;942323;5;100;0,2;3939936f19
63857595287192;945056;5;100;0,866667;3939936f19
63857595290426;948790;5;100;0,333333;3939936f19
63857595296526;954855;5;100;0,4;3939936f19
63857595297226;955522;5;100;0,466667;3939936f19
63857595297761;956255;5;100;0,2;3939936f19
63857595301627;959522;5;100;0,8;3939936f19
63857595305229;963721;5;100;0,266667;3939936f19
63857595319895;977920;-5;100;0,666667;3939936f19
63857595320380;978986;-5;100;0,133333;3939936f19
63857595328096;986253;-5;100;0,533333;3939936f19
63857595333730;992252;6;100;0,2;3939936f19
63857595334297;992585;6;100;0,4;3939936f19
63857595346731;1004850;6;100;0,666667;3939936f19
