Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857506134367;358474;0;100;-18887;4195c2f34e
63857506134466;358608;0;100;-18886,6;4195c2f34e
63857506134466;358608;0;100;-18886,6;4195c2f34e
63857506134566;358675;0;100;-18885,2;4195c2f34e
63857506134666;358808;0;100;-18884;4195c2f34e
63857506134666;358808;0;100;-18883;4195c2f34e
63857506134766;358874;0;100;-18882,2;4195c2f34e
63857506134866;359008;0;100;-18881;4195c2f34e
63857506134866;359008;0;100;-18880,6;4195c2f34e
63857506135000;359074;0;100;-18880,6;4195c2f34e
63857506135067;359207;0;100;-18879,4;4195c2f34e
63857506135067;359207;0;100;-18878,4;4195c2f34e
63857506135166;359341;0;100;-18879;4195c2f34e
63857506135166;359341;0;100;-18879,4;4195c2f34e
63857506135266;359408;0;100;-18880,6;4195c2f34e
63857506135366;359541;0;100;-18882;4195c2f34e
63857506135366;359541;0;100;-18884;4195c2f34e
63857506135500;359607;0;100;-18885,2;4195c2f34e
63857506135600;359741;0;100;-18886,2;4195c2f34e
63857506135600;359741;0;100;-18886;4195c2f34e
63857506135699;359807;0;100;-18886,6;4195c2f34e
63857506135800;359941;0;100;-18886,2;4195c2f34e
63857506135800;359941;0;100;-18887;4195c2f34e
63857506135900;360008;0;100;-18886,8;4195c2f34e
63857506136000;360141;0;100;-18889,2;4195c2f34e
63857506136000;360141;0;100;-18888,6;4195c2f34e
63857506136133;360207;0;100;-18889;4195c2f34e
63857506136200;360341;0;100;-18890;4195c2f34e
63857506136200;360341;0;100;-18890,2;4195c2f34e
63857506136300;360407;0;100;-18890,6;4195c2f34e
63857506136400;360541;0;100;-18892;4195c2f34e
63857506136400;360541;0;100;-18891,8;4195c2f34e
63857506136500;360674;0;100;-18892;4195c2f34e
63857506136500;360674;0;100;-18891,4;4195c2f34e
63857506136600;360741;0;100;-18891,4;4195c2f34e
63857506136700;360874;0;100;-18890,6;4195c2f34e
63857506136700;360874;0;100;-18889,6;4195c2f34e
63857506136833;360941;0;100;-18889;4195c2f34e
63857506136899;361074;0;100;-18888,2;4195c2f34e
63857506136899;361074;0;100;-18887,8;4195c2f34e
63857506137000;361141;0;100;-18887,2;4195c2f34e
63857506137133;361274;0;100;-18887,4;4195c2f34e
63857506137133;361274;0;100;-18886;4195c2f34e
63857506137200;361341;0;100;-18884,2;4195c2f34e
63857506137300;361474;0;100;-18884;4195c2f34e
63857506137300;361474;0;100;-18882,8;4195c2f34e
63857506137433;361541;0;100;-18883;4195c2f34e
63857506137533;361674;0;100;-18882,6;4195c2f34e
63857506137533;361674;0;100;-18883,4;4195c2f34e
63857506137634;361741;0;100;-18884,6;4195c2f34e
63857506137716;361874;0;100;-18884,4;4195c2f34e
