Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63857506142500;366274;0;100;0,333333;4195c2f34e
63857506147100;370140;0;100;1;4195c2f34e
63857506151916;375673;0;100;0,333333;4195c2f34e
63857506153034;376540;0;100;0,533333;4195c2f34e
63857506156267;379940;0;100;0,4;4195c2f34e
63857506157900;381405;0;100;0,533333;4195c2f34e
63857506165133;388539;0;100;0,6;4195c2f34e
63857506171734;395004;0;100;0,8;4195c2f34e
63857506176500;400203;0;100;0,4;4195c2f34e
63857506182334;405203;0;100;1,2;4195c2f34e
63857506184667;408137;0;100;0,6;4195c2f34e
63857506188668;412202;0;100;0,533333;4195c2f34e
63857506194501;417802;0;100;0,8;4195c2f34e
63857506198867;422335;0;100;0,6;4195c2f34e
63857506204968;428734;0;100;0,266667;4195c2f34e
63857506216368;439466;0;100;1;4195c2f34e
63857506218335;441666;0;100;0,733333;4195c2f34e
63857506225235;448665;0;100;0,666667;4195c2f34e
63857506230535;454065;1;100;0,466667;4195c2f34e
63857506236668;459931;1;100;0,733333;4195c2f34e
63857506241235;464864;1;100;0,466667;4195c2f34e
63857506244552;467931;1;100;0,666667;4195c2f34e
63857506249218;472930;1;100;0,333333;4195c2f34e
63857506254302;477863;1;100;0,533333;4195c2f34e
63857506258269;481662;1;100;0,6;4195c2f34e
63857506265352;489128;1;100;0,266667;4195c2f34e
63857506267302;490328;1;100;1;4195c2f34e
63857506275852;499593;1;100;0,333333;4195c2f34e
63857506278769;502327;1;100;0,533333;4195c2f34e
63857506285369;508727;1;100;0,666667;4195c2f34e
63857506291252;514592;-1;100;0,733333;4195c2f34e
63857506299386;522858;-1;100;0,533333;4195c2f34e
63857506303536;526991;-1;100;0,6;4195c2f34e
63857506310003;533257;2;100;0,8;4195c2f34e
63857506323420;546789;2;100;0,666667;4195c2f34e
63857506329420;553188;2;100;0,333333;4195c2f34e
63857506338503;561988;2;100;0,533333;4195c2f34e
63857506343303;566587;2;100;0,733333;4195c2f34e
63857506345320;568987;2;100;0,333333;4195c2f34e
63857506345520;569453;2;100;0,066667;4195c2f34e
63857506349904;573653;2;100;0,333333;4195c2f34e
63857506357237;580452;2;100;0,866667;4195c2f34e
63857506361504;585185;2;100;0,333333;4195c2f34e
63857506368004;591385;-2;100;0,666667;4195c2f34e
63857506381338;604850;-2;100;0,533333;4195c2f34e
63857506388421;611516;-2;100;0,933333;4195c2f34e
63857506392354;615982;3;100;0,466667;4195c2f34e
63857506398638;622315;3;100;0,4;4195c2f34e
