Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856055844020;532191;0;100;5,1047;44fe85427e
63856055844321;532458;0;100;5,0456;44fe85427e
63856055844664;532791;0;100;7,0695;44fe85427e
63856055845054;533191;0;100;6,9877;44fe85427e
63856055845356;533458;0;100;6,9069;44fe85427e
63856055845653;533791;0;100;6,827;44fe85427e
63856055846056;534191;0;100;6,748;44fe85427e
63856055846353;534524;0;100;6,6699;44fe85427e
63856055846654;534791;0;100;6,5928;44fe85427e
63856055846952;535124;0;100;6,5165;44fe85427e
63856055847353;535524;0;100;6,4411;44fe85427e
63856055847690;535791;0;100;6,3666;44fe85427e
63856055847968;536124;0;100;6,293;44fe85427e
63856055848376;536524;0;100;6,2202;44fe85427e
63856055848721;536857;0;100;6,1482;44fe85427e
63856055849021;537191;0;100;6,0771;44fe85427e
63856055849309;537458;0;100;6,0068;44fe85427e
63856055849621;537791;0;100;5,9373;44fe85427e
63856055850056;538191;0;100;5,8686;44fe85427e
63856055850355;538457;0;100;5,8007;44fe85427e
63856055850646;538791;0;100;5,7336;44fe85427e
63856055851055;539191;0;100;5,6673;44fe85427e
63856055851353;539524;0;100;5,6017;44fe85427e
63856055851700;539790;0;100;5,5369;44fe85427e
63856055851955;540124;0;100;5,4729;44fe85427e
63856055852389;540524;0;100;5,4096;44fe85427e
63856055852687;540790;0;100;7,4293;44fe85427e
63856055852987;541124;0;100;7,3433;44fe85427e
63856055853286;541457;0;100;11,4229;44fe85427e
63856055853688;541857;0;100;11,2907;44fe85427e
63856055853987;542124;0;100;11,1601;44fe85427e
63856055854288;542457;0;100;11,031;44fe85427e
63856055854732;542857;0;100;10,9034;44fe85427e
63856055855018;543190;0;100;10,7773;44fe85427e
63856055855314;543457;0;100;10,6526;44fe85427e
63856055855666;543790;0;100;10,5294;44fe85427e
63856055856020;544190;0;100;10,4076;44fe85427e
63856055856363;544457;0;100;10,2872;44fe85427e
63856055856654;544790;0;100;10,1682;44fe85427e
63856055857009;545123;0;100;10,0505;44fe85427e
63856055857302;545457;0;100;12,0165;44fe85427e
63856055857620;545790;0;100;11,8775;44fe85427e
63856055858027;546190;0;100;11,7401;44fe85427e
63856055858320;546457;0;100;11,6043;44fe85427e
63856055858652;546790;0;100;11,4701;44fe85427e
63856055859053;547190;0;100;11,3374;44fe85427e
63856055859351;547456;0;100;11,2062;44fe85427e
63856055859655;547790;0;100;13,1589;44fe85427e
63856055859953;548123;0;100;13,0066;44fe85427e
63856055860359;548523;0;100;12,8562;44fe85427e
63856055860650;548790;0;100;12,7074;44fe85427e
63856055860987;549123;0;100;12,5604;44fe85427e
63856055861386;549523;0;100;12,4151;44fe85427e
63856055861680;549789;0;100;12,2715;44fe85427e
63856055861966;550123;0;100;12,1296;44fe85427e
63856055862287;550456;0;100;11,9893;44fe85427e
63856055862699;550856;0;100;11,8506;44fe85427e
63856055862986;551123;0;100;11,7135;44fe85427e
