Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856404928757;401148;0;100;5,7071;47b3054ad0
63856404929074;401481;0;100;5,6411;47b3054ad0
63856404929457;401881;0;100;5,5758;47b3054ad0
63856404929774;402148;0;100;5,5113;47b3054ad0
63856404930057;402481;0;100;5,4476;47b3054ad0
63856404930473;402881;0;100;5,3846;47b3054ad0
63856404930757;403148;0;100;5,3223;47b3054ad0
63856404931090;403481;0;100;5,2607;47b3054ad0
63856404931407;403814;0;100;5,1999;47b3054ad0
63856404931790;404214;0;100;5,1397;47b3054ad0
63856404932107;404481;0;100;5,0802;47b3054ad0
63856404932390;404814;0;100;5,0215;47b3054ad0
63856404932807;405214;0;100;4,9634;47b3054ad0
63856404933123;405481;0;100;4,906;47b3054ad0
63856404933424;405814;0;100;4,8492;47b3054ad0
63856404933740;406147;0;100;4,7931;47b3054ad0
63856404934057;406481;0;100;4,7377;47b3054ad0
63856404934474;406880;0;100;4,6829;47b3054ad0
63856404934790;407214;0;100;4,6287;47b3054ad0
63856404935090;407480;0;100;4,5752;47b3054ad0
63856404935374;407814;0;100;4,5222;47b3054ad0
63856404935790;408214;0;100;4,4699;47b3054ad0
63856404936123;408480;0;100;4,4182;47b3054ad0
63856404936390;408814;0;100;4,3671;47b3054ad0
63856404936807;409214;0;100;4,3166;47b3054ad0
63856404937123;409547;0;100;4,2666;47b3054ad0
63856404937424;409814;0;100;4,2173;47b3054ad0
63856404937707;410147;0;100;4,1685;47b3054ad0
63856404938123;410547;0;100;4,1203;47b3054ad0
63856404938440;410814;0;100;4,0726;47b3054ad0
63856404938723;411147;0;100;4,0255;47b3054ad0
63856404939107;411480;0;100;3,9789;47b3054ad0
63856404939390;411813;0;100;3,9329;47b3054ad0
63856404939723;412147;0;100;3,8874;47b3054ad0
63856404940123;412547;0;100;3,8424;47b3054ad0
63856404940423;412813;0;100;3,798;47b3054ad0
63856404940740;413147;0;100;3,7541;47b3054ad0
63856404941157;413546;0;100;3,7106;47b3054ad0
63856404941440;413813;0;100;3,6677;47b3054ad0
63856404941723;414147;0;100;3,6253;47b3054ad0
63856404942057;414480;0;100;3,5833;47b3054ad0
63856404942456;414880;0;100;5,6241;47b3054ad0
63856404942757;415146;0;100;5,5591;47b3054ad0
63856404943074;415480;0;100;5,4948;47b3054ad0
63856404943457;415880;0;100;5,4312;47b3054ad0
63856404943773;416146;0;100;5,3684;47b3054ad0
63856404944090;416480;0;100;5,3063;47b3054ad0
63856404944389;416813;0;100;5,2449;47b3054ad0
63856404944790;417213;0;100;5,1842;47b3054ad0
63856404945123;417480;0;100;5,1242;47b3054ad0
63856404945389;417813;0;100;5,065;47b3054ad0
63856404945824;418213;0;100;5,0064;47b3054ad0
63856404946106;418479;0;100;4,9485;47b3054ad0
63856404946406;418813;0;100;4,8912;47b3054ad0
63856404946723;419146;0;100;4,8346;47b3054ad0
63856404947107;419546;0;100;4,7787;47b3054ad0
63856404947423;419813;0;100;4,7234;47b3054ad0
63856404947740;420146;0;100;4,6688;47b3054ad0
63856404948123;420546;0;100;4,6148;47b3054ad0
63856404948440;420879;0;100;4,5614;47b3054ad0
63856404948757;421146;0;100;4,5086;47b3054ad0
63856404949056;421479;0;100;4,4565;47b3054ad0
63856404949456;421879;0;100;4,4049;47b3054ad0
63856404949756;422146;0;100;4,354;47b3054ad0
63856404950073;422479;0;100;4,3036;47b3054ad0
63856404950456;422879;0;100;4,2538;47b3054ad0
63856404950772;423145;0;100;4,2046;47b3054ad0
63856404951040;423479;0;100;4,156;47b3054ad0
63856404951473;423879;0;100;4,1079;47b3054ad0
63856404951773;424146;0;100;4,0604;47b3054ad0
63856404952056;424479;0;100;4,0134;47b3054ad0
63856404952357;424812;0;100;3,967;47b3054ad0
63856404952790;425212;0;100;3,9211;47b3054ad0
63856404953106;425479;0;100;3,8757;47b3054ad0
63856404953374;425812;0;100;3,8309;47b3054ad0
63856404953790;426212;0;100;3,7866;47b3054ad0
63856404954106;426479;0;100;3,7428;47b3054ad0
63856404954423;426812;0;100;3,6995;47b3054ad0
63856404954740;427145;0;100;3,6567;47b3054ad0
63856404955123;427545;0;100;3,6144;47b3054ad0
63856404955439;427812;0;100;3,5726;47b3054ad0
63856404955723;428145;0;100;3,5312;47b3054ad0
63856404956140;428545;0;100;3,4904;47b3054ad0
63856404956456;428812;0;100;3,45;47b3054ad0
63856404956723;429145;0;100;3,4101;47b3054ad0
63856404957073;429478;0;100;3,3707;47b3054ad0
63856404957456;429878;0;100;3,3317;47b3054ad0
63856404957773;430145;0;100;3,2931;47b3054ad0
63856404958056;430478;0;100;3,255;47b3054ad0
63856404958473;430878;0;100;3,2174;47b3054ad0
63856404958757;431145;0;100;3,1802;47b3054ad0
63856404959089;431478;0;100;3,1434;47b3054ad0
63856404959406;431812;0;100;3,107;47b3054ad0
63856404959789;432211;0;100;3,0711;47b3054ad0
63856404960106;432478;0;100;3,0355;47b3054ad0
63856404960389;432811;0;100;3,0004;47b3054ad0
63856404960807;433211;0;100;2,9657;47b3054ad0
63856404961123;433545;0;100;2,9314;47b3054ad0
63856404961423;433811;0;100;2,8975;47b3054ad0
63856404961707;434145;0;100;2,864;47b3054ad0
63856404962123;434544;0;100;2,8308;47b3054ad0
63856404962440;434811;0;100;2,7981;47b3054ad0
63856404962723;435144;0;100;2,7657;47b3054ad0
63856404963056;435478;0;100;2,7337;47b3054ad0
63856404963456;435878;0;100;2,7021;47b3054ad0
63856404963756;436144;0;100;2,6708;47b3054ad0
63856404964073;436478;0;100;2,64;47b3054ad0
63856404964456;436877;0;100;2,6094;47b3054ad0
63856404964773;437211;0;100;2,5792;47b3054ad0
63856404965089;437478;0;100;2,5494;47b3054ad0
63856404965389;437811;0;100;2,5199;47b3054ad0
63856404965789;438211;0;100;2,4907;47b3054ad0
63856404966140;438477;0;100;2,4619;47b3054ad0
63856404966406;438811;0;100;2,4335;47b3054ad0
63856404966906;439144;0;100;2,4053;47b3054ad0
63856404967189;439544;0;100;2,3775;47b3054ad0
63856404967423;439811;0;100;2,35;47b3054ad0
63856404967773;440144;0;100;2,3228;47b3054ad0
63856404968123;440544;0;100;2,2959;47b3054ad0
63856404968473;440877;0;100;2,2694;47b3054ad0
63856404968740;441144;0;100;2,2431;47b3054ad0
63856404969056;441477;0;100;2,2172;47b3054ad0
63856404969440;441877;0;100;2,1915;47b3054ad0
63856404969756;442144;0;100;4,2484;47b3054ad0
63856404970056;442477;0;100;4,1993;47b3054ad0
63856404970456;442877;0;100;4,1507;47b3054ad0
63856404970756;443144;0;100;4,1027;47b3054ad0
63856404971073;443477;0;100;4,0552;47b3054ad0
63856404971389;443810;0;100;4,0083;47b3054ad0
63856404971806;444210;0;100;3,9619;47b3054ad0
63856404972089;444477;0;100;3,9161;47b3054ad0
63856404972389;444810;0;100;3,8708;47b3054ad0
63856404972789;445210;0;100;3,826;47b3054ad0
63856404973139;445543;0;100;3,7818;47b3054ad0
63856404973406;445810;0;100;3,738;47b3054ad0
63856404973723;446143;0;100;3,6948;47b3054ad0
63856404974140;446543;0;100;3,652;47b3054ad0
63856404974423;446810;0;100;3,6098;47b3054ad0
63856404974722;447143;0;100;3,568;47b3054ad0
63856404975123;447543;0;100;3,5268;47b3054ad0
63856404975473;447876;0;100;3,486;47b3054ad0
63856404975740;448143;0;100;3,4456;47b3054ad0
63856404976056;448476;0;100;3,4058;47b3054ad0
63856404976439;448876;0;100;3,3664;47b3054ad0
63856404976756;449143;0;100;3,3274;47b3054ad0
63856404977056;449476;0;100;3,2889;47b3054ad0
63856404977456;449876;0;100;3,2509;47b3054ad0
63856404977806;450209;0;100;3,2133;47b3054ad0
63856404978072;450476;0;100;3,1761;47b3054ad0
63856404978389;450809;0;100;3,1394;47b3054ad0
63856404978806;451209;0;100;3,1031;47b3054ad0
63856404979122;451476;0;100;3,0672;47b3054ad0
63856404979389;451809;0;100;3,0317;47b3054ad0
63856404979706;452143;0;100;2,9966;47b3054ad0
63856404980139;452543;0;100;2,9619;47b3054ad0
63856404980407;452809;0;100;2,9277;47b3054ad0
63856404980722;453143;0;100;2,8938;47b3054ad0
63856404981139;453542;0;100;2,8603;47b3054ad0
63856404981423;453809;0;100;2,8272;47b3054ad0
63856404981723;454143;0;100;2,7945;47b3054ad0
63856404982039;454476;0;100;2,7622;47b3054ad0
63856404982424;454809;0;100;2,7303;47b3054ad0
63856404982739;455142;0;100;2,6987;47b3054ad0
63856404983122;455542;0;100;2,6675;47b3054ad0
63856404983439;455809;0;100;2,6366;47b3054ad0
63856404983723;456142;0;100;2,6061;47b3054ad0
63856404984056;456476;0;100;2,576;47b3054ad0
63856404984456;456875;0;100;2,5462;47b3054ad0
63856404984756;457142;0;100;2,5167;47b3054ad0
63856404985072;457475;0;100;2,4876;47b3054ad0
63856404985389;457809;0;100;2,4588;47b3054ad0
63856404985773;458209;0;100;2,4304;47b3054ad0
63856404986072;458475;0;100;2,4023;47b3054ad0
63856404986389;458809;0;100;2,3745;47b3054ad0
63856404986789;459209;0;100;2,347;47b3054ad0
63856404987122;459475;0;100;2,3198;47b3054ad0
63856404987406;459809;0;100;4,3753;47b3054ad0
63856404987722;460142;0;100;6,4069;47b3054ad0
63856404988139;460542;0;100;6,3328;47b3054ad0
63856404988422;460809;0;100;6,2595;47b3054ad0
63856404988722;461142;0;100;6,1871;47b3054ad0
63856404989122;461542;0;100;6,1155;47b3054ad0
63856404989423;461808;0;100;6,0448;47b3054ad0
63856404989739;462142;0;100;5,9749;47b3054ad0
63856404990056;462475;0;100;5,9058;47b3054ad0
63856404990473;462875;0;100;5,8374;47b3054ad0
63856404990756;463142;0;100;5,7699;47b3054ad0
63856404991056;463475;0;100;5,7032;47b3054ad0
63856404991456;463875;0;100;5,6372;47b3054ad0
63856404991789;464208;0;100;5,572;47b3054ad0
63856404992072;464475;0;100;5,5075;47b3054ad0
63856404992389;464808;0;100;5,4438;47b3054ad0
63856404992772;465208;0;100;5,3808;47b3054ad0
63856404993089;465475;0;100;5,3186;47b3054ad0
63856404993389;465808;0;100;5,2571;47b3054ad0
63856404993789;466208;0;100;5,1962;47b3054ad0
63856404994139;466541;0;100;7,2184;47b3054ad0
63856404994406;466808;0;100;7,1349;47b3054ad0
63856404994722;467141;0;100;7,0523;47b3054ad0
63856404995106;467541;0;100;6,9708;47b3054ad0
63856404995422;467808;0;100;6,8901;47b3054ad0
63856404995722;468141;0;100;6,8104;47b3054ad0
63856404996122;468541;0;100;6,7316;47b3054ad0
63856404996472;468874;0;100;6,6538;47b3054ad0
63856404996739;469141;0;100;6,5768;47b3054ad0
63856404997055;469474;0;100;6,5007;47b3054ad0
63856404997439;469874;0;100;6,4255;47b3054ad0
