Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63856404942256;414147;0;100;0,4;47b3054ad0
63856404969556;441677;0;100;0,2;47b3054ad0
63856404987406;459475;0;100;0,266667;47b3054ad0
63856404987722;459876;0;100;0,133333;47b3054ad0
63856404993906;465742;0;100;0,466667;47b3054ad0
63856405001139;472807;0;100;0,666667;47b3054ad0
63856405001405;473607;0;100;0,133333;47b3054ad0
63856405003855;475808;0;100;0,333333;47b3054ad0
63856405018022;490206;1;100;0,133333;47b3054ad0
63856405020856;492739;1;100;0,4;47b3054ad0
63856405023339;495405;1;100;0,266667;47b3054ad0
63856405025088;497139;1;100;0,266667;47b3054ad0
63856405033922;505871;1;100;0,4;47b3054ad0
63856405040921;513003;1;100;0,266667;47b3054ad0
63856405044305;516337;1;100;0,266667;47b3054ad0
63856405074055;546267;2;100;0,133333;47b3054ad0
63856405074255;546533;2;100;0,066667;47b3054ad0
63856405088921;560532;2;100;0,733333;47b3054ad0
63856405099871;571797;2;100;0,333333;47b3054ad0
63856405105320;577130;2;100;0,533333;47b3054ad0
63856405113666;585397;2;100;0,533333;47b3054ad0
63856405125970;597795;-2;100;0,466667;47b3054ad0
63856405140966;613060;3;100;0,266667;47b3054ad0
63856405141837;613994;3;100;0,2;47b3054ad0
63856405143661;615860;3;100;0,133333;47b3054ad0
63856405145686;617860;3;100;0,133333;47b3054ad0
63856405155661;627792;3;100;0,2;47b3054ad0
63856405164271;636325;3;100;0,266667;47b3054ad0
63856405169336;641190;3;100;0,466667;47b3054ad0
63856405169747;642057;3;100;0,066667;47b3054ad0
63856405173251;645257;3;100;0,266667;47b3054ad0
63856405180919;653123;3;100;0,133333;47b3054ad0
63856405183052;655123;-3;100;0,266667;47b3054ad0
63856405201118;672788;4;100;0,666667;47b3054ad0
63856405211569;683520;4;100;0,4;47b3054ad0
63856405244502;716650;-4;100;0,133333;47b3054ad0
63856405244700;716916;-4;100;0,133333;47b3054ad0
63856405261618;733848;5;100;0,133333;47b3054ad0
63856405273350;745313;5;100;0,333333;47b3054ad0
63856405284561;756646;-5;100;0,2;47b3054ad0
63856405310500;782576;6;100;0,2;47b3054ad0
63856405310701;782910;6;100;0,133333;47b3054ad0
63856405323000;795308;6;100;0,066667;47b3054ad0
63856405325600;797775;6;100;0,133333;47b3054ad0
63856405337029;808974;6;100;0,333333;47b3054ad0
63856405342557;814507;6;100;0,333333;47b3054ad0
63856405344227;816439;-6;100;0,133333;47b3054ad0
63856405348496;820373;-6;100;0,466667;47b3054ad0
63856405353926;826172;-6;100;0,133333;47b3054ad0
63856405368816;840771;-6;100;0,4;47b3054ad0
63856405386599;858769;7;100;0,2;47b3054ad0
63856405387024;859102;7;100;0,2;47b3054ad0
63856405390799;862636;7;100;0,466667;47b3054ad0
63856405391893;864101;7;100;0,133333;47b3054ad0
63856405398932;871101;7;100;0,2;47b3054ad0
63856405426953;899231;8;100;0,066667;47b3054ad0
63856405427129;899431;8;100;0,066667;47b3054ad0
63856405430359;902231;8;100;0,466667;47b3054ad0
