Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856117677820;396577;0;100;89;4fbe985576
63856117678627;397441;0;100;85;4fbe985576
63856117679249;397994;0;100;90;4fbe985576
63856117679965;398721;0;100;89;4fbe985576
63856117680557;399384;0;100;89;4fbe985576
63856117681166;399943;0;100;94;4fbe985576
63856117682566;401377;0;100;82;4fbe985576
63856117685687;404523;0;100;68;4fbe985576
63856117689186;407969;0;100;57;4fbe985576
63856117690323;409119;0;100;56;4fbe985576
63856117693924;412669;0;100;47;4fbe985576
63856117694424;413196;0;100;63;4fbe985576
63856117696351;415139;0;100;56;4fbe985576
63856117697498;416259;0;100;55;4fbe985576
63856117698626;417439;0;100;54;4fbe985576
63856117699732;418548;0;100;55;4fbe985576
63856117700734;419562;0;100;56;4fbe985576
63856117701465;420218;0;100;64;4fbe985576
63856117702063;420872;0;100;70;4fbe985576
63856117702562;421398;0;100;80;4fbe985576
63856117703923;422721;0;100;73;4fbe985576
63856117704432;423208;0;100;84;4fbe985576
63856117706196;424941;0;100;73;4fbe985576
63856117710928;429694;0;100;60;4fbe985576
63856117711865;430644;0;100;61;4fbe985576
63856117712265;431024;0;100;82;4fbe985576
63856117713494;432280;0;100;75;4fbe985576
63856117715223;434023;0;100;66;4fbe985576
63856117716031;434783;0;100;69;4fbe985576
63856117718895;437656;0;100;58;4fbe985576
63856117720698;439493;0;100;53;4fbe985576
63856117725564;444369;0;100;44;4fbe985576
63856117727196;446012;0;100;42;4fbe985576
63856117728130;446942;0;100;47;4fbe985576
63856117729216;448042;0;100;49;4fbe985576
63856117730230;449005;0;100;52;4fbe985576
63856117736214;455031;0;100;43;4fbe985576
63856117737464;456261;1;100;44;4fbe985576
63856117737764;456608;1;100;74;4fbe985576
63856117738631;457422;1;100;74;4fbe985576
63856117739831;458648;1;100;69;4fbe985576
63856117741498;460284;1;100;62;4fbe985576
63856117741923;460674;1;100;82;4fbe985576
63856117743565;462397;1;100;72;4fbe985576
63856117744489;463224;1;100;72;4fbe985576
63856117745228;463994;1;100;74;4fbe985576
63856117746131;464930;1;100;72;4fbe985576
63856117748731;467473;1;100;61;4fbe985576
63856117750062;468870;1;100;57;4fbe985576
63856117750996;469800;1;100;59;4fbe985576
63856117753529;472323;1;100;51;4fbe985576
63856117754931;473709;1;100;50;4fbe985576
63856117755564;474343;1;100;60;4fbe985576
63856117762133;480952;1;100;48;4fbe985576
63856117762660;481469;1;100;64;4fbe985576
63856117765798;484595;1;100;54;4fbe985576
63856117766298;485072;1;100;70;4fbe985576
63856117767694;486508;1;100;64;4fbe985576
63856117769126;487915;1;100;59;4fbe985576
63856117771548;490361;1;100;52;4fbe985576
63856117772358;491115;1;100;58;4fbe985576
63856117776030;494871;1;100;49;4fbe985576
63856117777465;496267;1;100;48;4fbe985576
63856117780198;498944;1;100;42;4fbe985576
63856117782231;501070;1;100;39;4fbe985576
63856117783461;502297;1;100;41;4fbe985576
63856117784053;502877;1;100;55;4fbe985576
63856117785264;504040;1;100;55;4fbe985576
63856117786997;505793;1;100;50;4fbe985576
63856117787630;506446;1;100;60;4fbe985576
63856117789764;508589;1;100;53;4fbe985576
63856117793528;512339;1;100;45;4fbe985576
63856117797192;516019;1;100;38;4fbe985576
63856117798391;517142;1;100;42;4fbe985576
63856117798960;517772;1;100;54;4fbe985576
63856117799863;518692;1;100;57;4fbe985576
63856117802130;520901;1;100;50;4fbe985576
63856117802230;520985;1;100;206;4fbe985576
63856117803428;522281;1;100;170;4fbe985576
63856117804228;523081;1;100;149;4fbe985576
63856117805048;523858;1;100;134;4fbe985576
63856117807897;526698;1;100;109;4fbe985576
63856117810958;529731;-1;100;89;4fbe985576
63856117811458;530227;-1;100;96;4fbe985576
63856117813292;532104;-1;100;82;4fbe985576
63856117827264;546039;2;100;65;4fbe985576
63856117828396;547149;2;100;63;4fbe985576
63856117828896;547655;2;100;75;4fbe985576
63856117829427;548162;2;100;85;4fbe985576
63856117831761;550589;2;100;72;4fbe985576
63856117832359;551182;2;100;79;4fbe985576
63856117833697;552462;2;100;72;4fbe985576
63856117834296;553112;2;100;77;4fbe985576
63856117836526;555352;2;100;66;4fbe985576
63856117837563;556375;2;100;64;4fbe985576
63856117838162;556981;2;100;72;4fbe985576
63856117838595;557391;2;100;89;4fbe985576
63856117839163;557984;2;100;92;4fbe985576
63856117842392;561191;2;100;76;4fbe985576
63856117845648;564444;2;100;63;4fbe985576
63856117846361;565120;2;100;69;4fbe985576
63856117846984;565754;2;100;75;4fbe985576
63856117847591;566357;2;100;81;4fbe985576
63856117848194;566967;2;100;85;4fbe985576
63856117848790;567630;2;100;86;4fbe985576
63856117849320;568120;2;100;95;4fbe985576
63856117857363;576189;2;100;76;4fbe985576
63856117860921;579696;2;100;63;4fbe985576
63856117861696;580479;2;100;66;4fbe985576
63856117862092;580862;2;100;86;4fbe985576
63856117863129;581939;2;100;80;4fbe985576
63856117867185;585992;2;100;65;4fbe985576
63856117869915;588758;2;100;56;4fbe985576
63856117878848;597680;2;100;45;4fbe985576
63856117881996;600797;2;100;39;4fbe985576
63856117883420;602260;2;100;40;4fbe985576
63856117884028;602873;2;100;53;4fbe985576
63856117887561;606340;2;100;45;4fbe985576
63856117889490;608323;2;100;42;4fbe985576
63856117891228;609973;2;100;41;4fbe985576
63856117891428;610212;2;100;90;4fbe985576
63856117893062;611852;2;100;78;4fbe985576
63856117893561;612359;2;100;87;4fbe985576
63856117895259;614019;2;100;76;4fbe985576
63856117896661;615432;2;100;69;4fbe985576
63856117899361;618172;2;100;58;4fbe985576
63856117900795;619538;2;100;55;4fbe985576
63856117902528;621368;2;100;50;4fbe985576
63856117903195;621941;2;100;63;4fbe985576
63856117903592;622361;2;100;81;4fbe985576
63856117903895;622718;2;100;100;4fbe985576
63856117904828;623608;2;100;93;4fbe985576
63856117905354;624165;2;100;97;4fbe985576
63856117906262;625061;2;100;90;4fbe985576
63856117907894;626661;2;100;79;4fbe985576
63856117908393;627211;2;100;86;4fbe985576
63856117909228;628024;2;100;83;4fbe985576
63856117909928;628744;2;100;84;4fbe985576
63856117911857;630627;2;100;72;4fbe985576
63856117912362;631184;2;100;80;4fbe985576
63856117915562;634397;-2;100;67;4fbe985576
63856117916789;635563;-2;100;63;4fbe985576
63856117917794;636577;-2;100;63;4fbe985576
63856117918125;636883;-2;100;93;4fbe985576
63856117918595;637370;-2;100;100;4fbe985576
63856117919095;637896;-2;100;104;4fbe985576
63856117932896;651708;3;100;82;4fbe985576
63856117933528;652292;3;100;86;4fbe985576
63856117934194;652975;3;100;87;4fbe985576
63856117939133;657948;3;100;70;4fbe985576
63856117940422;659238;3;100;65;4fbe985576
63856117941128;659964;3;100;69;4fbe985576
63856117942262;661004;3;100;67;4fbe985576
63856117942755;661591;3;100;75;4fbe985576
63856117943561;662334;3;100;77;4fbe985576
63856117947491;666337;3;100;63;4fbe985576
63856117947795;666594;3;100;100;4fbe985576
63856117949994;668817;3;100;84;4fbe985576
63856117955028;673816;3;100;68;4fbe985576
63856117955661;674409;3;100;76;4fbe985576
63856117956361;675136;3;100;77;4fbe985576
63856117958627;677389;3;100;66;4fbe985576
63856117964094;682912;-3;100;54;4fbe985576
63856117964960;683768;-3;100;58;4fbe985576
63856117972194;690984;4;100;47;4fbe985576
63856117972994;691781;4;100;53;4fbe985576
63856117975394;694167;4;100;47;4fbe985576
63856117975794;694641;4;100;65;4fbe985576
63856117979261;698044;4;100;55;4fbe985576
63856117979860;698687;4;100;63;4fbe985576
63856117980327;699154;4;100;78;4fbe985576
63856117983594;702393;4;100;65;4fbe985576
63856117986394;705196;4;100;55;4fbe985576
63856117986994;705826;4;100;65;4fbe985576
63856117988127;706890;4;100;63;4fbe985576
63856117989694;708456;4;100;58;4fbe985576
63856117992194;710989;4;100;50;4fbe985576
63856117993627;712436;4;100;48;4fbe985576
63856117994243;713069;4;100;59;4fbe985576
63856117995827;714592;4;100;55;4fbe985576
63856117996427;715262;4;100;63;4fbe985576
63856117997527;716282;4;100;62;4fbe985576
63856117998260;717059;4;100;65;4fbe985576
63856117999360;718198;4;100;63;4fbe985576
63856118002160;720981;4;100;54;4fbe985576
63856118003626;722355;4;100;52;4fbe985576
63856118005426;724261;4;100;47;4fbe985576
63856118007626;726411;4;100;43;4fbe985576
63856118009126;727931;4;100;42;4fbe985576
63856118009676;728438;4;100;60;4fbe985576
63856118010060;728851;4;100;79;4fbe985576
63856118011543;730301;4;100;71;4fbe985576
63856118012860;731664;4;100;65;4fbe985576
63856118015009;733817;4;100;57;4fbe985576
63856118018626;737400;4;100;48;4fbe985576
63856118019127;737896;4;100;64;4fbe985576
63856118024726;743579;4;100;53;4fbe985576
63856118025759;744532;4;100;55;4fbe985576
63856118027926;746699;4;100;49;4fbe985576
63856118030077;748862;4;100;44;4fbe985576
63856118033493;752295;4;100;38;4fbe985576
63856118034493;753308;4;100;43;4fbe985576
63856118038193;757035;4;100;37;4fbe985576
63856118041058;759814;-4;100;34;4fbe985576
63856118041926;760694;-4;100;42;4fbe985576
63856118044958;763734;-4;100;37;4fbe985576
63856118047259;766047;-4;100;34;4fbe985576
63856118048992;767740;-4;100;35;4fbe985576
63856118049992;768813;5;100;40;4fbe985576
63856118054192;772980;5;100;34;4fbe985576
63856118058009;776806;5;100;30;4fbe985576
63856118060125;778916;5;100;30;4fbe985576
63856118061959;780816;5;100;30;4fbe985576
63856118064592;783395;5;100;29;4fbe985576
63856118065892;784695;5;100;33;4fbe985576
63856118066592;785422;5;100;44;4fbe985576
63856118068492;787315;5;100;41;4fbe985576
63856118072158;790971;5;100;36;4fbe985576
63856118074059;792814;5;100;35;4fbe985576
63856118074859;793667;5;100;43;4fbe985576
63856118075558;794384;5;100;52;4fbe985576
63856118075875;794721;5;100;81;4fbe985576
63856118076592;795381;5;100;84;4fbe985576
63856118078908;797684;5;100;71;4fbe985576
63856118079192;797970;5;100;103;4fbe985576
63856118079692;798537;5;100;104;4fbe985576
63856118080192;799034;5;100;108;4fbe985576
63856118083308;802063;5;100;88;4fbe985576
63856118084291;803133;5;100;81;4fbe985576
63856118085725;804533;5;100;73;4fbe985576
63856118087041;805873;5;100;67;4fbe985576
63856118089659;808463;5;100;57;4fbe985576
63856118092892;811656;5;100;49;4fbe985576
63856118098992;817762;5;100;40;4fbe985576
63856118099425;818175;5;100;64;4fbe985576
63856118099825;818625;5;100;80;4fbe985576
63856118100425;819188;5;100;86;4fbe985576
63856118102258;821105;5;100;74;4fbe985576
63856118103091;821828;5;100;76;4fbe985576
63856118105941;824551;5;100;64;4fbe985576
63856118109674;828511;-5;100;53;4fbe985576
63856118110391;829217;-5;100;60;4fbe985576
63856118112008;830794;-5;100;56;4fbe985576
63856118113341;832164;-5;100;53;4fbe985576
63856118115893;834680;-5;100;47;4fbe985576
63856118116424;835183;-5;100;63;4fbe985576
63856118117041;835877;-5;100;68;4fbe985576
63856118118408;837176;6;100;64;4fbe985576
63856118123041;841799;6;100;52;4fbe985576
63856118124724;843519;6;100;49;4fbe985576
63856118126258;845049;6;100;47;4fbe985576
63856118127008;845812;6;100;54;4fbe985576
63856118128191;847049;6;100;53;4fbe985576
63856118129225;847869;6;100;58;4fbe985576
63856118129558;848409;6;100;70;4fbe985576
63856118130791;849545;6;100;66;4fbe985576
63856118134474;853208;6;100;55;4fbe985576
63856118137408;856165;6;100;47;4fbe985576
63856118139524;858331;6;100;43;4fbe985576
63856118141574;860408;6;100;40;4fbe985576
63856118142291;861038;6;100;53;4fbe985576
63856118142991;861784;6;100;59;4fbe985576
63856118143924;862704;6;100;60;4fbe985576
63856118145124;863907;6;100;58;4fbe985576
63856118146457;865257;6;100;55;4fbe985576
63856118148942;867747;6;100;48;4fbe985576
63856118150541;869363;6;100;46;4fbe985576
63856118151557;870316;6;100;50;4fbe985576
63856118153390;872153;6;100;46;4fbe985576
63856118154290;873143;6;100;49;4fbe985576
63856118156324;875159;6;100;45;4fbe985576
63856118157657;876459;6;100;46;4fbe985576
63856118158357;877136;6;100;55;4fbe985576
63856118159391;878189;6;100;56;4fbe985576
63856118161623;880389;6;100;50;4fbe985576
63856118162941;881749;6;100;48;4fbe985576
63856118163174;881972;6;100;98;4fbe985576
63856118166790;885645;6;100;80;4fbe985576
63856118168427;887242;6;100;71;4fbe985576
63856118169457;888278;6;100;68;4fbe985576
63856118172190;891011;6;100;58;4fbe985576
63856118175140;893917;6;100;50;4fbe985576
63856118176156;894951;6;100;52;4fbe985576
63856118176557;895394;6;100;70;4fbe985576
63856118177173;895924;6;100;80;4fbe985576
63856118178490;897254;6;100;73;4fbe985576
63856118179940;898767;6;100;65;4fbe985576
