Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856823873016;568670;0;100;-19606,4;505823420d
63856823873016;568670;0;100;-19607,6;505823420d
63856823873148;568736;0;100;-19613,8;505823420d
63856823873215;568870;0;100;-19622,8;505823420d
63856823873215;568870;0;100;-19624,6;505823420d
63856823873315;568936;0;100;-19625,4;505823420d
63856823873415;569070;0;100;-19626;505823420d
63856823873415;569070;0;100;-19626,2;505823420d
63856823873548;569136;0;100;-19626,8;505823420d
63856823873615;569270;0;100;-19626,8;505823420d
63856823873615;569270;0;100;-19627,2;505823420d
63856823873748;569336;0;100;-19627;505823420d
63856823873848;569470;0;100;-19627,2;505823420d
63856823873848;569470;0;100;-19627,6;505823420d
63856823873948;569536;0;100;-19628;505823420d
63856823874048;569670;0;100;-19630,4;505823420d
63856823874048;569670;0;100;-19636,2;505823420d
63856823874148;569736;0;100;-19638,8;505823420d
63856823874248;569869;0;100;-19639,8;505823420d
63856823874248;569869;0;100;-19640;505823420d
63856823874348;570003;0;100;-19640;505823420d
63856823874348;570003;0;100;-19641,2;505823420d
63856823874448;570070;0;100;-19644,4;505823420d
63856823874548;570203;0;100;-19646;505823420d
63856823874548;570203;0;100;-19645,8;505823420d
63856823874648;570269;0;100;-19645,8;505823420d
63856823874748;570403;0;100;-19646;505823420d
63856823874748;570403;0;100;-19646;505823420d
63856823874848;570470;0;100;-19646,2;505823420d
63856823874948;570603;0;100;-19647;505823420d
63856823874948;570603;0;100;-19646,4;505823420d
63856823875048;570669;0;100;-19645,6;505823420d
63856823875148;570803;0;100;-19645,4;505823420d
63856823875148;570803;0;100;-19645,8;505823420d
63856823875248;570869;0;100;-19644;505823420d
63856823875348;571003;0;100;-19643,8;505823420d
63856823875348;571003;0;100;-19644;505823420d
63856823875448;571069;0;100;-19644;505823420d
63856823875582;571203;0;100;-19644;505823420d
63856823875582;571203;0;100;-19644,4;505823420d
63856823875681;571269;0;100;-19645;505823420d
63856823875781;571403;0;100;-19644,8;505823420d
63856823875781;571403;0;100;-19645,2;505823420d
63856823875848;571469;0;100;-19647,4;505823420d
63856823875982;571603;0;100;-19650;505823420d
63856823875982;571603;0;100;-19649,8;505823420d
63856823876082;571669;0;100;-19649,6;505823420d
63856823876181;571803;0;100;-19650;505823420d
63856823876181;571803;0;100;-19650,4;505823420d
63856823876281;571936;0;100;-19651,8;505823420d
63856823876281;571936;0;100;-19653,2;505823420d
63856823876381;572003;0;100;-19655;505823420d
63856823876481;572136;0;100;-19654,8;505823420d
63856823876481;572136;0;100;-19654,2;505823420d
63856823876581;572203;0;100;-19654;505823420d
63856823876681;572336;0;100;-19653,2;505823420d
63856823876681;572336;0;100;-19653;505823420d
63856823876781;572403;0;100;-19656,2;505823420d
63856823876881;572536;0;100;-19660,4;505823420d
63856823876881;572536;0;100;-19661,8;505823420d
63856823876981;572603;0;100;-19661,4;505823420d
63856823877081;572736;0;100;-19661;505823420d
63856823877081;572736;0;100;-19661,2;505823420d
63856823877181;572803;0;100;-19661;505823420d
63856823877281;572936;0;100;-19660;505823420d
63856823877281;572936;0;100;-19659,2;505823420d
63856823877382;573003;0;100;-19659;505823420d
63856823877481;573136;0;100;-19658,2;505823420d
63856823877481;573136;0;100;-19658;505823420d
63856823877616;573203;0;100;-19658,8;505823420d
63856823877681;573336;0;100;-19659,6;505823420d
63856823877681;573336;0;100;-19659,6;505823420d
63856823877782;573403;0;100;-19659,4;505823420d
63856823877915;573536;0;100;-19659,2;505823420d
63856823877915;573536;0;100;-19659,2;505823420d
63856823877981;573603;0;100;-19660;505823420d
63856823878148;573736;0;100;-19660;505823420d
63856823878148;573736;0;100;-19659,2;505823420d
63856823878215;573802;0;100;-19659,8;505823420d
63856823878315;573936;0;100;-19658,8;505823420d
63856823878315;573936;0;100;-19658,2;505823420d
63856823878414;574002;0;100;-19658;505823420d
63856823878515;574136;0;100;-19658,6;505823420d
63856823878515;574136;0;100;-19658,4;505823420d
63856823878614;574269;0;100;-19658;505823420d
63856823878614;574269;0;100;-19658;505823420d
63856823878715;574336;0;100;-19658;505823420d
63856823878815;574469;0;100;-19658;505823420d
63856823878815;574469;0;100;-19657,4;505823420d
63856823878915;574536;0;100;-19657,8;505823420d
63856823879015;574669;0;100;-19658;505823420d
63856823879015;574669;0;100;-19658,2;505823420d
63856823879115;574736;0;100;-19658,6;505823420d
63856823879215;574869;0;100;-19659;505823420d
63856823879215;574869;0;100;-19658,4;505823420d
63856823879315;574936;0;100;-19658,4;505823420d
63856823879415;575069;0;100;-19657,8;505823420d
63856823879415;575069;0;100;-19657,2;505823420d
63856823879515;575136;0;100;-19657;505823420d
63856823879615;575269;0;100;-19656,8;505823420d
63856823879615;575269;0;100;-19656,6;505823420d
63856823879715;575336;0;100;-19657;505823420d
63856823879847;575469;0;100;-19657;505823420d
