Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856823873215;568870;0;100;0,5415;505823420d
63856823873614;569270;0;100;0,5353;505823420d
63856823873948;569536;0;100;0,5291;505823420d
63856823874248;569869;0;100;0,523;505823420d
63856823874548;570203;0;100;0,5169;505823420d
63856823874948;570603;0;100;0,5109;505823420d
63856823875248;570869;0;100;0,505;505823420d
63856823875581;571203;0;100;0,4992;505823420d
63856823875981;571603;0;100;0,4934;505823420d
63856823876281;571936;0;100;0,4877;505823420d
63856823876581;572203;0;100;0,4821;505823420d
63856823876881;572536;0;100;0,4765;505823420d
63856823877281;572936;0;100;0,471;505823420d
63856823877614;573203;0;100;0,4655;505823420d
63856823877915;573536;0;100;0,4601;505823420d
63856823878315;573936;0;100;0,4548;505823420d
63856823878614;574269;0;100;0,4495;505823420d
63856823878915;574536;0;100;0,4443;505823420d
63856823879215;574869;0;100;0,4392;505823420d
63856823879615;575269;0;100;0,4341;505823420d
63856823879947;575536;0;100;0,4291;505823420d
63856823880248;575869;0;100;0,4241;505823420d
63856823880648;576269;0;100;0,4192;505823420d
63856823880948;576602;0;100;0,4144;505823420d
63856823881248;576869;0;100;0,4096;505823420d
63856823881548;577202;0;100;0,4049;505823420d
63856823881981;577602;0;100;0,4002;505823420d
63856823882281;577935;0;100;0,3955;505823420d
63856823882581;578202;0;100;0,391;505823420d
63856823882881;578535;0;100;0,3864;505823420d
63856823883281;578935;0;100;0,382;505823420d
63856823883581;579202;0;100;0,3776;505823420d
63856823883915;579535;0;100;0,3732;505823420d
63856823884214;579868;0;100;0,3689;505823420d
63856823884648;580268;0;100;0,3646;505823420d
63856823884914;580535;0;100;0,3604;505823420d
63856823885281;580935;0;100;0,3562;505823420d
63856823885615;581202;0;100;0,3521;505823420d
63856823885915;581535;0;100;0,348;505823420d
63856823886215;581868;0;100;0,344;505823420d
63856823886615;582268;0;100;0,34;505823420d
63856823886914;582535;0;100;0,3361;505823420d
