Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63855190685279;789784;0;100;67;5262348c36
63855190690615;795101;0;100;54;5262348c36
63855190694314;798830;0;100;46;5262348c36
63855190694897;799394;0;100;60;5262348c36
63855190695305;799827;0;100;78;5262348c36
63855190696435;800953;0;100;72;5262348c36
63855190697762;802227;0;100;67;5262348c36
63855190699912;804403;0;100;58;5262348c36
63855190700611;805070;0;100;65;5262348c36
63855190701027;805563;0;100;79;5262348c36
63855190702237;806756;0;100;73;5262348c36
63855190704808;809229;0;100;62;5262348c36
63855190705198;809723;0;100;75;5262348c36
63855190705698;810199;0;100;87;5262348c36
63855190706398;810936;0;100;86;5262348c36
63855190706914;811436;0;100;94;5262348c36
63855190707444;811892;0;100;103;5262348c36
63855190707931;812399;0;100;107;5262348c36
63855190708541;813049;0;100;104;5262348c36
63855190709160;813592;0;100;105;5262348c36
63855190709747;814285;0;100;101;5262348c36
63855190710264;814789;0;100;106;5262348c36
63855190710964;815489;0;100;102;5262348c36
63855190711995;816522;0;100;92;5262348c36
63855190713160;817569;0;100;85;5262348c36
63855190714293;818768;0;100;77;5262348c36
63855190714698;819212;0;100;90;5262348c36
63855190715228;819648;0;100;101;5262348c36
63855190715931;820395;0;100;97;5262348c36
63855190716797;821271;0;100;91;5262348c36
63855190717413;821885;0;100;92;5262348c36
63855190718464;822968;0;100;84;5262348c36
63855190718963;823474;0;100;92;5262348c36
63855190719464;823921;0;100;102;5262348c36
63855190719980;824508;0;100;102;5262348c36
63855190720530;825024;0;100;106;5262348c36
63855190721031;825531;0;100;109;5262348c36
63855190721530;826008;0;100;113;5262348c36
63855190721963;826471;0;100;117;5262348c36
63855190722697;827187;0;100;110;5262348c36
63855190723197;827654;0;100;115;5262348c36
63855190723596;828134;0;100;117;5262348c36
63855190724297;828764;0;100;112;5262348c36
63855190724881;829391;0;100;109;5262348c36
63855190725614;830074;0;100;105;5262348c36
63855190726742;831184;0;100;93;5262348c36
63855190727127;831594;0;100;106;5262348c36
63855190727681;832080;0;100;110;5262348c36
63855190728443;832907;0;100;102;5262348c36
63855190731678;836126;0;100;84;5262348c36
63855190732697;837200;0;100;78;5262348c36
63855190735438;839986;0;100;65;5262348c36
63855190736368;840826;0;100;67;5262348c36
63855190737273;841773;0;100;66;5262348c36
63855190737596;842049;0;100;99;5262348c36
63855190738296;842829;0;100;94;5262348c36
63855190740430;844882;0;100;80;5262348c36
63855190742473;846912;0;100;69;5262348c36
63855190743025;847509;0;100;76;5262348c36
63855190744247;848695;0;100;71;5262348c36
63855190745971;850498;0;100;62;5262348c36
63855190746206;850698;0;100;115;5262348c36
63855190747197;851642;0;100;104;5262348c36
63855190747696;852168;0;100;107;5262348c36
63855190748438;852958;0;100;100;5262348c36
63855190749639;854112;0;100;89;5262348c36
63855190750229;854725;0;100;92;5262348c36
63855190751045;855555;0;100;88;5262348c36
63855190751480;855988;0;100;99;5262348c36
63855190752094;856591;0;100;99;5262348c36
63855190752873;857354;0;100;95;5262348c36
63855190752997;857471;0;100;195;5262348c36
63855190753604;858101;0;100;173;5262348c36
63855190755830;860307;0;100;141;5262348c36
63855190757260;861724;0;100;119;5262348c36
63855190757961;862484;0;100;110;5262348c36
