Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63855190685279;789777;0;100;10,8639;5262348c36
63855190685599;790110;0;100;10,7382;5262348c36
63855190685945;790443;0;100;10,614;5262348c36
63855190686327;790843;0;100;10,4912;5262348c36
63855190686649;791110;0;100;10,3699;5262348c36
63855190686908;791443;0;100;10,2499;5262348c36
63855190687348;791843;0;100;10,1313;5262348c36
63855190687569;792110;0;100;10,0141;5262348c36
63855190687998;792510;0;100;9,8983;5262348c36
63855190688273;792776;0;100;9,7838;5262348c36
63855190688662;793176;0;100;9,6706;5262348c36
63855190688974;793443;0;100;9,5587;5262348c36
63855190689267;793776;0;100;9,4482;5262348c36
63855190689598;794109;0;100;9,3389;5262348c36
63855190689907;794443;0;100;9,2308;5262348c36
63855190690330;794843;0;100;9,1241;5262348c36
63855190690615;795109;0;100;9,0185;5262348c36
63855190690932;795443;0;100;8,9142;5262348c36
63855190691314;795842;0;100;8,8111;5262348c36
63855190691696;796242;0;100;8,7091;5262348c36
63855190692131;796576;0;100;8,6084;5262348c36
63855190692269;796776;0;100;8,5088;5262348c36
63855190692660;797176;0;100;8,4104;5262348c36
63855190692974;797509;0;100;8,3131;5262348c36
63855190693265;797776;0;100;8,2169;5262348c36
63855190693614;798109;0;100;8,1219;5262348c36
63855190693998;798509;0;100;8,0279;5262348c36
63855190694314;798776;0;100;7,935;5262348c36
63855190694605;799109;0;100;7,8432;5262348c36
63855190694897;799442;0;100;7,7525;5262348c36
63855190695305;799842;0;100;7,6628;5262348c36
63855190695631;800109;0;100;7,5742;5262348c36
63855190695947;800442;0;100;7,4866;5262348c36
63855190696331;800842;0;100;7,4;5262348c36
63855190696638;801175;0;100;7,3144;5262348c36
63855190696938;801442;0;100;7,2297;5262348c36
63855190697264;801775;0;100;7,1461;5262348c36
63855190697665;802175;0;100;7,0634;5262348c36
63855190697959;802442;0;100;6,9817;5262348c36
63855190698280;802775;0;100;6,901;5262348c36
63855190698571;803109;0;100;6,8211;5262348c36
63855190699015;803508;0;100;6,7422;5262348c36
63855190699297;803775;0;100;6,6642;5262348c36
63855190699598;804108;0;100;6,5871;5262348c36
63855190699912;804442;0;100;6,5109;5262348c36
