Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857176297858;315126;0;100;-19241,2;5546a2f355
63857176297957;315259;0;100;-19242;5546a2f355
63857176297957;315259;0;100;-19242;5546a2f355
63857176298041;315326;0;100;-19242;5546a2f355
63857176298157;315459;0;100;-19242,4;5546a2f355
63857176298157;315459;0;100;-19242,2;5546a2f355
63857176298274;315526;0;100;-19242,4;5546a2f355
63857176298357;315659;0;100;-19243,6;5546a2f355
63857176298357;315659;0;100;-19243,8;5546a2f355
63857176298457;315726;0;100;-19244;5546a2f355
63857176298557;315859;0;100;-19245;5546a2f355
63857176298557;315859;0;100;-19246,4;5546a2f355
63857176298657;315926;0;100;-19246,2;5546a2f355
63857176298757;316059;0;100;-19247;5546a2f355
63857176298757;316059;0;100;-19247;5546a2f355
63857176298890;316126;0;100;-19248;5546a2f355
63857176298974;316259;0;100;-19248,6;5546a2f355
63857176298974;316259;0;100;-19249,6;5546a2f355
63857176299091;316326;0;100;-19250;5546a2f355
63857176299207;316459;0;100;-19250;5546a2f355
63857176299207;316459;0;100;-19250;5546a2f355
63857176299290;316526;0;100;-19249,4;5546a2f355
63857176299390;316659;0;100;-19248;5546a2f355
63857176299390;316659;0;100;-19247,8;5546a2f355
63857176299491;316792;0;100;-19246;5546a2f355
63857176299491;316792;0;100;-19244,6;5546a2f355
63857176299590;316859;0;100;-19243,8;5546a2f355
63857176299674;316992;0;100;-19243,8;5546a2f355
63857176299674;316992;0;100;-19242;5546a2f355
63857176299790;317059;0;100;-19242,4;5546a2f355
63857176299957;317192;0;100;-19242,2;5546a2f355
63857176299957;317192;0;100;-19242,4;5546a2f355
63857176300057;317326;0;100;-19242,8;5546a2f355
63857176300057;317326;0;100;-19243;5546a2f355
63857176300157;317459;0;100;-19243,6;5546a2f355
63857176300157;317459;0;100;-19244,2;5546a2f355
63857176300257;317525;0;100;-19244,8;5546a2f355
63857176300341;317659;0;100;-19245,8;5546a2f355
63857176300341;317659;0;100;-19246,6;5546a2f355
63857176300457;317725;0;100;-19247,4;5546a2f355
63857176300574;317859;0;100;-19248,2;5546a2f355
63857176300574;317859;0;100;-19248,6;5546a2f355
63857176300657;317925;0;100;-19249,2;5546a2f355
63857176300757;318059;0;100;-19251;5546a2f355
63857176300757;318059;0;100;-19250,8;5546a2f355
63857176300857;318126;0;100;-19250;5546a2f355
63857176300957;318259;0;100;-19250;5546a2f355
63857176300957;318259;0;100;-19250,6;5546a2f355
63857176301057;318325;0;100;-19250,6;5546a2f355
