Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857260477461;538154;0;100;-11424,2;6511a4907e
63857260477461;538154;0;100;-11399,6;6511a4907e
63857260477526;538220;0;100;-11410,6;6511a4907e
63857260477660;538354;0;100;-11442;6511a4907e
63857260477660;538354;0;100;-11457;6511a4907e
63857260477759;538420;0;100;-11463,2;6511a4907e
63857260477859;538554;0;100;-11464,8;6511a4907e
63857260477859;538554;0;100;-11464,2;6511a4907e
63857260477959;538620;0;100;-11463,2;6511a4907e
63857260478059;538753;0;100;-11466;6511a4907e
63857260478059;538753;0;100;-11466,2;6511a4907e
63857260478159;538820;0;100;-11465,4;6511a4907e
63857260478260;538953;0;100;-11465,6;6511a4907e
63857260478260;538953;0;100;-11468,4;6511a4907e
63857260478360;539020;0;100;-11470;6511a4907e
63857260478460;539153;0;100;-11472,4;6511a4907e
63857260478460;539153;0;100;-11473,4;6511a4907e
63857260478559;539220;0;100;-11475,4;6511a4907e
63857260478659;539353;0;100;-11475,8;6511a4907e
63857260478659;539353;0;100;-11477;6511a4907e
63857260478759;539420;0;100;-11476,8;6511a4907e
63857260478860;539553;0;100;-11476;6511a4907e
63857260478860;539553;0;100;-11476,6;6511a4907e
63857260478959;539620;0;100;-11480,4;6511a4907e
63857260479059;539754;0;100;-11477;6511a4907e
63857260479059;539754;0;100;-11473,8;6511a4907e
63857260479159;539820;0;100;-11472,4;6511a4907e
63857260479259;539953;0;100;-11477;6511a4907e
63857260479259;539953;0;100;-11476;6511a4907e
63857260479360;540020;0;100;-11475;6511a4907e
63857260479459;540153;0;100;-11473,2;6511a4907e
63857260479459;540153;0;100;-11472,4;6511a4907e
63857260479560;540220;0;100;-11470,6;6511a4907e
63857260479660;540353;0;100;-11473,4;6511a4907e
63857260479660;540353;0;100;-11474,8;6511a4907e
63857260479759;540487;0;100;-11475,6;6511a4907e
63857260479759;540487;0;100;-11476,4;6511a4907e
63857260479892;540553;0;100;-11474,8;6511a4907e
63857260479992;540687;0;100;-11464,6;6511a4907e
63857260479992;540687;0;100;-11424,4;6511a4907e
63857260480076;540753;0;100;-11361,8;6511a4907e
63857260480193;540887;0;100;-11297,4;6511a4907e
63857260480193;540887;0;100;-11276,2;6511a4907e
63857260480294;540953;0;100;-11283;6511a4907e
63857260480393;541087;0;100;-11299;6511a4907e
63857260480393;541087;0;100;-11343;6511a4907e
63857260480493;541153;0;100;-11375,8;6511a4907e
63857260480593;541287;0;100;-11402,4;6511a4907e
63857260480593;541287;0;100;-11419,8;6511a4907e
63857260480692;541353;0;100;-11429,4;6511a4907e
63857260480793;541487;0;100;-11432,4;6511a4907e
63857260480793;541487;0;100;-11425,6;6511a4907e
63857260480893;541553;0;100;-11419,2;6511a4907e
63857260481009;541687;0;100;-11426,2;6511a4907e
63857260481009;541687;0;100;-11430,8;6511a4907e
63857260481126;541753;0;100;-11439,2;6511a4907e
63857260481192;541887;0;100;-11438,4;6511a4907e
63857260481192;541887;0;100;-11437;6511a4907e
63857260481293;541953;0;100;-11436,2;6511a4907e
63857260481393;542087;0;100;-11435,6;6511a4907e
63857260481393;542087;0;100;-11437,4;6511a4907e
63857260481492;542153;0;100;-11441;6511a4907e
63857260481626;542286;0;100;-11437,8;6511a4907e
63857260481626;542286;0;100;-11438,2;6511a4907e
63857260481709;542420;0;100;-11441,2;6511a4907e
63857260481709;542420;0;100;-11442,2;6511a4907e
63857260481826;542486;0;100;-11447,4;6511a4907e
63857260481943;542620;0;100;-11449,2;6511a4907e
63857260481943;542620;0;100;-11450,6;6511a4907e
63857260482026;542686;0;100;-11451,2;6511a4907e
63857260482126;542820;0;100;-11449;6511a4907e
63857260482126;542820;0;100;-11447,2;6511a4907e
63857260482226;542887;0;100;-11446;6511a4907e
63857260482326;543020;0;100;-11442;6511a4907e
63857260482326;543020;0;100;-11436;6511a4907e
63857260482410;543086;0;100;-11429,4;6511a4907e
63857260482526;543220;0;100;-11420,6;6511a4907e
63857260482526;543220;0;100;-11418;6511a4907e
63857260482642;543286;0;100;-11416,2;6511a4907e
63857260482726;543420;0;100;-11420;6511a4907e
63857260482726;543420;0;100;-11421,2;6511a4907e
63857260482826;543486;0;100;-11422,2;6511a4907e
63857260482926;543620;0;100;-11419,6;6511a4907e
63857260482926;543620;0;100;-11418,2;6511a4907e
63857260483026;543687;0;100;-11415,6;6511a4907e
63857260483126;543820;0;100;-11416;6511a4907e
63857260483126;543820;0;100;-11416,6;6511a4907e
63857260483226;543886;0;100;-11412,6;6511a4907e
63857260483343;544020;0;100;-11405,8;6511a4907e
63857260483343;544020;0;100;-11401,8;6511a4907e
