Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63857260477526;538220;0;100;10,5887;6511a4907e
63857260477859;538554;0;100;10,4662;6511a4907e
63857260478260;538953;0;100;12,4274;6511a4907e
63857260478559;539220;0;100;12,2836;6511a4907e
63857260478860;539553;0;100;14,2238;6511a4907e
63857260479259;539953;0;100;14,0592;6511a4907e
63857260479560;540220;0;100;13,8966;6511a4907e
63857260479892;540553;0;100;13,7358;6511a4907e
63857260480193;540887;0;100;13,5769;6511a4907e
63857260480593;541287;0;100;13,4199;6511a4907e
63857260480893;541553;0;100;13,2646;6511a4907e
63857260481192;541887;0;100;13,1112;6511a4907e
63857260481626;542286;0;100;15,0418;6511a4907e
63857260481942;542620;0;100;14,8678;6511a4907e
63857260482226;542887;0;100;16,778;6511a4907e
63857260482526;543220;0;100;16,5839;6511a4907e
63857260482925;543620;0;100;16,3921;6511a4907e
63857260483226;543886;0;100;16,2025;6511a4907e
63857260483526;544220;0;100;16,015;6511a4907e
63857260483859;544553;0;100;15,8298;6511a4907e
63857260484259;544953;0;100;15,6467;6511a4907e
63857260484559;545220;0;100;15,4657;6511a4907e
63857260484859;545553;0;100;15,2867;6511a4907e
63857260485292;545953;0;100;15,1099;6511a4907e
63857260485592;546286;0;100;14,9351;6511a4907e
63857260485892;546553;0;100;14,7623;6511a4907e
63857260486193;546886;0;100;14,5916;6511a4907e
63857260486593;547286;0;100;16,505;6511a4907e
63857260486893;547553;0;100;16,3141;6511a4907e
63857260487192;547886;0;100;16,1254;6511a4907e
63857260487593;548286;0;100;15,9388;6511a4907e
63857260487926;548619;0;100;17,8367;6511a4907e
63857260488226;548886;0;100;17,6304;6511a4907e
63857260488526;549219;0;100;19,5087;6511a4907e
63857260488926;549619;0;100;21,3652;6511a4907e
63857260489226;549886;0;100;21,1181;6511a4907e
63857260489526;550219;0;100;20,8738;6511a4907e
63857260489859;550552;0;100;20,6323;6511a4907e
63857260490193;550886;0;100;20,3937;6511a4907e
63857260490525;551219;0;100;20,1577;6511a4907e
63857260490926;551619;0;100;19,9246;6511a4907e
63857260491225;551886;0;100;19,6941;6511a4907e
63857260491542;552219;0;100;19,4662;6511a4907e
63857260491926;552619;0;100;21,3233;6511a4907e
63857260492242;552886;0;100;23,1589;6511a4907e
63857260492559;553219;0;100;22,891;6511a4907e
63857260492859;553552;0;100;22,6262;6511a4907e
63857260493259;553952;0;100;22,3644;6511a4907e
63857260493560;554219;0;100;22,1057;6511a4907e
63857260493876;554552;0;100;23,9323;6511a4907e
63857260494292;554952;0;100;23,6554;6511a4907e
63857260494559;555285;0;100;23,3818;6511a4907e
63857260494893;555552;0;100;23,1113;6511a4907e
63857260495192;555885;0;100;22,8439;6511a4907e
63857260495592;556285;0;100;24,6619;6511a4907e
63857260495892;556552;0;100;24,3766;6511a4907e
63857260496209;556885;0;100;24,0946;6511a4907e
63857260496525;557218;0;100;23,8159;6511a4907e
63857260496909;557618;0;100;25,6227;6511a4907e
63857260497226;557885;0;100;25,3263;6511a4907e
63857260497526;558218;0;100;25,0333;6511a4907e
63857260497926;558618;0;100;24,7437;6511a4907e
63857260498226;558885;0;100;24,4575;6511a4907e
63857260498542;559218;0;100;24,1745;6511a4907e
63857260498925;559618;0;100;23,8949;6511a4907e
63857260499259;559951;0;100;23,6185;6511a4907e
63857260499559;560218;0;100;23,3452;6511a4907e
63857260499859;560551;0;100;23,0752;6511a4907e
63857260500258;560951;0;100;22,8082;6511a4907e
63857260500559;561218;0;100;22,5444;6511a4907e
63857260500875;561551;0;100;22,2836;6511a4907e
63857260501192;561885;0;100;22,0258;6511a4907e
63857260501592;562284;0;100;21,771;6511a4907e
63857260501892;562551;0;100;21,5192;6511a4907e
63857260502192;562884;0;100;21,2702;6511a4907e
63857260502626;563284;0;100;21,0242;6511a4907e
63857260502893;563551;0;100;20,781;6511a4907e
63857260503209;563884;0;100;24,7051;6511a4907e
63857260503526;564218;0;100;24,4193;6511a4907e
63857260503926;564618;0;100;24,1368;6511a4907e
63857260504226;564884;0;100;23,8576;6511a4907e
63857260504526;565218;0;100;25,6639;6511a4907e
63857260504958;565618;0;100;25,367;6511a4907e
63857260505225;565951;0;100;25,0735;6511a4907e
63857260505542;566217;0;100;24,7835;6511a4907e
63857260505859;566551;0;100;24,4968;6511a4907e
63857260506242;566951;0;100;24,2134;6511a4907e
63857260506558;567217;0;100;23,9333;6511a4907e
63857260506859;567551;0;100;23,6564;6511a4907e
63857260507175;567884;0;100;25,465;6511a4907e
63857260507592;568284;0;100;25,1705;6511a4907e
63857260507892;568551;0;100;26,9615;6511a4907e
63857260508192;568884;0;100;26,6496;6511a4907e
63857260508592;569284;0;100;26,3414;6511a4907e
63857260508926;569551;0;100;26,0366;6511a4907e
63857260509225;569884;0;100;25,7354;6511a4907e
63857260509526;570217;0;100;25,4377;6511a4907e
63857260509926;570617;0;100;25,1435;6511a4907e
63857260510226;570884;0;100;24,8526;6511a4907e
63857260510525;571217;0;100;24,5651;6511a4907e
63857260510925;571617;0;100;26,3632;6511a4907e
63857260511225;571884;0;100;26,0582;6511a4907e
63857260511526;572217;0;100;25,7568;6511a4907e
63857260511842;572550;0;100;25,4588;6511a4907e
63857260512258;572950;0;100;25,1643;6511a4907e
63857260512542;573217;0;100;24,8732;6511a4907e
63857260512859;573550;0;100;24,5855;6511a4907e
63857260513259;573950;0;100;24,3011;6511a4907e
63857260513592;574283;0;100;24,02;6511a4907e
63857260513892;574550;0;100;23,7421;6511a4907e
63857260514192;574883;0;100;23,4674;6511a4907e
63857260514592;575283;0;100;23,196;6511a4907e
63857260514892;575550;0;100;22,9276;6511a4907e
63857260515192;575883;0;100;22,6624;6511a4907e
63857260515592;576283;0;100;22,4002;6511a4907e
63857260515926;576616;0;100;24,2234;6511a4907e
63857260516192;576883;0;100;23,9432;6511a4907e
63857260516525;577216;0;100;23,6662;6511a4907e
63857260516942;577616;0;100;23,3924;6511a4907e
63857260517225;577883;0;100;23,1218;6511a4907e
63857260517525;578216;0;100;24,9366;6511a4907e
63857260517926;578616;0;100;24,6481;6511a4907e
