Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856657081264;457498;0;100;17,4754;66bb61393c
63856657081597;457831;0;100;17,2733;66bb61393c
63856657081897;458164;0;100;17,0735;66bb61393c
63856657082330;458564;0;100;16,876;66bb61393c
63856657082630;458831;0;100;16,6807;66bb61393c
63856657082930;459164;0;100;16,4878;66bb61393c
63856657083230;459497;0;100;16,297;66bb61393c
63856657083563;459831;0;100;16,1085;66bb61393c
63856657083997;460231;0;100;15,9222;66bb61393c
63856657084264;460497;0;100;15,738;66bb61393c
63856657084597;460831;0;100;15,5559;66bb61393c
63856657084980;461230;0;100;15,376;66bb61393c
63856657085297;461497;0;100;15,1981;66bb61393c
63856657085630;461830;0;100;15,0223;66bb61393c
63856657085930;462164;0;100;14,8485;66bb61393c
63856657086230;462497;0;100;14,6767;66bb61393c
63856657086630;462897;0;100;14,507;66bb61393c
63856657086964;463164;0;100;14,3391;66bb61393c
63856657087264;463497;0;100;14,1733;66bb61393c
63856657087597;463830;0;100;14,0093;66bb61393c
63856657087897;464164;0;100;13,8472;66bb61393c
63856657088297;464563;0;100;13,6871;66bb61393c
63856657088630;464830;0;100;13,5287;66bb61393c
63856657088930;465163;0;100;13,3722;66bb61393c
63856657089330;465563;0;100;13,2175;66bb61393c
63856657089730;465963;0;100;13,0646;66bb61393c
63856657090164;466297;0;100;12,9135;66bb61393c
63856657090263;466497;0;100;12,7641;66bb61393c
63856657090663;466897;0;100;12,6165;66bb61393c
63856657090963;467163;0;100;12,4705;66bb61393c
63856657091264;467497;0;100;12,3263;66bb61393c
63856657091563;467830;0;100;12,1837;66bb61393c
63856657091963;468230;0;100;12,0427;66bb61393c
63856657092297;468496;0;100;11,9034;66bb61393c
63856657092597;468830;0;100;11,7657;66bb61393c
63856657092930;469163;0;100;11,6296;66bb61393c
63856657093264;469496;0;100;11,4951;66bb61393c
63856657093664;469896;0;100;11,3621;66bb61393c
63856657093963;470163;0;100;11,2307;66bb61393c
63856657094263;470496;0;100;11,1007;66bb61393c
63856657094563;470830;0;100;10,9723;66bb61393c
63856657094964;471230;0;100;10,8454;66bb61393c
63856657095297;471496;0;100;10,7199;66bb61393c
63856657095597;471830;0;100;10,5959;66bb61393c
63856657095996;472229;0;100;10,4734;66bb61393c
63856657096297;472496;0;100;10,3522;66bb61393c
63856657096597;472829;0;100;10,2324;66bb61393c
63856657096897;473163;0;100;10,1141;66bb61393c
63856657097297;473563;0;100;9,9971;66bb61393c
63856657097630;473829;0;100;9,8814;66bb61393c
63856657097930;474163;0;100;9,7671;66bb61393c
63856657098330;474563;0;100;9,6541;66bb61393c
63856657098630;474896;0;100;9,5424;66bb61393c
63856657098930;475162;0;100;9,4321;66bb61393c
