Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856307894554;1497424;0;100;-19320,6;68a5b124d8
63856307894554;1497424;0;100;-19321;68a5b124d8
63856307894651;1497491;0;100;-19321,8;68a5b124d8
63856307894752;1497624;0;100;-19323,8;68a5b124d8
63856307894752;1497624;0;100;-19325,4;68a5b124d8
63856307894852;1497691;0;100;-19327,4;68a5b124d8
63856307894952;1497824;0;100;-19329,4;68a5b124d8
63856307894952;1497824;0;100;-19332,6;68a5b124d8
63856307895052;1497891;0;100;-19335,2;68a5b124d8
63856307895152;1498024;0;100;-19338,4;68a5b124d8
63856307895152;1498024;0;100;-19340,8;68a5b124d8
63856307895252;1498158;0;100;-19343,4;68a5b124d8
63856307895252;1498158;0;100;-19345,8;68a5b124d8
63856307895419;1498291;0;100;-19348;68a5b124d8
63856307895419;1498291;0;100;-19350;68a5b124d8
63856307895518;1498424;0;100;-19351,6;68a5b124d8
63856307895518;1498424;0;100;-19353,4;68a5b124d8
63856307895619;1498491;0;100;-19354,6;68a5b124d8
63856307895718;1498624;0;100;-19356,4;68a5b124d8
63856307895718;1498624;0;100;-19357;68a5b124d8
63856307895819;1498691;0;100;-19357;68a5b124d8
63856307895952;1498824;0;100;-19357,8;68a5b124d8
63856307895952;1498824;0;100;-19357,8;68a5b124d8
63856307896018;1498891;0;100;-19358,4;68a5b124d8
63856307896152;1499024;0;100;-19358;68a5b124d8
63856307896152;1499024;0;100;-19357,8;68a5b124d8
63856307896418;1499091;0;100;-19357,6;68a5b124d8
63856307896418;1499224;0;100;-19358;68a5b124d8
63856307896418;1499224;0;100;-19358;68a5b124d8
63856307896419;1499291;0;100;-19357;68a5b124d8
63856307896552;1499424;0;100;-19356,8;68a5b124d8
63856307896552;1499424;0;100;-19355,8;68a5b124d8
63856307896652;1499491;0;100;-19355,2;68a5b124d8
63856307896752;1499624;0;100;-19354,8;68a5b124d8
63856307896752;1499624;0;100;-19354,4;68a5b124d8
63856307896852;1499691;0;100;-19353,2;68a5b124d8
63856307896952;1499824;0;100;-19352,8;68a5b124d8
63856307896952;1499824;0;100;-19352;68a5b124d8
63856307897052;1499891;0;100;-19352;68a5b124d8
63856307897185;1500024;0;100;-19352;68a5b124d8
63856307897185;1500024;0;100;-19351,4;68a5b124d8
63856307897252;1500091;0;100;-19352,2;68a5b124d8
63856307897352;1500224;0;100;-19352;68a5b124d8
63856307897352;1500224;0;100;-19352;68a5b124d8
63856307897452;1500291;0;100;-19352;68a5b124d8
63856307897552;1500424;0;100;-19352;68a5b124d8
63856307897552;1500424;0;100;-19351,6;68a5b124d8
63856307897652;1500557;0;100;-19351,2;68a5b124d8
63856307897652;1500557;0;100;-19351,8;68a5b124d8
63856307897752;1500624;0;100;-19351,2;68a5b124d8
63856307897852;1500757;0;100;-19351,2;68a5b124d8
63856307897852;1500757;0;100;-19351,2;68a5b124d8
63856307897952;1500824;0;100;-19351;68a5b124d8
63856307898051;1500957;0;100;-19350,8;68a5b124d8
63856307898051;1500957;0;100;-19350,8;68a5b124d8
63856307898152;1501024;0;100;-19350,4;68a5b124d8
63856307898252;1501157;0;100;-19350,4;68a5b124d8
63856307898252;1501157;0;100;-19350;68a5b124d8
63856307898385;1501224;0;100;-19350,2;68a5b124d8
63856307898485;1501357;0;100;-19350,2;68a5b124d8
63856307898485;1501357;0;100;-19349,4;68a5b124d8
63856307898585;1501424;0;100;-19349,2;68a5b124d8
63856307898778;1501557;0;100;-19348,8;68a5b124d8
63856307898778;1501557;0;100;-19349,2;68a5b124d8
63856307898778;1501624;0;100;-19350,2;68a5b124d8
63856307898886;1501757;0;100;-19351,4;68a5b124d8
63856307898886;1501757;0;100;-19353,2;68a5b124d8
63856307898985;1501824;0;100;-19354,8;68a5b124d8
63856307899086;1501957;0;100;-19356,6;68a5b124d8
63856307899086;1501957;0;100;-19358,6;68a5b124d8
63856307899185;1502024;0;100;-19360,8;68a5b124d8
63856307899286;1502157;0;100;-19362,4;68a5b124d8
63856307899286;1502157;0;100;-19364,8;68a5b124d8
63856307899385;1502224;0;100;-19366,6;68a5b124d8
63856307899485;1502357;0;100;-19368;68a5b124d8
63856307899485;1502357;0;100;-19369,4;68a5b124d8
63856307899585;1502491;0;100;-19370;68a5b124d8
63856307899585;1502491;0;100;-19370,4;68a5b124d8
63856307899685;1502557;0;100;-19371;68a5b124d8
63856307899819;1502690;0;100;-19371;68a5b124d8
63856307899819;1502690;0;100;-19372;68a5b124d8
63856307899885;1502757;0;100;-19372;68a5b124d8
63856307899985;1502891;0;100;-19372;68a5b124d8
63856307899985;1502891;0;100;-19372;68a5b124d8
63856307900085;1502957;0;100;-19372,2;68a5b124d8
63856307900185;1503090;0;100;-19372;68a5b124d8
63856307900185;1503090;0;100;-19371,8;68a5b124d8
63856307900286;1503157;0;100;-19371;68a5b124d8
63856307900385;1503290;0;100;-19370,6;68a5b124d8
63856307900385;1503290;0;100;-19369,2;68a5b124d8
63856307900551;1503424;0;100;-19368;68a5b124d8
63856307900551;1503424;0;100;-19366,2;68a5b124d8
63856307900652;1503557;0;100;-19365,2;68a5b124d8
63856307900652;1503557;0;100;-19363,2;68a5b124d8
63856307900752;1503624;0;100;-19362,4;68a5b124d8
63856307900851;1503757;0;100;-19360,4;68a5b124d8
63856307900851;1503757;0;100;-19359,6;68a5b124d8
63856307900951;1503824;0;100;-19357,8;68a5b124d8
63856307901051;1503957;0;100;-19356,6;68a5b124d8
63856307901051;1503957;0;100;-19355,6;68a5b124d8
63856307901185;1504024;0;100;-19354,6;68a5b124d8
63856307901285;1504157;0;100;-19353,6;68a5b124d8
63856307901285;1504157;0;100;-19352,4;68a5b124d8
63856307901385;1504224;0;100;-19351,4;68a5b124d8
63856307901485;1504357;0;100;-19350,2;68a5b124d8
63856307901485;1504357;0;100;-19349,8;68a5b124d8
63856307901651;1504490;0;100;-19349;68a5b124d8
63856307901651;1504490;0;100;-19347,8;68a5b124d8
63856307901718;1504624;0;100;-19347,8;68a5b124d8
63856307901718;1504624;0;100;-19347,4;68a5b124d8
63856307901819;1504690;0;100;-19347;68a5b124d8
63856307901918;1504824;0;100;-19346;68a5b124d8
63856307901918;1504824;0;100;-19345,2;68a5b124d8
63856307902051;1504891;0;100;-19344,8;68a5b124d8
63856307902152;1505024;0;100;-19344,2;68a5b124d8
63856307902152;1505024;0;100;-19344;68a5b124d8
63856307902251;1505090;0;100;-19343,6;68a5b124d8
63856307902352;1505224;0;100;-19343,4;68a5b124d8
63856307902352;1505224;0;100;-19343,8;68a5b124d8
63856307902452;1505290;0;100;-19343,4;68a5b124d8
63856307902551;1505424;0;100;-19343;68a5b124d8
63856307902551;1505424;0;100;-19343;68a5b124d8
63856307902651;1505490;0;100;-19342,8;68a5b124d8
63856307902752;1505624;0;100;-19342,2;68a5b124d8
63856307902752;1505624;0;100;-19342,2;68a5b124d8
63856307902851;1505757;0;100;-19342;68a5b124d8
63856307902851;1505757;0;100;-19341,6;68a5b124d8
63856307902951;1505824;0;100;-19341;68a5b124d8
63856307903051;1505957;0;100;-19341,4;68a5b124d8
63856307903051;1505957;0;100;-19341;68a5b124d8
63856307903185;1506023;0;100;-19341;68a5b124d8
