Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856307895718;1497891;0;100;0,39202;68a5b124d8
63856307899685;1502157;0;100;0,12198;68a5b124d8
63856307905668;1507957;0;100;0,162251;68a5b124d8
63856307938532;1541220;1;100;0,0524;68a5b124d8
63856307940596;1542953;1;100;0,160383;68a5b124d8
63856307946083;1548487;1;100;0,163933;68a5b124d8
63856307954601;1557085;1;100;0,143359;68a5b124d8
63856307954801;1557552;1;100;0,03239;68a5b124d8
63856307955228;1557885;1;100;0,024695;68a5b124d8
63856307955701;1558085;1;100;0,145611;68a5b124d8
63856307963368;1566084;1;100;0,012041;68a5b124d8
63856307974867;1577150;-1;100;0,177793;68a5b124d8
63856307979433;1581883;-1;100;0,086713;68a5b124d8
63856307996733;1599281;-1;100;0,048311;68a5b124d8
63856307997033;1599614;-1;100;0,053247;68a5b124d8
63856308011800;1614546;2;100;0,008296;68a5b124d8
63856308071332;1673941;2;100;0,040693;68a5b124d8
63856308083722;1686272;-2;100;0,058472;68a5b124d8
63856308136389;1739001;3;100;0,019266;68a5b124d8
63856308153098;1755399;3;100;0,086943;68a5b124d8
63856308171830;1774464;3;100;0,03603;68a5b124d8
63856308320244;1922915;6;100;0,003644;68a5b124d8
63856308337444;1940113;6;100;0,015691;68a5b124d8
