Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856307894553;1497424;0;100;3,6089;68a5b124d8
63856307894952;1497824;0;100;3,5671;68a5b124d8
63856307895252;1498158;0;100;3,5259;68a5b124d8
63856307895518;1498424;0;100;3,4851;68a5b124d8
63856307895952;1498824;0;100;5,527;68a5b124d8
63856307896418;1499091;0;100;5,4631;68a5b124d8
63856307896552;1499424;0;100;5,3999;68a5b124d8
63856307896952;1499824;0;100;5,3374;68a5b124d8
63856307897252;1500091;0;100;5,2757;68a5b124d8
63856307897552;1500424;0;100;5,2146;68a5b124d8
63856307897852;1500757;0;100;5,1543;68a5b124d8
63856307898252;1501157;0;100;5,0947;68a5b124d8
63856307898585;1501424;0;100;5,0358;68a5b124d8
63856307898886;1501757;0;100;4,9775;68a5b124d8
63856307899286;1502157;0;100;4,9199;68a5b124d8
63856307899585;1502491;0;100;4,863;68a5b124d8
63856307899885;1502757;0;100;6,889;68a5b124d8
63856307900185;1503090;0;100;6,8093;68a5b124d8
63856307900551;1503424;0;100;6,7305;68a5b124d8
63856307900851;1503757;0;100;6,6527;68a5b124d8
63856307901285;1504157;0;100;6,5757;68a5b124d8
63856307901651;1504490;0;100;6,4997;68a5b124d8
63856307901918;1504824;0;100;6,4245;68a5b124d8
63856307902251;1505090;0;100;6,3502;68a5b124d8
63856307902551;1505424;0;100;6,2767;68a5b124d8
63856307902851;1505757;0;100;6,2041;68a5b124d8
63856307903251;1506157;0;100;6,1323;68a5b124d8
63856307903552;1506423;0;100;6,0614;68a5b124d8
63856307903869;1506757;0;100;5,9913;68a5b124d8
63856307904269;1507157;0;100;5,922;68a5b124d8
63856307904569;1507423;0;100;5,8534;68a5b124d8
63856307904901;1507757;0;100;5,7857;68a5b124d8
63856307905202;1508090;0;100;5,7188;68a5b124d8
63856307905668;1508557;0;100;5,6526;68a5b124d8
63856307905869;1508757;0;100;7,6695;68a5b124d8
63856307906268;1509157;1;100;7,5808;68a5b124d8
63856307906568;1509423;1;100;7,4931;68a5b124d8
63856307906868;1509756;1;100;7,4064;68a5b124d8
63856307907268;1510156;1;100;7,3207;68a5b124d8
63856307907585;1510490;1;100;7,236;68a5b124d8
63856307907902;1510756;1;100;7,1523;68a5b124d8
63856307908201;1511090;1;100;7,0696;68a5b124d8
63856307908595;1511490;1;100;6,9878;68a5b124d8
63856307908901;1511756;1;100;6,907;68a5b124d8
63856307909202;1512090;1;100;6,8271;68a5b124d8
63856307909535;1512423;1;100;6,7481;68a5b124d8
63856307909918;1512823;1;100;6,67;68a5b124d8
63856307910234;1513090;1;100;6,5929;68a5b124d8
63856307910535;1513423;1;100;6,5166;68a5b124d8
63856307910901;1513756;1;100;6,4412;68a5b124d8
63856307911202;1514089;1;100;6,3667;68a5b124d8
63856307911602;1514489;1;100;6,2931;68a5b124d8
63856307911902;1514756;1;100;6,2203;68a5b124d8
63856307912201;1515089;1;100;6,1483;68a5b124d8
63856307912535;1515423;1;100;6,0772;68a5b124d8
63856307912935;1515823;1;100;6,0069;68a5b124d8
63856307913235;1516089;1;100;5,9374;68a5b124d8
63856307913535;1516422;1;100;5,8687;68a5b124d8
63856307913930;1516822;1;100;5,8008;68a5b124d8
63856307914235;1517156;1;100;5,7337;68a5b124d8
63856307914552;1517422;1;100;5,6674;68a5b124d8
63856307914863;1517756;1;100;5,6018;68a5b124d8
63856307915268;1518156;1;100;5,537;68a5b124d8
63856307915568;1518422;1;100;5,473;68a5b124d8
63856307915935;1518822;1;100;5,4097;68a5b124d8
63856307916268;1519089;1;100;5,3471;68a5b124d8
63856307916535;1519422;1;100;5,2852;68a5b124d8
63856307916868;1519755;1;100;5,2241;68a5b124d8
63856307917268;1520155;1;100;5,1637;68a5b124d8
63856307917568;1520422;1;100;5,1039;68a5b124d8
63856307917868;1520755;1;100;5,0449;68a5b124d8
63856307918268;1521155;1;100;4,9865;68a5b124d8
63856307918601;1521489;1;100;4,9288;68a5b124d8
63856307918901;1521755;1;100;4,8718;68a5b124d8
63856307919202;1522089;1;100;4,8155;68a5b124d8
63856307919602;1522489;1;100;4,7598;68a5b124d8
63856307919901;1522755;1;100;4,7047;68a5b124d8
63856307920234;1523089;1;100;4,6503;68a5b124d8
63856307920535;1523422;1;100;4,5965;68a5b124d8
63856307920935;1523822;1;100;4,5433;68a5b124d8
63856307921168;1524088;1;100;4,4907;68a5b124d8
63856307921584;1524488;1;100;4,4388;68a5b124d8
63856307921901;1524755;1;100;4,3875;68a5b124d8
63856307922201;1525088;1;100;4,3367;68a5b124d8
63856307922601;1525488;1;100;4,2865;68a5b124d8
63856307922901;1525755;1;100;4,2369;68a5b124d8
63856307923202;1526088;1;100;4,1879;68a5b124d8
63856307923535;1526421;1;100;4,1395;68a5b124d8
63856307923918;1526821;1;100;4,0916;68a5b124d8
63856307924234;1527088;1;100;4,0443;68a5b124d8
63856307924535;1527421;1;100;3,9975;68a5b124d8
63856307924935;1527821;1;100;3,9512;68a5b124d8
63856307925268;1528155;1;100;3,9055;68a5b124d8
63856307925552;1528421;1;100;3,8604;68a5b124d8
63856307925868;1528755;1;100;3,8157;68a5b124d8
63856307926201;1529088;1;100;3,7716;68a5b124d8
63856307926535;1529421;1;100;3,7279;68a5b124d8
63856307926935;1529821;1;100;3,6848;68a5b124d8
63856307927235;1530088;1;100;3,6422;68a5b124d8
63856307927534;1530421;1;100;3,6;68a5b124d8
63856307927835;1530754;1;100;3,5584;68a5b124d8
63856307928268;1531154;1;100;3,5172;68a5b124d8
63856307928568;1531421;1;100;3,4765;68a5b124d8
63856307928868;1531754;1;100;3,4363;68a5b124d8
63856307929268;1532154;1;100;3,3966;68a5b124d8
63856307929568;1532421;1;100;3,3573;68a5b124d8
63856307929868;1532754;1;100;3,3184;68a5b124d8
63856307930201;1533088;1;100;3,2801;68a5b124d8
63856307930601;1533487;1;100;3,2421;68a5b124d8
63856307930901;1533754;1;100;3,2046;68a5b124d8
63856307931202;1534087;1;100;3,1675;68a5b124d8
63856307931568;1534421;1;100;3,1309;68a5b124d8
63856307931867;1534754;1;100;3,0947;68a5b124d8
63856307932263;1535154;1;100;3,0589;68a5b124d8
63856307932597;1535487;1;100;3,0235;68a5b124d8
63856307932898;1535754;1;100;2,9885;68a5b124d8
63856307933166;1536087;1;100;2,9539;68a5b124d8
63856307933599;1536487;1;100;2,9198;68a5b124d8
63856307933926;1536754;1;100;2,886;68a5b124d8
63856307934235;1537087;1;100;2,8526;68a5b124d8
63856307934597;1537487;1;100;2,8196;68a5b124d8
63856307934932;1537820;1;100;2,787;68a5b124d8
63856307935230;1538087;1;100;2,7548;68a5b124d8
63856307935566;1538420;1;100;2,7229;68a5b124d8
63856307935866;1538754;1;100;2,6914;68a5b124d8
63856307936253;1539154;1;100;2,6603;68a5b124d8
63856307936552;1539420;1;100;2,6295;68a5b124d8
63856307936867;1539753;1;100;2,5991;68a5b124d8
63856307937199;1540087;1;100;2,569;68a5b124d8
63856307937594;1540487;1;100;2,5393;68a5b124d8
63856307937917;1540753;1;100;2,5099;68a5b124d8
63856307938198;1541087;1;100;2,4809;68a5b124d8
63856307938532;1541420;1;100;4,5344;68a5b124d8
63856307938933;1541820;1;100;4,482;68a5b124d8
63856307939255;1542153;1;100;4,4301;68a5b124d8
63856307939600;1542420;1;100;4,3789;68a5b124d8
63856307939866;1542753;1;100;4,3282;68a5b124d8
63856307940188;1543087;1;100;4,2781;68a5b124d8
63856307940596;1543486;1;100;6,3109;68a5b124d8
63856307940900;1543753;1;100;6,2379;68a5b124d8
63856307941232;1544086;1;100;6,1657;68a5b124d8
63856307941590;1544486;1;100;6,0944;68a5b124d8
63856307941934;1544753;1;100;6,0239;68a5b124d8
63856307942197;1545086;1;100;5,9542;68a5b124d8
63856307942501;1545420;1;100;5,8854;68a5b124d8
63856307942899;1545820;1;100;5,8173;68a5b124d8
63856307943285;1546153;1;100;5,75;68a5b124d8
63856307943566;1546486;1;100;5,6835;68a5b124d8
63856307943868;1546753;1;100;5,6177;68a5b124d8
63856307944184;1547086;1;100;5,5527;68a5b124d8
63856307944593;1547486;1;100;5,4885;68a5b124d8
63856307944886;1547753;1;100;5,425;68a5b124d8
63856307945265;1548153;1;100;5,3622;68a5b124d8
63856307945560;1548419;1;100;5,3002;68a5b124d8
63856307945850;1548753;1;100;5,2389;68a5b124d8
63856307946262;1549153;1;100;7,2606;68a5b124d8
63856307946601;1549419;1;100;7,1766;68a5b124d8
63856307946923;1549819;1;100;7,0935;68a5b124d8
63856307947299;1550152;1;100;7,0115;68a5b124d8
63856307947661;1550486;1;100;6,9304;68a5b124d8
63856307947923;1550819;1;100;6,8502;68a5b124d8
63856307948434;1551086;1;100;6,771;68a5b124d8
63856307948527;1551419;1;100;6,6926;68a5b124d8
63856307948934;1551819;1;100;6,6152;68a5b124d8
63856307949265;1552152;1;100;6,5387;68a5b124d8
63856307949584;1552419;1;100;6,463;68a5b124d8
63856307949866;1552752;1;100;6,3883;68a5b124d8
63856307950257;1553152;1;100;6,3144;68a5b124d8
63856307950563;1553419;1;100;6,2413;68a5b124d8
63856307950900;1553752;1;100;6,1691;68a5b124d8
63856307951184;1554085;1;100;6,0978;68a5b124d8
63856307951588;1554485;1;100;6,0272;68a5b124d8
63856307951857;1554752;1;100;5,9575;68a5b124d8
63856307952268;1555152;1;100;5,8886;68a5b124d8
63856307952555;1555419;1;100;5,8205;68a5b124d8
63856307952864;1555752;1;100;5,7531;68a5b124d8
63856307953254;1556152;1;100;5,6866;68a5b124d8
63856307953565;1556418;1;100;5,6208;68a5b124d8
63856307953868;1556752;1;100;5,5558;68a5b124d8
63856307954190;1557085;1;100;5,4915;68a5b124d8
63856307954601;1557485;1;100;5,428;68a5b124d8
63856307954891;1557752;1;100;9,5297;68a5b124d8
63856307955229;1558085;1;100;11,5017;68a5b124d8
