Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63857178213079;389964;0;100;63;70f1b2e31f
63857178213979;390864;0;100;64;70f1b2e31f
63857178217312;394154;0;100;54;70f1b2e31f
63857178219995;396847;0;100;47;70f1b2e31f
63857178220896;397760;0;100;52;70f1b2e31f
63857178223228;400087;0;100;46;70f1b2e31f
63857178224046;400940;0;100;52;70f1b2e31f
63857178225529;402386;0;100;49;70f1b2e31f
63857178226229;403043;0;100;59;70f1b2e31f
63857178227029;403936;0;100;61;70f1b2e31f
63857178228161;404996;0;100;60;70f1b2e31f
63857178228995;405869;0;100;62;70f1b2e31f
63857178229829;406713;0;100;64;70f1b2e31f
63857178230861;407726;0;100;63;70f1b2e31f
63857178231245;408149;0;100;82;70f1b2e31f
63857178233095;409906;0;100;71;70f1b2e31f
63857178234312;411112;0;100;67;70f1b2e31f
63857178234778;411682;0;100;76;70f1b2e31f
63857178237429;414242;0;100;64;70f1b2e31f
63857178237728;414628;0;100;85;70f1b2e31f
63857178238945;415772;0;100;78;70f1b2e31f
63857178239445;416348;0;100;84;70f1b2e31f
63857178241628;418441;0;100;72;70f1b2e31f
63857178242012;418875;0;100;87;70f1b2e31f
63857178244028;420861;0;100;74;70f1b2e31f
63857178245861;422718;0;100;65;70f1b2e31f
63857178246495;423261;0;100;75;70f1b2e31f
63857178246878;423704;0;100;89;70f1b2e31f
63857178247928;424788;0;100;82;70f1b2e31f
63857178250028;426834;0;100;70;70f1b2e31f
63857178252695;429487;0;100;60;70f1b2e31f
63857178253711;430560;0;100;59;70f1b2e31f
63857178255161;432023;0;100;55;70f1b2e31f
63857178255979;432807;0;100;60;70f1b2e31f
63857178256395;433270;0;100;76;70f1b2e31f
63857178257261;434060;0;100;76;70f1b2e31f
63857178259311;436180;0;100;66;70f1b2e31f
63857178260244;437110;0;100;66;70f1b2e31f
63857178260428;437300;0;100;125;70f1b2e31f
63857178262111;438989;0;100;105;70f1b2e31f
63857178263161;440016;0;100;95;70f1b2e31f
63857178266244;443126;0;100;78;70f1b2e31f
63857178267094;443802;1;100;81;70f1b2e31f
63857178269078;445872;1;100;70;70f1b2e31f
63857178269495;446305;1;100;85;70f1b2e31f
63857178270095;446925;1;100;88;70f1b2e31f
63857178270895;447685;1;100;86;70f1b2e31f
