Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63857178212996;389843;0;100;-19419,6;70f1b2e31f
63857178212996;389843;0;100;-19417,8;70f1b2e31f
63857178213079;389910;0;100;-19418,2;70f1b2e31f
63857178213196;390043;0;100;-19418,6;70f1b2e31f
63857178213196;390043;0;100;-19419,4;70f1b2e31f
63857178213279;390176;0;100;-19419,4;70f1b2e31f
63857178213279;390176;0;100;-19419;70f1b2e31f
63857178213395;390243;0;100;-19418,4;70f1b2e31f
63857178213495;390376;0;100;-19418,6;70f1b2e31f
63857178213495;390376;0;100;-19418;70f1b2e31f
63857178213588;390443;0;100;-19418,4;70f1b2e31f
63857178213696;390576;0;100;-19418,8;70f1b2e31f
63857178213696;390576;0;100;-19418,8;70f1b2e31f
63857178213779;390643;0;100;-19418,8;70f1b2e31f
63857178213896;390776;0;100;-19419,4;70f1b2e31f
63857178213896;390776;0;100;-19418,8;70f1b2e31f
63857178213979;390843;0;100;-19419,4;70f1b2e31f
63857178214129;390976;0;100;-19419,4;70f1b2e31f
63857178214129;390976;0;100;-19419,6;70f1b2e31f
63857178214296;391109;0;100;-19420;70f1b2e31f
63857178214296;391109;0;100;-19420,6;70f1b2e31f
63857178214363;391243;0;100;-19421,6;70f1b2e31f
63857178214363;391243;0;100;-19422,6;70f1b2e31f
63857178214479;391309;0;100;-19423,4;70f1b2e31f
63857178214562;391443;0;100;-19424;70f1b2e31f
63857178214562;391443;0;100;-19425;70f1b2e31f
63857178214662;391510;0;100;-19426,2;70f1b2e31f
63857178214787;391643;0;100;-19427;70f1b2e31f
63857178214787;391643;0;100;-19428,4;70f1b2e31f
63857178214862;391709;0;100;-19429,6;70f1b2e31f
63857178214979;391843;0;100;-19430,6;70f1b2e31f
63857178214979;391843;0;100;-19433,2;70f1b2e31f
63857178215062;391909;0;100;-19435,2;70f1b2e31f
63857178215179;392043;0;100;-19436,2;70f1b2e31f
63857178215179;392043;0;100;-19437,8;70f1b2e31f
63857178215262;392109;0;100;-19439,4;70f1b2e31f
63857178215362;392243;0;100;-19441;70f1b2e31f
63857178215362;392243;0;100;-19440,6;70f1b2e31f
63857178215496;392309;0;100;-19442,2;70f1b2e31f
63857178215595;392443;0;100;-19443,2;70f1b2e31f
63857178215595;392443;0;100;-19443,6;70f1b2e31f
63857178215679;392576;0;100;-19444,8;70f1b2e31f
63857178215679;392576;0;100;-19445,6;70f1b2e31f
63857178215795;392643;0;100;-19445,6;70f1b2e31f
63857178215879;392776;0;100;-19445,8;70f1b2e31f
63857178215879;392776;0;100;-19446;70f1b2e31f
63857178215996;392843;0;100;-19445,8;70f1b2e31f
63857178216096;392976;0;100;-19445;70f1b2e31f
63857178216096;392976;0;100;-19444;70f1b2e31f
63857178216195;393043;0;100;-19444;70f1b2e31f
63857178216296;393176;0;100;-19442,8;70f1b2e31f
63857178216296;393176;0;100;-19441,4;70f1b2e31f
63857178216429;393243;0;100;-19440,6;70f1b2e31f
63857178216496;393376;0;100;-19440;70f1b2e31f
63857178216496;393376;0;100;-19439;70f1b2e31f
63857178216612;393443;0;100;-19439;70f1b2e31f
63857178216695;393576;0;100;-19438,8;70f1b2e31f
63857178216695;393576;0;100;-19438,8;70f1b2e31f
63857178216813;393643;0;100;-19438;70f1b2e31f
63857178216896;393776;0;100;-19437,8;70f1b2e31f
63857178216896;393776;0;100;-19437,8;70f1b2e31f
63857178216995;393843;0;100;-19437,6;70f1b2e31f
63857178217129;393976;0;100;-19437;70f1b2e31f
63857178217129;393976;0;100;-19437,8;70f1b2e31f
63857178217229;394042;0;100;-19437,4;70f1b2e31f
63857178217312;394176;0;100;-19436,2;70f1b2e31f
63857178217312;394176;0;100;-19436;70f1b2e31f
63857178217429;394242;0;100;-19435,8;70f1b2e31f
63857178217512;394376;0;100;-19435,8;70f1b2e31f
63857178217512;394376;0;100;-19435,6;70f1b2e31f
63857178217629;394509;0;100;-19435,4;70f1b2e31f
63857178217629;394509;0;100;-19435,6;70f1b2e31f
63857178217712;394576;0;100;-19435,2;70f1b2e31f
63857178217829;394709;0;100;-19435,2;70f1b2e31f
63857178217829;394709;0;100;-19434,4;70f1b2e31f
63857178217929;394776;0;100;-19434,4;70f1b2e31f
63857178218012;394909;0;100;-19434,4;70f1b2e31f
63857178218012;394909;0;100;-19434,4;70f1b2e31f
63857178218129;394976;0;100;-19434;70f1b2e31f
63857178218245;395109;0;100;-19434,2;70f1b2e31f
63857178218245;395109;0;100;-19433,2;70f1b2e31f
63857178218329;395176;0;100;-19433;70f1b2e31f
63857178218412;395309;0;100;-19433;70f1b2e31f
63857178218412;395309;0;100;-19432,4;70f1b2e31f
63857178218520;395376;0;100;-19432,8;70f1b2e31f
63857178218645;395509;0;100;-19432,8;70f1b2e31f
63857178218645;395509;0;100;-19432,6;70f1b2e31f
