Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63857178213079;389910;0;100;0,0865;70f1b2e31f
63857178213395;390243;0;100;0,0855;70f1b2e31f
63857178213696;390576;0;100;0,0845;70f1b2e31f
63857178214128;390976;0;100;0,0835;70f1b2e31f
63857178214363;391243;0;100;0,0826;70f1b2e31f
63857178214787;391643;0;100;0,0816;70f1b2e31f
63857178215062;391909;0;100;0,0807;70f1b2e31f
63857178215362;392243;0;100;0,0797;70f1b2e31f
63857178215679;392576;0;100;2,1611;70f1b2e31f
63857178216096;392976;0;100;4,2183;70f1b2e31f
63857178216429;393243;0;100;4,1695;70f1b2e31f
63857178216695;393576;0;100;4,1213;70f1b2e31f
63857178217128;393976;0;100;4,0736;70f1b2e31f
63857178217429;394242;0;100;4,0265;70f1b2e31f
63857178217712;394576;0;100;3,9799;70f1b2e31f
63857178218012;394909;0;100;3,9339;70f1b2e31f
63857178218412;395309;0;100;3,8884;70f1b2e31f
63857178218763;395576;0;100;3,8434;70f1b2e31f
63857178219029;395909;0;100;3,7989;70f1b2e31f
63857178219412;396242;0;100;3,755;70f1b2e31f
63857178219695;396576;0;100;3,7115;70f1b2e31f
63857178220112;396976;0;100;3,6686;70f1b2e31f
63857178220495;397375;0;100;3,6262;70f1b2e31f
63857178220695;397575;0;100;3,5842;70f1b2e31f
63857178221128;397975;0;100;3,5427;70f1b2e31f
63857178221429;398309;0;100;3,5018;70f1b2e31f
63857178221712;398575;0;100;3,4613;70f1b2e31f
63857178222028;398909;0;100;3,4212;70f1b2e31f
63857178222446;399309;0;100;3,3816;70f1b2e31f
63857178222729;399575;0;100;3,3425;70f1b2e31f
63857178223029;399909;0;100;3,3039;70f1b2e31f
63857178223461;400309;0;100;3,2656;70f1b2e31f
63857178223762;400642;0;100;3,2279;70f1b2e31f
63857178224046;400908;0;100;3,1905;70f1b2e31f
63857178224362;401242;0;100;3,1536;70f1b2e31f
63857178224695;401575;0;100;3,1171;70f1b2e31f
63857178225029;401908;0;100;3,0811;70f1b2e31f
63857178225412;402308;0;100;3,0454;70f1b2e31f
63857178225712;402575;0;100;3,0102;70f1b2e31f
63857178226029;402908;0;100;2,9754;70f1b2e31f
63857178226429;403308;0;100;2,941;70f1b2e31f
63857178226762;403575;0;100;2,9069;70f1b2e31f
63857178227029;403908;0;100;2,8733;70f1b2e31f
63857178227361;404241;0;100;2,8401;70f1b2e31f
63857178227745;404641;0;100;2,8072;70f1b2e31f
63857178228061;404908;0;100;2,7747;70f1b2e31f
63857178228362;405241;0;100;2,7426;70f1b2e31f
63857178228762;405641;0;100;2,7109;70f1b2e31f
63857178229062;405908;0;100;2,6796;70f1b2e31f
63857178229379;406241;0;100;2,6486;70f1b2e31f
63857178229728;406574;0;100;2,6179;70f1b2e31f
63857178230029;406908;0;100;2,5876;70f1b2e31f
63857178230428;407308;0;100;2,5577;70f1b2e31f
63857178230762;407641;0;100;2,5281;70f1b2e31f
63857178231045;407908;0;100;2,4989;70f1b2e31f
63857178231361;408241;0;100;2,47;70f1b2e31f
63857178231745;408641;0;100;2,4414;70f1b2e31f
63857178232061;408908;0;100;2,4131;70f1b2e31f
63857178232362;409241;0;100;2,3852;70f1b2e31f
63857178232795;409641;0;100;2,3576;70f1b2e31f
63857178233095;409974;0;100;2,3304;70f1b2e31f
63857178233378;410241;0;100;2,3034;70f1b2e31f
63857178233695;410574;0;100;2,2768;70f1b2e31f
63857178234121;410974;0;100;2,2504;70f1b2e31f
63857178234428;411241;0;100;2,2244;70f1b2e31f
63857178234778;411641;0;100;2,1987;70f1b2e31f
63857178235095;411974;0;100;2,1732;70f1b2e31f
63857178235395;412241;0;100;2,1481;70f1b2e31f
63857178235711;412574;0;100;2,1232;70f1b2e31f
63857178236128;412974;0;100;2,0987;70f1b2e31f
63857178236412;413307;0;100;2,0744;70f1b2e31f
63857178236728;413574;0;100;2,0504;70f1b2e31f
63857178237029;413907;0;100;2,0267;70f1b2e31f
63857178237429;414307;0;100;2,0032;70f1b2e31f
63857178237728;414574;0;100;1,9801;70f1b2e31f
63857178238045;414907;0;100;1,9572;70f1b2e31f
63857178238428;415307;0;100;1,9345;70f1b2e31f
63857178238745;415640;0;100;1,9121;70f1b2e31f
63857178239061;415907;0;100;1,89;70f1b2e31f
63857178239361;416240;0;100;1,8682;70f1b2e31f
63857178239761;416640;0;100;1,8465;70f1b2e31f
63857178240061;416907;0;100;1,8252;70f1b2e31f
63857178240379;417240;0;100;1,8041;70f1b2e31f
63857178240762;417640;0;100;1,7832;70f1b2e31f
63857178241079;417973;0;100;1,7626;70f1b2e31f
63857178241395;418240;0;100;1,7422;70f1b2e31f
63857178241695;418573;0;100;1,722;70f1b2e31f
63857178242128;418973;0;100;1,7021;70f1b2e31f
63857178242395;419240;0;100;1,6824;70f1b2e31f
63857178242712;419573;0;100;1,663;70f1b2e31f
63857178243029;419907;0;100;1,6437;70f1b2e31f
63857178243411;420307;0;100;1,6247;70f1b2e31f
63857178243720;420573;0;100;1,6059;70f1b2e31f
63857178244028;420906;0;100;1,5873;70f1b2e31f
63857178244428;421306;0;100;1,569;70f1b2e31f
63857178244762;421640;0;100;1,5508;70f1b2e31f
63857178245045;421906;0;100;1,5329;70f1b2e31f
63857178245361;422240;0;100;1,5151;70f1b2e31f
63857178245745;422640;0;100;1,4976;70f1b2e31f
63857178246061;422906;0;100;1,4803;70f1b2e31f
63857178246362;423240;0;100;1,4632;70f1b2e31f
63857178246761;423640;0;100;1,4462;70f1b2e31f
63857178247095;423973;0;100;1,4295;70f1b2e31f
63857178247378;424240;0;100;1,413;70f1b2e31f
63857178247695;424573;0;100;1,3966;70f1b2e31f
63857178248121;424973;0;100;1,3805;70f1b2e31f
63857178248395;425239;0;100;1,3645;70f1b2e31f
63857178248695;425573;0;100;1,3487;70f1b2e31f
63857178249011;425906;0;100;1,3331;70f1b2e31f
63857178249428;426306;0;100;1,3177;70f1b2e31f
63857178249711;426573;0;100;1,3025;70f1b2e31f
63857178250028;426906;0;100;1,2874;70f1b2e31f
63857178250362;427239;0;100;1,2725;70f1b2e31f
63857178250761;427639;0;100;1,2578;70f1b2e31f
63857178251061;427906;0;100;1,2432;70f1b2e31f
63857178251345;428239;0;100;1,2288;70f1b2e31f
63857178251761;428639;0;100;1,2146;70f1b2e31f
63857178252078;428906;0;100;1,2006;70f1b2e31f
63857178252361;429239;0;100;1,1867;70f1b2e31f
63857178252695;429572;0;100;1,173;70f1b2e31f
63857178253095;429972;0;100;1,1594;70f1b2e31f
63857178253394;430239;0;100;1,146;70f1b2e31f
63857178253711;430572;0;100;1,1327;70f1b2e31f
63857178254028;430905;0;100;1,1196;70f1b2e31f
63857178254411;431305;0;100;1,1067;70f1b2e31f
63857178254762;431639;0;100;1,0939;70f1b2e31f
63857178255078;431905;0;100;1,0812;70f1b2e31f
63857178255394;432239;0;100;1,0687;70f1b2e31f
63857178255761;432639;0;100;1,0563;70f1b2e31f
63857178256095;432972;0;100;1,0441;70f1b2e31f
63857178256395;433239;0;100;1,032;70f1b2e31f
63857178256744;433572;0;100;1,0201;70f1b2e31f
63857178257028;433905;0;100;1,0083;70f1b2e31f
63857178257445;434305;0;100;0,9966;70f1b2e31f
63857178257761;434572;0;100;0,9851;70f1b2e31f
63857178258061;434905;0;100;0,9737;70f1b2e31f
63857178258344;435238;0;100;0,9624;70f1b2e31f
63857178258695;435572;0;100;0,9513;70f1b2e31f
63857178259128;435972;0;100;0,9403;70f1b2e31f
63857178259428;436305;0;100;0,9294;70f1b2e31f
63857178259711;436572;0;100;0,9187;70f1b2e31f
63857178260011;436905;0;100;0,9081;70f1b2e31f
63857178260428;437305;0;100;0,8975;70f1b2e31f
63857178260795;437638;0;100;0,8872;70f1b2e31f
63857178261094;437971;0;100;0,8769;70f1b2e31f
63857178261411;438238;0;100;0,8668;70f1b2e31f
63857178261695;438571;0;100;0,8567;70f1b2e31f
63857178261994;438905;0;100;0,8468;70f1b2e31f
63857178262428;439305;0;100;0,837;70f1b2e31f
63857178262728;439571;0;100;0,8273;70f1b2e31f
63857178263095;439905;0;100;0,8178;70f1b2e31f
63857178263361;440238;0;100;0,8083;70f1b2e31f
63857178263695;440571;0;100;0,799;70f1b2e31f
63857178264095;440971;0;100;0,7897;70f1b2e31f
63857178264394;441238;0;100;0,7806;70f1b2e31f
63857178264678;441571;0;100;0,7716;70f1b2e31f
63857178265028;441904;0;100;0,7626;70f1b2e31f
63857178265428;442304;0;100;0,7538;70f1b2e31f
63857178265761;442638;0;100;0,7451;70f1b2e31f
63857178266045;442904;0;100;0,7365;70f1b2e31f
63857178266361;443238;0;100;0,7279;70f1b2e31f
63857178266744;443638;1;100;0,7195;70f1b2e31f
63857178267094;443971;1;100;0,7112;70f1b2e31f
63857178267444;444304;1;100;0,703;70f1b2e31f
63857178267761;444638;1;100;0,6948;70f1b2e31f
63857178268061;444904;1;100;0,6868;70f1b2e31f
63857178268378;445237;1;100;0,6789;70f1b2e31f
63857178268694;445571;1;100;0,671;70f1b2e31f
63857178269078;445971;1;100;0,6632;70f1b2e31f
63857178269394;446237;1;100;0,6556;70f1b2e31f
63857178269694;446571;1;100;0,648;70f1b2e31f
63857178270095;446971;1;100;0,6405;70f1b2e31f
63857178270394;447237;1;100;0,6331;70f1b2e31f
63857178270678;447571;1;100;0,6258;70f1b2e31f
63857178271127;447970;1;100;0,6185;70f1b2e31f
63857178271411;448237;1;100;0,6114;70f1b2e31f
63857178271694;448570;1;100;0,6043;70f1b2e31f
63857178272028;448904;1;100;0,5973;70f1b2e31f
63857178272428;449304;1;100;0,5904;70f1b2e31f
63857178272728;449570;1;100;0,5836;70f1b2e31f
63857178273044;449904;1;100;0,5768;70f1b2e31f
63857178273428;450304;1;100;0,5701;70f1b2e31f
63857178273744;450570;1;100;0,5635;70f1b2e31f
63857178274061;450903;1;100;0,557;70f1b2e31f
63857178274361;451237;1;100;0,5506;70f1b2e31f
63857178274761;451637;1;100;0,5442;70f1b2e31f
63857178275061;451903;1;100;0,5379;70f1b2e31f
63857178275378;452237;1;100;0,5317;70f1b2e31f
63857178275728;452570;1;100;0,5255;70f1b2e31f
63857178276027;452903;1;100;0,5195;70f1b2e31f
63857178276344;453237;1;100;0,5135;70f1b2e31f
63857178276744;453637;1;100;0,5075;70f1b2e31f
63857178277054;453903;1;100;0,5016;70f1b2e31f
63857178277361;454236;1;100;0,4958;70f1b2e31f
63857178277761;454636;1;100;0,4901;70f1b2e31f
63857178278061;454903;1;100;0,4844;70f1b2e31f
63857178278361;455236;1;100;0,4788;70f1b2e31f
63857178278694;455570;1;100;0,4733;70f1b2e31f
63857178279078;455970;1;100;0,4678;70f1b2e31f
63857178279394;456236;1;100;0,4624;70f1b2e31f
63857178279694;456570;1;100;0,4571;70f1b2e31f
63857178280127;456970;1;100;0,4518;70f1b2e31f
63857178280394;457303;1;100;0,4465;70f1b2e31f
63857178280711;457570;1;100;0,4414;70f1b2e31f
63857178281060;457903;1;100;0,4363;70f1b2e31f
63857178281361;458236;1;100;0,4312;70f1b2e31f
63857178281677;458570;1;100;0,4262;70f1b2e31f
63857178282095;458969;1;100;0,4213;70f1b2e31f
63857178282427;459236;1;100;0,4164;70f1b2e31f
63857178282694;459569;1;100;0,4116;70f1b2e31f
63857178283127;459969;1;100;0,4069;70f1b2e31f
63857178283428;460303;1;100;0,4021;70f1b2e31f
63857178283729;460569;1;100;0,3975;70f1b2e31f
63857178284011;460902;1;100;0,3929;70f1b2e31f
63857178284427;461302;1;100;0,3884;70f1b2e31f
63857178284761;461569;1;100;0,3839;70f1b2e31f
63857178285028;461902;1;100;0,3794;70f1b2e31f
63857178285327;462236;1;100;0,375;70f1b2e31f
63857178285695;462569;1;100;0,3707;70f1b2e31f
63857178286110;462969;1;100;0,3664;70f1b2e31f
63857178286387;463236;1;100;0,3622;70f1b2e31f
63857178286694;463569;1;100;0,358;70f1b2e31f
63857178287010;463902;1;100;0,3538;70f1b2e31f
63857178287428;464302;1;100;0,3497;70f1b2e31f
63857178287710;464569;1;100;0,3457;70f1b2e31f
63857178288027;464902;1;100;0,3417;70f1b2e31f
63857178288444;465302;1;100;0,3377;70f1b2e31f
63857178288727;465569;1;100;0,3338;70f1b2e31f
63857178289028;465902;1;100;0,33;70f1b2e31f
63857178289327;466235;1;100;0,3262;70f1b2e31f
63857178289762;466635;1;100;0,3224;70f1b2e31f
63857178290046;466902;1;100;0,3187;70f1b2e31f
63857178290361;467235;1;100;0,315;70f1b2e31f
63857178290795;467635;1;100;0,3113;70f1b2e31f
63857178291084;467968;1;100;0,3077;70f1b2e31f
63857178291384;468235;1;100;0,3042;70f1b2e31f
63857178291725;468568;1;100;0,3006;70f1b2e31f
63857178292114;468968;1;100;0,2972;70f1b2e31f
63857178292426;469302;1;100;0,2937;70f1b2e31f
63857178292726;469569;1;100;0,2903;70f1b2e31f
63857178293027;469902;1;100;0,287;70f1b2e31f
63857178293477;470302;1;100;0,2837;70f1b2e31f
63857178293737;470568;1;100;0,2804;70f1b2e31f
63857178294027;470901;1;100;0,2771;70f1b2e31f
63857178294361;471235;1;100;0,2739;70f1b2e31f
63857178294761;471635;1;100;0,2708;70f1b2e31f
63857178295051;471901;1;100;0,2676;70f1b2e31f
63857178295368;472235;1;100;0,2645;70f1b2e31f
63857178295691;472568;1;100;0,2615;70f1b2e31f
63857178296067;472968;1;100;0,2584;70f1b2e31f
63857178296393;473235;1;100;0,2555;70f1b2e31f
63857178296683;473568;1;100;0,2525;70f1b2e31f
63857178297127;473968;1;100;0,2496;70f1b2e31f
63857178297430;474301;1;100;0,2467;70f1b2e31f
63857178297704;474568;1;100;0,2438;70f1b2e31f
