Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856399559945;1113007;3;100;87;78ef50aafd
63856399560629;1113664;3;100;88;78ef50aafd
63856399561162;1114240;3;100;92;78ef50aafd
63856399564527;1117616;3;100;75;78ef50aafd
63856399567628;1120703;3;100;63;78ef50aafd
63856399569661;1122689;3;100;56;78ef50aafd
63856399570561;1123679;3;100;57;78ef50aafd
63856399572894;1125976;-3;100;50;78ef50aafd
63856399573294;1126346;-3;100;75;78ef50aafd
63856399573994;1127026;-3;100;78;78ef50aafd
63856399574394;1127425;-3;100;95;78ef50aafd
63856399574694;1127812;-3;100;109;78ef50aafd
63856399575126;1128162;-3;100;123;78ef50aafd
63856399576027;1129052;-3;100;111;78ef50aafd
63856399577060;1130148;-3;100;98;78ef50aafd
63856399578161;1131258;-3;100;89;78ef50aafd
63856399580294;1133381;-3;100;75;78ef50aafd
63856399583127;1136141;-3;100;64;78ef50aafd
63856399583827;1136881;-3;100;68;78ef50aafd
63856399584227;1137271;-3;100;87;78ef50aafd
63856399584527;1137608;-3;100;108;78ef50aafd
63856399587660;1140734;-3;100;88;78ef50aafd
63856399588560;1141667;-3;100;83;78ef50aafd
63856399590193;1143274;-3;100;73;78ef50aafd
63856399590893;1143990;-3;100;76;78ef50aafd
63856399592427;1145527;4;100;68;78ef50aafd
63856399593460;1146530;4;100;66;78ef50aafd
63856399594160;1147260;4;100;70;78ef50aafd
63856399594594;1147680;4;100;86;78ef50aafd
63856399595694;1148750;4;100;80;78ef50aafd
63856399596827;1149880;4;100;74;78ef50aafd
63856399597361;1150450;4;100;81;78ef50aafd
63856399599193;1152256;4;100;71;78ef50aafd
63856399600227;1153300;4;100;68;78ef50aafd
63856399601960;1155013;4;100;61;78ef50aafd
63856399602827;1155899;4;100;63;78ef50aafd
63856399603727;1156769;4;100;64;78ef50aafd
63856399604360;1157389;4;100;72;78ef50aafd
63856399604960;1158042;4;100;76;78ef50aafd
63856399606893;1160009;4;100;66;78ef50aafd
63856399607427;1160495;4;100;79;78ef50aafd
