Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856399559432;1112466;3;100;-19300,2;78ef50aafd
63856399559511;1112599;3;100;-19300,6;78ef50aafd
63856399559511;1112599;3;100;-19300,6;78ef50aafd
63856399559628;1112666;3;100;-19302;78ef50aafd
63856399559698;1112799;3;100;-19303;78ef50aafd
63856399559698;1112799;3;100;-19302,2;78ef50aafd
63856399559828;1112866;3;100;-19301,8;78ef50aafd
63856399559945;1112999;3;100;-19302,4;78ef50aafd
63856399559945;1112999;3;100;-19299,4;78ef50aafd
63856399560028;1113066;3;100;-19301;78ef50aafd
63856399560127;1113199;3;100;-19301;78ef50aafd
63856399560127;1113199;3;100;-19300,2;78ef50aafd
63856399560228;1113332;3;100;-19301,8;78ef50aafd
63856399560228;1113332;3;100;-19301,4;78ef50aafd
63856399560328;1113399;3;100;-19299,6;78ef50aafd
63856399560428;1113532;3;100;-19300;78ef50aafd
63856399560428;1113532;3;100;-19302;78ef50aafd
63856399560541;1113599;3;100;-19301,2;78ef50aafd
63856399560629;1113732;3;100;-19301;78ef50aafd
63856399560629;1113732;3;100;-19301;78ef50aafd
63856399560729;1113799;3;100;-19300,4;78ef50aafd
63856399560828;1113932;3;100;-19301,2;78ef50aafd
63856399560828;1113932;3;100;-19299,4;78ef50aafd
63856399560927;1113999;3;100;-19298,8;78ef50aafd
63856399561028;1114132;3;100;-19298,6;78ef50aafd
63856399561028;1114132;3;100;-19298,4;78ef50aafd
63856399561162;1114199;3;100;-19298,4;78ef50aafd
63856399561327;1114399;3;100;-19299,4;78ef50aafd
63856399561327;1114399;3;100;-19297,6;78ef50aafd
63856399561327;1114399;3;100;-19296,4;78ef50aafd
63856399561494;1114532;3;100;-19299,2;78ef50aafd
63856399561494;1114532;3;100;-19300,4;78ef50aafd
63856399561578;1114665;3;100;-19298,4;78ef50aafd
63856399561578;1114665;3;100;-19298,2;78ef50aafd
63856399561694;1114732;3;100;-19298,8;78ef50aafd
63856399561778;1114865;3;100;-19299,6;78ef50aafd
63856399561778;1114865;3;100;-19298,2;78ef50aafd
63856399561894;1114932;3;100;-19298,8;78ef50aafd
63856399561994;1115065;3;100;-19299;78ef50aafd
63856399561994;1115065;3;100;-19299,2;78ef50aafd
63856399562094;1115132;3;100;-19299,4;78ef50aafd
63856399562177;1115265;3;100;-19300,6;78ef50aafd
63856399562177;1115265;3;100;-19299;78ef50aafd
63856399562294;1115399;3;100;-19298,8;78ef50aafd
63856399562294;1115399;3;100;-19299,4;78ef50aafd
63856399562394;1115465;3;100;-19298,8;78ef50aafd
63856399562527;1115599;3;100;-19297,2;78ef50aafd
63856399562527;1115599;3;100;-19298,4;78ef50aafd
63856399562578;1115665;3;100;-19298,6;78ef50aafd
63856399562695;1115799;3;100;-19299,6;78ef50aafd
63856399562695;1115799;3;100;-19298,6;78ef50aafd
63856399562794;1115865;3;100;-19298,4;78ef50aafd
63856399562894;1115999;3;100;-19300;78ef50aafd
63856399562894;1115999;3;100;-19299,4;78ef50aafd
63856399563028;1116065;3;100;-19298;78ef50aafd
63856399563111;1116199;3;100;-19299;78ef50aafd
63856399563111;1116199;3;100;-19297,8;78ef50aafd
63856399563228;1116265;3;100;-19297,8;78ef50aafd
63856399563296;1116399;3;100;-19298;78ef50aafd
63856399563296;1116399;3;100;-19299,2;78ef50aafd
63856399563411;1116465;3;100;-19299;78ef50aafd
63856399563511;1116599;3;100;-19300;78ef50aafd
63856399563511;1116599;3;100;-19299,4;78ef50aafd
63856399563628;1116665;3;100;-19298,8;78ef50aafd
63856399563696;1116798;3;100;-19298;78ef50aafd
63856399563696;1116798;3;100;-19298,2;78ef50aafd
63856399563827;1116865;3;100;-19299,8;78ef50aafd
63856399563911;1116998;3;100;-19299,2;78ef50aafd
63856399563911;1116998;3;100;-19298;78ef50aafd
63856399564028;1117065;3;100;-19298,6;78ef50aafd
63856399564127;1117198;3;100;-19299,4;78ef50aafd
63856399564127;1117198;3;100;-19297,4;78ef50aafd
63856399564228;1117265;3;100;-19298,4;78ef50aafd
63856399564311;1117398;3;100;-19299,8;78ef50aafd
63856399564311;1117398;3;100;-19300,8;78ef50aafd
63856399564428;1117532;3;100;-19299,2;78ef50aafd
63856399564428;1117532;3;100;-19296,4;78ef50aafd
63856399564527;1117598;3;100;-19295,8;78ef50aafd
63856399564628;1117732;3;100;-19297;78ef50aafd
63856399564628;1117732;3;100;-19297,4;78ef50aafd
63856399564711;1117798;3;100;-19296,8;78ef50aafd
63856399564828;1117932;3;100;-19297;78ef50aafd
63856399564828;1117932;3;100;-19296,4;78ef50aafd
63856399564911;1117998;3;100;-19295,6;78ef50aafd
63856399565028;1118132;3;100;-19295;78ef50aafd
63856399565028;1118132;3;100;-19294,8;78ef50aafd
63856399565161;1118199;3;100;-19293;78ef50aafd
63856399565228;1118332;3;100;-19291,6;78ef50aafd
63856399565228;1118332;3;100;-19290,6;78ef50aafd
63856399565327;1118398;3;100;-19292,2;78ef50aafd
63856399565427;1118532;3;100;-19294,2;78ef50aafd
63856399565427;1118532;3;100;-19293,6;78ef50aafd
63856399565561;1118598;3;100;-19293;78ef50aafd
63856399565629;1118732;3;100;-19294;78ef50aafd
63856399565629;1118732;3;100;-19292,6;78ef50aafd
63856399565728;1118798;3;100;-19292,4;78ef50aafd
63856399565828;1118932;3;100;-19294,2;78ef50aafd
63856399565828;1118932;3;100;-19293,4;78ef50aafd
63856399565927;1118998;3;100;-19291,8;78ef50aafd
63856399566028;1119132;3;100;-19293;78ef50aafd
63856399566028;1119132;3;100;-19292,4;78ef50aafd
63856399566161;1119198;3;100;-19292,2;78ef50aafd
63856399566261;1119332;3;100;-19291;78ef50aafd
63856399566261;1119332;3;100;-19290,6;78ef50aafd
63856399566361;1119398;3;100;-19292,4;78ef50aafd
63856399566461;1119532;3;100;-19291,4;78ef50aafd
63856399566461;1119532;3;100;-19289,6;78ef50aafd
63856399566627;1119665;3;100;-19289,8;78ef50aafd
63856399566627;1119665;3;100;-19284,8;78ef50aafd
63856399566728;1119798;3;100;-19273,2;78ef50aafd
63856399566728;1119798;3;100;-19267;78ef50aafd
63856399566828;1119865;3;100;-19267,8;78ef50aafd
63856399566927;1119998;3;100;-19267,2;78ef50aafd
63856399566927;1119998;3;100;-19267,2;78ef50aafd
63856399567027;1120065;3;100;-19268,4;78ef50aafd
63856399567127;1120198;3;100;-19270;78ef50aafd
63856399567127;1120198;3;100;-19269,8;78ef50aafd
63856399567228;1120332;3;100;-19273,2;78ef50aafd
63856399567228;1120332;3;100;-19279,8;78ef50aafd
63856399567327;1120398;3;100;-19287;78ef50aafd
63856399567427;1120532;3;100;-19287,8;78ef50aafd
63856399567427;1120532;3;100;-19287,6;78ef50aafd
63856399567528;1120598;3;100;-19285,8;78ef50aafd
63856399567628;1120732;3;100;-19284,6;78ef50aafd
63856399567628;1120732;3;100;-19283,6;78ef50aafd
63856399567727;1120798;3;100;-19282,8;78ef50aafd
63856399567827;1120932;3;100;-19283,4;78ef50aafd
63856399567827;1120932;3;100;-19283,2;78ef50aafd
63856399567961;1120998;3;100;-19283;78ef50aafd
63856399568028;1121132;3;100;-19282,2;78ef50aafd
63856399568028;1121132;3;100;-19283;78ef50aafd
63856399568128;1121198;3;100;-19285;78ef50aafd
63856399568228;1121332;3;100;-19286,2;78ef50aafd
63856399568228;1121332;3;100;-19287,8;78ef50aafd
63856399568327;1121398;3;100;-19288,2;78ef50aafd
63856399568428;1121531;3;100;-19290,6;78ef50aafd
63856399568428;1121531;3;100;-19289,8;78ef50aafd
63856399568527;1121598;3;100;-19288,2;78ef50aafd
63856399568628;1121731;3;100;-19289,8;78ef50aafd
63856399568628;1121731;3;100;-19290,8;78ef50aafd
63856399568761;1121798;3;100;-19289,6;78ef50aafd
63856399568828;1121931;3;100;-19288,6;78ef50aafd
63856399568828;1121931;3;100;-19287,6;78ef50aafd
63856399568961;1121998;3;100;-19286;78ef50aafd
63856399569060;1122131;3;100;-19284;78ef50aafd
63856399569060;1122131;3;100;-19284,2;78ef50aafd
63856399569161;1122198;3;100;-19285,2;78ef50aafd
63856399569261;1122331;3;100;-19284,6;78ef50aafd
63856399569261;1122331;3;100;-19281,4;78ef50aafd
63856399569361;1122465;3;100;-19281;78ef50aafd
63856399569361;1122465;3;100;-19282,2;78ef50aafd
63856399569461;1122531;3;100;-19281,6;78ef50aafd
63856399569561;1122665;3;100;-19281,4;78ef50aafd
63856399569561;1122665;3;100;-19282,6;78ef50aafd
63856399569661;1122731;3;100;-19281,2;78ef50aafd
63856399569761;1122865;3;100;-19282;78ef50aafd
63856399569761;1122865;3;100;-19280,2;78ef50aafd
63856399569861;1122931;3;100;-19281,6;78ef50aafd
63856399569960;1123065;3;100;-19282,4;78ef50aafd
63856399569960;1123065;3;100;-19283,2;78ef50aafd
63856399570058;1123131;3;100;-19286;78ef50aafd
63856399570161;1123265;3;100;-19289;78ef50aafd
63856399570161;1123265;3;100;-19285,8;78ef50aafd
63856399570261;1123331;3;100;-19283,6;78ef50aafd
63856399570360;1123464;3;100;-19283;78ef50aafd
63856399570360;1123464;3;100;-19283,4;78ef50aafd
63856399570461;1123531;3;100;-19287,8;78ef50aafd
63856399570561;1123664;3;100;-19286,8;78ef50aafd
63856399570561;1123664;3;100;-19283;78ef50aafd
63856399570661;1123731;3;100;-19283,2;78ef50aafd
63856399570794;1123864;3;100;-19284;78ef50aafd
63856399570794;1123864;3;100;-19285,8;78ef50aafd
63856399570894;1123931;3;100;-19287,6;78ef50aafd
63856399570994;1124065;3;100;-19287,2;78ef50aafd
63856399570994;1124065;3;100;-19286,2;78ef50aafd
63856399571095;1124131;3;100;-19285,8;78ef50aafd
63856399571194;1124265;-3;100;-19285,8;78ef50aafd
63856399571194;1124265;-3;100;-19285,4;78ef50aafd
63856399571294;1124331;-3;100;-19282,6;78ef50aafd
63856399571378;1124464;-3;100;-19279,2;78ef50aafd
63856399571378;1124464;-3;100;-19277,6;78ef50aafd
63856399571494;1124598;-3;100;-19277,4;78ef50aafd
63856399571494;1124598;-3;100;-19277;78ef50aafd
63856399571594;1124664;-3;100;-19276,2;78ef50aafd
63856399571761;1124864;-3;100;-19276;78ef50aafd
63856399571761;1124864;-3;100;-19275,6;78ef50aafd
63856399571761;1124864;-3;100;-19277,6;78ef50aafd
63856399571860;1124931;-3;100;-19278,2;78ef50aafd
63856399571960;1125064;-3;100;-19277,2;78ef50aafd
63856399571960;1125064;-3;100;-19272,4;78ef50aafd
