Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856394336517;6775352;0;100;64;7bee04cb79
63856394337683;6776522;0;100;61;7bee04cb79
63856394338383;6777212;0;100;67;7bee04cb79
63856394340733;6779555;0;100;58;7bee04cb79
63856394345633;6784421;0;100;48;7bee04cb79
63856394347083;6785918;0;100;46;7bee04cb79
63856394349955;6787294;0;100;46;7bee04cb79
63856394349959;6788654;0;100;46;7bee04cb79
63856394352337;6790164;0;100;44;7bee04cb79
63856394352728;6791554;0;100;44;7bee04cb79
63856394353561;6792367;0;100;51;7bee04cb79
63856394354364;6793220;0;100;55;7bee04cb79
63856394356500;6795363;0;100;49;7bee04cb79
63856394357117;6795947;0;100;62;7bee04cb79
63856394358463;6797317;0;100;58;7bee04cb79
63856394360815;6799643;0;100;51;7bee04cb79
63856394363894;6801910;0;100;46;7bee04cb79
63856394365404;6804223;0;100;41;7bee04cb79
63856394367454;6806292;0;100;39;7bee04cb79
63856394369921;6808732;0;100;36;7bee04cb79
63856394370737;6809556;0;100;44;7bee04cb79
63856394371854;6810662;0;100;46;7bee04cb79
63856394372587;6811422;0;100;54;7bee04cb79
63856394375137;6813975;0;100;47;7bee04cb79
63856394376354;6815238;0;100;47;7bee04cb79
63856394376687;6815485;0;100;92;7bee04cb79
63856394378120;6817011;0;100;81;7bee04cb79
63856394378754;6817545;0;100;88;7bee04cb79
63856394382720;6821544;0;100;72;7bee04cb79
63856394383888;6822728;0;100;67;7bee04cb79
63856394385620;6824491;0;100;60;7bee04cb79
63856394387020;6825814;0;100;57;7bee04cb79
63856394389021;6827841;0;100;51;7bee04cb79
63856394389920;6828797;0;100;54;7bee04cb79
63856394390320;6829190;0;100;76;7bee04cb79
63856394391253;6830097;0;100;74;7bee04cb79
63856394392053;6830890;0;100;75;7bee04cb79
63856394394120;6832980;0;100;64;7bee04cb79
63856394395354;6834183;0;100;61;7bee04cb79
63856394396587;6835449;0;100;58;7bee04cb79
63856394397186;6836020;0;100;69;7bee04cb79
63856394398404;6837256;0;100;64;7bee04cb79
63856394399387;6838226;0;100;64;7bee04cb79
63856394400787;6839579;0;100;60;7bee04cb79
63856394402386;6841266;0;100;55;7bee04cb79
63856394404187;6843062;0;100;50;7bee04cb79
63856394406320;6845135;0;100;45;7bee04cb79
63856394406520;6845375;0;100;91;7bee04cb79
63856394406920;6845759;0;100;106;7bee04cb79
63856394407653;6846435;0;100;102;7bee04cb79
63856394408253;6847118;0;100;99;7bee04cb79
63856394408754;6847615;0;100;104;7bee04cb79
63856394411020;6849905;0;100;87;7bee04cb79
63856394412053;6850868;0;100;82;7bee04cb79
63856394412453;6851268;0;100;97;7bee04cb79
63856394412986;6851768;0;100;103;7bee04cb79
63856394414937;6853768;0;100;87;7bee04cb79
63856394415853;6854668;0;100;82;7bee04cb79
63856394420453;6859320;0;100;67;7bee04cb79
63856394421386;6860230;0;100;67;7bee04cb79
63856394421786;6860590;0;100;89;7bee04cb79
63856394422487;6861367;0;100;87;7bee04cb79
63856394422919;6861720;0;100;106;7bee04cb79
63856394423320;6862114;0;100;116;7bee04cb79
63856394425720;6864503;0;100;96;7bee04cb79
63856394426019;6864827;0;100;116;7bee04cb79
63856394426719;6865586;0;100;108;7bee04cb79
63856394428653;6867500;0;100;91;7bee04cb79
63856394430453;6869223;0;100;79;7bee04cb79
63856394432853;6871709;0;100;67;7bee04cb79
63856394433386;6872209;0;100;79;7bee04cb79
63856394436570;6875446;0;100;66;7bee04cb79
63856394437586;6876419;0;100;65;7bee04cb79
63856394438486;6877355;0;100;65;7bee04cb79
63856394440786;6879658;0;100;56;7bee04cb79
63856394441586;6880392;0;100;62;7bee04cb79
63856394447153;6885954;0;100;51;7bee04cb79
63856394450019;6888858;0;100;44;7bee04cb79
63856394451053;6889821;0;100;48;7bee04cb79
63856394457186;6895957;0;100;40;7bee04cb79
63856394457686;6896563;0;100;53;7bee04cb79
63856394458486;6897297;0;100;60;7bee04cb79
63856394459019;6897853;0;100;71;7bee04cb79
63856394463019;6901873;0;100;58;7bee04cb79
63856394463719;6902553;0;100;65;7bee04cb79
63856394464052;6902879;0;100;91;7bee04cb79
63856394464852;6903643;0;100;89;7bee04cb79
63856394465486;6904303;0;100;90;7bee04cb79
63856394465986;6904829;0;100;95;7bee04cb79
63856394470919;6909745;0;100;77;7bee04cb79
63856394471819;6910596;0;100;76;7bee04cb79
63856394475185;6913965;0;100;63;7bee04cb79
63856394476952;6915808;0;100;56;7bee04cb79
63856394478985;6917835;0;100;50;7bee04cb79
63856394479185;6917978;0;100;134;7bee04cb79
63856394481152;6919938;0;100;111;7bee04cb79
63856394482152;6921031;0;100;99;7bee04cb79
63856394482785;6921584;0;100;102;7bee04cb79
63856394483185;6922018;0;100;110;7bee04cb79
63856394483985;6922881;0;100;101;7bee04cb79
63856394485219;6924014;0;100;91;7bee04cb79
63856394486285;6925154;0;100;82;7bee04cb79
63856394489052;6927910;0;100;69;7bee04cb79
63856394491018;6929793;0;100;61;7bee04cb79
63856394493152;6931973;0;100;53;7bee04cb79
63856394493552;6932386;0;100;74;7bee04cb79
63856394494151;6932970;0;100;81;7bee04cb79
63856394494552;6933440;0;100;92;7bee04cb79
63856394495485;6934280;1;100;87;7bee04cb79
63856394499618;6938479;1;100;71;7bee04cb79
63856394501318;6940152;1;100;63;7bee04cb79
63856394501819;6940629;1;100;78;7bee04cb79
63856394504985;6943796;1;100;65;7bee04cb79
63856394506219;6945019;1;100;61;7bee04cb79
63856394507651;6946435;1;100;57;7bee04cb79
63856394508218;6947105;1;100;65;7bee04cb79
63856394509752;6948548;1;100;60;7bee04cb79
63856394511485;6950331;1;100;54;7bee04cb79
63856394511585;6950468;1;100;145;7bee04cb79
63856394513218;6952025;1;100;121;7bee04cb79
63856394513818;6952684;1;100;115;7bee04cb79
63856394514151;6952981;1;100;135;7bee04cb79
63856394517884;6956757;1;100;109;7bee04cb79
63856394519218;6958020;1;100;95;7bee04cb79
63856394520618;6959494;1;100;83;7bee04cb79
63856394521451;6960237;1;100;83;7bee04cb79
63856394523584;6962410;1;100;71;7bee04cb79
63856394525018;6963827;1;100;65;7bee04cb79
63856394525918;6964737;1;100;65;7bee04cb79
63856394526918;6965723;1;100;64;7bee04cb79
63856394528418;6967256;1;100;59;7bee04cb79
63856394529051;6967916;1;100;66;7bee04cb79
63856394530251;6969123;1;100;63;7bee04cb79
63856394530885;6969723;1;100;71;7bee04cb79
63856394531285;6970096;1;100;91;7bee04cb79
63856394532784;6971596;1;100;80;7bee04cb79
63856394534717;6973529;1;100;69;7bee04cb79
63856394537184;6975992;1;100;59;7bee04cb79
63856394540317;6979155;1;100;50;7bee04cb79
63856394548950;6987798;1;100;41;7bee04cb79
63856394550584;6989451;1;100;40;7bee04cb79
63856394552017;6990827;1;100;41;7bee04cb79
63856394554651;6993477;1;100;37;7bee04cb79
63856394556284;6995064;1;100;37;7bee04cb79
63856394557317;6996100;1;100;42;7bee04cb79
63856394560950;6999796;1;100;36;7bee04cb79
63856394562083;7000936;1;100;40;7bee04cb79
63856394563516;7002303;1;100;41;7bee04cb79
63856394563917;7002703;1;100;65;7bee04cb79
63856394564516;7003386;1;100;71;7bee04cb79
63856394566150;7004959;1;100;64;7bee04cb79
63856394568284;7007152;1;100;56;7bee04cb79
63856394570617;7009405;1;100;49;7bee04cb79
63856394573384;7012165;1;100;43;7bee04cb79
63856394574384;7013218;-1;100;46;7bee04cb79
63856394575084;7013978;-1;100;54;7bee04cb79
63856394578950;7017771;-1;100;45;7bee04cb79
63856394579983;7018835;-1;100;48;7bee04cb79
63856394580383;7019238;-1;100;71;7bee04cb79
63856394582016;7020824;-1;100;64;7bee04cb79
63856394583016;7021828;-1;100;63;7bee04cb79
63856394583317;7022154;-1;100;90;7bee04cb79
63856394585750;7024614;-1;100;76;7bee04cb79
63856394591150;7029970;-1;100;62;7bee04cb79
63856394594383;7033246;-1;100;52;7bee04cb79
63856394595383;7034220;-1;100;54;7bee04cb79
63856394596316;7035130;-1;100;57;7bee04cb79
63856394597116;7035933;-1;100;61;7bee04cb79
63856394597816;7036679;-1;100;66;7bee04cb79
63856394598816;7037683;-1;100;64;7bee04cb79
63856394600516;7039363;-1;100;58;7bee04cb79
63856394601650;7040482;-1;100;57;7bee04cb79
63856394602983;7041822;-1;100;55;7bee04cb79
63856394603883;7042692;-1;100;58;7bee04cb79
63856394604384;7043269;-1;100;69;7bee04cb79
63856394605316;7044139;-1;100;69;7bee04cb79
63856394606217;7045025;-1;100;69;7bee04cb79
63856394606533;7045392;-1;100;91;7bee04cb79
63856394607850;7046722;-1;100;81;7bee04cb79
63856394609583;7048432;-1;100;71;7bee04cb79
63856394610183;7048975;-1;100;80;7bee04cb79
63856394610883;7049735;-1;100;80;7bee04cb79
63856394611416;7050251;-1;100;88;7bee04cb79
63856394612650;7051495;-1;100;79;7bee04cb79
63856394613750;7052554;-1;100;75;7bee04cb79
63856394616183;7055034;-1;100;63;7bee04cb79
63856394617916;7056748;-1;100;57;7bee04cb79
63856394618516;7057321;-1;100;68;7bee04cb79
63856394621149;7059950;-1;100;58;7bee04cb79
63856394622883;7061740;-1;100;53;7bee04cb79
63856394624516;7063377;-1;100;49;7bee04cb79
63856394625016;7063843;-1;100;67;7bee04cb79
63856394625749;7064520;-1;100;72;7bee04cb79
63856394626766;7065553;-1;100;69;7bee04cb79
63856394627466;7066243;-1;100;74;7bee04cb79
63856394628049;7066913;-1;100;77;7bee04cb79
63856394629099;7067870;-1;100;74;7bee04cb79
63856394630083;7068963;-1;100;70;7bee04cb79
63856394630616;7069389;-1;100;86;7bee04cb79
63856394631616;7070443;-1;100;80;7bee04cb79
63856394632016;7070813;-1;100;98;7bee04cb79
63856394634699;7073496;-1;100;81;7bee04cb79
63856394636283;7075142;-1;100;72;7bee04cb79
63856394637316;7076136;-1;100;69;7bee04cb79
63856394638516;7077379;-1;100;65;7bee04cb79
63856394640282;7079172;2;100;58;7bee04cb79
63856394640816;7079632;2;100;75;7bee04cb79
63856394642216;7081065;2;100;67;7bee04cb79
63856394643349;7082185;2;100;64;7bee04cb79
63856394644682;7083545;2;100;60;7bee04cb79
63856394651249;7090054;2;100;49;7bee04cb79
63856394653816;7092621;2;100;43;7bee04cb79
63856394658082;7096957;2;100;37;7bee04cb79
63856394658782;7097597;2;100;50;7bee04cb79
63856394663982;7102823;2;100;41;7bee04cb79
63856394664982;7103776;2;100;46;7bee04cb79
63856394665815;7104589;2;100;53;7bee04cb79
63856394666815;7105632;2;100;54;7bee04cb79
63856394666948;7105739;2;100;175;7bee04cb79
63856394667267;7106056;2;100;178;7bee04cb79
63856394669549;7108419;2;100;144;7bee04cb79
63856394669982;7108762;2;100;151;7bee04cb79
63856394670082;7108929;2;100;196;7bee04cb79
63856394672115;7110985;2;100;159;7bee04cb79
63856394672715;7111539;2;100;148;7bee04cb79
63856394673848;7112708;2;100;127;7bee04cb79
63856394676098;7114895;2;100;105;7bee04cb79
63856394677215;7116075;2;100;93;7bee04cb79
63856394678015;7116798;2;100;91;7bee04cb79
