Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856394339916;6778321;0;100;0,000349;7bee04cb79
63856394340733;6779454;0;100;5,8E-05;7bee04cb79
63856394341250;6779921;0;100;4,8E-05;7bee04cb79
63856394341850;6780520;0;100;9E-06;7bee04cb79
63856394342050;6780787;0;100;4,1E-05;7bee04cb79
63856394342417;6780987;0;100;8,7E-05;7bee04cb79
63856394342717;6781320;0;100;7,7E-05;7bee04cb79
63856394343516;6781853;0;100;0,000115;7bee04cb79
63856394344050;6782653;0;100;4,3E-05;7bee04cb79
63856394345250;6783187;0;100;0,000592;7bee04cb79
63856394346450;6784520;0;100;0,001547;7bee04cb79
63856394352333;6788720;0;100;5,5E-05;7bee04cb79
63856394353561;6791653;0;100;0,000203;7bee04cb79
63856394354784;6792453;0;100;0,000832;7bee04cb79
63856394356000;6794652;0;100;0,000106;7bee04cb79
63856394356701;6795319;0;100;0,000101;7bee04cb79
63856394356933;6795586;0;100;2,8E-05;7bee04cb79
63856394357117;6795785;0;100;2,5E-05;7bee04cb79
63856394357316;6795985;0;100;1,4E-05;7bee04cb79
63856394357521;6796185;0;100;4,8E-05;7bee04cb79
63856394357864;6796585;0;100;4,8E-05;7bee04cb79
63856394358364;6797053;0;100;6,1E-05;7bee04cb79
63856394360400;6799119;0;100;1,1E-05;7bee04cb79
63856394366155;6804451;0;100;0,011724;7bee04cb79
63856394369021;6807318;0;100;0,007594;7bee04cb79
63856394371354;6809451;0;100;0,006013;7bee04cb79
63856394375054;6813451;0;100;0,000294;7bee04cb79
63856394380087;6818451;0;100;0,004198;7bee04cb79
63856394383120;6821717;0;100;0,000229;7bee04cb79
63856394386104;6824249;0;100;0,001134;7bee04cb79
63856394399954;6838115;0;100;0,000537;7bee04cb79
63856394400587;6839248;0;100;6E-05;7bee04cb79
63856394402320;6840714;0;100;0,007437;7bee04cb79
63856394403986;6842115;0;100;0,006173;7bee04cb79
63856394406221;6844847;0;100;0,002974;7bee04cb79
63856394407653;6846180;0;100;0,005447;7bee04cb79
63856394408253;6846714;0;100;0,003151;7bee04cb79
63856394410736;6848847;0;100;0,000788;7bee04cb79
63856394414120;6851980;0;100;0,004226;7bee04cb79
63856394422820;6861112;0;100;0,000306;7bee04cb79
63856394423103;6861713;0;100;0,000132;7bee04cb79
63856394426519;6864779;0;100;0,005333;7bee04cb79
63856394429520;6868112;0;100;2,7E-05;7bee04cb79
63856394443319;6881777;0;100;7,1E-05;7bee04cb79
63856394454919;6893176;0;100;0,000733;7bee04cb79
63856394466719;6905309;0;100;1,2E-05;7bee04cb79
63856394476852;6915241;0;100;0,000121;7bee04cb79
63856394477852;6916241;0;100;0,000303;7bee04cb79
63856394490651;6929239;0;100;4,5E-05;7bee04cb79
63856394497051;6935039;1;100;0,000379;7bee04cb79
63856394497252;6935972;1;100;5E-05;7bee04cb79
63856394497452;6936172;1;100;3E-05;7bee04cb79
63856394500018;6938571;1;100;9,7E-05;7bee04cb79
63856394500518;6939038;1;100;7,6E-05;7bee04cb79
63856394501018;6939571;1;100;9,6E-05;7bee04cb79
63856394501618;6940171;1;100;0,000142;7bee04cb79
63856394502552;6940838;1;100;0,000667;7bee04cb79
63856394504185;6942637;1;100;9,2E-05;7bee04cb79
63856394504385;6943104;1;100;3,9E-05;7bee04cb79
63856394512418;6951037;1;100;4,5E-05;7bee04cb79
63856394512718;6951304;1;100;7,3E-05;7bee04cb79
63856394515152;6953303;1;100;0,002209;7bee04cb79
63856394521351;6959702;1;100;0,001648;7bee04cb79
63856394523584;6961702;1;100;0,003155;7bee04cb79
63856394531084;6969501;1;100;0,009942;7bee04cb79
63856394533717;6972102;1;100;0,004594;7bee04cb79
63856394548851;6987233;1;100;0,000369;7bee04cb79
63856394552917;6991433;1;100;0,000789;7bee04cb79
63856394555884;6994366;1;100;0,000206;7bee04cb79
63856394556284;6994766;1;100;0,00082;7bee04cb79
63856394558151;6996632;1;100;0,000351;7bee04cb79
63856394558716;6997433;1;100;0,000152;7bee04cb79
63856394561584;7000166;1;100;8,3E-05;7bee04cb79
63856394563417;7001899;1;100;0,00224;7bee04cb79
63856394565650;7004232;1;100;0,001286;7bee04cb79
63856394566650;7005098;1;100;0,001953;7bee04cb79
63856394568884;7007498;1;100;0,001189;7bee04cb79
63856394572950;7011497;1;100;0,009284;7bee04cb79
63856394573384;7011897;1;100;0,003112;7bee04cb79
63856394580283;7018630;-1;100;0,002818;7bee04cb79
63856394583016;7021563;-1;100;5,1E-05;7bee04cb79
63856394583317;7021963;-1;100;3,5E-05;7bee04cb79
63856394584151;7022563;-1;100;0,000137;7bee04cb79
63856394584750;7023030;-1;100;0,000174;7bee04cb79
63856394587883;7026029;-1;100;0,000296;7bee04cb79
63856394588317;7026896;-1;100;7,4E-05;7bee04cb79
63856394592484;7031029;-1;100;5,6E-05;7bee04cb79
63856394592683;7031363;-1;100;4,7E-05;7bee04cb79
63856394593083;7031563;-1;100;8,2E-05;7bee04cb79
63856394593550;7032095;-1;100;8,7E-05;7bee04cb79
63856394597716;7036229;-1;100;2,9E-05;7bee04cb79
63856394600217;7038561;-1;100;0,000943;7bee04cb79
63856394627349;7066025;-1;100;1,2E-05;7bee04cb79
63856394627849;7066292;-1;100;6,7E-05;7bee04cb79
63856394641016;7079491;2;100;0,000551;7bee04cb79
63856394643649;7082157;2;100;7,9E-05;7bee04cb79
63856394644049;7082557;2;100;0,000184;7bee04cb79
63856394644382;7082957;2;100;0,000103;7bee04cb79
63856394644982;7083691;2;100;3,7E-05;7bee04cb79
63856394645882;7084157;2;100;0,000284;7bee04cb79
63856394646282;7084957;2;100;6,2E-05;7bee04cb79
63856394646915;7085556;2;100;2,7E-05;7bee04cb79
63856394653082;7091290;2;100;0,000463;7bee04cb79
63856394654015;7092623;2;100;8,7E-05;7bee04cb79
63856394654549;7093223;2;100;9E-06;7bee04cb79
63856394655249;7093423;2;100;0,000261;7bee04cb79
63856394655649;7094289;2;100;7,5E-05;7bee04cb79
63856394656149;7094822;2;100;3,3E-05;7bee04cb79
63856394671699;7110221;2;100;2,8E-05;7bee04cb79
63856394672015;7110621;2;100;9,1E-05;7bee04cb79
63856394672215;7110887;2;100;0,000103;7bee04cb79
63856394672948;7111287;2;100;0,000486;7bee04cb79
63856394673332;7111821;2;100;0,000207;7bee04cb79
63856394673949;7112354;2;100;0,002526;7bee04cb79
63856394674949;7113420;2;100;0,000968;7bee04cb79
63856394675782;7114020;2;100;0,000634;7bee04cb79
63856394677615;7115087;2;100;0,013685;7bee04cb79
63856394687481;7125886;2;100;0,002153;7bee04cb79
63856394690115;7128020;2;100;0,00417;7bee04cb79
63856394697948;7135619;2;100;0,007683;7bee04cb79
63856394704448;7142151;2;100;0,008073;7bee04cb79
63856394712848;7151417;2;100;0,000408;7bee04cb79
63856394715415;7153350;2;100;0,006204;7bee04cb79
63856394716348;7154683;2;100;0,003688;7bee04cb79
63856394716548;7155216;2;100;0,000324;7bee04cb79
63856394724814;7163349;2;100;0,000133;7bee04cb79
63856394726048;7164615;2;100;1E-05;7bee04cb79
63856394726281;7164949;2;100;0,000119;7bee04cb79
63856394730348;7168549;-2;100;0,004682;7bee04cb79
63856394735681;7174014;-2;100;0,00337;7bee04cb79
63856394742047;7180548;-2;100;1,5E-05;7bee04cb79
63856394755047;7193146;-2;100;0,084844;7bee04cb79
63856394764163;7202811;3;100;6,8E-05;7bee04cb79
63856394770113;7208744;3;100;7,3E-05;7bee04cb79
63856394772147;7210611;3;100;0,000794;7bee04cb79
63856394773080;7211678;3;100;0,005932;7bee04cb79
63856394782480;7221010;3;100;0,000151;7bee04cb79
63856394783730;7222343;3;100;3,7E-05;7bee04cb79
63856394784146;7222676;3;100;0,0004;7bee04cb79
63856394785130;7223476;3;100;0,001552;7bee04cb79
63856394790496;7229009;3;100;6E-05;7bee04cb79
63856394791779;7229676;3;100;0,001622;7bee04cb79
63856394812279;7250607;3;100;0,002349;7bee04cb79
63856394813946;7252606;3;100;2,8E-05;7bee04cb79
63856394814146;7252806;3;100;6,7E-05;7bee04cb79
63856394815779;7254274;3;100;0,000346;7bee04cb79
63856394821612;7260139;3;100;2,7E-05;7bee04cb79
63856394822629;7260606;3;100;0,004007;7bee04cb79
63856394827146;7265405;3;100;0,00295;7bee04cb79
63856394827846;7266539;3;100;0,000163;7bee04cb79
63856394830529;7269005;3;100;0,000237;7bee04cb79
63856394831146;7269805;3;100;0,000131;7bee04cb79
63856394833562;7272204;3;100;1,1E-05;7bee04cb79
63856394834112;7272805;3;100;2,1E-05;7bee04cb79
63856394843412;7282004;3;100;0,000142;7bee04cb79
63856394847412;7285536;3;100;0,001974;7bee04cb79
63856394848429;7286803;3;100;0,000812;7bee04cb79
63856394851729;7290336;3;100;0,000146;7bee04cb79
63856394853528;7291803;3;100;0,000194;7bee04cb79
63856394859162;7297269;3;100;0,000666;7bee04cb79
63856394867295;7305401;3;100;0,000615;7bee04cb79
63856394870795;7309268;3;100;0,001204;7bee04cb79
63856394872012;7310534;3;100;0,001437;7bee04cb79
63856394872911;7311535;3;100;0,000635;7bee04cb79
63856394873528;7311800;-3;100;0,003085;7bee04cb79
63856394877328;7315934;-3;100;7,4E-05;7bee04cb79
63856394881645;7319934;-3;100;0,002216;7bee04cb79
63856394887144;7325199;-3;100;0,000928;7bee04cb79
63856394889195;7327399;-3;100;0,002472;7bee04cb79
63856394890778;7329266;-3;100;0,001007;7bee04cb79
63856394902728;7340931;-3;100;0,02177;7bee04cb79
63856394908095;7346598;4;100;1,1E-05;7bee04cb79
63856394908994;7347664;4;100;1,5E-05;7bee04cb79
63856394909728;7348198;4;100;5,5E-05;7bee04cb79
63856394914628;7353130;4;100;5,4E-05;7bee04cb79
63856394917461;7355996;4;100;0,000287;7bee04cb79
63856394918077;7356596;4;100;0,000523;7bee04cb79
63856394919311;7357663;4;100;0,00022;7bee04cb79
63856394920212;7358863;4;100;5,7E-05;7bee04cb79
63856394921744;7359796;4;100;0,000744;7bee04cb79
63856394926527;7364662;4;100;0,001953;7bee04cb79
63856394932627;7370995;4;100;6,3E-05;7bee04cb79
63856394933144;7371794;4;100;9E-06;7bee04cb79
63856394933461;7371994;4;100;5,7E-05;7bee04cb79
63856394941027;7379528;4;100;6,5E-05;7bee04cb79
63856394942060;7380194;4;100;0,000312;7bee04cb79
63856394942761;7381327;4;100;0,000167;7bee04cb79
63856394946827;7385127;4;100;0,002765;7bee04cb79
63856394947927;7385993;4;100;0,002681;7bee04cb79
63856394957527;7396259;4;100;1,8E-05;7bee04cb79
63856394957860;7396459;4;100;3,3E-05;7bee04cb79
63856394958043;7396725;4;100;2,9E-05;7bee04cb79
63856394958660;7396925;4;100;0,000121;7bee04cb79
63856394959993;7398059;4;100;0,000143;7bee04cb79
63856394960793;7399125;4;100;0,000187;7bee04cb79
63856394961310;7399925;4;100;4E-05;7bee04cb79
63856394969260;7407258;4;100;0,004236;7bee04cb79
63856394971593;7409991;4;100;0,000424;7bee04cb79
63856394973093;7411524;4;100;0,000209;7bee04cb79
63856394973927;7412257;4;100;0,004274;7bee04cb79
63856394976960;7414858;4;100;0,006444;7bee04cb79
63856394978493;7417057;4;100;0,000671;7bee04cb79
63856394978993;7417391;4;100;0,002843;7bee04cb79
63856394980593;7418790;4;100;0,003571;7bee04cb79
63856394988360;7426456;4;100;0,008643;7bee04cb79
63856394989759;7427989;4;100;0,001648;7bee04cb79
63856394999326;7437722;4;100;0,000117;7bee04cb79
63856395003159;7441522;4;100;0,00084;7bee04cb79
63856395004659;7442787;4;100;0,007299;7bee04cb79
63856395008959;7447254;4;100;0,001637;7bee04cb79
63856395012593;7450987;4;100;0,00429;7bee04cb79
63856395014726;7453386;4;100;0,000156;7bee04cb79
63856395018626;7456919;4;100;0,002537;7bee04cb79
63856395019742;7458320;4;100;0,000527;7bee04cb79
63856395021126;7459120;-4;100;0,002317;7bee04cb79
63856395033125;7471851;-4;100;3,2E-05;7bee04cb79
63856395037126;7475718;-4;100;1,9E-05;7bee04cb79
63856395037759;7475984;-4;100;0,005237;7bee04cb79
63856395040742;7479184;-4;100;0,001106;7bee04cb79
63856395045058;7482651;-4;100;0,001783;7bee04cb79
63856395052125;7490449;-4;100;0,004481;7bee04cb79
63856395055525;7494182;5;100;2,7E-05;7bee04cb79
63856395062208;7500316;5;100;0,000117;7bee04cb79
63856395062908;7501448;5;100;1,9E-05;7bee04cb79
63856395064058;7502381;5;100;0,000388;7bee04cb79
63856395068391;7506648;5;100;0,000215;7bee04cb79
63856395069225;7507848;5;100;5,9E-05;7bee04cb79
63856395070158;7508848;5;100;1E-05;7bee04cb79
63856395070391;7509048;5;100;3,3E-05;7bee04cb79
63856395075458;7513448;5;100;0,000876;7bee04cb79
63856395076391;7515047;5;100;5,9E-05;7bee04cb79
