Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856394336517;6775387;0;100;23,6392;7bee04cb79
63856394336850;6775654;0;100;23,3657;7bee04cb79
63856394337183;6776054;0;100;23,0954;7bee04cb79
63856394337483;6776321;0;100;22,8283;7bee04cb79
63856394337783;6776654;0;100;22,5642;7bee04cb79
63856394338216;6777054;0;100;22,3032;7bee04cb79
63856394338517;6777321;0;100;22,0452;7bee04cb79
63856394338783;6777654;0;100;21,7901;7bee04cb79
63856394339150;6777987;0;100;21,5381;7bee04cb79
63856394339517;6778387;0;100;21,2889;7bee04cb79
63856394339800;6778654;0;100;21,0426;7bee04cb79
63856394340117;6778987;0;100;22,8815;7bee04cb79
63856394340550;6779387;0;100;22,6168;7bee04cb79
63856394340850;6779654;0;100;24,4374;7bee04cb79
63856394341150;6779987;0;100;24,1547;7bee04cb79
63856394341433;6780320;0;100;25,9575;7bee04cb79
63856394341850;6780720;0;100;25,6573;7bee04cb79
63856394342184;6780987;0;100;29,525;7bee04cb79
63856394342483;6781320;0;100;31,2657;7bee04cb79
63856394342817;6781654;0;100;32,9862;7bee04cb79
63856394343117;6781987;0;100;32,6046;7bee04cb79
63856394343516;6782387;0;100;34,3097;7bee04cb79
63856394343816;6782653;0;100;33,9128;7bee04cb79
63856394344116;6782987;0;100;35,6028;7bee04cb79
63856394344516;6783387;0;100;35,1909;7bee04cb79
63856394344850;6783653;0;100;34,7838;7bee04cb79
63856394345150;6783987;0;100;34,3815;7bee04cb79
63856394345450;6784320;0;100;36,066;7bee04cb79
63856394345850;6784720;0;100;35,6488;7bee04cb79
63856394346150;6784987;0;100;35,2364;7bee04cb79
63856394346450;6785320;0;100;36,911;7bee04cb79
63856394346850;6785720;0;100;36,484;7bee04cb79
63856394347183;6785986;0;100;36,062;7bee04cb79
63856394347499;6786386;0;100;35,6448;7bee04cb79
63856394349953;6786653;0;100;35,2325;7bee04cb79
63856394349954;6786986;0;100;34,8249;7bee04cb79
63856394349956;6787386;0;100;34,422;7bee04cb79
63856394349958;6787653;0;100;34,0238;7bee04cb79
63856394349958;6787986;0;100;33,6302;7bee04cb79
63856394349958;6788320;0;100;33,2412;7bee04cb79
63856394349959;6788720;0;100;32,8567;7bee04cb79
63856394352333;6788986;0;100;34,5588;7bee04cb79
63856394352334;6789319;0;100;34,1591;7bee04cb79
63856394352335;6789719;0;100;33,7639;7bee04cb79
63856394352336;6790053;0;100;33,3733;7bee04cb79
63856394352337;6790319;0;100;32,9873;7bee04cb79
63856394352338;6790653;0;100;32,6057;7bee04cb79
63856394352340;6791053;0;100;32,2285;7bee04cb79
63856394352534;6791386;0;100;31,8556;7bee04cb79
63856394352853;6791719;0;100;31,4871;7bee04cb79
63856394353150;6791986;0;100;31,1229;7bee04cb79
63856394353461;6792319;0;100;30,7629;7bee04cb79
63856394353850;6792719;0;100;32,4893;7bee04cb79
63856394354163;6792986;0;100;32,1134;7bee04cb79
63856394354464;6793319;0;100;31,7419;7bee04cb79
63856394354784;6793652;0;100;33,457;7bee04cb79
63856394355166;6794052;0;100;33,0699;7bee04cb79
63856394355483;6794319;0;100;32,6874;7bee04cb79
63856394355766;6794652;0;100;32,3093;7bee04cb79
63856394356180;6795052;0;100;34,0178;7bee04cb79
63856394356500;6795319;0;100;33,6242;7bee04cb79
63856394356790;6795652;0;100;35,3175;7bee04cb79
63856394357117;6795985;0;100;39,0735;7bee04cb79
63856394357521;6796385;0;100;40,7037;7bee04cb79
63856394357864;6796719;0;100;42,3151;7bee04cb79
63856394358163;6796985;0;100;43,9079;7bee04cb79
63856394358463;6797319;0;100;45,4822;7bee04cb79
63856394358796;6797652;0;100;44,956;7bee04cb79
63856394359184;6798052;0;100;44,436;7bee04cb79
63856394359500;6798319;0;100;43,9219;7bee04cb79
63856394359799;6798652;0;100;43,4139;7bee04cb79
63856394360096;6798985;0;100;42,9116;7bee04cb79
63856394360489;6799385;0;100;44,4975;7bee04cb79
63856394360815;6799652;0;100;43,9827;7bee04cb79
63856394361130;6799985;0;100;43,4739;7bee04cb79
63856394363889;6800385;0;100;42,971;7bee04cb79
63856394363890;6800652;0;100;42,4739;7bee04cb79
