Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63854825244472;649790;0;100;67;87e4f56616
63854825250444;655709;0;100;55;87e4f56616
63854825251238;656573;0;100;58;87e4f56616
63854825251775;657019;0;100;75;87e4f56616
63854825252267;657546;0;100;84;87e4f56616
63854825253244;658589;0;100;79;87e4f56616
63854825253944;659279;0;100;81;87e4f56616
63854825259176;664439;0;100;65;87e4f56616
63854825259878;665145;0;100;70;87e4f56616
63854825260178;665462;0;100;96;87e4f56616
63854825260970;666285;0;100;91;87e4f56616
63854825261578;666898;0;100;93;87e4f56616
63854825262205;667468;0;100;96;87e4f56616
63854825263378;668665;0;100;86;87e4f56616
63854825264478;669771;0;100;79;87e4f56616
63854825265101;670465;0;100;81;87e4f56616
63854825270245;675521;0;100;65;87e4f56616
63854825270745;676057;0;100;76;87e4f56616
63854825271176;676477;0;100;91;87e4f56616
63854825271971;677314;0;100;87;87e4f56616
63854825272577;677874;0;100;92;87e4f56616
63854825273110;678374;0;100;98;87e4f56616
63854825273403;678740;0;100;113;87e4f56616
63854825274578;679934;0;100;99;87e4f56616
63854825277838;683120;0;100;82;87e4f56616
63854825278477;683743;0;100;85;87e4f56616
63854825279011;684360;0;100;88;87e4f56616
63854825279544;684870;0;100;95;87e4f56616
63854825280678;685930;0;100;87;87e4f56616
63854825282168;687483;0;100;76;87e4f56616
63854825283302;688663;0;100;71;87e4f56616
63854825283910;689196;0;100;80;87e4f56616
63854825285344;690663;0;100;72;87e4f56616
63854825285634;690979;0;100;99;87e4f56616
63854825286243;691612;0;100;98;87e4f56616
63854825286775;692099;0;100;104;87e4f56616
63854825288644;693962;0;100;88;87e4f56616
63854825289944;695275;0;100;79;87e4f56616
63854825290677;695952;0;100;81;87e4f56616
63854825291303;696575;0;100;85;87e4f56616
63854825291778;697052;0;100;95;87e4f56616
63854825292577;697932;0;100;89;87e4f56616
63854825303364;708677;0;100;70;87e4f56616
63854825304064;709407;0;100;73;87e4f56616
63854825304641;709937;0;100;83;87e4f56616
63854825305141;710497;0;100;88;87e4f56616
63854825306476;711797;0;100;79;87e4f56616
63854825306877;712247;0;100;92;87e4f56616
63854825307809;713117;0;100;87;87e4f56616
63854825308310;713664;0;100;92;87e4f56616
63854825310067;715357;0;100;80;87e4f56616
63854825311177;716507;0;100;74;87e4f56616
63854825311476;716753;0;100;113;87e4f56616
63854825312170;717460;0;100;107;87e4f56616
63854825312601;717903;0;100;113;87e4f56616
63854825312676;718036;0;100;191;87e4f56616
63854825314970;720276;0;100;154;87e4f56616
63854825315867;721166;0;100;135;87e4f56616
63854825316704;722039;0;100;121;87e4f56616
63854825319210;724523;0;100;99;87e4f56616
63854825319876;725192;0;100;97;87e4f56616
63854825323509;728835;0;100;79;87e4f56616
63854825327543;732805;0;100;65;87e4f56616
63854825327846;733142;0;100;91;87e4f56616
63854825328742;734042;0;100;86;87e4f56616
63854825329948;735255;0;100;78;87e4f56616
63854825330543;735888;0;100;82;87e4f56616
