Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63854825243880;649239;0;100;104,9592;87e4f56616
63854825244178;649505;0;100;107,9096;87e4f56616
63854825244472;649839;0;100;108,7435;87e4f56616
63854825244872;650239;0;100;107,4856;87e4f56616
63854825245211;650505;0;100;106,2422;87e4f56616
63854825245511;650838;0;100;109,1777;87e4f56616
63854825245911;651238;0;100;107,9147;87e4f56616
63854825246203;651572;0;100;108,7486;87e4f56616
63854825246504;651838;0;100;109,5728;87e4f56616
63854825246810;652172;0;100;110,3875;87e4f56616
63854825247245;652572;0;100;109,1105;87e4f56616
63854825247545;652838;0;100;109,9306;87e4f56616
63854825247870;653238;0;100;108,6589;87e4f56616
63854825248211;653505;0;100;109,4842;87e4f56616
63854825248512;653838;0;100;108,2177;87e4f56616
63854825248807;654171;0;100;106,9658;87e4f56616
63854825249237;654571;0;100;107,8107;87e4f56616
63854825249512;654838;0;100;106,5635;87e4f56616
63854825249844;655171;0;100;107,413;87e4f56616
63854825250244;655571;0;100;110,335;87e4f56616
63854825250542;655905;0;100;109,0586;87e4f56616
63854825250866;656171;0;100;109,8793;87e4f56616
63854825251145;656505;0;100;110,6904;87e4f56616
63854825251542;656905;0;100;111,4922;87e4f56616
63854825251845;657171;0;100;112,2847;87e4f56616
63854825252172;657504;0;100;115,1503;87e4f56616
63854825252578;657904;0;100;115,9005;87e4f56616
63854825252875;658238;0;100;116,642;87e4f56616
63854825253143;658504;0;100;117,3749;87e4f56616
63854825253538;658904;0;100;118,0994;87e4f56616
63854825253833;659171;0;100;116,7332;87e4f56616
63854825254144;659504;0;100;119,5473;87e4f56616
63854825254578;659904;0;100;120,2466;87e4f56616
63854825254878;660171;0;100;118,8556;87e4f56616
63854825255172;660504;0;100;117,4807;87e4f56616
63854825255468;660837;0;100;118,2039;87e4f56616
63854825255869;661237;0;100;116,8365;87e4f56616
63854825256244;661571;0;100;119,6495;87e4f56616
63854825256537;661904;0;100;118,2653;87e4f56616
63854825256844;662171;0;100;116,8972;87e4f56616
63854825257139;662504;0;100;117,6272;87e4f56616
63854825257544;662904;0;100;116,2665;87e4f56616
63854825257844;663171;0;100;117,0038;87e4f56616
63854825258138;663504;0;100;117,7325;87e4f56616
63854825258537;663904;0;100;118,4528;87e4f56616
63854825258837;664171;0;100;119,1648;87e4f56616
63854825259176;664504;0;100;119,8686;87e4f56616
63854825259566;664904;0;100;120,5642;87e4f56616
63854825259878;665170;0;100;121,2517;87e4f56616
63854825260178;665504;0;100;119,8491;87e4f56616
63854825260505;665837;0;100;122,6272;87e4f56616
63854825260878;666237;0;100;121,2086;87e4f56616
63854825261204;666504;0;100;119,8064;87e4f56616
63854825261511;666837;0;100;120,5028;87e4f56616
63854825261911;667237;0;100;121,191;87e4f56616
63854825262205;667504;0;100;121,8713;87e4f56616
63854825262501;667837;0;100;122,5438;87e4f56616
63854825262798;668170;0;100;123,2084;87e4f56616
63854825263311;668637;0;100;123,8654;87e4f56616
63854825263468;668837;0;100;126,597;87e4f56616
63854825263878;669237;0;100;125,1325;87e4f56616
63854825264204;669503;0;100;123,685;87e4f56616
63854825264478;669837;0;100;124,3365;87e4f56616
63854825264902;670237;0;100;122,8981;87e4f56616
63854825265210;670570;0;100;125,6409;87e4f56616
63854825265511;670836;0;100;126,2698;87e4f56616
63854825265844;671170;0;100;126,8913;87e4f56616
63854825266243;671570;0;100;125,4234;87e4f56616
63854825266543;671836;0;100;126,0548;87e4f56616
63854825266839;672170;0;100;126,6788;87e4f56616
63854825267133;672503;0;100;125,2134;87e4f56616
63854825267542;672903;0;100;125,8472;87e4f56616
63854825267878;673170;0;100;124,3914;87e4f56616
63854825268144;673503;0;100;125,0346;87e4f56616
63854825268509;673836;0;100;123,5882;87e4f56616
63854825268811;674170;0;100;124,2408;87e4f56616
63854825269232;674569;0;100;124,8858;87e4f56616
63854825269544;674836;0;100;125,5234;87e4f56616
63854825269811;675169;0;100;124,0713;87e4f56616
63854825270133;675503;0;100;124,7183;87e4f56616
63854825270539;675903;0;100;123,2756;87e4f56616
63854825270872;676169;0;100;123,9318;87e4f56616
63854825271176;676503;0;100;122,4981;87e4f56616
63854825271565;676903;0;100;123,1633;87e4f56616
63854825271877;677236;0;100;121,7385;87e4f56616
63854825272172;677502;0;100;122,4125;87e4f56616
63854825272470;677836;0;100;120,9964;87e4f56616
63854825272877;678236;0;100;121,679;87e4f56616
63854825273200;678502;0;100;120,2714;87e4f56616
63854825273577;678902;0;100;118,8801;87e4f56616
63854825273868;679236;0;100;117,5049;87e4f56616
63854825274164;679502;0;100;118,2278;87e4f56616
63854825274477;679836;0;100;116,8602;87e4f56616
63854825274911;680236;0;100;117,5906;87e4f56616
63854825275178;680502;0;100;118,3125;87e4f56616
63854825275503;680835;0;100;119,0261;87e4f56616
63854825275811;681169;0;100;117,6492;87e4f56616
63854825276209;681569;0;100;118,3705;87e4f56616
63854825276511;681835;0;100;121,1657;87e4f56616
63854825276810;682169;0;100;119,764;87e4f56616
63854825277136;682502;0;100;120,4609;87e4f56616
63854825277536;682902;0;100;121,1496;87e4f56616
63854825277838;683169;0;100;121,8304;87e4f56616
63854825278143;683502;0;100;122,5033;87e4f56616
63854825278543;683902;0;100;121,0862;87e4f56616
63854825278804;684168;0;100;121,7677;87e4f56616
63854825279210;684568;0;100;120,3591;87e4f56616
63854825279544;684835;0;100;121,049;87e4f56616
63854825279842;685168;0;100;119,6487;87e4f56616
63854825280133;685502;0;100;120,3469;87e4f56616
63854825280544;685902;0;100;121,0369;87e4f56616
63854825280871;686168;0;100;121,719;87e4f56616
63854825281144;686502;0;100;120,311;87e4f56616
63854825281577;686902;0;100;118,9192;87e4f56616
63854825281877;687235;0;100;119,6258;87e4f56616
