Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63855710881556;627419;0;100;2390;9010301179
63855710883756;629556;0;100;2110;9010301179
63855710884590;630379;0;100;820;9010301179
63855710885123;630916;0;100;530;9010301179
63855710885707;631579;0;100;650;9010301179
63855710890811;636621;0;100;4980;9010301179
63855710891689;637551;0;100;920;9010301179
63855710892322;638165;0;100;610;9010301179
63855710893756;639501;0;100;1320;9010301179
63855710894220;640058;0;100;550;9010301179
63855710895884;641714;0;100;1630;9010301179
63855710898355;644124;0;100;2380;9010301179
63855710899147;644958;0;100;830;9010301179
63855710899989;645771;0;100;800;9010301179
63855710901948;647577;0;100;1780;9010301179
63855710902787;648550;0;100;960;9010301179
63855710903385;649214;0;100;660;9010301179
63855710903987;649837;0;100;610;9010301179
63855710905509;651327;0;100;1480;9010301179
63855710908389;654190;0;100;2820;9010301179
63855710909622;655443;0;100;1240;9010301179
63855710912421;658283;0;100;2810;9010301179
63855710912954;658739;0;100;450;9010301179
63855710916588;662382;0;100;3600;9010301179
63855710918289;664055;0;100;1650;9010301179
63855710919187;664965;0;100;900;9010301179
63855710919822;665629;0;100;650;9010301179
63855710920121;665925;0;100;290;9010301179
63855710920614;666392;0;100;470;9010301179
63855710920941;666729;0;100;330;9010301179
63855710923623;669495;0;100;2730;9010301179
63855710925455;671301;0;100;1790;9010301179
63855710928753;674575;0;100;3230;9010301179
63855710929689;675491;0;100;900;9010301179
63855710930882;676707;0;100;1200;9010301179
63855710934422;680260;0;100;3510;9010301179
63855710935223;681094;0;100;830;9010301179
63855710936455;682240;0;100;1130;9010301179
63855710939407;685213;0;100;2940;9010301179
63855710940716;686537;0;100;1300;9010301179
63855710942854;688670;0;100;2110;9010301179
63855710946054;691896;0;100;3190;9010301179
63855710947254;693049;0;100;1130;9010301179
63855710947779;693549;0;100;500;9010301179
63855710949852;695689;0;100;2110;9010301179
63855710952021;697792;0;100;2080;9010301179
63855710953755;699605;0;100;1790;9010301179
63855710954988;700842;0;100;1220;9010301179
63855710955680;701518;0;100;670;9010301179
63855710956722;702492;0;100;960;9010301179
63855710958988;704865;0;100;2350;9010301179
63855710960222;706058;1;100;1170;9010301179
63855710961322;707148;1;100;1080;9010301179
63855710961953;707741;1;100;590;9010301179
63855710963621;709468;1;100;1700;9010301179
63855710965345;711117;1;100;1630;9010301179
63855710966418;712221;1;100;1090;9010301179
63855710966956;712767;1;100;540;9010301179
63855710972582;718430;1;100;5600;9010301179
63855710974176;719973;1;100;1530;9010301179
63855710975085;720923;1;100;940;9010301179
63855710975893;721716;1;100;780;9010301179
63855710976389;722223;1;100;500;9010301179
63855710978465;724279;1;100;2030;9010301179
63855710979288;725126;1;100;840;9010301179
63855710980088;725886;1;100;750;9010301179
63855710981422;727219;1;100;1310;9010301179
63855710984620;730429;1;100;3170;9010301179
63855710985953;731809;1;100;1370;9010301179
63855710987251;733129;1;100;1300;9010301179
63855710987954;733795;1;100;660;9010301179
63855710988882;734742;1;100;930;9010301179
63855710989553;735378;1;100;630;9010301179
63855710991087;736858;1;100;1460;9010301179
63855710992488;738285;1;100;1410;9010301179
63855710993321;739088;1;100;800;9010301179
63855710994018;739834;1;100;730;9010301179
63855710994787;740554;1;100;710;9010301179
63855710998519;744357;1;100;3760;9010301179
63855710999221;745064;1;100;700;9010301179
63855711000587;746358;1;100;1280;9010301179
63855711001422;747170;1;100;800;9010301179
63855711002713;748580;1;100;1390;9010301179
63855711003217;749037;1;100;450;9010301179
63855711004521;750257;1;100;1210;9010301179
63855711004521;750337;1;100;80;9010301179
63855711005421;751197;1;100;850;9010301179
63855711009087;754910;1;100;3660;9010301179
63855711010353;756196;1;100;1280;9010301179
63855711011987;757826;1;100;1600;9010301179
63855711015286;761072;1;100;3210;9010301179
63855711020122;765929;1;100;4800;9010301179
63855711023587;769395;1;100;3420;9010301179
63855711024386;770198;-1;100;790;9010301179
63855711025255;771021;-1;100;820;9010301179
63855711026987;772845;-1;100;1800;9010301179
63855711028553;774344;-1;100;1480;9010301179
63855711030188;775871;-1;100;1510;9010301179
63855711030687;776461;-1;100;580;9010301179
63855711031720;777464;-1;100;990;9010301179
63855711032419;778221;-1;100;750;9010301179
63855711034053;779857;-1;100;1610;9010301179
63855711034955;780807;-1;100;940;9010301179
63855711036120;781920;2;100;1100;9010301179
63855711038452;784253;2;100;2310;9010301179
63855711039186;784950;2;100;680;9010301179
63855711041253;787103;2;100;2130;9010301179
63855711043186;789016;2;100;1890;9010301179
63855711044319;790116;2;100;1090;9010301179
63855711044920;790706;2;100;580;9010301179
63855711045786;791603;2;100;890;9010301179
63855711046086;791909;2;100;300;9010301179
63855711047003;792846;2;100;920;9010301179
63855711056136;801932;2;100;8980;9010301179
63855711057586;803328;2;100;1380;9010301179
63855711064286;810088;2;100;6670;9010301179
63855711065020;810828;2;100;740;9010301179
63855711066752;812507;2;100;1650;9010301179
63855711068153;813934;2;100;1410;9010301179
63855711068852;814650;2;100;710;9010301179
63855711069587;815367;2;100;710;9010301179
63855711072419;818230;2;100;2830;9010301179
63855711073252;818907;2;100;670;9010301179
63855711073453;819243;2;100;330;9010301179
63855711075252;821070;2;100;1800;9010301179
63855711076786;822570;2;100;1480;9010301179
63855711081052;826886;2;100;4270;9010301179
63855711081952;827763;2;100;860;9010301179
63855711082852;828732;2;100;960;9010301179
63855711085219;830986;2;100;2230;9010301179
63855711089302;835065;2;100;4030;9010301179
63855711090702;836572;2;100;1480;9010301179
63855711092802;838625;2;100;2030;9010301179
63855711095219;840994;2;100;2340;9010301179
63855711097719;843574;2;100;2550;9010301179
63855711099752;845581;2;100;1980;9010301179
63855711101285;847044;2;100;1450;9010301179
63855711103219;849024;-2;100;1950;9010301179
63855711104220;850090;-2;100;1060;9010301179
63855711105135;850917;-2;100;810;9010301179
63855711107502;853300;-2;100;2360;9010301179
63855711109085;854896;-2;100;1570;9010301179
63855711109918;855700;-2;100;800;9010301179
63855711110535;856343;3;100;630;9010301179
63855711111418;857219;3;100;870;9010301179
63855711111935;857696;3;100;470;9010301179
63855711116018;861866;3;100;4120;9010301179
63855711119752;865605;3;100;3690;9010301179
63855711121185;866969;3;100;1350;9010301179
63855711121684;867465;3;100;490;9010301179
63855711122418;868208;3;100;730;9010301179
63855711123052;868868;3;100;650;9010301179
63855711124218;870028;3;100;1150;9010301179
63855711126252;872055;3;100;2000;9010301179
63855711127085;872901;3;100;840;9010301179
63855711129718;875561;3;100;2630;9010301179
63855711130118;875954;3;100;380;9010301179
63855711131451;877314;3;100;1350;9010301179
63855711131852;877707;3;100;390;9010301179
63855711133252;879107;3;100;1380;9010301179
63855711134918;880677;3;100;1550;9010301179
63855711135418;881274;3;100;590;9010301179
63855711135918;881700;3;100;420;9010301179
63855711137151;882927;3;100;1210;9010301179
63855711138285;884047;3;100;1110;9010301179
63855711138984;884833;3;100;770;9010301179
63855711140385;886180;3;100;1330;9010301179
63855711141118;886896;3;100;710;9010301179
63855711142518;888343;3;100;1430;9010301179
63855711144668;890496;3;100;2130;9010301179
63855711146985;892789;3;100;2260;9010301179
63855711148551;894342;3;100;1540;9010301179
63855711148717;894552;3;100;200;9010301179
63855711149952;895759;3;100;1190;9010301179
63855711150451;896326;3;100;560;9010301179
63855711151784;897645;3;100;1310;9010301179
63855711153554;899335;3;100;1670;9010301179
63855711154734;900552;3;100;1200;9010301179
63855711155421;901232;3;100;670;9010301179
63855711158451;904301;3;100;3030;9010301179
63855711159784;905542;3;100;1230;9010301179
63855711160601;906355;3;100;800;9010301179
63855711161184;906994;3;100;630;9010301179
63855711162700;908518;3;100;1510;9010301179
63855711164017;909808;3;100;1270;9010301179
63855711166384;912131;-3;100;2300;9010301179
63855711167684;913470;-3;100;1320;9010301179
63855711169001;914830;-3;100;1340;9010301179
63855711170717;916510;-3;100;1660;9010301179
63855711173667;919503;-3;100;2960;9010301179
63855711174083;919937;-3;100;430;9010301179
63855711175484;921280;-3;100;1320;9010301179
63855711176517;922326;-3;100;1040;9010301179
63855711177134;922976;4;100;640;9010301179
63855711178250;924046;4;100;1060;9010301179
63855711179150;924976;4;100;910;9010301179
63855711180584;926349;4;100;1360;9010301179
63855711181084;926926;4;100;570;9010301179
63855711184433;930245;4;100;3290;9010301179
63855711186350;932202;4;100;1930;9010301179
63855711186934;932815;4;100;610;9010301179
63855711187750;933619;4;100;790;9010301179
