Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63855710880656;626524;0;100;1,7374;9010301179
63855710881090;626924;0;100;1,7173;9010301179
63855710881322;627191;0;100;1,6975;9010301179
63855710881756;627591;0;100;1,6778;9010301179
63855710882056;627924;0;100;1,6584;9010301179
63855710882353;628191;0;100;1,6392;9010301179
63855710882673;628524;0;100;1,6203;9010301179
63855710883086;628924;0;100;1,6015;9010301179
63855710883380;629191;0;100;1,583;9010301179
63855710883756;629591;0;100;1,5647;9010301179
63855710884120;629924;0;100;1,5466;9010301179
63855710884422;630257;0;100;1,5287;9010301179
63855710884689;630524;0;100;1,511;9010301179
63855710884990;630857;0;100;1,4935;9010301179
63855710885421;631257;0;100;1,4763;9010301179
63855710885707;631524;0;100;1,4592;9010301179
63855710886050;631857;0;100;1,4423;9010301179
63855710886422;632257;0;100;1,4256;9010301179
63855710886722;632591;0;100;1,4091;9010301179
63855710887046;632857;0;100;1,3928;9010301179
63855710887340;633191;0;100;1,3767;9010301179
63855710887752;633590;0;100;1,3608;9010301179
63855710888043;633924;0;100;1,345;9010301179
63855710888355;634190;0;100;1,3295;9010301179
63855710888690;634524;0;100;1,3141;9010301179
63855710889088;634924;0;100;1,2989;9010301179
63855710889388;635190;0;100;1,2839;9010301179
63855710889674;635524;0;100;1,269;9010301179
63855710889985;635857;0;100;1,2543;9010301179
63855710890389;636257;0;100;1,2398;9010301179
63855710890723;636523;0;100;1,2255;9010301179
63855710891023;636857;0;100;1,2113;9010301179
63855710891423;637257;0;100;1,1973;9010301179
63855710891689;637523;0;100;1,1835;9010301179
63855710892022;637857;0;100;1,1698;9010301179
63855710892413;638257;0;100;1,1562;9010301179
63855710892723;638523;0;100;1,1429;9010301179
63855710893056;638857;0;100;1,1296;9010301179
63855710893424;639257;0;100;1,1166;9010301179
63855710893756;639590;0;100;1,1037;9010301179
63855710894048;639856;0;100;1,0909;9010301179
63855710894355;640190;0;100;1,0783;9010301179
63855710894750;640590;0;100;1,0658;9010301179
63855710895055;640856;0;100;1,0535;9010301179
63855710895355;641190;0;100;1,0413;9010301179
63855710895655;641523;0;100;1,0292;9010301179
63855710896056;641923;0;100;1,0173;9010301179
63855710896387;642190;0;100;1,0056;9010301179
63855710896722;642590;0;100;0,9939;9010301179
63855710897023;642856;0;100;0,9824;9010301179
63855710897320;643190;0;100;0,9711;9010301179
63855710897752;643589;0;100;0,9598;9010301179
63855710898048;643856;0;100;0,9487;9010301179
63855710898355;644189;0;100;0,9378;9010301179
63855710898751;644589;0;100;0,9269;9010301179
63855710899056;644923;0;100;0,9162;9010301179
63855710899356;645189;0;100;0,9056;9010301179
63855710899677;645523;0;100;0,8951;9010301179
63855710900080;645923;0;100;0,8848;9010301179
63855710900380;646189;0;100;0,8745;9010301179
63855710900689;646523;0;100;0,8644;9010301179
63855710901085;646922;0;100;0,8544;9010301179
63855710901389;647256;0;100;0,8445;9010301179
63855710901719;647523;0;100;0,8347;9010301179
63855710902045;647922;0;100;0,8251;9010301179
63855710902356;648189;0;100;0,8155;9010301179
63855710902656;648523;0;100;0,8061;9010301179
63855710903056;648922;0;100;0,7968;9010301179
63855710903385;649189;0;100;0,7876;9010301179
63855710903691;649522;0;100;0,7785;9010301179
63855710903987;649855;0;100;0,7695;9010301179
63855710904389;650255;0;100;0,7606;9010301179
63855710904690;650522;0;100;0,7518;9010301179
63855710905024;650855;0;100;0,7431;9010301179
63855710905423;651255;0;100;0,7345;9010301179
63855710905717;651522;0;100;0,726;9010301179
63855710906055;651855;0;100;0,7176;9010301179
63855710906320;652189;0;100;0,7093;9010301179
63855710906724;652589;0;100;0,7011;9010301179
63855710907089;652922;0;100;0,693;9010301179
63855710907380;653255;0;100;0,6849;9010301179
63855710907689;653522;0;100;0,677;9010301179
63855710907989;653855;0;100;0,6692;9010301179
63855710908389;654255;0;100;0,6614;9010301179
63855710908722;654522;0;100;0,6538;9010301179
63855710909019;654855;0;100;0,6462;9010301179
63855710909422;655255;0;100;0,6387;9010301179
63855710909740;655588;0;100;0,6314;9010301179
63855710910023;655855;0;100;0,6241;9010301179
63855710910322;656188;0;100;0,6168;9010301179
63855710910756;656588;0;100;0,6097;9010301179
63855710911056;656855;0;100;0,6026;9010301179
63855710911351;657188;0;100;0,5957;9010301179
63855710911655;657521;0;100;0,5888;9010301179
63855710912073;657921;0;100;0,582;9010301179
63855710912421;658255;0;100;0,5752;9010301179
63855710912722;658588;0;100;0,5686;9010301179
63855710913055;658855;0;100;0,562;9010301179
63855710913355;659188;0;100;0,5555;9010301179
63855710913755;659588;0;100;0,5491;9010301179
63855710914052;659854;0;100;0,5427;9010301179
63855710914344;660188;0;100;0,5365;9010301179
63855710914689;660521;0;100;0,5302;9010301179
63855710915045;660921;0;100;0,5241;9010301179
63855710915389;661188;0;100;0,5181;9010301179
63855710915656;661521;0;100;0,5121;9010301179
63855710916088;661921;0;100;0,5061;9010301179
63855710916389;662188;0;100;0,5003;9010301179
63855710916689;662521;0;100;0,4945;9010301179
63855710916975;662854;0;100;0,4888;9010301179
63855710917354;663187;0;100;0,4831;9010301179
63855710917655;663521;0;100;0,4775;9010301179
63855710918055;663921;0;100;0,472;9010301179
63855710918385;664187;0;100;0,4665;9010301179
63855710918688;664521;0;100;0,4611;9010301179
63855710919077;664921;0;100;0,4558;9010301179
63855710919389;665254;0;100;0,4505;9010301179
63855710919687;665521;0;100;0,4453;9010301179
