Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856568115928;3195291;0;100;-19255,8;998f101ac0
63856568115928;3195291;0;100;-19255,2;998f101ac0
63856568116009;3195358;0;100;-19255;998f101ac0
63856568116125;3195491;0;100;-19255,6;998f101ac0
63856568116125;3195491;0;100;-19256;998f101ac0
63856568116242;3195558;0;100;-19256,4;998f101ac0
63856568116326;3195691;0;100;-19255,2;998f101ac0
63856568116326;3195691;0;100;-19255;998f101ac0
63856568116425;3195758;0;100;-19254,4;998f101ac0
63856568116542;3195891;0;100;-19254,2;998f101ac0
63856568116542;3195891;0;100;-19253,8;998f101ac0
63856568116625;3195958;0;100;-19254;998f101ac0
63856568116742;3196091;0;100;-19254,2;998f101ac0
63856568116742;3196091;0;100;-19254,2;998f101ac0
63856568116825;3196158;0;100;-19253,4;998f101ac0
63856568116942;3196291;0;100;-19253,8;998f101ac0
63856568116942;3196291;0;100;-19254;998f101ac0
63856568117025;3196358;0;100;-19254,8;998f101ac0
63856568117175;3196491;0;100;-19255,6;998f101ac0
63856568117175;3196491;0;100;-19254,8;998f101ac0
63856568117242;3196558;0;100;-19255,4;998f101ac0
63856568117325;3196691;0;100;-19256;998f101ac0
63856568117325;3196691;0;100;-19255,4;998f101ac0
63856568117442;3196758;0;100;-19254;998f101ac0
63856568117526;3196891;0;100;-19253,2;998f101ac0
63856568117526;3196891;0;100;-19252,8;998f101ac0
63856568117632;3196958;0;100;-19252,8;998f101ac0
63856568117725;3197091;0;100;-19252,4;998f101ac0
63856568117725;3197091;0;100;-19252,6;998f101ac0
63856568117875;3197158;0;100;-19252,8;998f101ac0
63856568117942;3197291;0;100;-19252,6;998f101ac0
63856568117942;3197291;0;100;-19254,6;998f101ac0
63856568118059;3197424;0;100;-19255,6;998f101ac0
63856568118059;3197424;0;100;-19256,6;998f101ac0
63856568118142;3197491;0;100;-19257,8;998f101ac0
63856568118259;3197624;0;100;-19257,2;998f101ac0
63856568118259;3197624;0;100;-19258;998f101ac0
63856568118342;3197691;0;100;-19259,4;998f101ac0
63856568118459;3197824;0;100;-19259,4;998f101ac0
63856568118459;3197824;0;100;-19260,6;998f101ac0
63856568118565;3197891;0;100;-19261;998f101ac0
63856568118658;3198024;0;100;-19262,2;998f101ac0
63856568118658;3198024;0;100;-19263;998f101ac0
63856568118758;3198091;0;100;-19264,8;998f101ac0
63856568118875;3198224;0;100;-19265,8;998f101ac0
63856568118875;3198224;0;100;-19266,8;998f101ac0
63856568118959;3198291;0;100;-19267,2;998f101ac0
63856568119076;3198424;0;100;-19266,6;998f101ac0
63856568119076;3198424;0;100;-19266;998f101ac0
63856568119159;3198491;0;100;-19267,8;998f101ac0
63856568119275;3198624;0;100;-19269,4;998f101ac0
63856568119275;3198624;0;100;-19269,6;998f101ac0
63856568119392;3198691;0;100;-19267,2;998f101ac0
63856568119458;3198824;0;100;-19267,2;998f101ac0
63856568119458;3198824;0;100;-19268;998f101ac0
63856568119576;3198891;0;100;-19268,4;998f101ac0
63856568119692;3199024;0;100;-19268,6;998f101ac0
63856568119692;3199024;0;100;-19269,2;998f101ac0
63856568119808;3199157;0;100;-19269;998f101ac0
63856568119808;3199157;0;100;-19268,6;998f101ac0
63856568119892;3199224;0;100;-19268;998f101ac0
63856568119976;3199357;0;100;-19268,8;998f101ac0
63856568119976;3199357;0;100;-19270,8;998f101ac0
63856568120092;3199424;0;100;-19272;998f101ac0
63856568120208;3199557;0;100;-19272,2;998f101ac0
63856568120208;3199557;0;100;-19272,2;998f101ac0
63856568120292;3199624;0;100;-19272,4;998f101ac0
63856568120392;3199757;0;100;-19273;998f101ac0
63856568120392;3199757;0;100;-19273,4;998f101ac0
63856568120508;3199824;0;100;-19273,8;998f101ac0
63856568120592;3199957;0;100;-19273,8;998f101ac0
63856568120592;3199957;0;100;-19274;998f101ac0
63856568120709;3200024;0;100;-19273,6;998f101ac0
63856568120792;3200157;0;100;-19274,4;998f101ac0
63856568120792;3200157;0;100;-19274,6;998f101ac0
63856568120909;3200224;0;100;-19274;998f101ac0
63856568121025;3200357;0;100;-19274;998f101ac0
63856568121025;3200357;0;100;-19274,4;998f101ac0
63856568121142;3200424;0;100;-19275,4;998f101ac0
63856568121209;3200557;0;100;-19274,6;998f101ac0
63856568121209;3200557;0;100;-19274;998f101ac0
63856568121325;3200624;0;100;-19273,6;998f101ac0
63856568121408;3200757;0;100;-19272,8;998f101ac0
63856568121408;3200757;0;100;-19273;998f101ac0
63856568121525;3200891;0;100;-19273,6;998f101ac0
