Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63856568135408;3214423;0;100;0,033984;998f101ac0
63856568145141;3223089;0;100;0,977955;998f101ac0
63856568162874;3241087;0;100;0,945906;998f101ac0
63856568206897;3286083;1;100;0,020279;998f101ac0
63856568207938;3287016;1;100;0,015237;998f101ac0
63856568225219;3303414;1;100;0,486266;998f101ac0
63856568255254;3334144;1;100;0,111163;998f101ac0
63856568255716;3334744;1;100;0,064933;998f101ac0
63856568257039;3335277;1;100;1,043304;998f101ac0
63856568286452;3364541;2;100;1,154871;998f101ac0
63856568301712;3380673;2;100;0,06601;998f101ac0
63856568400179;3478464;3;100;0,374095;998f101ac0
63856568438118;3516259;3;100;0,649038;998f101ac0
63856568451413;3530124;3;100;0,114374;998f101ac0
63856568489983;3568854;3;100;0,091438;998f101ac0
63856568490220;3569388;3;100;0,014698;998f101ac0
63856568490716;3569588;3;100;0,077038;998f101ac0
63856568496283;3574587;3;100;1,330775;998f101ac0
63856568509352;3587786;-3;100;0,569509;998f101ac0
63856568540284;3618582;4;100;1,239693;998f101ac0
63856568565516;3643713;4;100;1,08081;998f101ac0
63856568577616;3656112;4;100;0,950968;998f101ac0
63856568597485;3675977;4;100;0,325436;998f101ac0
63856568605866;3684442;4;100;0,299157;998f101ac0
63856568619485;3698641;5;100;9974,011;998f101ac0
63856568631982;3710440;5;100;2,096154;998f101ac0
63856568641749;3720372;5;100;0,489416;998f101ac0
63856568651615;3730171;5;100;0,622894;998f101ac0
63856568651749;3730971;5;100;0,062443;998f101ac0
63856568651932;3731171;5;100;0,050146;998f101ac0
63856568652549;3731771;5;100;0,03898;998f101ac0
63856568653215;3731971;5;100;0,511106;998f101ac0
63856568689048;3767967;-5;100;0,200838;998f101ac0
63856568689748;3768567;-5;100;0,397062;998f101ac0
63856568689948;3769100;-5;100;0,058108;998f101ac0
63856568693631;3772234;-5;100;0,706812;998f101ac0
63856568698232;3776566;6;100;1,832529;998f101ac0
63856568716148;3794765;6;100;0,625045;998f101ac0
63856568729214;3807763;-6;100;2,060616;998f101ac0
63856568788196;3866824;8;100;1,624691;998f101ac0
63856568814145;3893088;8;100;0,395604;998f101ac0
63856568816079;3895021;8;100;0,701334;998f101ac0
