Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63856568135408;3214423;0;100;0,2;998f101ac0
63856568145141;3223089;0;100;1,266667;998f101ac0
63856568162874;3241087;0;100;1,066667;998f101ac0
63856568206897;3286083;1;100;0,133333;998f101ac0
63856568207938;3287016;1;100;0,133333;998f101ac0
63856568225219;3303414;1;100;1;998f101ac0
63856568255254;3334144;1;100;0,333333;998f101ac0
63856568255716;3334744;1;100;0,266667;998f101ac0
63856568257039;3335277;1;100;1,066667;998f101ac0
63856568286452;3364541;2;100;1,133333;998f101ac0
63856568301712;3380673;2;100;0,333333;998f101ac0
63856568400179;3478464;3;100;0,933333;998f101ac0
63856568438118;3516259;3;100;1,066667;998f101ac0
63856568451413;3530124;3;100;0,533333;998f101ac0
63856568489983;3568854;3;100;0,4;998f101ac0
63856568490220;3569388;3;100;0,066667;998f101ac0
63856568490716;3569588;3;100;0,4;998f101ac0
63856568496283;3574587;3;100;0,933333;998f101ac0
63856568509352;3587786;-3;100;0,866667;998f101ac0
63856568540284;3618582;4;100;0,8;998f101ac0
63856568565516;3643713;4;100;1,066667;998f101ac0
63856568577616;3656112;4;100;0,8;998f101ac0
63856568597485;3675977;4;100;0,8;998f101ac0
63856568605866;3684442;4;100;0,666667;998f101ac0
63856568619485;3698641;5;100;0,066667;998f101ac0
63856568631982;3710440;5;100;0,8;998f101ac0
63856568641749;3720372;5;100;0,666667;998f101ac0
63856568651615;3730171;5;100;0,666667;998f101ac0
63856568651749;3730971;5;100;0,066667;998f101ac0
63856568651932;3731171;5;100;0,066667;998f101ac0
63856568652549;3731771;5;100;0,066667;998f101ac0
63856568653215;3731971;5;100;0,466667;998f101ac0
63856568689048;3767967;-5;100;0,333333;998f101ac0
63856568689748;3768567;-5;100;0,4;998f101ac0
63856568689948;3769100;-5;100;0,066667;998f101ac0
63856568693631;3772234;-5;100;0,6;998f101ac0
63856568698232;3776566;6;100;0,866667;998f101ac0
63856568716148;3794765;6;100;0,6;998f101ac0
63856568729214;3807763;-6;100;0,666667;998f101ac0
63856568788196;3866824;8;100;0,666667;998f101ac0
63856568814145;3893088;8;100;0,333333;998f101ac0
63856568816079;3895021;8;100;0,333333;998f101ac0
