Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856213295753;533789;0;100;118;9bb91adf73
63856213297686;535712;0;100;99;9bb91adf73
63856213301353;539368;0;100;81;9bb91adf73
63856213309753;547781;0;100;64;9bb91adf73
63856213310985;549047;0;100;61;9bb91adf73
63856213312119;550167;0;100;59;9bb91adf73
63856213314019;552037;0;100;53;9bb91adf73
63856213315352;553377;0;100;51;9bb91adf73
63856213315753;553751;0;100;76;9bb91adf73
63856213316185;554200;0;100;89;9bb91adf73
63856213317319;555357;0;100;81;9bb91adf73
63856213319019;557087;0;100;71;9bb91adf73
63856213319519;557593;0;100;82;9bb91adf73
63856213320752;558830;0;100;75;9bb91adf73
63856213321453;559546;0;100;77;9bb91adf73
63856213321969;560063;0;100;86;9bb91adf73
63856213322485;560490;0;100;99;9bb91adf73
63856213322985;561046;0;100;101;9bb91adf73
63856213323586;561630;0;100;101;9bb91adf73
63856213324019;562023;0;100;113;9bb91adf73
63856213325319;563393;0;100;98;9bb91adf73
63856213326752;564799;0;100;86;9bb91adf73
63856213327452;565526;0;100;85;9bb91adf73
63856213327952;566023;0;100;93;9bb91adf73
63856213330219;568272;0;100;79;9bb91adf73
63856213330419;568472;0;100;131;9bb91adf73
63856213331018;569085;0;100;124;9bb91adf73
63856213331418;569439;0;100;135;9bb91adf73
63856213333152;571169;0;100;112;9bb91adf73
63856213334686;572749;0;100;96;9bb91adf73
63856213337319;575382;0;100;80;9bb91adf73
63856213338052;576135;0;100;80;9bb91adf73
63856213338552;576622;0;100;90;9bb91adf73
63856213339652;577678;0;100;83;9bb91adf73
63856213340835;578941;0;100;75;9bb91adf73
63856213341152;579185;0;100;114;9bb91adf73
63856213342519;580585;0;100;98;9bb91adf73
63856213343018;581024;0;100;107;9bb91adf73
63856213344885;582937;0;100;91;9bb91adf73
63856213345385;583454;0;100;97;9bb91adf73
63856213346935;585027;0;100;84;9bb91adf73
63856213347585;585594;0;100;89;9bb91adf73
63856213347951;586041;0;100;99;9bb91adf73
63856213355685;593796;0;100;79;9bb91adf73
63856213363585;601596;0;100;63;9bb91adf73
63856213367451;605439;0;100;53;9bb91adf73
63856213368451;606522;0;100;53;9bb91adf73
63856213369785;607842;0;100;52;9bb91adf73
63856213374718;612808;0;100;43;9bb91adf73
63856213376151;614214;0;100;43;9bb91adf73
63856213377551;615661;0;100;43;9bb91adf73
63856213378484;616488;0;100;50;9bb91adf73
63856213383251;621330;0;100;41;9bb91adf73
63856213387851;625916;0;100;35;9bb91adf73
63856213390317;628356;0;100;33;9bb91adf73
63856213391751;629793;0;100;35;9bb91adf73
63856213393184;631246;0;100;36;9bb91adf73
63856213394350;632413;0;100;40;9bb91adf73
63856213395451;633489;0;100;44;9bb91adf73
63856213398117;636122;0;100;39;9bb91adf73
63856213398717;636805;0;100;50;9bb91adf73
63856213399451;637535;0;100;58;9bb91adf73
63856213400484;638589;0;100;58;9bb91adf73
63856213404617;642615;0;100;48;9bb91adf73
63856213405117;643181;0;100;61;9bb91adf73
63856213405717;643805;0;100;70;9bb91adf73
63856213406317;644408;0;100;76;9bb91adf73
63856213407051;645095;0;100;79;9bb91adf73
63856213407634;645698;0;100;84;9bb91adf73
63856213408384;646374;0;100;85;9bb91adf73
63856213408884;646954;0;100;90;9bb91adf73
63856213409484;647578;0;100;91;9bb91adf73
63856213410184;648284;0;100;90;9bb91adf73
63856213410317;648331;0;100;403;9bb91adf73
63856213410917;648964;0;100;335;9bb91adf73
63856213411317;649344;0;100;297;9bb91adf73
63856213411917;649937;0;100;253;9bb91adf73
63856213412651;650644;0;100;216;9bb91adf73
63856213413051;651087;0;100;199;9bb91adf73
63856213414050;652161;0;100;167;9bb91adf73
63856213414517;652627;0;100;159;9bb91adf73
63856213415550;653620;0;100;137;9bb91adf73
63856213416050;654067;0;100;136;9bb91adf73
63856213416350;654404;0;100;147;9bb91adf73
63856213417484;655483;0;100;127;9bb91adf73
63856213417784;655880;0;100;132;9bb91adf73
63856213418684;656767;0;100;118;9bb91adf73
63856213420667;658753;0;100;98;9bb91adf73
63856213421484;659547;0;100;93;9bb91adf73
63856213422483;660550;0;100;86;9bb91adf73
63856213423117;661153;0;100;90;9bb91adf73
63856213424684;662666;0;100;79;9bb91adf73
63856213425117;663139;0;100;90;9bb91adf73
63856213426917;664926;0;100;78;9bb91adf73
63856213427850;665852;0;100;75;9bb91adf73
63856213428250;666346;1;100;86;9bb91adf73
63856213435417;673508;1;100;68;9bb91adf73
63856213436750;674778;1;100;64;9bb91adf73
63856213438450;676551;1;100;57;9bb91adf73
63856213439484;677525;1;100;58;9bb91adf73
63856213442384;680404;1;100;50;9bb91adf73
63856213443083;681184;1;100;56;9bb91adf73
63856213443783;681831;1;100;65;9bb91adf73
63856213444417;682405;1;100;74;9bb91adf73
63856213444616;682704;1;100;102;9bb91adf73
63856213445016;683067;1;100;117;9bb91adf73
63856213445383;683374;1;100;134;9bb91adf73
63856213445783;683867;1;100;132;9bb91adf73
63856213446183;684207;1;100;142;9bb91adf73
63856213446883;684944;1;100;129;9bb91adf73
63856213447116;685147;1;100;167;9bb91adf73
63856213448617;686657;1;100;139;9bb91adf73
63856213449350;687407;1;100;126;9bb91adf73
63856213450616;688687;1;100;108;9bb91adf73
63856213451949;690027;1;100;94;9bb91adf73
63856213452550;690600;1;100;97;9bb91adf73
63856213453149;691180;1;100;99;9bb91adf73
63856213453983;692003;1;100;93;9bb91adf73
63856213459383;697503;1;100;75;9bb91adf73
63856213460117;698109;1;100;81;9bb91adf73
63856213460583;698652;1;100;88;9bb91adf73
63856213461583;699619;1;100;82;9bb91adf73
63856213464783;702849;1;100;68;9bb91adf73
63856213466583;704609;1;100;61;9bb91adf73
63856213466883;704965;1;100;85;9bb91adf73
63856213467183;705292;1;100;108;9bb91adf73
63856213467616;705672;1;100;119;9bb91adf73
63856213469649;707642;1;100;99;9bb91adf73
63856213471549;709595;1;100;84;9bb91adf73
63856213472449;710542;1;100;80;9bb91adf73
63856213473450;711568;1;100;75;9bb91adf73
63856213473983;712025;1;100;88;9bb91adf73
63856213479916;717961;1;100;71;9bb91adf73
63856213481183;719210;1;100;66;9bb91adf73
63856213481816;719864;1;100;72;9bb91adf73
63856213484582;722640;1;100;61;9bb91adf73
63856213486349;724447;1;100;55;9bb91adf73
63856213487383;725380;1;100;57;9bb91adf73
63856213487983;726003;1;100;66;9bb91adf73
63856213489815;727850;-1;100;59;9bb91adf73
63856213494849;732909;-1;100;48;9bb91adf73
63856213495948;734072;-1;100;49;9bb91adf73
63856213496649;734686;-1;100;60;9bb91adf73
63856213498082;736109;-1;100;56;9bb91adf73
63856213500448;738512;-1;100;49;9bb91adf73
63856213501649;739608;-1;100;51;9bb91adf73
