Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856213295554;533611;0;100;-19362,4;9bb91adf73
63856213295554;533611;0;100;-19357,6;9bb91adf73
63856213295652;533744;0;100;-19354,4;9bb91adf73
63856213295652;533744;0;100;-19350;9bb91adf73
63856213295753;533811;0;100;-19348;9bb91adf73
63856213295836;533944;0;100;-19349,2;9bb91adf73
63856213295836;533944;0;100;-19348,4;9bb91adf73
63856213295953;534011;0;100;-19350,2;9bb91adf73
63856213296053;534144;0;100;-19352,6;9bb91adf73
63856213296053;534144;0;100;-19355,4;9bb91adf73
63856213296153;534211;0;100;-19358,6;9bb91adf73
63856213296252;534344;0;100;-19364,6;9bb91adf73
63856213296252;534344;0;100;-19368;9bb91adf73
63856213296353;534411;0;100;-19373;9bb91adf73
63856213296453;534544;0;100;-19376;9bb91adf73
63856213296453;534544;0;100;-19379,2;9bb91adf73
63856213296586;534611;0;100;-19380,6;9bb91adf73
63856213296652;534744;0;100;-19382,4;9bb91adf73
63856213296652;534744;0;100;-19383;9bb91adf73
63856213296753;534811;0;100;-19385;9bb91adf73
63856213296853;534944;0;100;-19386;9bb91adf73
63856213296853;534944;0;100;-19387,8;9bb91adf73
63856213296953;535011;0;100;-19390,8;9bb91adf73
63856213297054;535144;0;100;-19393,4;9bb91adf73
63856213297054;535144;0;100;-19394,4;9bb91adf73
63856213297153;535211;0;100;-19396;9bb91adf73
63856213297286;535344;0;100;-19398;9bb91adf73
63856213297286;535344;0;100;-19399,2;9bb91adf73
63856213297386;535411;0;100;-19399,2;9bb91adf73
63856213297469;535544;0;100;-19401,6;9bb91adf73
63856213297469;535544;0;100;-19401,6;9bb91adf73
63856213297586;535611;0;100;-19401,6;9bb91adf73
63856213297686;535744;0;100;-19402,4;9bb91adf73
63856213297686;535744;0;100;-19402;9bb91adf73
63856213297786;535877;0;100;-19403;9bb91adf73
63856213297786;535877;0;100;-19403,4;9bb91adf73
63856213297886;535944;0;100;-19404,2;9bb91adf73
63856213297986;536077;0;100;-19405,8;9bb91adf73
63856213297986;536077;0;100;-19406,8;9bb91adf73
63856213298086;536144;0;100;-19409,4;9bb91adf73
63856213298169;536277;0;100;-19411;9bb91adf73
63856213298169;536277;0;100;-19411,4;9bb91adf73
63856213298287;536344;0;100;-19412,2;9bb91adf73
63856213298387;536477;0;100;-19414;9bb91adf73
63856213298387;536477;0;100;-19414,2;9bb91adf73
63856213298486;536544;0;100;-19414,8;9bb91adf73
63856213298619;536677;0;100;-19416;9bb91adf73
