Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856561611151;441948;0;100;4,6394;9bc69d3da4
63856561611440;442215;0;100;4,5858;9bc69d3da4
63856561611755;442548;0;100;4,5327;9bc69d3da4
63856561612140;442948;0;100;4,4803;9bc69d3da4
63856561612449;443281;0;100;4,4284;9bc69d3da4
63856561612749;443548;0;100;4,3772;9bc69d3da4
63856561613044;443881;0;100;4,3266;9bc69d3da4
63856561613448;444281;0;100;4,2765;9bc69d3da4
63856561613751;444548;0;100;4,2271;9bc69d3da4
63856561614083;444881;0;100;4,1782;9bc69d3da4
63856561614379;445214;0;100;4,1298;9bc69d3da4
63856561614783;445614;0;100;4,0821;9bc69d3da4
63856561615085;445881;0;100;4,0348;9bc69d3da4
63856561615385;446214;0;100;3,9882;9bc69d3da4
63856561615791;446614;0;100;3,942;9bc69d3da4
63856561616107;446947;0;100;3,8964;9bc69d3da4
63856561616421;447214;0;100;3,8513;9bc69d3da4
63856561616750;447547;0;100;3,8068;9bc69d3da4
63856561617156;447947;0;100;3,7628;9bc69d3da4
63856561617449;448281;0;100;3,7192;9bc69d3da4
63856561617741;448547;0;100;3,6762;9bc69d3da4
63856561618051;448881;0;100;3,6337;9bc69d3da4
63856561618445;449281;0;100;3,5916;9bc69d3da4
63856561618784;449547;0;100;3,5501;9bc69d3da4
63856561619082;449880;0;100;3,509;9bc69d3da4
63856561619490;450280;0;100;3,4684;9bc69d3da4
63856561619778;450614;0;100;3,4283;9bc69d3da4
63856561620082;450880;0;100;3,3887;9bc69d3da4
63856561620389;451214;0;100;3,3495;9bc69d3da4
63856561620784;451614;0;100;3,3107;9bc69d3da4
63856561621118;451880;0;100;3,2724;9bc69d3da4
63856561621411;452214;0;100;3,2346;9bc69d3da4
63856561621738;452547;0;100;3,1971;9bc69d3da4
63856561622155;452947;0;100;3,1602;9bc69d3da4
63856561622440;453280;0;100;3,1236;9bc69d3da4
63856561622752;453547;0;100;3,0875;9bc69d3da4
63856561623045;453880;0;100;3,0517;9bc69d3da4
63856561623450;454280;0;100;3,0164;9bc69d3da4
63856561623755;454547;0;100;2,9815;9bc69d3da4
63856561624073;454880;0;100;2,9471;9bc69d3da4
63856561624387;455213;0;100;2,913;9bc69d3da4
63856561624773;455613;0;100;2,8793;9bc69d3da4
63856561625088;455880;0;100;4,9282;9bc69d3da4
63856561625382;456213;0;100;4,8712;9bc69d3da4
63856561625790;456613;0;100;4,8149;9bc69d3da4
63856561626120;456880;0;100;4,7592;9bc69d3da4
63856561626386;457213;0;100;4,7041;9bc69d3da4
63856561626790;457613;0;100;4,6497;9bc69d3da4
63856561627152;457946;0;100;4,5959;9bc69d3da4
63856561627415;458213;0;100;4,5427;9bc69d3da4
63856561627711;458546;0;100;4,4902;9bc69d3da4
63856561628157;458946;0;100;4,4382;9bc69d3da4
63856561628451;459213;0;100;4,3869;9bc69d3da4
63856561628740;459546;0;100;4,3361;9bc69d3da4
63856561629050;459879;0;100;4,286;9bc69d3da4
63856561629440;460279;0;100;4,2364;9bc69d3da4
63856561629753;460546;0;100;4,1874;9bc69d3da4
63856561630076;460879;0;100;4,139;9bc69d3da4
63856561630373;461213;0;100;4,0911;9bc69d3da4
63856561630785;461613;0;100;4,0438;9bc69d3da4
63856561631123;461879;0;100;3,997;9bc69d3da4
63856561631386;462213;0;100;3,9507;9bc69d3da4
63856561631823;462613;0;100;3,905;9bc69d3da4
63856561632147;462946;0;100;3,8599;9bc69d3da4
63856561632419;463212;0;100;3,8152;9bc69d3da4
63856561632707;463546;0;100;3,7711;9bc69d3da4
63856561633140;463946;0;100;3,7274;9bc69d3da4
63856561633456;464213;0;100;3,6843;9bc69d3da4
63856561633724;464546;0;100;3,6417;9bc69d3da4
63856561634050;464879;0;100;3,5996;9bc69d3da4
63856561634450;465279;0;100;3,5579;9bc69d3da4
63856561634743;465546;0;100;3,5168;9bc69d3da4
63856561635073;465879;0;100;3,4761;9bc69d3da4
63856561635475;466279;0;100;3,4359;9bc69d3da4
63856561635739;466545;0;100;3,3961;9bc69d3da4
63856561636148;466945;0;100;3,3569;9bc69d3da4
63856561636440;467279;0;100;3,318;9bc69d3da4
63856561636757;467545;0;100;3,2796;9bc69d3da4
63856561637045;467879;0;100;3,2417;9bc69d3da4
63856561637450;468279;0;100;3,2042;9bc69d3da4
63856561637783;468545;0;100;3,1671;9bc69d3da4
63856561638074;468879;0;100;3,1305;9bc69d3da4
63856561638383;469212;0;100;3,0943;9bc69d3da4
63856561638773;469612;0;100;3,0585;9bc69d3da4
63856561639118;469879;0;100;3,0231;9bc69d3da4
63856561639385;470212;0;100;2,9881;9bc69d3da4
63856561639787;470612;0;100;2,9536;9bc69d3da4
63856561640109;470945;0;100;2,9194;9bc69d3da4
63856561640407;471212;0;100;2,8856;9bc69d3da4
63856561640724;471545;0;100;2,8522;9bc69d3da4
63856561641140;471945;0;100;2,8193;9bc69d3da4
63856561641416;472212;0;100;2,7866;9bc69d3da4
63856561641751;472545;0;100;2,7544;9bc69d3da4
63856561642041;472878;0;100;2,7225;9bc69d3da4
63856561642452;473278;0;100;2,691;9bc69d3da4
63856561642774;473545;0;100;2,6599;9bc69d3da4
63856561643058;473878;0;100;2,6291;9bc69d3da4
63856561643473;474278;0;100;2,5987;9bc69d3da4
63856561643787;474611;0;100;2,5687;9bc69d3da4
63856561644086;474878;0;100;2,539;9bc69d3da4
63856561644374;475211;0;100;2,5096;9bc69d3da4
63856561644785;475611;0;100;2,4806;9bc69d3da4
63856561645105;475878;0;100;2,4519;9bc69d3da4
63856561645423;476211;0;100;2,4235;9bc69d3da4
63856561645805;476611;0;100;2,3955;9bc69d3da4
63856561646114;476944;0;100;2,3677;9bc69d3da4
63856561646411;477211;0;100;2,3404;9bc69d3da4
63856561646707;477544;0;100;2,3133;9bc69d3da4
63856561647141;477944;0;100;2,2865;9bc69d3da4
63856561647440;478211;0;100;2,2601;9bc69d3da4
63856561647717;478544;0;100;2,2339;9bc69d3da4
63856561648044;478878;0;100;2,2081;9bc69d3da4
63856561648449;479278;0;100;2,1825;9bc69d3da4
63856561648743;479544;0;100;2,1573;9bc69d3da4
63856561649040;479877;0;100;2,1323;9bc69d3da4
63856561649475;480277;0;100;2,1077;9bc69d3da4
63856561649770;480544;0;100;2,0833;9bc69d3da4
63856561650090;480877;0;100;2,0592;9bc69d3da4
63856561650377;481211;0;100;2,0354;9bc69d3da4
63856561650786;481611;0;100;2,0118;9bc69d3da4
63856561651082;481877;0;100;1,9886;9bc69d3da4
63856561651407;482211;0;100;1,9655;9bc69d3da4
63856561651791;482611;0;100;1,9428;9bc69d3da4
63856561652157;482944;0;100;1,9203;9bc69d3da4
63856561652423;483211;0;100;1,8981;9bc69d3da4
63856561652722;483544;0;100;1,8762;9bc69d3da4
63856561653116;483944;0;100;1,8545;9bc69d3da4
63856561653419;484210;0;100;1,833;9bc69d3da4
63856561653740;484544;0;100;1,8118;9bc69d3da4
63856561654143;484944;0;100;1,7908;9bc69d3da4
63856561654441;485277;0;100;1,7701;9bc69d3da4
63856561654753;485544;0;100;1,7497;9bc69d3da4
63856561655045;485877;0;100;1,7294;9bc69d3da4
63856561655449;486277;0;100;1,7094;9bc69d3da4
63856561655754;486543;0;100;1,6896;9bc69d3da4
63856561656073;486877;0;100;1,6701;9bc69d3da4
63856561656384;487210;0;100;1,6508;9bc69d3da4
63856561656774;487610;0;100;1,6317;9bc69d3da4
63856561657090;487877;0;100;1,6128;9bc69d3da4
63856561657381;488210;0;100;3,6764;9bc69d3da4
63856561657791;488610;0;100;3,6339;9bc69d3da4
63856561658118;488877;0;100;3,5918;9bc69d3da4
63856561658407;489210;0;100;3,5503;9bc69d3da4
63856561658721;489543;0;100;3,5092;9bc69d3da4
