Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63856722094857;661821;0;100;42;a144f91c89
63856722096294;663247;0;100;42;a144f91c89
63856722096796;663757;0;100;59;a144f91c89
63856722097393;664380;0;100;67;a144f91c89
63856722100960;667960;0;100;56;a144f91c89
63856722106559;673409;0;100;46;a144f91c89
63856722108619;675536;0;100;42;a144f91c89
63856722109794;676719;0;100;44;a144f91c89
63856722110726;677709;0;100;48;a144f91c89
63856722112195;679149;0;100;47;a144f91c89
63856722116293;683202;0;100;40;a144f91c89
63856722116994;683949;0;100;49;a144f91c89
63856722118426;685385;0;100;47;a144f91c89
63856722119026;686018;0;100;58;a144f91c89
63856722122429;689361;0;100;49;a144f91c89
63856722124491;691411;0;100;45;a144f91c89
63856722142692;709669;0;100;36;a144f91c89
63856722143892;710916;0;100;39;a144f91c89
63856722144524;711486;0;100;54;a144f91c89
63856722146028;712979;0;100;51;a144f91c89
63856722146742;713706;0;100;58;a144f91c89
63856722147122;714105;0;100;79;a144f91c89
63856722149032;716022;0;100;69;a144f91c89
63856722150461;717408;0;100;63;a144f91c89
63856722154395;721315;0;100;53;a144f91c89
63856722155625;722591;0;100;52;a144f91c89
63856722156423;723405;0;100;57;a144f91c89
63856722157359;724301;0;100;59;a144f91c89
63856722160459;727441;0;100;50;a144f91c89
63856722161276;728184;0;100;57;a144f91c89
63856722165090;732034;0;100;48;a144f91c89
63856722166295;733210;0;100;49;a144f91c89
63856722169101;736050;0;100;43;a144f91c89
63856722171426;738383;0;100;39;a144f91c89
63856722173444;740339;0;100;37;a144f91c89
63856722174222;741183;0;100;45;a144f91c89
63856722175463;742356;0;100;47;a144f91c89
63856722176163;743153;0;100;53;a144f91c89
63856722177098;744073;0;100;56;a144f91c89
63856722178192;745102;0;100;57;a144f91c89
63856722178658;745652;0;100;68;a144f91c89
63856722179591;746569;0;100;68;a144f91c89
63856722182154;749085;0;100;58;a144f91c89
63856722183338;750339;0;100;56;a144f91c89
63856722188060;755051;0;100;46;a144f91c89
63856722188941;755838;0;100;53;a144f91c89
63856722190259;757258;0;100;51;a144f91c89
63856722191461;758381;0;100;52;a144f91c89
63856722192691;759678;0;100;51;a144f91c89
63856722193489;760461;0;100;57;a144f91c89
63856722194454;761431;0;100;58;a144f91c89
63856722195492;762477;0;100;58;a144f91c89
63856722196129;763087;0;100;67;a144f91c89
63856722197325;764254;0;100;64;a144f91c89
63856722199125;765960;0;100;57;a144f91c89
63856722201225;768183;0;100;51;a144f91c89
63856722202159;769150;0;100;54;a144f91c89
63856722203156;770103;0;100;56;a144f91c89
63856722205125;772080;0;100;50;a144f91c89
63856722205560;772530;0;100;69;a144f91c89
63856722206758;773756;0;100;65;a144f91c89
63856722207405;774339;0;100;73;a144f91c89
63856722208304;775286;0;100;71;a144f91c89
