Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856722094529;661506;0;100;-19532,2;a144f91c89
63856722094529;661506;0;100;-19531,2;a144f91c89
63856722094621;661573;0;100;-19535,4;a144f91c89
63856722094731;661706;0;100;-19539,2;a144f91c89
63856722094731;661706;0;100;-19541;a144f91c89
63856722094858;661839;0;100;-19541;a144f91c89
63856722094858;661839;0;100;-19541,4;a144f91c89
63856722094930;661906;0;100;-19541,8;a144f91c89
63856722095027;662039;0;100;-19542;a144f91c89
63856722095027;662039;0;100;-19542;a144f91c89
63856722095163;662106;0;100;-19542;a144f91c89
63856722095228;662239;0;100;-19542,4;a144f91c89
63856722095228;662239;0;100;-19543;a144f91c89
63856722095360;662306;0;100;-19543,4;a144f91c89
63856722095433;662439;0;100;-19544,4;a144f91c89
63856722095433;662439;0;100;-19544,2;a144f91c89
63856722095554;662506;0;100;-19545;a144f91c89
63856722095661;662639;0;100;-19545;a144f91c89
63856722095661;662639;0;100;-19545,8;a144f91c89
63856722095756;662706;0;100;-19546;a144f91c89
63856722095877;662839;0;100;-19546,8;a144f91c89
63856722095877;662839;0;100;-19547;a144f91c89
63856722095958;662906;0;100;-19547,2;a144f91c89
63856722096061;663039;0;100;-19547,8;a144f91c89
63856722096061;663039;0;100;-19549;a144f91c89
63856722096295;663239;0;100;-19550,2;a144f91c89
63856722096295;663239;0;100;-19551,8;a144f91c89
63856722096295;663239;0;100;-19556,6;a144f91c89
63856722096361;663373;0;100;-19558,6;a144f91c89
63856722096361;663373;0;100;-19559;a144f91c89
63856722096459;663439;0;100;-19559,2;a144f91c89
63856722096563;663573;0;100;-19559,6;a144f91c89
63856722096563;663573;0;100;-19561;a144f91c89
63856722096694;663639;0;100;-19563;a144f91c89
63856722096796;663772;0;100;-19564,2;a144f91c89
63856722096796;663772;0;100;-19564,4;a144f91c89
63856722096892;663839;0;100;-19564,8;a144f91c89
63856722096992;663972;0;100;-19564,2;a144f91c89
63856722096992;663972;0;100;-19565;a144f91c89
63856722097093;664039;0;100;-19565;a144f91c89
63856722097191;664172;0;100;-19565;a144f91c89
63856722097191;664172;0;100;-19565;a144f91c89
63856722097295;664239;0;100;-19565,2;a144f91c89
63856722097393;664372;0;100;-19565;a144f91c89
63856722097393;664372;0;100;-19564,4;a144f91c89
63856722097496;664506;0;100;-19565;a144f91c89
63856722097496;664506;0;100;-19565,8;a144f91c89
63856722097626;664572;0;100;-19564,8;a144f91c89
63856722097693;664706;0;100;-19565;a144f91c89
63856722097693;664706;0;100;-19566;a144f91c89
63856722097794;664772;0;100;-19565,4;a144f91c89
63856722097894;664906;0;100;-19564,2;a144f91c89
63856722097894;664906;0;100;-19561;a144f91c89
63856722097994;664972;0;100;-19559,6;a144f91c89
63856722098121;665106;0;100;-19557,4;a144f91c89
63856722098121;665106;0;100;-19554,6;a144f91c89
63856722098198;665172;0;100;-19553,2;a144f91c89
63856722098293;665306;0;100;-19551;a144f91c89
63856722098293;665306;0;100;-19545,8;a144f91c89
63856722098430;665372;0;100;-19538,8;a144f91c89
63856722098525;665506;0;100;-19533,4;a144f91c89
63856722098525;665506;0;100;-19527,2;a144f91c89
63856722098616;665572;0;100;-19519,8;a144f91c89
63856722098726;665706;0;100;-19514,6;a144f91c89
63856722098726;665706;0;100;-19513,2;a144f91c89
63856722098826;665772;0;100;-19509,6;a144f91c89
63856722098929;665906;0;100;-19506,4;a144f91c89
63856722098929;665906;0;100;-19502,8;a144f91c89
63856722099021;665972;0;100;-19498,2;a144f91c89
63856722099130;666106;0;100;-19495,2;a144f91c89
63856722099130;666106;0;100;-19491,6;a144f91c89
63856722099227;666239;0;100;-19486,2;a144f91c89
63856722099227;666239;0;100;-19471,2;a144f91c89
63856722099324;666306;0;100;-19458;a144f91c89
63856722099428;666439;0;100;-19467,6;a144f91c89
63856722099428;666439;0;100;-19490,6;a144f91c89
63856722099522;666506;0;100;-19513,8;a144f91c89
63856722099634;666639;0;100;-19523,6;a144f91c89
63856722099634;666639;0;100;-19531,4;a144f91c89
63856722099724;666706;0;100;-19534,8;a144f91c89
63856722099830;666839;0;100;-19535,4;a144f91c89
63856722099830;666839;0;100;-19535,2;a144f91c89
63856722099960;666906;0;100;-19535,4;a144f91c89
63856722100028;667039;0;100;-19535,6;a144f91c89
63856722100028;667039;0;100;-19537;a144f91c89
63856722100160;667106;0;100;-19538,6;a144f91c89
63856722100251;667239;0;100;-19539,8;a144f91c89
63856722100251;667239;0;100;-19541,2;a144f91c89
63856722100361;667306;0;100;-19542,2;a144f91c89
63856722100459;667439;0;100;-19545,2;a144f91c89
63856722100459;667439;0;100;-19546,6;a144f91c89
63856722100565;667506;0;100;-19548,4;a144f91c89
63856722100661;667639;0;100;-19549,8;a144f91c89
63856722100661;667639;0;100;-19550,4;a144f91c89
63856722100763;667705;0;100;-19550,8;a144f91c89
63856722100860;667839;0;100;-19551,6;a144f91c89
63856722100860;667839;0;100;-19551,6;a144f91c89
63856722100960;667905;0;100;-19552,8;a144f91c89
63856722101060;668039;0;100;-19555,2;a144f91c89
63856722101060;668039;0;100;-19556,6;a144f91c89
63856722101152;668105;0;100;-19557;a144f91c89
63856722101261;668239;0;100;-19557,8;a144f91c89
63856722101261;668239;0;100;-19558;a144f91c89
63856722101426;668372;0;100;-19558,8;a144f91c89
63856722101426;668372;0;100;-19559;a144f91c89
63856722101526;668505;0;100;-19558,8;a144f91c89
63856722101526;668505;0;100;-19559;a144f91c89
63856722101626;668572;0;100;-19560;a144f91c89
63856722101727;668705;0;100;-19562,8;a144f91c89
63856722101727;668705;0;100;-19563,8;a144f91c89
63856722101826;668772;0;100;-19564;a144f91c89
63856722101929;668905;0;100;-19564,4;a144f91c89
63856722101929;668905;0;100;-19565;a144f91c89
63856722102026;669039;0;100;-19565,2;a144f91c89
63856722102026;669039;0;100;-19565,8;a144f91c89
63856722102161;669105;0;100;-19565,2;a144f91c89
63856722102226;669239;0;100;-19565,2;a144f91c89
63856722102226;669239;0;100;-19565,2;a144f91c89
63856722102354;669305;0;100;-19566;a144f91c89
63856722102426;669439;0;100;-19566;a144f91c89
63856722102426;669439;0;100;-19566,6;a144f91c89
