Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63856722094528;661506;0;100;8,0267;a144f91c89
63856722094857;661839;0;100;7,9338;a144f91c89
63856722095228;662239;0;100;7,842;a144f91c89
63856722095554;662506;0;100;7,7513;a144f91c89
63856722095877;662839;0;100;7,6616;a144f91c89
63856722096294;663239;0;100;7,573;a144f91c89
63856722096563;663573;0;100;7,4854;a144f91c89
63856722096892;663839;0;100;7,3988;a144f91c89
63856722097191;664172;0;100;9,3955;a144f91c89
63856722097496;664506;0;100;9,2868;a144f91c89
63856722097893;664906;0;100;9,1794;a144f91c89
63856722098198;665172;0;100;9,0732;a144f91c89
63856722098525;665506;0;100;8,9682;a144f91c89
63856722098929;665906;0;100;8,8645;a144f91c89
63856722099226;666239;0;100;8,7619;a144f91c89
63856722099522;666506;0;100;8,6606;a144f91c89
63856722099830;666839;0;100;8,5604;a144f91c89
63856722100251;667239;0;100;8,4614;a144f91c89
63856722100565;667506;0;100;8,3635;a144f91c89
63856722100860;667839;0;100;10,349;a144f91c89
63856722101261;668239;0;100;10,2293;a144f91c89
63856722101526;668505;0;100;12,1932;a144f91c89
63856722101929;668905;0;100;12,0521;a144f91c89
63856722102225;669239;0;100;13,995;a144f91c89
63856722102527;669505;0;100;13,8331;a144f91c89
63856722102861;669839;0;100;13,673;a144f91c89
63856722103261;670238;0;100;13,5149;a144f91c89
63856722103562;670505;0;100;13,3585;a144f91c89
63856722103860;670838;0;100;13,204;a144f91c89
63856722104193;671172;0;100;13,0513;a144f91c89
63856722104560;671572;0;100;12,9003;a144f91c89
63856722104885;671838;0;100;12,751;a144f91c89
63856722105196;672172;0;100;12,6035;a144f91c89
63856722105593;672572;0;100;12,4577;a144f91c89
63856722105896;672838;0;100;12,3136;a144f91c89
63856722106194;673172;0;100;12,1712;a144f91c89
63856722106559;673505;0;100;12,0304;a144f91c89
63856722106926;673838;0;100;11,8912;a144f91c89
63856722107193;674171;0;100;11,7537;a144f91c89
63856722107593;674571;0;100;11,6177;a144f91c89
63856722107860;674838;0;100;11,4833;a144f91c89
63856722108190;675171;0;100;11,3505;a144f91c89
63856722108619;675571;0;100;11,2192;a144f91c89
63856722108882;675838;0;100;11,0894;a144f91c89
63856722109194;676171;0;100;10,9611;a144f91c89
63856722109493;676505;0;100;10,8343;a144f91c89
63856722109893;676904;0;100;10,709;a144f91c89
63856722110220;677171;0;100;10,5851;a144f91c89
63856722110516;677505;0;100;10,4626;a144f91c89
63856722110927;677904;0;100;10,3416;a144f91c89
63856722111223;678171;0;100;10,222;a144f91c89
63856722111527;678504;0;100;10,1037;a144f91c89
63856722111893;678838;0;100;9,9868;a144f91c89
63856722112195;679171;0;100;9,8713;a144f91c89
63856722112494;679504;0;100;9,7571;a144f91c89
63856722112895;679904;0;100;9,6442;a144f91c89
63856722113227;680171;0;100;9,5327;a144f91c89
63856722113527;680504;0;100;9,4224;a144f91c89
63856722113926;680904;0;100;9,3134;a144f91c89
63856722114221;681237;0;100;9,2057;a144f91c89
63856722114529;681504;0;100;9,0992;a144f91c89
63856722114826;681837;0;100;8,9939;a144f91c89
63856722115294;682237;0;100;8,8899;a144f91c89
63856722115586;682571;0;100;8,787;a144f91c89
63856722115891;682837;0;100;8,6854;a144f91c89
63856722116193;683171;0;100;8,5849;a144f91c89
63856722116583;683570;0;100;8,4856;a144f91c89
63856722116893;683904;0;100;8,3874;a144f91c89
63856722117193;684170;0;100;8,2904;a144f91c89
63856722117494;684504;0;100;8,1945;a144f91c89
63856722117926;684904;0;100;8,0997;a144f91c89
63856722118224;685170;0;100;8,006;a144f91c89
63856722118527;685504;0;100;7,9134;a144f91c89
63856722118827;685837;0;100;7,8219;a144f91c89
63856722119226;686237;0;100;7,7314;a144f91c89
63856722119558;686504;0;100;9,7242;a144f91c89
63856722119853;686837;0;100;9,6117;a144f91c89
63856722120254;687237;0;100;9,5005;a144f91c89
63856722120564;687570;0;100;9,3906;a144f91c89
