Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63856722096992;663373;0;100;0,466667;a144f91c89
63856722100860;666973;0;100;0,8;a144f91c89
63856722101261;667905;0;100;0,266667;a144f91c89
63856722102026;668572;0;100;0,333333;a144f91c89
63856722119427;685771;0;100;0,6;a144f91c89
63856722124996;691570;0;100;0,266667;a144f91c89
63856722125626;692370;0;100;0,133333;a144f91c89
63856722126226;692903;0;100;0,2;a144f91c89
63856722128924;695703;0;100;0,066667;a144f91c89
63856722129226;695903;0;100;0,266667;a144f91c89
63856722134558;700969;0;100;0,466667;a144f91c89
63856722137475;704102;0;100;0,2;a144f91c89
63856722137759;704569;0;100;0,066667;a144f91c89
63856722138693;705302;0;100;0,266667;a144f91c89
63856722144824;711301;0;100;0,4;a144f91c89
63856722148726;715301;0;100;0,266667;a144f91c89
63856722149311;716101;0;100;0,133333;a144f91c89
63856722156423;722767;0;100;0,533333;a144f91c89
63856722163963;730366;0;100;0,466667;a144f91c89
63856722164159;730966;0;100;0,066667;a144f91c89
63856722168793;735565;0;100;0,066667;a144f91c89
63856722179992;746564;0;100;0,333333;a144f91c89
63856722188158;754830;0;100;0,2;a144f91c89
63856722192823;759563;0;100;0,133333;a144f91c89
63856722203156;769896;0;100;0,133333;a144f91c89
63856722210225;776894;0;100;0,266667;a144f91c89
63856722210724;777294;0;100;0,333333;a144f91c89
63856722272390;839088;1;100;0,2;a144f91c89
63856722282206;848821;1;100;0,333333;a144f91c89
63856722285170;851688;1;100;0,333333;a144f91c89
63856722286690;853087;1;100;0,533333;a144f91c89
63856722286923;853754;1;100;0,066667;a144f91c89
63856722288828;855087;1;100;0,6;a144f91c89
63856722289333;856087;1;100;0,133333;a144f91c89
63856722294899;861619;1;100;0,2;a144f91c89
63856722298167;864819;1;100;0,2;a144f91c89
63856722298782;865419;1;100;0,2;a144f91c89
63856722311173;877751;-1;100;0,266667;a144f91c89
63856722315223;881884;-1;100;0,266667;a144f91c89
63856722333221;899816;2;100;0,266667;a144f91c89
63856722339489;906082;2;100;0,266667;a144f91c89
63856722345155;911948;2;100;0,066667;a144f91c89
63856722347363;913148;2;100;1,133333;a144f91c89
63856722349456;916081;2;100;0,133333;a144f91c89
63856722351759;918281;2;100;0,4;a144f91c89
63856722352288;919080;2;100;0,066667;a144f91c89
63856722358155;924880;2;100;0,133333;a144f91c89
63856722360594;927279;2;100;0,2;a144f91c89
63856722362854;929279;2;100;0,466667;a144f91c89
63856722363022;929880;2;100;0,066667;a144f91c89
63856722364255;931012;2;100;0,133333;a144f91c89
63856722367096;933545;2;100;0,4;a144f91c89
63856722368126;934879;2;100;0,133333;a144f91c89
63856722372730;939212;2;100;0,333333;a144f91c89
63856722385671;952278;2;100;0,266667;a144f91c89
63856722401688;968543;2;100;0,066667;a144f91c89
63856722404164;970476;2;100;0,533333;a144f91c89
63856722404371;971142;2;100;0,133333;a144f91c89
63856722405070;971675;2;100;0,266667;a144f91c89
63856722405888;972475;2;100;0,266667;a144f91c89
63856722415121;981541;-2;100;0,466667;a144f91c89
63856722420521;987074;-2;100;0,333333;a144f91c89
