Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63856829586635;444874;0;100;-19414;a453d61137
63856829586683;445007;0;100;-19416,6;a453d61137
63856829586683;445007;0;100;-19418;a453d61137
63856829586816;445074;0;100;-19419,8;a453d61137
63856829586900;445207;0;100;-19422,8;a453d61137
63856829586900;445207;0;100;-19423,8;a453d61137
63856829587016;445274;0;100;-19426,4;a453d61137
63856829587099;445407;0;100;-19428,6;a453d61137
63856829587099;445407;0;100;-19428,2;a453d61137
63856829587216;445474;0;100;-19428,6;a453d61137
63856829587332;445607;0;100;-19429,4;a453d61137
63856829587332;445607;0;100;-19429,2;a453d61137
63856829587415;445674;0;100;-19430;a453d61137
63856829587516;445807;0;100;-19430,4;a453d61137
63856829587516;445807;0;100;-19429,8;a453d61137
63856829587616;445940;0;100;-19431,2;a453d61137
63856829587616;445940;0;100;-19431;a453d61137
63856829587716;446007;0;100;-19431;a453d61137
63856829587833;446140;0;100;-19432,8;a453d61137
63856829587833;446140;0;100;-19430,2;a453d61137
63856829587916;446207;0;100;-19430,2;a453d61137
63856829588032;446340;0;100;-19429,8;a453d61137
63856829588032;446340;0;100;-19429,8;a453d61137
63856829588149;446407;0;100;-19429,6;a453d61137
63856829588216;446540;0;100;-19427,8;a453d61137
63856829588216;446540;0;100;-19426,6;a453d61137
63856829588316;446607;0;100;-19426,8;a453d61137
63856829588416;446740;0;100;-19426,2;a453d61137
63856829588416;446740;0;100;-19425;a453d61137
63856829588532;446807;0;100;-19423,6;a453d61137
63856829588649;446940;0;100;-19422,2;a453d61137
63856829588649;446940;0;100;-19421;a453d61137
63856829588732;447007;0;100;-19420,2;a453d61137
63856829588849;447140;0;100;-19421;a453d61137
63856829588849;447140;0;100;-19421;a453d61137
63856829588966;447207;0;100;-19418,6;a453d61137
63856829589049;447340;0;100;-19418,8;a453d61137
63856829589049;447340;0;100;-19418,2;a453d61137
63856829589116;447407;0;100;-19416,8;a453d61137
63856829589249;447540;0;100;-19416;a453d61137
63856829589249;447540;0;100;-19415,6;a453d61137
63856829589349;447607;0;100;-19414;a453d61137
63856829589433;447740;0;100;-19414,2;a453d61137
63856829589433;447740;0;100;-19413,8;a453d61137
63856829589549;447807;0;100;-19413,6;a453d61137
63856829589666;447940;0;100;-19412,8;a453d61137
63856829589666;447940;0;100;-19412;a453d61137
63856829589749;448007;0;100;-19412,8;a453d61137
63856829589866;448140;0;100;-19412;a453d61137
63856829589866;448140;0;100;-19410,6;a453d61137
63856829589949;448273;0;100;-19411;a453d61137
63856829589949;448273;0;100;-19410;a453d61137
63856829590049;448340;0;100;-19410;a453d61137
63856829590150;448473;0;100;-19410;a453d61137
63856829590150;448473;0;100;-19410;a453d61137
63856829590249;448540;0;100;-19408,6;a453d61137
63856829590366;448673;0;100;-19410,2;a453d61137
63856829590366;448673;0;100;-19408,2;a453d61137
63856829590449;448740;0;100;-19409,2;a453d61137
63856829590565;448873;0;100;-19410,4;a453d61137
63856829590565;448873;0;100;-19409,8;a453d61137
63856829590649;448940;0;100;-19408;a453d61137
63856829590749;449073;0;100;-19408,8;a453d61137
63856829590749;449073;0;100;-19407,8;a453d61137
63856829590849;449140;0;100;-19406,6;a453d61137
63856829590950;449273;0;100;-19405,4;a453d61137
63856829590950;449273;0;100;-19405,4;a453d61137
63856829591066;449340;0;100;-19406,2;a453d61137
63856829591182;449473;0;100;-19406,2;a453d61137
63856829591182;449473;0;100;-19406,4;a453d61137
63856829591265;449540;0;100;-19406,8;a453d61137
63856829591382;449673;0;100;-19405,4;a453d61137
63856829591382;449673;0;100;-19405,8;a453d61137
63856829591482;449740;0;100;-19406,2;a453d61137
63856829591582;449873;0;100;-19405,8;a453d61137
63856829591582;449873;0;100;-19406,2;a453d61137
63856829591682;450006;0;100;-19407;a453d61137
63856829591682;450006;0;100;-19404,6;a453d61137
63856829591766;450073;0;100;-19406;a453d61137
63856829591883;450206;0;100;-19406,2;a453d61137
63856829591883;450206;0;100;-19406,4;a453d61137
63856829591999;450273;0;100;-19404,8;a453d61137
63856829592082;450407;0;100;-19405,2;a453d61137
63856829592082;450407;0;100;-19404,4;a453d61137
63856829592183;450473;0;100;-19404,8;a453d61137
63856829592283;450606;0;100;-19404,4;a453d61137
63856829592283;450606;0;100;-19405,2;a453d61137
63856829592382;450673;0;100;-19404,6;a453d61137
63856829592482;450806;0;100;-19405,4;a453d61137
63856829592482;450806;0;100;-19405,8;a453d61137
63856829592582;450873;0;100;-19406,4;a453d61137
63856829592699;451006;0;100;-19406,2;a453d61137
63856829592699;451006;0;100;-19406;a453d61137
63856829592816;451073;0;100;-19405,8;a453d61137
63856829592882;451206;0;100;-19405,8;a453d61137
63856829592882;451206;0;100;-19405;a453d61137
63856829592982;451273;0;100;-19404,6;a453d61137
63856829593116;451406;0;100;-19405;a453d61137
63856829593116;451406;0;100;-19405,4;a453d61137
63856829593216;451473;0;100;-19404,6;a453d61137
63856829593315;451606;0;100;-19404;a453d61137
63856829593315;451606;0;100;-19404;a453d61137
63856829593399;451673;0;100;-19405;a453d61137
63856829593516;451806;0;100;-19404;a453d61137
63856829593516;451806;0;100;-19404,8;a453d61137
63856829593632;451873;0;100;-19404,2;a453d61137
63856829593716;452006;0;100;-19404,4;a453d61137
63856829593716;452006;0;100;-19404,4;a453d61137
63856829593816;452073;0;100;-19406;a453d61137
63856829593916;452206;0;100;-19404,8;a453d61137
63856829593916;452206;0;100;-19404,8;a453d61137
63856829594016;452340;0;100;-19404,2;a453d61137
63856829594016;452340;0;100;-19405;a453d61137
63856829594116;452406;0;100;-19404,4;a453d61137
63856829594216;452540;0;100;-19405,2;a453d61137
63856829594216;452540;0;100;-19403,8;a453d61137
63856829594332;452606;0;100;-19404,2;a453d61137
63856829594416;452740;0;100;-19404,4;a453d61137
63856829594416;452740;0;100;-19403;a453d61137
63856829594515;452806;0;100;-19402;a453d61137
63856829594649;452940;0;100;-19403,2;a453d61137
63856829594649;452940;0;100;-19404;a453d61137
63856829594716;453006;0;100;-19404,6;a453d61137
63856829594816;453139;0;100;-19403,8;a453d61137
63856829594816;453139;0;100;-19403,4;a453d61137
63856829594949;453206;0;100;-19402,6;a453d61137
63856829595032;453339;0;100;-19403;a453d61137
63856829595032;453339;0;100;-19403,8;a453d61137
63856829595149;453406;0;100;-19402,6;a453d61137
63856829595266;453539;0;100;-19403,2;a453d61137
63856829595266;453539;0;100;-19403,2;a453d61137
63856829595349;453606;0;100;-19404,4;a453d61137
63856829595465;453739;0;100;-19404,2;a453d61137
63856829595465;453739;0;100;-19404,6;a453d61137
63856829595516;453806;0;100;-19404,2;a453d61137
63856829595649;453939;0;100;-19404,2;a453d61137
63856829595649;453939;0;100;-19403,6;a453d61137
63856829595733;454006;0;100;-19402,4;a453d61137
63856829595849;454139;0;100;-19403,4;a453d61137
63856829595849;454139;0;100;-19403,2;a453d61137
63856829596016;454273;0;100;-19404;a453d61137
63856829596016;454273;0;100;-19402;a453d61137
63856829596115;454406;0;100;-19404,6;a453d61137
63856829596115;454406;0;100;-19405;a453d61137
63856829596199;454473;0;100;-19403,6;a453d61137
63856829596316;454606;0;100;-19402,8;a453d61137
63856829596316;454606;0;100;-19403,8;a453d61137
63856829596399;454673;0;100;-19404,2;a453d61137
63856829596516;454806;0;100;-19404,8;a453d61137
63856829596516;454806;0;100;-19403,8;a453d61137
63856829596616;454873;0;100;-19404;a453d61137
63856829596716;455006;0;100;-19404;a453d61137
